from,to,volume,EstimatedTT,from,to,length,CO2,lengthm
8786281558,925917408,3.74,429.0,8786281558,925917408,10728.862,8082.03147144391,6.666603709802
954394619,925917408,29.93,4801.2,954394619,925917408,80015.466,483570.58240186586,49.719290123886005
1894383018,8786281558,0.0,90.6,1894383018,8786281558,2260.965,0.0,1.4048980830150002
8786281559,8786281558,0.0,265.79999999999995,8786281559,8786281558,6640.14,0.0,4.12599043194
1894383018,954394619,29.56,4408.8,1894383018,954394619,73477.122,438565.7828993009,45.656552774262
1328613249,954394619,58.71,223.8,1328613249,954394619,3732.253,44240.82411268949,2.319113778863
8786281559,1894383018,0.0,849.0,8786281559,1894383018,14149.504,0.0,8.792091449984001
8267339065,1328613249,97.88,2709.6,8267339065,1328613249,67735.484,1335329.3547385898,42.088865428564
760307160,8267339065,245.63,934.8,760307160,8267339065,23365.231,1155910.4627537765,14.518476951701
1296398101,8267339065,116.29,310.2,1296398101,8267339065,7750.651,181526.07895108,4.816029762521
3450729711,8786281559,0.0,9.0,3450729711,8786281559,152.729,0.0,0.09490137145900002
3143306731,3450729711,0.0,12.6,3143306731,3450729711,206.242,0.0,0.128152797782
3450729711,3143306731,0.0,12.0,3450729711,3143306731,199.493,0.0,0.123959164903
410561136,210294447,62.54,315.0,410561136,210294447,7869.804,99123.43021015533,4.890067981284
1296398101,410561136,54.31,72.0,1296398101,410561136,1197.665,13137.339882792812,0.744194298715
1355528868,410561136,0.0,36.0,1355528868,410561136,596.879,0.0,0.37088330110900003
1355528868,1296398101,0.0,65.4,1355528868,1296398101,1085.41,0.0,0.67444229711
1254651770,760307160,220.67,307.2,1254651770,760307160,4262.504,197864.5094218827,2.648596372984
410563652,760307160,40.65,172.79999999999998,410563652,760307160,4317.937,35350.75104722997,2.683040831627
1254651791,1254651770,159.12,264.6,1254651791,1254651770,6614.905,211996.48966619326,4.110310134755
2143889519,1254651770,377.58,190.8,2143889519,1254651770,2651.681,210509.28206785265,1.647677674651
9343973782,410563652,64.43,48.6,9343973782,410563652,809.898,10536.631518912443,0.503247130158
2011616838,410563652,62.53,1289.3999999999999,2011616838,410563652,21494.171,271377.263276408,13.355854528440998
4271212360,9343973782,76.45,18.6,4271212360,9343973782,208.187,3662.830311632392,0.12936136437700002
1254651723,9343973782,105.44,16.200000000000003,1254651723,9343973782,274.746,5836.267008799563,0.170719196766
1254651723,1254651791,159.12,6.0,1254651723,1254651791,100.7,3232.399397681851,0.0625720597
1254651791,1254651723,156.91,5.3999999999999995,1254651791,1254651723,91.411,2890.326017990878,0.056800144481
760307624,2143889519,431.26,2998.7999999999997,760307624,2143889519,49967.303,4351270.105400045,31.048233032413002
4084595306,2015618586,83.06,1412.3999999999999,4084595306,2015618586,23541.673,394821.5781776928,14.628112893683
4084595306,4084595312,76.45,1.2,4084595306,4084595312,19.726,305.1044149766005,0.012257164346
4084595312,4084595306,74.68,3.5999999999999996,4084595312,4084595306,62.058,931.9408411427293,0.038561041518
504633518,760307624,76.94,1410.6000000000001,504633518,760307624,23507.911,365213.9439220658,14.607134165981
996053083,760307624,485.51,136.2,996053083,760307624,3396.715,332079.0928373736,2.110620196265
4271212354,4084595312,74.68,23.400000000000002,4271212354,4084595312,387.876,5853.332386200441,0.24101489799599998
4271212354,4271212360,76.45,3.0,4271212354,4271212360,51.935,798.046543414132,0.032270902885
4271212360,4271212354,74.68,1.2,4271212360,4271212354,22.164,330.9945857992324,0.013772066844000001
504633518,1876496599,0.0,1.7999999999999998,504633518,1876496599,34.41,0.0,0.02138137611
1876496603,504633518,0.0,1.7999999999999998,1876496603,504633518,33.636,0.0,0.020900434956
1876496599,1876496603,0.0,5.3999999999999995,1876496599,1876496603,88.819,0.0,0.055189550849
1876496603,1876496599,0.0,1.2,1876496603,1876496599,22.293,0.0,0.013852223703
1472419004,996053083,88.88,744.6,1472419004,996053083,12411.503,222739.41903020567,7.712148030613
1037930678,996053083,549.91,78.60000000000001,1037930678,996053083,1966.826,217859.08579645955,1.222128638446
1876507981,925855205,0.0,651.0,1876507981,925855205,9043.256,0.0,5.619217023976
8431928364,925855205,189.26,148.8,8431928364,925855205,3714.872,141588.71812023642,2.3083137295119998
1876507996,925855205,193.52,132.6,1876507996,925855205,3314.106,129170.20167634179,2.059289359326
1876507981,1876508009,198.02,1.7999999999999998,1876507981,1876508009,41.488,1645.088849977462,0.025779440048
1876507996,1876507981,201.82,0.6,1876507996,1876507981,20.992,1022.9610923754509,0.013043820032000001
2144116999,8431928364,0.0,198.0,2144116999,8431928364,3299.258,0.0,2.050063242718
3648318291,8431928364,269.0,827.4,3648318291,8431928364,20687.655,1120855.2791069339,12.854708875004999
1876508009,1876507996,193.52,1.2,1876508009,1876507996,31.098,1216.6694031069053,0.019323395358
