fishnetid,CO2,CO2pcap,CO2psqkm
0,7912019.503117214,929.2030280288328,79504.09298356212
1,1101748.6623977304,3776.3632003045213,11070.944411255441
2,31948877.212406687,1462.309994684764,322656.76293958025
3,1154803.3375418303,14303.613519941659,11677.323109185518
4,2577855.766301599,3612.971106136755,26100.31322166761
5,11104684.676433174,863.197134507525,112576.28718499574
6,30406156.92558733,0.0,308249.38789224933
7,25922536.71619676,1212.7848307346428,262795.6599361406
8,738395.2177434064,272.1038380041774,7485.650832132336
9,3041905.698690515,0.0,30877.474697419562
10,16177142.657592176,7520.75437359004,164209.33538518503
11,19885496.462898172,12946.225027287815,202110.81831510612
12,22785057.5448417,171255.92302950154,231581.1744673851
13,41591848.32474979,9454.929785088487,422728.31939785613
14,50409532.31567002,31222.31466926882,512348.8793056815
15,4126500.9306299947,2851.8437462222864,41994.6460577127
16,28903326.597778387,6430.045959084058,294143.8741367094
17,56693795.3566489,106984.28358192707,576962.3973664083
18,26795389.07990747,8559.513259192083,272691.779138317
19,56092328.42955249,4367.538293869,570841.3783375869
20,32749765.858813874,6218.000018620278,333288.3837503175
21,9629336.57569324,11637.14290048416,97995.99904734107
22,8595381.93658492,582.7021496940407,87586.62228447857
23,10758940.742879186,238.44955391728516,109633.20606111438
24,16042048.258543473,4603.425322841785,163467.87517491088
25,16623183.850247476,1093.9514317492535,169609.11911779575
26,9725272.037044799,238.01312414877208,99228.57367420818
27,25687664.593486514,2819.4599525130475,262095.52893982918
28,1408972.3104626446,219.31671888765098,14394.66675047093
29,2965393.297681453,158.36136669663335,30295.73256140574
30,2729740.4438838954,334.7631086205827,27888.201714971205
31,8560239.798301462,707.814815360431,87455.08927723403
32,32759475.064449187,827.1549509752597,334684.8784545967
33,5920131.035307268,235.21964051679453,60482.60334114488
34,133967.16106729407,139.23681209537642,1370.4508249692826
35,1196034.0060522608,1903.478976172321,12235.131186084363
36,13950737.370618694,2226.9269777181958,142712.5825924644
37,4527084.128059141,757.3721644102501,185243.78055762468
38,698701.7416635588,73.17676340887479,28590.180444351077
39,4558452.109603882,857.1001718723547,186649.1896004529
40,11355045.491718348,330.11409698560607,464940.7272351292
41,9599133.537885405,456.56121404272875,98196.75487022751
42,5648692.154440718,2729.6380979457945,924555.4501084302
43,2639624.638377531,909.9846481878052,432325.51854570885
44,3270640.817115236,1066.9593108806314,535850.3740550497
45,4981740.521995979,3759.287085474319,816190.9764557537
46,5046432.576941434,3667.1037763466884,826789.8969056901
