gridID_lat,gridID_lon,inner_gridID_lat,inner_gridID_lon,oneway,lanelength,fishnetID,osmid,y,x,street_count,lon,lat,highway,ref,nodeID,geometry,lanecapacity
1,22,None,None,False,281.911,4,987043356,37.8634253,23.746339,3,23.746339,37.8634253,,,2283,POINT (23.746339 37.8634253),9600
1,22,None,None,False,281.911,4,269596847,37.8644076,23.7544538,3,23.7544538,37.8644076,,,860,POINT (23.7544538 37.8644076),4200
1,23,None,None,False,530.732,6,4551421701,37.8670427,23.7571179,2,23.7571179,37.8670427,,,845,POINT (23.7571179 37.8670427),4900
1,23,None,None,False,530.732,6,6166892124,37.8617357,23.762807,3,23.762807,37.8617357,,,2941,POINT (23.762807 37.8617357),4500
2,23,None,None,False,248.821,8,269435993,37.8755687,23.7564325,5,23.7564325,37.8755687,,,839,POINT (23.7564325 37.8755687),7800
2,23,None,None,False,248.821,8,5586902731,37.8706507,23.7589037,3,23.7589037,37.8706507,,,2834,POINT (23.7589037 37.8706507),5000
2,24,None,None,False,703.549,10,922263849,37.8735793,23.7643299,3,23.7643299,37.8735793,,,838,POINT (23.7643299 37.8735793),4200
2,24,None,None,False,703.549,10,269542131,37.8734835,23.7643486,3,23.7643486,37.8734835,,,859,POINT (23.7643486 37.8734835),2800
3,23,None,None,False,3016.71,15,1836907356,37.8756642,23.756537,4,23.756537,37.8756642,,,48,POINT (23.756537 37.8756642),6400
3,23,None,None,False,3016.71,15,1838139883,37.8794639,23.7582707,4,23.7582707,37.8794639,,,2185,POINT (23.7582707 37.8794639),5600
3,23,None,None,False,3016.71,15,360340414,37.8816189,23.7554508,1,23.7554508,37.8816189,,,2186,POINT (23.7554508 37.8816189),1400
3,23,None,None,False,3016.71,15,269435574,37.8796748,23.7635323,3,23.7635323,37.8796748,traffic_signals,,835,POINT (23.7635323 37.8796748),4200
4,23,None,None,False,2702.332,19,269432606,37.889352,23.7611614,3,23.7611614,37.889352,,,831,POINT (23.7611614 37.889352),4200
4,23,None,None,False,2702.332,19,8596337363,37.8850398,23.7598907,3,23.7598907,37.8850398,,,2488,POINT (23.7598907 37.8850398),4200
5,23,None,None,False,2378.244,24,3847643267,37.8956904,23.7612223,4,23.7612223,37.8956904,,,827,POINT (23.7612223 37.8956904),5600
5,23,None,None,False,2378.244,24,1836923934,37.8921638,23.7607347,3,23.7607347,37.8921638,,,854,POINT (23.7607347 37.8921638),4200
5,24,None,None,False,2099.981,26,269438278,37.8908789,23.766688,3,23.766688,37.8908789,,,847,POINT (23.766688 37.8908789),4200
5,24,None,None,False,2099.981,26,1845897089,37.8908993,23.7663303,3,23.7663303,37.8908993,,,850,POINT (23.7663303 37.8908993),4200
5,36,None,None,False,2873.271,29,2769048061,37.8911866,23.8817779,4,23.8817779,37.8911866,,,1278,POINT (23.8817779 37.8911866),7200
5,36,None,None,False,2873.271,29,360803923,37.8936987,23.8810089,3,23.8810089,37.8936987,,,1287,POINT (23.8810089 37.8936987),5400
5,37,None,None,False,149.391,31,2769050507,37.8925715,23.8831713,4,23.8831713,37.8925715,,,1285,POINT (23.8831713 37.8925715),7200
5,37,None,None,False,149.391,31,483411311,37.8926232,23.8830498,4,23.8830498,37.8926232,,,1634,POINT (23.8830498 37.8926232),7200
7,18,None,None,False,1338.402,35,8237762531,37.910764,23.7114905,5,23.7114905,37.910764,,,2487,POINT (23.7114905 37.910764),9000
7,18,None,None,False,1338.402,35,1579808171,37.9062999,23.7173065,3,23.7173065,37.9062999,,,2386,POINT (23.7173065 37.9062999),8400
7,18,None,None,False,1338.402,35,4019121947,37.9077645,23.7159643,3,23.7159643,37.9077645,,,9,POINT (23.7159643 37.9077645),7200
7,21,None,None,False,1266.332,39,11144591854,37.9060402,23.7451576,5,23.7451576,37.9060402,,,43,POINT (23.7451576 37.9060402),7000
7,21,None,None,False,1266.332,39,3895874574,37.9098908,23.7406406,3,23.7406406,37.9098908,,,2785,POINT (23.7406406 37.9098908),4200
7,21,None,None,False,1266.332,39,1853124884,37.9112925,23.7447542,3,23.7447542,37.9112925,,,100,POINT (23.7447542 37.9112925),5400
7,21,None,None,False,1266.332,39,4035001465,37.9088633,23.7381654,3,23.7381654,37.9088633,crossing,,2815,POINT (23.7381654 37.9088633),4200
7,22,None,None,False,1020.17,41,1856697397,37.9059385,23.7536506,5,23.7536506,37.9059385,,,2527,POINT (23.7536506 37.9059385),7000
7,22,None,None,False,1020.17,41,1856011662,37.9059922,23.7499045,2,23.7499045,37.9059922,,,869,POINT (23.7499045 37.9059922),4200
7,22,None,None,False,1020.17,41,269611886,37.9060229,23.7469037,3,23.7469037,37.9060229,,,868,POINT (23.7469037 37.9060229),4200
8,36,None,None,False,5716.79,49,8567414339,37.912695,23.8741036,3,23.8741036,37.912695,,,1446,POINT (23.8741036 37.912695),5400
8,36,None,None,False,5716.79,49,8567414319,37.9129443,23.8741828,3,23.8741828,37.9129443,,,3114,POINT (23.8741828 37.9129443),5400
9,19,None,None,False,2104.458,53,8237762303,37.9206203,23.7214782,2,23.7214782,37.9206203,,,2549,POINT (23.7214782 37.9206203),4200
9,19,None,None,False,2104.458,53,9490066521,37.9199912,23.7211143,2,23.7211143,37.9199912,,,3083,POINT (23.7211143 37.9199912),4200
10,19,None,None,False,2141.309,62,1856937349,37.9266802,23.7256281,3,23.7256281,37.9266802,,,2504,POINT (23.7256281 37.9266802),4200
10,19,None,None,False,2141.309,62,6152410546,37.9268879,23.7255236,1,23.7255236,37.9268879,,,2936,POINT (23.7255236 37.9268879),1400
10,23,None,None,False,150.357,66,1858422314,37.9326228,23.7564748,3,23.7564748,37.9326228,,,880,POINT (23.7564748 37.9326228),5400
10,23,None,None,False,150.357,66,1858422312,37.9326033,23.7562409,1,23.7562409,37.9326033,,,2550,POINT (23.7562409 37.9326033),1800
11,9,None,None,False,24.814,68,1668205352,37.9386391,23.6301383,3,23.6301383,37.9386391,,,790,POINT (23.6301383 37.9386391),4200
11,9,None,None,False,24.814,68,275307860,37.9374237,23.6355109,1,23.6355109,37.9374237,,,791,POINT (23.6355109 37.9374237),1400
11,10,None,None,False,328.424,70,1676386728,37.9383618,23.6393222,3,23.6393222,37.9383618,,,788,POINT (23.6393222 37.9383618),4200
11,10,None,None,False,328.424,70,251149703,37.9367632,23.6374729,3,23.6374729,37.9367632,,,792,POINT (23.6374729 37.9367632),4200
11,10,None,None,False,328.424,70,1685397273,37.9398204,23.6442773,2,23.6442773,37.9398204,,,946,POINT (23.6442773 37.9398204),2800
11,11,None,None,False,1769.32,72,274961625,37.9390416,23.6482135,3,23.6482135,37.9390416,,,941,POINT (23.6482135 37.9390416),4200
