,from,highway,lanes,length,maxspeed,oneway,osmid,to,geometry,capacity,edgeID
0,26734093,trunk_link,2.0,37.351,50,True,4380981,26734094,"LINESTRING (23.7084421 37.9143869, 23.7083886 37.9143041, 23.7083566 37.9142834, 23.7083111 37.9142645, 23.7082478 37.9142578, 23.7081936 37.9142583, 23.7080998 37.9142781)",1200,0
1,26734093,secondary,2.0,35.613,60,True,322219327,1853526831,"LINESTRING (23.7084421 37.9143869, 23.7084499 37.9143069, 23.7084345 37.9142218, 23.7084202 37.914184, 23.7083888 37.9141349, 23.7083509 37.9140833)",700,1
2,26734094,trunk,2.0,1105.99,50,True,"[655676420, 656298852, 656298856, 264492275, 398854516, 398854518, 321872377]",4015874051,"LINESTRING (23.7080998 37.9142781, 23.7080674 37.9143038, 23.7074184 37.9148188, 23.7069815 37.9151526, 23.7067332 37.9153424, 23.7065176 37.9155, 23.7064746 37.9155314, 23.7061087 37.9158198, 23.7056939 37.9161495, 23.7055077 37.9162923, 23.7054388 37.9163452, 23.7053716 37.9163994, 23.7053135 37.9164411, 23.7049771 37.9166777, 23.7047944 37.91679, 23.7046012 37.9168922, 23.7043876 37.9169919, 23.7041612 37.9170715, 23.7038485 37.917161, 23.7037609 37.9171822, 23.703656 37.9172076, 23.7034874 37.9172441, 23.703369 37.9172682, 23.7032134 37.9172942, 23.7028566 37.9173395, 23.7026609 37.9173671, 23.7023021 37.9174413, 23.7022521 37.9174581, 23.7022236 37.9174677, 23.7021353 37.9174996, 23.702049 37.9175293, 23.7019593 37.9175712, 23.7018718 37.9176177, 23.7018037 37.917665, 23.7017912 37.9176737, 23.7017562 37.9176994, 23.7017005 37.9177438, 23.7016575 37.9177848, 23.7015908 37.9178465, 23.7015075 37.9179387, 23.7014337 37.9180245, 23.7013839 37.9180939, 23.7012963 37.9182337, 23.7012034 37.9184106, 23.7011775 37.9184545, 23.7010974 37.9185916, 23.7008348 37.9190414, 23.7007431 37.9191885, 23.7006974 37.9192492, 23.7006366 37.9193336, 23.7006001 37.9193794, 23.7005209 37.9194759, 23.7004168 37.9195905, 23.7002813 37.9197181, 23.7001367 37.9198383, 23.6997363 37.9201137, 23.6996678 37.9201608, 23.6994852 37.9202933, 23.6992816 37.9204409, 23.699051 37.9205788, 23.6989919 37.9206141, 23.698965 37.9206302)",1200,2
3,1853526831,trunk,2.0,30.894,50,True,259089956,26734094,"LINESTRING (23.7083509 37.9140833, 23.7080998 37.9142781)",1200,3
4,1853526831,secondary,2.0,17.503,60,True,397727332,26734100,"LINESTRING (23.7083509 37.9140833, 23.708219 37.9139652)",700,4
5,4015874051,secondary,2.0,337.04699999999997,60,True,"[398854514, 23181083, 459369562, 459369559]",528886593,"LINESTRING (23.698965 37.9206302, 23.6989948 37.9207031, 23.6995505 37.921515, 23.6995827 37.9215586, 23.7000975 37.922354, 23.7006096 37.9232137, 23.7006343 37.9232318, 23.7006735 37.9232502, 23.7007102 37.923264, 23.7007642 37.9232742)",700,5
6,4015874051,trunk,2.0,14.93,50,True,692533375,4015874092,"LINESTRING (23.698965 37.9206302, 23.6989284 37.9206524, 23.6988927 37.9206698, 23.6988481 37.9206934, 23.6988234 37.9207044)",1200,6
7,26734100,trunk,2.0,10.161,50,True,975814129,7306564408,"LINESTRING (23.708219 37.9139652, 23.7083013 37.9139009)",1200,7
8,7306564408,secondary,2.0,17.585,60,True,859539954,565470559,"LINESTRING (23.7083013 37.9139009, 23.7084262 37.9140246)",700,8
9,7306564408,trunk,2.0,197.86100000000002,50,True,"[399009499, 897316271]",7319414843,"LINESTRING (23.7083013 37.9139009, 23.7084049 37.9138028, 23.7085271 37.9136706, 23.7086385 37.9135398, 23.7087436 37.9133949, 23.7088558 37.9132286, 23.7090484 37.9128921, 23.7092099 37.9126099, 23.7092723 37.9125087, 23.7093088 37.9124535, 23.7093889 37.9123497)",1200,9
10,26734102,secondary,2.0,1560.3020000000004,30,True,"[322062616, 385364193, 385364197, 23200229, 678774829, 259140431, 322506097, 322062612, 773852344, 974461209, 322062620, 23182557, 656078110]",250667657,"LINESTRING (23.7085677 37.9142553, 23.708502 37.9145537, 23.7084537 37.9147745, 23.7082386 37.9157502, 23.7081878 37.9159797, 23.7080416 37.9166284, 23.707995 37.9168353, 23.7079475 37.9170356, 23.707834 37.9175622, 23.707783 37.9177763, 23.7077548 37.917861, 23.7077095 37.917989, 23.7076676 37.918101, 23.7072901 37.9190089, 23.7072043 37.9192308, 23.7068401 37.9201733, 23.7067826 37.920323, 23.7065203 37.9210076, 23.7061071 37.9220821, 23.7060813 37.9221482, 23.7060392 37.9222439, 23.7059063 37.9225071, 23.7058715 37.9225772, 23.7058222 37.9226765, 23.7058042 37.9227171, 23.7057846 37.9227612, 23.7057666 37.9228023, 23.7054998 37.9234116, 23.7054761 37.9234632, 23.7050494 37.924481, 23.7048131 37.9250277, 23.7047368 37.9252133, 23.7045548 37.9256556, 23.7044867 37.9258222, 23.704133 37.9266758, 23.7039932 37.927009, 23.7037209 37.9276752, 23.7036991 37.9277225)",700,10
