fishnetID,osmid,lon,lat
4,987043356,23.746339,37.8634253
4,269596847,23.7544538,37.8644076
6,4551421701,23.7571179,37.8670427
6,6166892124,23.762807,37.8617357
8,269435993,23.7564325,37.8755687
8,5586902731,23.7589037,37.8706507
10,922263849,23.7643299,37.8735793
10,269542131,23.7643486,37.8734835
15,1836907356,23.756537,37.8756642
15,1838139883,23.7582707,37.8794639
15,360340414,23.7554508,37.8816189
15,269435574,23.7635323,37.8796748
19,269432606,23.7611614,37.889352
19,8596337363,23.7598907,37.8850398
24,3847643267,23.7612223,37.8956904
24,1836923934,23.7607347,37.8921638
26,269438278,23.766688,37.8908789
26,1845897089,23.7663303,37.8908993
29,2769048061,23.8817779,37.8911866
29,360803923,23.8810089,37.8936987
31,2769050507,23.8831713,37.8925715
31,483411311,23.8830498,37.8926232
35,8237762531,23.7114905,37.910764
35,1579808171,23.7173065,37.9062999
35,4019121947,23.7159643,37.9077645
39,11144591854,23.7451576,37.9060402
39,3895874574,23.7406406,37.9098908
39,1853124884,23.7447542,37.9112925
39,4035001465,23.7381654,37.9088633
41,1856697397,23.7536506,37.9059385
41,1856011662,23.7499045,37.9059922
41,269611886,23.7469037,37.9060229
49,8567414339,23.8741036,37.912695
49,8567414319,23.8741828,37.9129443
53,8237762303,23.7214782,37.9206203
53,9490066521,23.7211143,37.9199912
62,1856937349,23.7256281,37.9266802
62,6152410546,23.7255236,37.9268879
66,1858422314,23.7564748,37.9326228
66,1858422312,23.7562409,37.9326033
68,1668205352,23.6301383,37.9386391
68,275307860,23.6355109,37.9374237
70,1676386728,23.6393222,37.9383618
70,251149703,23.6374729,37.9367632
70,1685397273,23.6442773,37.9398204
72,274961625,23.6482135,37.9390416
72,276018604,23.6486866,37.9394419
74,446252628,23.6608832,37.9393386
74,293256647,23.661745,37.9394936
82,802432837,23.7517374,37.9343468
82,5390853181,23.7518456,37.9377628
82,3856466958,23.7506325,37.9397527
84,270466090,23.7569732,37.9334119
84,1842969827,23.7586494,37.9360712
86,272459342,23.6212207,37.9435106
86,1669712979,23.6220318,37.9418014
89,251148694,23.6424558,37.9454455
89,276018078,23.6446823,37.9402892
89,8583339902,23.6445379,37.9443103
89,251149729,23.6422552,37.9415665
91,276524408,23.6470196,37.9429641
91,10131942154,23.6523901,37.9438164
91,804297276,23.6459711,37.9471881
91,805075603,23.6502169,37.9412315
93,155521820,23.6636156,37.9441531
93,565473752,23.6580259,37.9435331
97,36410070,23.6846777,37.9427466
97,3809337571,23.6870099,37.9415399
97,8420996033,23.690574,37.9406913
102,43400613,23.7312745,37.941059
102,6145985920,23.7345387,37.9452211
105,1840022356,23.747296,37.9461258
105,3856467557,23.7504025,37.9401061
108,6321753890,23.8647125,37.9471025
108,7874942020,23.8672272,37.9417973
112,1677796434,23.6360871,37.949148
112,251150004,23.6358576,37.9486772
115,251148337,23.6509343,37.9483962
115,8064811481,23.6468599,37.9485398
115,573803596,23.6543411,37.9485348
115,804322535,23.6472149,37.9518412
117,6536640153,23.6633311,37.9512892
117,10131942146,23.6558557,37.9477929
117,3607367661,23.6572803,37.9494001
119,357217930,23.6703149,37.9536866
119,805901573,23.6651266,37.9475372
125,251114644,23.7393061,37.9488829
125,251115327,23.7373056,37.9523115
125,357483587,23.7412344,37.9506772
125,251120756,23.744853,37.9491268
129,4195166425,23.8616986,37.9518046
129,4195166421,23.861598,37.9516646
132,2410800187,23.6147224,37.9583989
132,153799143,23.6118904,37.9615455
135,251147380,23.6504775,37.956586
135,2146155915,23.649371,37.960789
137,2149932782,23.6705978,37.9571464
137,3633024100,23.6708624,37.9576845
139,828109873,23.6767636,37.9615423
139,9892016460,23.6756541,37.9587647
139,582683799,23.680543,37.9569261
139,357218402,23.6738397,37.9613787
139,638499613,23.6741918,37.9552707
143,36433261,23.7020365,37.9558904
143,2297377191,23.7020199,37.9560261
147,251115293,23.7342561,37.9590486
147,36408673,23.7352646,37.9569691
147,6164683725,23.7327547,37.9571262
147,572684539,23.7306599,37.9581819
151,6131714090,23.8574205,37.9574921
151,6131714091,23.8572387,37.9573701
154,2352582756,23.5653786,37.9634747
154,399204289,23.5653695,37.9634018
158,7871414786,23.6085057,37.9623484
158,4713303340,23.6061306,37.9673853
160,153799150,23.6135904,37.9642499
160,9046996467,23.6098404,37.96228
162,567064398,23.6453482,37.9681204
162,4179497343,23.6371208,37.9655577
162,989163704,23.6397755,37.9644828
164,365373255,23.6466286,37.9685324
164,155501630,23.6492094,37.9634113
164,5581259109,23.650605,37.9670184
169,250679203,23.7108184,37.9618154
169,819929841,23.7171252,37.961786
169,250678859,23.7154762,37.9639171
169,6939406197,23.7103465,37.9635803
173,7229807073,23.7377436,37.9686499
173,3217770292,23.744321,37.968077
175,251110819,23.7470072,37.9678015
175,6897170564,23.7496157,37.9675104
175,251110816,23.7466928,37.9659523
179,7023212209,23.7763279,37.9652511
179,5465573640,23.7755836,37.9652701
181,1305739807,23.7900657,37.9678762
181,1171066982,23.7894981,37.9650784
186,365373695,23.6449939,37.9687998
186,365374402,23.642107,37.9757708
188,357254517,23.6520235,37.9703217
188,6351359526,23.6462731,37.9692168
190,153791599,23.661159,37.9732659
190,988989347,23.6617017,37.9704233
198,251109645,23.7414658,37.9707673
198,2062506602,23.7382388,37.9689075
198,8445978240,23.7432745,37.9753413
198,250692401,23.7390757,37.9757883
200,6281867408,23.7477357,37.9750548
200,1211280648,23.7537752,37.9693119
200,2296291519,23.7525629,37.9722538
200,838712128,23.7503226,37.9751408
208,357255317,23.6545933,37.9808333
208,10151963675,23.6510684,37.9766163
208,510488924,23.6475482,37.9769314
210,365131334,23.6553779,37.9805395
