from,to,length,volume,EstimatedTT,CO2,lengthm
26734093,26734094,37.351,0.0,2.689272,0.0,0.023208828221
26734093,1853526831,35.613,770.6410052409491,2.3638409131186497,5645.186789918267,0.022128885423
26734094,4015874051,1105.99,2832.8578800254377,176.2001117753607,1072409.8870932863,0.68723011229
1853526831,26734094,30.894,2832.8578800254377,4.921858473573894,29955.995128219976,0.019196635673999998
1853526831,26734100,17.503,770.6410052409491,1.1617754051137381,2774.48415982757,0.010875856613
4015874051,528886593,337.047,51.47700690899436,20.222862782777902,3503.3193655560094,0.20943123143700001
4015874051,4015874092,14.93,2781.3808731164445,2.2863620142997556,13784.95996107453,0.00927706903
26734100,7306564408,10.161,3978.711854354323,4.1837688148152425,26681.233000829532,0.006313750731
7306564408,565470559,17.585,9.993002328759951,1.055100003169944,35.48250007852263,0.010926809035
7306564408,7319414843,197.861,3968.7188520255622,80.79600809747397,515905.87654289306,0.122945087431
26734102,250667657,1560.3020000000004,962.9916908816213,235.74879917035824,493632.44348065474,0.9695264140420002
250667657,271796951,514.4399999999999,815.5294986338747,34.97996906298498,86804.66894830532,0.31965809724
250667657,250658887,12.563,976.185658499136,0.960008373670992,2632.11956701195,0.007806283873
26735135,4019121947,513.2109999999999,3077.532139462905,99.36676663207705,628800.3571700891,0.31889443228099995
4019121947,2223147579,44.258,3077.532139462905,7.140945857880522,47082.12047619024,0.027500637718
31179466,962356923,6.341,3230.588157020264,4.949570143490328,17868.23306401496,0.003940113511
31179466,97834761,25.295,980.3441653910886,1.940051774002128,5329.5454661002805,0.015717579445
962356923,962356785,7.627,1626.194452625569,0.81047082308388,3159.1164721331957,0.004739196617
962356923,962356608,75.05,2870.6014957050043,38.21541087147498,158351.6566370519,0.04663389355
97834761,8253823131,11.855,1219.7821259973475,1.1857123478175902,3546.1597322510497,0.0073663532050000004
35487981,155589682,4141.705,3019.233210689344,155.07396584103083,2538280.1986987265,2.573535377555
155589682,5819789760,178.773,2458.908089780792,8.76248469010047,87698.48713864507,0.11108435778299999
155589682,155590467,274.856,0.0,9.894815999999999,0.0,0.170787547576
35487986,35487981,648.996,2907.144212921554,27.436439138915798,378384.0508629971,0.403267293516
35487986,1890295508,292.40100000000007,2517.360346580439,28.89515355441645,179206.36655190965,0.18168950177100004
1890295508,360201192,29.762,1170.436518709115,2.690847475812336,8066.6880563501,0.018493243702
1890295508,2342950674,42.325,1346.923827871324,3.8398464298382162,13225.534872701815,0.026299527575000002
35487995,360215100,52.668,4730.641165447675,4.213381222395942,54450.05178951379,0.032726367828
35487995,360221717,421.66600000000005,1616.271968382811,92.78127351838933,298932.7269479971,0.262011024086
360215100,35487986,2188.529,5744.575488286859,120.1470570543805,2516167.7180874352,1.359888453259
360221717,279592213,28.199,1894.512356497174,8.25866518380993,28687.412622880303,0.017522040829
35487997,155587359,199.858,1188.3419729347863,14.459805159659826,50021.24491823779,0.12418596531800001
35487997,4255803347,769.561,4770.958027782508,57.030128980227865,779425.932563058,0.478182888131
155587359,973017470,44.705,1445.904509897534,7.45734756581844,22929.688287392637,0.027778390555
4255803347,35487995,124.666,6346.9131338305015,27.82617582161517,350769.9657644205,0.07746383708599999
35488354,6362278418,225.457,1379.8979896068265,13.647111148858693,62896.25048656895,0.14009244154699999
35488354,656640164,275.427,7568.864199122402,14.93542746654889,416910.9427441078,0.17114235041700002
6362278418,6362266907,37.716,107.97074346366986,2.2629607505167257,822.2570192623685,0.023435628636000003
6362278418,6362266909,21.197,1271.9272461431574,1.27994332569162,5448.770387218466,0.013171201087
656640164,554748414,59.688,0.0,3.58128,0.0,0.037088392248
656640164,155578034,244.387,7568.864199122402,13.252238568722321,369926.022374003,0.151854994577
35488370,656656246,454.7780000000001,8045.1885306626755,229.69117659744745,2678952.8009695755,0.28258586063800006
656656246,1033243919,33.2,0.0,2.3904,0.0,0.020629517200000003
656656246,522148495,635.9749999999999,8484.416653300543,37.883750926135754,1088475.348613179,0.39517642172499995
35488386,7130927128,663.179,7866.721904803595,308.7617368360846,3671521.926783985,0.412080198409
35488386,8417397937,239.634,0.0,14.378039999999995,0.0,0.148901618214
7130927128,656663775,175.52100000000002,7866.721904803595,81.71876493557005,971727.3920179195,0.10906365929100001
35488413,3890238705,1438.824,9767.100673823865,154.61858096366805,3605561.5273690275,0.8940435077040001
3890238705,360030156,160.28900000000002,2212.070445510936,10.179305839958046,72258.1192187746,0.09959893621900001
3890238705,3890238706,212.067,7555.030228312929,85.41641842049013,1044695.6016951504,0.13177228385700002
35488433,250719484,83.007,22.36293445906424,4.980420003039762,374.81706882649445,0.051578142597000005
35488433,1292319374,755.6539999999999,7968.579660544003,100.09709609230234,1789985.4142651663,0.46954148163399995
250719484,6157566631,248.28500000000005,2317.2974338937097,144.31756941859956,448698.48351504275,0.15427709873500003
1292319374,1292305523,715.8839999999998,10675.234732495635,96.02702941756172,2293170.044004883,0.4448295569639999
35494026,155590445,272.51800000000003,0.0,16.35108,0.0,0.16933478217800002
35494026,35494028,237.577,0.0,7.77524727272727,0.0,0.147623458067
