from,to,capacity (veh/hr),length (m),Free Flow Time (min),B,Power,Speed Limit,Toll,Type
26734093,26734094,2400,37.351,0.0448212,0.15,4,0,0,F
26734093,1853526831,1400,35.613,0.035613,0.15,4,0,0,A
26734094,4015874051,2400,1105.99,1.3271879999999998,0.15,4,0,0,F
1853526831,26734094,2400,30.894,0.037072799999999996,0.15,4,0,0,F
1853526831,26734100,1400,17.503,0.017503,0.15,4,0,0,A
4015874051,528886593,1400,337.04699999999997,0.337047,0.15,4,0,0,A
4015874051,4015874092,2400,14.93,0.017915999999999998,0.15,4,0,0,F
26734100,7306564408,2400,10.161,0.0121932,0.15,4,0,0,F
7306564408,565470559,1400,17.585,0.017585000000000003,0.15,4,0,0,A
7306564408,7319414843,2400,197.86100000000002,0.23743320000000004,0.15,4,0,0,F
26734102,250667657,1400,1560.3020000000004,3.1206040000000006,0.15,4,0,0,A
250667657,271796951,1400,514.4399999999999,0.51444,0.15,4,0,0,A
250667657,250658887,1400,12.562999999999999,0.012563,0.15,4,0,0,A
26735135,4019121947,2400,513.2109999999999,0.6158531999999999,0.15,4,0,0,F
4019121947,2223147579,2400,44.258,0.044258,0.15,4,0,0,F
31179466,962356923,1800,6.341,0.006341,0.15,4,0,0,A
31179466,97834761,1400,25.295,0.025295,0.15,4,0,0,A
962356923,962356785,1800,7.627,0.007627,0.15,4,0,0,A
962356923,962356608,1800,75.05,0.07505,0.15,4,0,0,A
97834761,8253823131,1400,11.855,0.011855000000000001,0.15,4,0,0,A
35487981,155589682,6000,4141.705,2.485023,0.15,4,0,0,F
155589682,5819789760,4000,178.773,0.13407975,0.15,4,0,0,F
155589682,155590467,4000,274.856,0.1649136,0.15,4,0,0,F
35487986,35487981,4000,648.996,0.3893976,0.15,4,0,0,F
35487986,1890295508,4000,292.40100000000007,0.43860150000000014,0.15,4,0,0,F
1890295508,360201192,4000,29.762,0.044643,0.15,4,0,0,F
1890295508,2342950674,4000,42.324999999999996,0.06348749999999999,0.15,4,0,0,F
35487995,360215100,4000,52.668,0.0316008,0.15,4,0,0,F
35487995,360221717,1400,421.66600000000005,0.5059992000000001,0.15,4,0,0,A
360215100,35487986,6000,2188.529,1.3131173999999999,0.15,4,0,0,F
360221717,279592213,1400,28.199,0.028199000000000002,0.15,4,0,0,A
35487997,155587359,4000,199.858,0.2398296,0.15,4,0,0,F
