From,To,Demand,TT,Distance,Estimated?
26734093,26734094,,0.33955454545454544,33,No
26734093,1853526831,,0.4239642857142857,35,No
26734094,4015874051,,2.0943002705139766,1109,No
1853526831,26734094,,0.1593060773480663,362,No
1853526831,26734100,,0.04167380952380952,14,No
4015874051,528886593,,1.3128906130268199,522,No
4015874051,4015874092,,0.02073611111111111,12,No
26734100,7306564408,,0.016935,10,No
7306564408,565470559,,0.05328787878787879,11,No
7306564408,7319414843,,0.29531492537313436,201,No
26734102,250667657,,2.9973605709379703,1553,No
250667657,271796951,,1.3625348837209301,516,No
250667657,250658887,,0.020938333333333333,10,No
26735135,4019121947,,0.7684800130208331,512,No
4019121947,2223147579,,0.06556740740740741,45,No
31179466,962356923,,0.021136666666666665,5,No
31179466,97834761,,0.17215782422293677,311,No
962356923,962356785,,0.0527160294117647,340,No
962356923,962356608,,0.36883547008547,78,No
97834761,8253823131,,0.08476568930041152,324,No
35487981,155589682,,2.3170610762295736,4141,No
155589682,5819789760,,0.2163918994413408,179,No
155589682,155590467,,0.15046861313868612,274,No
35487986,35487981,,0.40061481481481487,648,No
35487986,1890295508,,0.28275409556314,293,No
1890295508,360201192,,0.24801666666666666,32,No
1890295508,2342950674,,0.2146920289855072,805,No
35487995,360215100,,0.033124528301886794,53,No
35487995,360221717,,1.352762597809077,426,No
360215100,35487986,,1.1809208010335916,2193,No
360221717,279592213,,0.09723793103448276,29,No
35487997,155587359,,0.44968050000000004,200,No
35487997,4255803347,,0.532337916126243,771,No
155587359,973017470,,0.23180370370370368,45,No
4255803347,35487995,,0.08657361111111112,120,No
35488354,6362278418,,1.1752897944199707,227,No
35488354,656640164,,0.38253750000000003,276,No
6362278418,6362266907,,0.15107237569060772,724,No
6362278418,6362266909,,0.4147239130434782,23,No
656640164,554748414,,0.0829,60,No
656640164,155578034,,0.18213123306233062,246,No
35488370,656656246,,0.6981241228070176,456,No
656656246,1033243919,,0.06707070707070707,33,No
656656246,522148495,,0.9848431758530181,635,No
35488386,7130927128,,1.0200181290973271,661,No
35488386,8417397937,,0.34515185185185177,243,No
7130927128,656663775,,0.2793873595505618,178,No
35488413,3890238705,,2.4030463465553233,1437,No
3890238705,360030156,,0.3156119727510265,1786,No
3890238705,3890238706,,0.33343867924528303,212,No
35488433,250719484,,0.1152875,84,No
35488433,1292319374,,1.749199074074074,756,No
250719484,6157566631,,2.92491030789826,249,No
1292319374,1292305523,,1.6474317991631795,717,No
35494026,155590445,,0.20640501573716605,21499,No
35494026,35494028,,0.11695070323488045,237,No
155590445,273144715,,0.310685294117647,68,No
155590445,273144904,,0.06035789473684211,19,No
35494028,3185121653,,1.5675000337952008,2959,No
3185121653,6565988988,,0.23102380952380955,49,No
3185121653,920605603,,0.19948319999999997,375,No
35494135,250718884,,0.19983517241379312,290,No
250718884,303118728,,6.172821895424838,2703,No
250718884,360033064,,0.3832689413823271,381,No
35783718,11144591854,,1.08074069579288,412,No
35783718,269789232,,0.5999106569343065,685,No
11144591854,269789232,,0.3817379496402878,278,No
11144591854,1814558984,,0.1542681017612524,3066,No
269789232,1791899091,,1.200781308411215,963,No
35783729,857762852,,0.8388638799571274,311,No
857762852,857762845,,0.03931976744186047,2322,No
857762852,269435993,,1.3853833039129155,1133,No
35783818,1836907356,,0.019485416666666665,8,No
35783818,595396384,,0.09113946078431373,544,No
1836907356,269435993,,0.10793846153846154,26,No
1836907356,6148108990,,0.03506825396825397,21,No
595396384,1838139881,,0.9611993506493505,462,No
35783822,269611382,,0.7967709704641348,395,No
35783822,1839092288,,0.8026107883817428,482,No
1839092288,2220086580,,0.9925446428571427,560,No
35783852,1433501810,,0.941842391304348,92,No
35783852,251114644,,4.549656230031949,939,No
1433501810,251118981,,0.34831562499999996,208,No
251114644,251114641,,0.29937545454545456,110,No
251114644,251120756,,1.6313443802183687,519,No
35839639,936804372,,1.077795355902778,768,No
35839639,9599972982,,0.2273216814159292,113,No
936804372,153882165,,0.48259774236387787,753,No
9599972982,35839642,,0.004293,5,Yes
35839642,6438628884,,0.3166085850111857,1192,No
35839642,549778901,,0.20101076923076922,130,No
6438628884,5986351135,,0.04039333333333333,20,No
549778901,559938954,,0.5174540666666666,250,No
35839651,2193136851,,0.1179074074074074,36,No
2193136851,35840949,,0.16553508771929823,76,No
2193136851,6438628880,,0.2561110592938041,1501,No
35840949,2129295815,,0.331494434913146,4663,No
2129295815,3341990005,,1.2868495872033026,646,No
36243586,593856615,,1.45149858463316,1731,No
593856615,36243605,,1.4773269220945082,1305,No
593856615,593857414,,0.2652583668005355,249,No
36243605,36243620,,1.499629820051414,2334,No
36243620,7143543569,,0.39750844854070655,651,No
7143543569,7886828688,,0.032963440860215056,62,No
7143543569,2283362149,,0.5950988429752067,605,No
36243712,1023035604,,0.3962031088082902,579,No
1023035604,593858839,,1.5819659387446776,2427,No
1023035604,2283543290,,2.073386703278415,2003,No
36243764,593859983,,0.882284375,1360,No
593859983,36454255,,1.2444763245956494,3586,No
593859983,1021379624,,0.969376046074283,8508,No
36244146,3125678488,,0.19956455026455025,378,No
3125678488,3110974384,,1.2642730666666666,2375,No
36245103,36243712,,0.18775777777777777,255,No
36408673,251115327,,1.030795090909091,550,No
251115327,251115396,,1.3521435185185184,648,No
843140000,6164683725,,0.40477499999999994,52,No
36409556,353810584,,0.8453773524720893,209,No
36409556,572684538,,0.6660825163398694,102,No
353810584,4379808487,,0.34038333333333337,66,No
572684538,2987587354,,0.20016,15,No
572684538,353810584,,0.42902846715328463,137,No
36410070,4589122844,,0.028494871794871795,13,No
36410070,250661243,,0.05072878787878789,33,No
4589122844,250658611,,0.03318958333333333,16,No
250661243,250661254,,0.7973140625,512,No
1139280353,36431216,,0.5823452380952382,49,No
36431216,36433261,,0.037096969696969705,11,No
36431216,805922209,,4.930213470533209,2138,No
36433261,2297377185,,0.017029629629629627,9,No
36433261,1703676999,,0.17151773049645386,47,No
805922209,250661243,,0.13854722703639516,577,No
805922209,36410070,,0.26669999999999994,25,No
36431576,1668185475,,0.2158535580524345,267,No
36431576,155553203,,0.08408106060606059,110,No
1668185475,2713491520,,0.36358205819730305,7045,No
1668185475,8446553849,,1.2384902263374489,486,No
155553203,5553900572,,1.0036767676767677,792,No
155553203,4450647527,,0.3325140961857379,201,No
36433031,6527770683,,0.19968744939271255,247,No
6527770683,6374431743,,0.8831301147495101,1191,No
2297377185,2297377191,,0.06722238027501186,703,No
2297377185,250679203,,3.0365969276511406,1009,No
1703676999,2297377185,,0.6763779761904761,56,No
36437800,1853124884,,0.047525000000000005,38,No
36437800,1814559079,,0.05743125,16,No
1853124884,7821866280,,0.09892179487179488,78,No
1814559079,1814559083,,0.02177916666666667,8,No
36438216,36437800,,0.04570140970735189,934,No
36438216,1855997036,,1.7486746161719549,977,No
1855997036,6182105600,,0.03412854511970534,543,No
36449832,6895395567,,0.038254166666666665,8,No
36449832,251107464,,5.39822013888889,1152,No
6895395567,2297220922,,0.06029777777777778,15,No
251107464,251107673,,0.035276666666666665,10,No
251107464,251115293,,1.631744626593807,915,No
36453043,36243586,,0.6415578000000001,750,No
36453043,36454255,,0.36755363570914323,463,No
36454255,1305739807,,0.16476941747572815,206,No
36453073,5722322209,,0.04756851851851852,27,No
