,from,highway,lanes,length,maxspeed,name,oneway,osmid,to,capacity,geometry
0,715515,secondary,3,12.732,60,Roscommon Road,1,621316576,316385338,700,"LINESTRING (174.85523 -37.0059175, 174.8553016 -37.0060167)"
1,715515,secondary,2,76.196,60,Wiri Station Road,1,626757668,316384054,700,"LINESTRING (174.85523 -37.0059175, 174.8560045 -37.0056225)"
2,316384051,secondary,3,63.714,80,Roscommon Road,1,398435905,715515,700,"LINESTRING (174.8549498 -37.00539, 174.85523 -37.0059175)"
3,316385126,secondary,2,13.733,60,Wiri Station Road,1,28773906,715515,700,"LINESTRING (174.8550882 -37.0059668, 174.85523 -37.0059175)"
4,316385338,secondary,2,19.26,60,Roscommon Road,1,28774175,316386429,700,"LINESTRING (174.8553016 -37.0060167, 174.8553885 -37.0061754)"
5,316385338,secondary,2,15.638,60,Wiri Station Road,1,626757669,316385339,700,"LINESTRING (174.8553016 -37.0060167, 174.8551358 -37.0060641)"
6,316385337,secondary,2,58.608,60,Wiri Station Road,1,621316572,316385338,700,"LINESTRING (174.8559051 -37.0058033, 174.8553016 -37.0060167)"
7,316384054,secondary,3,203.991,60,Wiri Station Road,1,"[398435908, 621316567]",6685551436,700,"LINESTRING (174.8560045 -37.0056225, 174.8566373 -37.0054086, 174.8581172 -37.0049021)"
8,316384051,secondary_link,1,106.89,80,Wiri Station Road,1,28773871,316384054,700,"LINESTRING (174.8549498 -37.00539, 174.8551922 -37.0055869, 174.8552864 -37.0056393, 174.8553917 -37.0056762, 174.8554809 -37.0056939, 174.8555614 -37.0056996, 174.8557102 -37.0056891, 174.8558577 -37.0056602, 174.8560045 -37.0056225)"
9,715702,"['motorway_link', 'primary']",1,428.913,100,Onehunga Harbour Road,1,"[8013830, 335081514, 373848787, 847810457, 117599453]",60483962,2000,"LINESTRING (174.7821429 -36.9297752, 174.782097 -36.9296835, 174.7820666 -36.9295749, 174.7820599 -36.9295511, 174.7820391 -36.9294235, 174.781996 -36.929339, 174.7819296 -36.9292009, 174.7818662 -36.9290842, 174.781722 -36.9288903, 174.781564 -36.9287113, 174.7813698 -36.9285455, 174.7810695 -36.9283315, 174.7809999 -36.9282841, 174.7807044 -36.9281238, 174.7805 -36.9280021, 174.780216 -36.9278504, 174.779719 -36.9276045, 174.7790077 -36.9272561, 174.7788704 -36.927133)"
10,1164491436,primary,2,32.274,50,Onehunga Harbour Road,0,"[715212867, 620945334]",715702,900,"LINESTRING (174.7821676 -36.9300647, 174.7821594 -36.9299334, 174.7821564 -36.9298863, 174.7821429 -36.9297752)"
11,26107323,motorway_link,1,60.773,50,,1,117599452,715702,2000,"LINESTRING (174.7828165 -36.929686, 174.7825466 -36.9297096, 174.7823046 -36.9297546, 174.7822357 -36.9297633, 174.7821429 -36.9297752)"
12,60483962,motorway,4,567.0790000000001,100,Southwestern Motorway,1,606514512,59946163,2000,"LINESTRING (174.7788704 -36.927133, 174.7779721 -36.9267054, 174.7775512 -36.9264926, 174.7764561 -36.9259188, 174.7760266 -36.9256923, 174.7755661 -36.9254356, 174.7742114 -36.9246682, 174.7735511 -36.924321)"
13,59963391,motorway,3,733.926,100,Southwestern Motorway,1,"[117599446, 477992423]",60483962,2000,"LINESTRING (174.7858277 -36.93067, 174.7852281 -36.930264, 174.7850009 -36.9301265, 174.7847537 -36.9299867, 174.7840609 -36.929612, 174.7833989 -36.9292915, 174.7826116 -36.9289054, 174.781282 -36.9282545, 174.7806848 -36.9279722, 174.7801253 -36.9277131, 174.7788704 -36.927133)"
14,26107306,primary,2,1125.6650000000004,50,"['Onehunga Harbour Road', 'Onehunga Mall']",0,"[620960873, 633127501, 7634320, 373848786, 373848788, 620945333, 417200472, 684822041, 558293211, 22664572]",1164491436,900,"LINESTRING (174.7858567 -36.9264533, 174.7858869 -36.9266765, 174.7859129 -36.9268681, 174.785958 -36.9272009, 174.7859653 -36.927255, 174.7859852 -36.9274011, 174.7860362 -36.927778, 174.7860705 -36.9280308, 174.7860903 -36.9281003, 174.7861288 -36.9281608, 174.786325 -36.928411, 174.7863982 -36.9285042, 174.7869343 -36.9291876, 174.7871469 -36.9294463, 174.7873225 -36.9296552, 174.7873789 -36.9297311, 174.7874702 -36.929845, 174.7875353 -36.9299237, 174.7876052 -36.9300262, 174.7876301 -36.9300833, 174.7876544 -36.9301456, 174.7876807 -36.9302318, 174.7876877 -36.9303253, 174.7876788 -36.9303923, 174.787664 -36.9304612, 174.7876391 -36.9305315, 174.7876167 -36.930579, 174.7875864 -36.9306329, 174.787553 -36.9306839, 174.7874835 -36.9307784, 174.7873269 -36.9309574, 174.7871945 -36.9310776, 174.787131 -36.9311239, 174.7871116 -36.9311381, 174.7869979 -36.9312121, 174.7868017 -36.9313256, 174.7866413 -36.9313849, 174.7864909 -36.9314343, 174.7863642 -36.9314713, 174.7862389 -36.9314988, 174.7860566 -36.9315281, 174.7858602 -36.9315526, 174.7857388 -36.9315643, 174.7855073 -36.9315865, 174.7852592 -36.931593, 174.7849769 -36.9315903, 174.7848514 -36.9315831, 174.7846079 -36.9315692, 174.7841916 -36.9315459, 174.7839657 -36.9315221, 174.7836886 -36.9314923, 174.7834385 -36.9314503, 174.7833058 -36.9314168, 174.7831917 -36.9313855, 174.7830403 -36.9313385, 174.7829645 -36.9312995, 174.782845 -36.931238, 174.7827559 -36.9311893, 174.7826768 -36.9311324, 174.782565 -36.9310436, 174.782478 -36.9309571, 174.7823952 -36.9308639, 174.7823197 -36.9307551, 174.7822883 -36.9307005, 174.7822642 -36.9306397, 174.7822287 -36.9305445, 174.7822025 -36.9304399, 174.7821706 -36.930257, 174.7821676 -36.9300647)"
15,26107323,motorway_link,1,75.96899999999998,50,,1,100737660,1164491436,2000,"LINESTRING (174.7828165 -36.929686, 174.782584 -36.929731, 174.7824596 -36.92977, 174.782404 -36.929796, 174.7823416 -36.9298365, 174.7822772 -36.9298965, 174.7822343 -36.9299459, 174.7822021 -36.9300016, 174.7821676 -36.9300647)"
16,715705,primary,1,13.264,50,Gloucester Park Road,1,117599450,2271475319,900,"LINESTRING (174.782568 -36.9267566, 174.78258 -36.9268755)"
17,3108466062,primary,3,24.389000000000003,50,Neilson Street,0,4077500,715705,900,"LINESTRING (174.7828395 -36.9267249, 174.7827302 -36.9267377, 174.782568 -36.9267566)"
18,25480933,motorway_link,1,624.9170000000001,50,Southwestern Motorway,1,"[620945339, 620945340, 4309879]",715705,2000,"LINESTRING (174.7760655 -36.9255654, 174.7778101 -36.9262948, 174.7781144 -36.9264294, 174.7784347 -36.9265838, 174.7787488 -36.9267704, 174.7789375 -36.9268672, 174.7790538 -36.9269281, 174.7792041 -36.9269823, 174.7793377 -36.9270203, 174.7794712 -36.9270489, 174.7796253 -36.9270683, 174.7797582 -36.9270736, 174.7798935 -36.9270642, 174.780028 -36.9270437, 174.7801794 -36.9270134, 174.7804221 -36.9269529, 174.7805964 -36.9269114, 174.780742 -36.9268859, 174.7809744 -36.9268623, 174.7812443 -36.9268492, 174.7815567 -36.926834, 174.7818267 -36.9268352, 174.7820099 -36.9268286, 174.782442 -36.926783, 174.782568 -36.9267566)"
19,3618319309,primary,1,45.327,50,Gloucester Park Road,1,356370853,715705,900,"LINESTRING (174.7824011 -36.9271349, 174.7824141 -36.9270111, 174.7824489 -36.9269339, 174.7824814 -36.9268795, 174.782568 -36.9267566)"
20,2271475319,primary,3,33.244,50,Gloucester Park Road,1,217844827,3618319309,900,"LINESTRING (174.78258 -36.9268755, 174.7825409 -36.92696, 174.7825066 -36.9270234, 174.7824011 -36.9271349)"
21,3108466062,primary,3,29.062000000000005,50,Neilson Street,1,306061200,2271475319,900,"LINESTRING (174.7828395 -36.9267249, 174.7827275 -36.9267643, 174.782687 -36.9267833, 174.7826407 -36.9268176, 174.78258 -36.9268755)"
22,26107313,primary,6,66.903,50,Neilson Street,0,"[620945337, 450027595]",3108466062,900,"LINESTRING (174.7835851 -36.9266427, 174.7834532 -36.9266572, 174.7831143 -36.9266946, 174.7828395 -36.9267249)"
23,1713769187,primary,4,1727.2530000000004,50,Neilson Street,0,"[129080705, 617079042, 159429954, 617079045, 159429958, 617079047, 616998533, 617079050, 617079052, 617079054]",715723,900,"LINESTRING (174.8125916 -36.9213056, 174.8123416 -36.9216997, 174.8118918 -36.9224192, 174.8115696 -36.9229032, 174.810573 -36.9242961, 174.8104609 -36.9244164, 174.8103394 -36.9245468, 174.8103003 -36.9245887, 174.8101319 -36.9247694, 174.8099001 -36.9249409, 174.8098263 -36.924995, 174.8097526 -36.9250358, 174.8096067 -36.9251098, 174.8095224 -36.9251541, 174.8089962 -36.9254106, 174.808787 -36.9254783, 174.8085728 -36.9255112, 174.8082444 -36.9255228, 174.8079634 -36.9254992, 174.8075852 -36.9254675, 174.8069252 -36.9254214, 174.8067215 -36.925433, 174.8065647 -36.925442, 174.8064257 -36.9254577, 174.8063368 -36.9254679, 174.8056265 -36.925541, 174.8055879 -36.9255462, 174.8052324 -36.9255877, 174.8050135 -36.92561, 174.8047211 -36.9256433, 174.8034429 -36.9257761, 174.8031295 -36.9258087, 174.80244 -36.9258803, 174.8020808 -36.9259198, 174.801991 -36.9259297, 174.8010723 -36.9260363, 174.8002571 -36.9261276, 174.7995127 -36.9262095, 174.7981535 -36.9263588, 174.7980323 -36.9263723, 174.7972586 -36.9264574, 174.7971214 -36.9264725, 174.7960764 -36.9265874)"
24,715723,primary,3,34.833,50,Neilson Street,1,"[617015978, 617015983]",3518391415,900,"LINESTRING (174.7960764 -36.9265874, 174.7960105 -36.9266245, 174.7959621 -36.9266415, 174.7959204 -36.9266467, 174.7958737 -36.9266512, 174.7957054 -36.9266376)"
25,5724205757,primary,3,579.7679999999999,50,Neilson Street,1,"[620960865, 620960866, 129080706, 617015973, 617015976, 617218425]",715723,900,"LINESTRING (174.7896704 -36.9265265, 174.7909302 -36.9264261, 174.7914659 -36.9263834, 174.7917428 -36.9263613, 174.7925845 -36.9262942, 174.7934769 -36.9262259, 174.7941481 -36.9261746, 174.7942269 -36.9261687, 174.7943051 -36.9261666, 174.794351 -36.9261678, 174.794386 -36.926169, 174.7944398 -36.926173, 174.7945149 -36.9261834, 174.7945778 -36.9261948, 174.7945998 -36.9261997, 174.794672 -36.9262158, 174.7947148 -36.9262273, 174.7948007 -36.9262526, 174.79487 -36.9262745, 174.7949634 -36.9263081, 174.7951824 -36.9263859, 174.795284 -36.9264315, 174.7953901 -36.9264721, 174.79549 -36.9265031, 174.7955932 -36.9265265, 174.7957042 -36.9265463, 174.7959044 -36.9265586, 174.7960764 -36.9265874)"
26,1713769187,primary,2,97.34,50,Neilson Street,1,159429956,1713769148,900,"LINESTRING (174.8125916 -36.9213056, 174.8126551 -36.9211448, 174.8127046 -36.9210574, 174.812817 -36.920877, 174.8130511 -36.920513)"
27,1713769165,primary_link,2,254.74599999999995,50,,1,"[617074201, 159272313]",1713769187,900,"LINESTRING (174.8147222 -36.9200283, 174.8141206 -36.920164, 174.813737 -36.9202155, 174.8136082 -36.9202327, 174.813497 -36.9202657, 174.8134562 -36.9202836, 174.8134155 -36.9203026, 174.8133733 -36.9203282, 174.8133406 -36.9203516, 174.8133065 -36.9203783, 174.8132633 -36.9204203, 174.8132186 -36.920474, 174.8131443 -36.9205809, 174.8130738 -36.9206838, 174.8128407 -36.9210028, 174.8127338 -36.9211436, 174.8125916 -36.9213056)"
28,3518391415,primary_link,1,54.221999999999994,50,,1,345143982,3518391413,900,"LINESTRING (174.7957054 -36.9266376, 174.7956457 -36.9266564, 174.795606 -36.9266614, 174.795574 -36.9266619, 174.7954159 -36.9266318, 174.7952999 -36.9266091, 174.7951985 -36.9266016, 174.7951147 -36.9266275)"
29,3518391415,primary,3,495.10300000000007,50,Neilson Street,1,"[620960864, 617015970, 617015971, 129080703, 617015980, 624539958, 620960863]",5724205758,900,"LINESTRING (174.7957054 -36.9266376, 174.7956182 -36.9266339, 174.7955625 -36.9266291, 174.7955096 -36.9266185, 174.7954134 -36.9265949, 174.7952654 -36.9265434, 174.7951863 -36.9265115, 174.7950632 -36.9264584, 174.7950403 -36.9264488, 174.7949417 -36.9264109, 174.7948067 -36.9263618, 174.7947529 -36.9263456, 174.7946317 -36.9263094, 174.794484 -36.9262793, 174.7943488 -36.9262671, 174.7942185 -36.9262643, 174.794048 -36.9262797, 174.793076 -36.9263607, 174.7926566 -36.9263956, 174.7924968 -36.926409, 174.7902476 -36.9265929)"
30,1713769165,primary,4,127.00399999999999,50,Church Street,0,4077501,715742,900,"LINESTRING (174.8147222 -36.9200283, 174.813904 -36.9200947, 174.8133011 -36.9201456)"
31,1713769200,secondary,4,50.801,50,Church Street,0,816595791,715742,700,"LINESTRING (174.8127346 -36.9202056, 174.8131693 -36.9201594, 174.8133011 -36.9201456)"
32,1713769148,primary,2,46.507,50,Neilson Street,1,617074203,715742,900,"LINESTRING (174.8130511 -36.920513, 174.813235 -36.9202437, 174.8133011 -36.9201456)"
33,715746,primary,5,329.06000000000006,50,Church Street,0,"[159429947, 159429948]",1713769165,900,"LINESTRING (174.8183925 -36.9196448, 174.8183786 -36.9196463, 174.8154456 -36.9199473, 174.8147222 -36.9200283)"
34,5833472100,secondary,4,217.03,50,Church Street,0,"[162324685, 617074206]",1713769200,700,"LINESTRING (174.8103163 -36.9204722, 174.8105718 -36.9204502, 174.8120333 -36.9202901, 174.8127346 -36.9202056)"
35,1713769148,primary_link,1,59.66,50,,1,159272315,1713769200,900,"LINESTRING (174.8130511 -36.920513, 174.8131067 -36.9203828, 174.813112 -36.920357, 174.8131013 -36.9203163, 174.8130825 -36.9202863, 174.8130567 -36.9202636, 174.8130396 -36.920252, 174.8129913 -36.9202369, 174.8127346 -36.9202056)"
36,715746,primary,3,89.505,50,Church Street,1,"[81209413, 617233175]",1691789283,900,"LINESTRING (174.8183925 -36.9196448, 174.8184904 -36.9195952, 174.818544 -36.9195855, 174.8186335 -36.9195786, 174.8187504 -36.9195697, 174.8188211 -36.9195625, 174.8190025 -36.919545, 174.8190604 -36.9195376, 174.8193736 -36.919504)"
37,1691791970,primary,2,107.637,50,Church Street,1,149333712,715746,900,"LINESTRING (174.8195837 -36.9195904, 174.8191432 -36.9196316, 174.8187789 -36.9196603, 174.8185411 -36.9196796, 174.8184324 -36.9196729, 174.8183925 -36.9196448)"
38,1691789283,primary_link,1,55.766000000000005,50,,1,156939395,1691789280,900,"LINESTRING (174.8193736 -36.919504, 174.8194831 -36.919445, 174.8195065 -36.9194284, 174.8195348 -36.919408, 174.8195557 -36.9193878, 174.8195676 -36.9193673, 174.8195776 -36.9193415, 174.8195804 -36.9193163, 174.8195836 -36.9192911, 174.8195763 -36.9192617, 174.8195635 -36.9192354, 174.8194934 -36.91909)"
39,1691789283,primary,3,79.619,50,"['Church Street', 'South Eastern Highway']",1,"[617233171, 149333711]",1691791976,900,"LINESTRING (174.8193736 -36.919504, 174.8196861 -36.9194757, 174.8197899 -36.9194706, 174.8202531 -36.9193791)"
