fishnetid,CO2,CO2psqkm
0,3738227.917832993,264285.48329689534
1,14896460.480937595,1053150.9432141378
2,4198464.634671737,2671409.9427155685
3,5030984.425411335,3201127.7895977376
4,2525831.2905630236,1607142.4700168648
5,2169035.5054728845,1379906.9605983247
6,2874689.920300365,1828833.4241534185
7,7669892.922940719,4879467.673408194
9,9572442.397112777,6088902.778504554
10,6715175.663002491,474749.93085703626
11,1379176.4732754764,97460.08236346174
12,3170924.2639524853,224074.6894405502
13,13679821.361804834,966690.2985029691
14,14621849.641375475,1033259.120908075
15,13618942.699801238,3849553.1075115413
16,9806640.74738984,2771961.4654052355
17,7791661.173500105,2201895.8769326406
18,4424808.326527339,1250435.1759476308
19,10459162.133704683,739101.0670172718
20,2339350.412107386,165234.93399076196
21,14113381.659945995,996868.0514456856
22,13417284.907701766,947700.7696603162
23,19267189.829782426,1360896.0945879242
24,23841476.021519303,1683990.861851798
25,3852779.5436159796,1088530.844520918
26,14085427.202786578,3979574.173650884
27,13271143.765989652,3748649.7004626896
28,12006451.616277887,3391416.900364809
29,12216262.469530249,862869.1590273537
30,11898937.43548335,840455.5946536912
31,9152357.635854986,646159.1324951448
32,13617221.98170482,961379.8643768522
33,36926163.59732313,2606997.9764499404
34,28767424.610996332,2030988.6119318812
35,17886856.00445372,5051269.084006912
36,19899059.812017098,5619517.795887074
37,19235533.522849344,5430887.197460797
38,7641356.6681624865,2157431.508263757
39,15869209.132959018,1120370.8175213293
40,2071917.9640741358,146278.0157346145
41,2191820.8264483246,154743.19297286222
42,16492307.970445065,1163826.1447048653
43,11995199.538114615,846475.0269288153
44,3026210.0785495955,213553.03424462661
45,2674797.335079918,1698791.4301767393
46,20197353.74695187,12827548.094024291
47,13781944.872521896,8753055.617899774
49,12710152.054542636,8071111.964205531
50,4146012.274697171,2632771.750522969
51,12455206.207113927,7908006.587897896
52,15570181.139720554,9885753.232822163
54,10596151.402550528,747747.2563354416
55,6507363.007139339,459210.3915571576
56,1920441.1403178396,135521.33591445515
57,10841677.352494786,764721.9839359794
59,3693770.5835169167,260541.56354149588
60,24797559.28879281,1749105.6152598232
61,507984.17797331593,35830.86415115015
63,12169734.504626626,858003.1435131128
64,11546081.443063715,814033.7136892376
65,8046140.941792202,2269109.216601715
66,12407164.454756219,3498970.6767272376
67,14489573.658057133,4085298.6060428233
68,3714560.9397801934,1047311.0518947452
69,3135492.158006029,221061.69423899887
70,9053442.172966022,2552010.3374960097
71,8546303.541395927,2409056.6403734866
72,6109432.487410168,1721750.1491657062
73,8496836.220456764,2394564.3167602182
74,12620856.82026673,889400.8665599757
75,270573.3182909426,19058.76977238305
76,7079102.871771482,498641.1545691161
77,2207173.4608871182,155469.91515818523
