<NUMBER OF ZONES> 113,,,,,,,,,
<NUMBER OF NODES> 13431,,,,,,,,,
<FIRST THRU NODE> 0,,,,,,,,,
<NUMBER OF LINKS> 10540,,,,,,,,,
<END OF METADATA>,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
from,to,capacity (veh/hr),length (m),Free Flow Time (min),B,Power,Speed Limit,Toll,Type
300306311,4064369091,700,11.603,0.0139236,0.15,4,0,0,A
300306309,59816906,700,35.907,0.0430884,0.15,4,0,0,A
59816906,300306311,700,35.599,0.0427188,0.15,4,0,0,A
300306313,300306309,700,19.048,0.0228576,0.15,4,0,0,A
4064369091,59816909,700,34.204,0.0410448,0.15,4,0,0,A
59816916,59816909,1400,356.845,0.428214,0.15,4,0,0,A
59816909,300306313,700,32.265,0.038718,0.15,4,0,0,A
5709735373,59816025,2700,25.404,0.0304848,0.15,4,0,0,A
5709735375,59816025,3600,29.029,0.0348348,0.15,4,0,0,A
5832485187,5832483680,3600,448.421,0.5381052,0.15,4,0,0,A
5832483680,5832483678,900,44.648,0.0535776,0.15,4,0,0,A
110200445,5709735375,3600,694.621,0.8335452,0.15,4,0,0,A
5709735375,5709735373,900,35.306,0.0423672,0.15,4,0,0,A
5709735371,59816025,2800,31.114,0.0373368,0.15,4,0,0,A
5709735377,59816025,3500,36.547,0.0438564,0.15,4,0,0,A
300298616,5709735377,2800,35.399,0.0424788,0.15,4,0,0,A
59816096,5709735373,4500,1591.146,1.9093752,0.15,4,0,0,A
5709735373,5709735371,900,36.112,0.0433344,0.15,4,0,0,A
5709735377,5709735375,900,49.326,0.0591912,0.15,4,0,0,A
5816233354,59816096,2100,854.092,1.0249104,0.15,4,0,0,A
6337682866,59816096,4500,612.196,0.7346352,0.15,4,0,0,A
3979296372,5709735371,2100,71.879,0.0862548,0.15,4,0,0,A
5709735371,5709735377,900,54.888,0.0658656,0.15,4,0,0,A
4519795041,4519795042,700,30.22,0.036264,0.15,4,0,0,A
3343187405,4519795042,2800,1386.558,1.6638696,0.15,4,0,0,A
4519795026,4519795058,2800,20.014,0.0240168,0.15,4,0,0,A
4519795058,4519795050,700,35.126,0.0421512,0.15,4,0,0,A
5700429269,6512504897,4500,8.878,0.0106536,0.15,4,0,0,A
6512504894,59817142,1400,20.777,0.0249324,0.15,4,0,0,A
3278120141,59817142,4500,199.741,0.2396892,0.15,4,0,0,A
6512504897,59817142,4500,19.024,0.0228288,0.15,4,0,0,A
4519795027,6512504894,2800,776.035,0.931242,0.15,4,0,0,A
5700428481,3278120141,1800,66.531,0.0798372,0.15,4,0,0,A
3278120141,59817613,2700,82.649,0.0991788,0.15,4,0,0,A
6512504894,6512504897,1400,32.489,0.0389868,0.15,4,0,0,A
4576575016,6227220670,1800,12.634,0.0151608,0.15,4,0,0,A
5700428484,5700428481,900,36.257,0.0435084,0.15,4,0,0,A
4576575016,59817613,3600,311.516,0.3738192,0.15,4,0,0,A
59817613,5700428481,1800,18.572,0.0222864,0.15,4,0,0,A
300306505,300306509,700,35.61,0.042732,0.15,4,0,0,A
300306511,59816916,700,24.194,0.0290328,0.15,4,0,0,A
59816916,300306505,700,22.996,0.0275952,0.15,4,0,0,A
4064369091,300306313,700,8.21,0.009852,0.15,4,0,0,A
300306509,59816917,700,22.754,0.0273048,0.15,4,0,0,A
6224346306,59816917,1400,445.807,0.5349684,0.15,4,0,0,A
59816917,300306510,700,23.373,0.0280476,0.15,4,0,0,A
300306511,300306505,700,12.435,0.014922,0.15,4,0,0,A
