,osmid,y,x,highway,street_cou,lon,lat,ref,geometry
0,715515,-37.0059175,174.85523,traffic_signals,4,174.85523,-37.0059175,,POINT (174.85523 -37.0059175)
1,316385338,-37.0060167,174.8553016,traffic_signals,4,174.8553016,-37.0060167,,POINT (174.8553016 -37.0060167)
2,316384054,-37.0056225,174.8560045,,3,174.8560045,-37.0056225,,POINT (174.8560045 -37.0056225)
3,715702,-36.9297752,174.7821429,,3,174.7821429,-36.9297752,,POINT (174.7821429 -36.9297752)
4,60483962,-36.927133,174.7788704,,3,174.7788704,-36.927133,,POINT (174.7788704 -36.927133)
5,1164491436,-36.9300647,174.7821676,,3,174.7821676,-36.9300647,,POINT (174.7821676 -36.9300647)
6,715705,-36.9267566,174.782568,,4,174.782568,-36.9267566,,POINT (174.782568 -36.9267566)
7,2271475319,-36.9268755,174.78258,,3,174.78258,-36.9268755,,POINT (174.78258 -36.9268755)
8,3108466062,-36.9267249,174.7828395,,3,174.7828395,-36.9267249,,POINT (174.7828395 -36.9267249)
9,715723,-36.9265874,174.7960764,,3,174.7960764,-36.9265874,,POINT (174.7960764 -36.9265874)
10,1713769187,-36.9213056,174.8125916,,3,174.8125916,-36.9213056,,POINT (174.8125916 -36.9213056)
11,3518391415,-36.9266376,174.7957054,,3,174.7957054,-36.9266376,,POINT (174.7957054 -36.9266376)
12,715742,-36.9201456,174.8133011,traffic_signals,3,174.8133011,-36.9201456,,POINT (174.8133011 -36.9201456)
13,1713769165,-36.9200283,174.8147222,,3,174.8147222,-36.9200283,,POINT (174.8147222 -36.9200283)
14,1713769200,-36.9202056,174.8127346,,3,174.8127346,-36.9202056,,POINT (174.8127346 -36.9202056)
15,715746,-36.9196448,174.8183925,,3,174.8183925,-36.9196448,,POINT (174.8183925 -36.9196448)
16,1691789283,-36.919504,174.8193736,,3,174.8193736,-36.919504,,POINT (174.8193736 -36.919504)
17,715753,-36.9161208,174.8252671,,3,174.8252671,-36.9161208,,POINT (174.8252671 -36.9161208)
18,344574828,-36.915398,174.8258383,,3,174.8258383,-36.915398,,POINT (174.8258383 -36.915398)
19,344574832,-36.9156536,174.8263516,,4,174.8263516,-36.9156536,,POINT (174.8263516 -36.9156536)
