From,To,Demand,TT,Distance
300306311,4064369091,,0.027626190476190474,14
300306309,59816906,,0.0683942857142857,35
59816906,300306311,,0.21266470883534133,664
300306313,300306309,,0.047619999999999996,20
4064369091,59816909,,0.048862857142857145,35
59816916,59816909,,0.4831234827264239,357
59816909,300306313,,0.06518181818181819,33
5709735373,59816025,,0.25404,25
5709735375,59816025,,0.3121397849462365,31
5832485187,5832483680,,0.702225279642058,447
5832483680,5832483678,,0.1949694323144105,458
110200445,5709735375,,1.8068176300578034,692
5709735375,5709735373,,0.20646783625730994,570
5709735371,59816025,,0.4649218390804598,29
5709735377,59816025,,0.3786400900900901,37
300298616,5709735377,,0.30342,35
59816096,5709735373,,2.7433551724137932,1595
5709735373,5709735371,,0.12056938110749185,1228
5709735377,5709735375,,0.28109604810996563,582
5816233354,59816096,,5.618159182098766,864
6337682866,59816096,,1.5151176385576992,4613
3979296372,5709735371,,0.4923219178082192,73
5709735371,5709735377,,0.24932784313725492,510
4519795041,4519795042,,0.12263188405797101,1150
3343187405,4519795042,,2.1898259870782484,1393
4519795026,4519795058,,0.07581060606060605,22
4519795058,4519795050,,0.20071999999999998,35
5700429269,6512504897,,0.049322222222222226,6
6512504894,59817142,,0.14840714285714288,21
3278120141,59817142,,0.6253871565495209,1565
6512504897,59817142,,0.1056888888888889,24
4519795027,6512504894,,2.1445697300771207,778
5700428481,3278120141,,0.25928333333333337,402
3278120141,59817613,,0.3771680555555556,84
6512504894,6512504897,,0.18049444444444443,45
4576575016,6227220670,,0.06317,10
5700428484,5700428481,,0.10702984463276835,1180
4576575016,59817613,,1.1160230529595014,321
59817613,5700428481,,0.15476666666666666,32
300306505,300306509,,0.08243055555555555,36
300306511,59816916,,0.04652692307692308,26
59816916,300306505,,0.03401775147928994,845
4064369091,300306313,,0.024878787878787882,11
300306509,59816917,,0.0329768115942029,23
6224346306,59816917,,0.6150208426547353,447
59816917,300306510,,0.0508108695652174,23
300306511,300306505,,0.032723684210526315,19
5522145065,6224346306,,0.06751757575757575,55
6224346306,5522145065,,0.06727636363636363,55
300306509,300306510,,0.01276734693877551,2548
300306510,300306511,,0.01856851851851852,9
4519795041,4519795050,,0.010323892773892774,1144
4519795042,59817138,,0.12866777777777777,15
4519795058,59817138,,0.13524529292929294,825
4519795050,59817138,,0.1268654852320675,790
59817660,4716021021,,0.39345465116279077,1161
6226720718,6226720717,,0.02705,12
6226720717,6226720725,,0.033977692797960486,523
6226720717,6226720715,,0.05657916666666667,24
3298104373,5712260906,,0.11794071969696969,88
5712260906,5712260902,,0.2477752808988764,89
4716021021,4716020992,,0.2336720430107527,31
6226720748,59817660,,1.4382602409638554,332
724031701,4576503460,,0.41555555555555557,513
59817720,59817712,,0.33867441860465114,86
59817712,4576575012,,0.15074150943396228,53
724031701,59817712,,0.42914381368267834,229
59817720,6227220672,,0.04485277777777777,12
4576575012,5700429306,,0.13374207650273223,61
