fishnetid,CO2,CO2psqkm
0,10142648.1349493,707495.0732137237
1,3637749.9160732217,253749.32748944333
2,3966361.357211539,276671.4453144627
3,6939650.230502952,484071.643083969
4,6537941.990682644,456050.69660520344
5,9455288.786064912,659548.6842241063
6,5178798.861193265,361244.38417949644
7,3810302.232937853,265785.6233787466
8,8805205.085101476,614672.6719795555
9,6502688.740101861,453938.8945855219
10,8310466.335819002,580136.0103102177
11,7527953.7506911615,525510.4681553999
12,10870806.589860402,758867.9273885926
13,2327212.985397483,162457.797424863
14,16732578.622451214,1168065.7874025595
15,6392639.183577888,446256.56869930134
16,837563.2290007987,58513.32892050079
17,17571154.464588724,1227545.2229749516
18,17574199.410014603,1227757.9470858967
19,16866921.895990472,1178346.558926567
20,14394529.584170913,1005621.802689799
21,13277275.40753188,927568.8762218192
22,24376209.233189467,1702955.7880640954
23,14404608.316563327,1006325.916914444
25,13604175.143342288,951135.9560510006
26,18898939.22382576,1321319.4065499983
27,6358615.273107687,4001063.40609228
28,5248235.491268648,3302373.5622877185
29,4793086.196613729,3015977.686938454
30,2153088.13096568,1355145.2360848642
31,7352640.429502803,4627723.086382346
32,3033010.945919412,1908965.209200628
33,10290602.600415332,6478523.508120275
34,6925259.708116886,4359847.4803664675
35,16402263.724497503,10326164.09861807
36,32332847.19290817,2260551.1324755126
37,12953302.636706214,3622520.740950557
38,19907305.44992882,5567277.235109115
39,8289592.570052314,2319157.7862503887
40,6336549.551151862,1772760.0126702215
41,34986554.47231716,2446085.0868450576
42,14856809.638784107,1038713.9014869344
43,1436605.4066637345,100517.45176325343
44,7164005.150254801,501256.3218697334
45,8588692.714924987,5408458.955604376
46,9555206.149313398,6017090.375243611
48,19081849.543539237,12019273.764078343
49,4960358.932856435,3124430.461840593
50,4681189.869124927,2949343.4475004794
51,13275257.69789368,8363962.026706279
52,14977462.862957373,9436421.76242312
53,8523030.597546488,5367110.30353739
54,5410952.662748064,3407377.1595456027
55,6226201.022265729,3920754.158517262
56,6453114.229331445,4064687.040752035
57,10411687.815781135,6558113.033983269
58,8153904.076296689,5135980.404595261
59,6440396.302618649,4057716.3425301155
60,6805817.392182385,4287946.759628057
61,13386632.52296806,8434132.778104234
62,17490055.663401905,4895027.639872143
63,16887251.402236972,4726317.8554887725
64,25378344.77360131,7105492.689143706
65,12803621.767739946,3584790.169604815
66,33560331.96964868,2348173.7116332203
67,19987108.375922974,1398472.5330593262
68,18631455.895465944,1303619.2545042008
69,3055165.526978529,213930.50423343154
70,12104029.32126049,847555.0909067632
72,20952960.14079622,5868719.3264602935
73,10595768.583611464,2968913.6649419037
74,13001349.021647768,3642952.6058875774
75,8179609.568515409,2291028.686881364
76,8927668.11631981,2500552.574070873
77,6389881.0841098875,1790432.201143973
78,12635405.407151109,3540415.9197470685
79,14524214.642269643,4068090.551405092
80,17527243.55549272,4909209.5962815955
81,10340013.17168873,2897251.497978724
82,8283187.566239705,2320932.980050548
83,43319660.318036735,3033353.411860392
84,19850513.541374706,1389983.728769893
85,9917897.003796184,694476.5146835425
86,598011.2628488794,41906.533527504296
87,3552043.8444882566,248914.7842317955
88,12108417.261763752,848515.4468960939
89,14102520.198920814,3953020.6942864642
90,7745866.62692396,2171212.708049032
91,7303624.899836469,2048038.7698368886
92,6727019.657048967,1886350.579614294
93,16211372.425698267,4544144.576830356
94,12653734.933673818,3546917.525894327
95,6713041.350270811,1882430.8665112106
96,12754344.55850891,3576496.944725454
97,32704847.30349378,2291841.082568565
98,17425492.802359022,1221117.4667121263
99,5148927.056097301,360818.76331072155
100,4324636.944687478,303289.1277449986
101,13003293.679967921,911928.0181089332
102,10583123.67427472,742200.1867535426
103,9883926.526823953,693165.1126688323
104,16375980.955711689,1148456.4007454328
106,7154917.784527626,501778.2536918549
107,3774427.8710415754,264907.0654621392
108,2282613.716075263,160204.545369224
109,923243.3774825298,64797.554011479755
110,3118561.1750061107,218875.26204257665
111,4074424.5882640574,285962.2432858851
112,2068907.6162669545,145205.64813080025
