fishnetid,CO2,CO2psqkm
0,249298.044502482,41784.372055776475
2,984426.5374788797,164997.86344368124
4,543206.0779300046,91090.27594017962
6,181096.44845998255,30368.07968877557
8,772599.7481516312,129557.32107900639
10,309978.7486207798,51980.36416502609
12,888932.5368200529,149065.17684725975
14,1299044.4107995324,217836.8737868302
16,1824889.1191344766,306015.8201020779
18,164062.42508269259,27511.64278048184
20,232106.02237590303,38921.879714907875
22,1785023.4892917161,299330.74905732076
25,3019918.504935432,506410.40501551534
27,541674.8179494881,90833.49881667837
28,2247586.7645954825,377082.5347692022
30,5040498.398986337,845655.4126096389
32,1302991.238110769,218605.6825874305
34,3190045.593558415,535200.9085464078
36,3583512.15528241,601213.6519825696
38,3910792.414658665,656122.1750836993
40,3136039.8431573478,526140.2459841715
42,981731.0106260929,164707.15336991433
44,2878721.9669620576,482969.4645373359
46,5963380.979033586,1000489.436399198
48,7170809.863277548,1203062.414402263
50,4221377.069356421,708229.6401651915
53,425319.8232342143,71356.83460995357
56,2286101.9093883047,383732.21334727755
59,4417185.909715513,741443.992037555
61,3852751.4364960724,646701.1947858394
63,6015391.55588913,1009709.8062043499
65,1474118.6836538303,989749.089238855
67,1746699.9772643908,1172764.9414130116
69,2584007.6689395546,1735373.178511358
71,2344348.831417569,1574422.6040886473
73,7370992.099652101,1237253.2918804756
75,2909649.099605418,488397.33892451477
77,6602195.3382327445,1108207.389918643
79,7201204.466046452,1208753.694301272
81,5642333.101777275,947090.3115456601
83,9507050.792465381,1595800.0944821718
85,7713667.390496358,1294772.8395765268
87,3415435.5975997876,573295.816791794
89,3009380.4322427344,505137.6797010471
90,629957.154885364,105741.06620768136
92,9522849.189391324,1599235.6603995678
94,6711882.419562651,1127171.2383864888
97,2022505.5386622683,1358611.4367734003
99,1395143.6891098442,937413.040921326
101,9163328.171210619,6156945.261612263
103,2645167.165786902,3997985.2472849074
105,1700358.2010210985,2569972.5486952127
107,1478539.858051429,2235074.9938425175
109,3786959.7077394845,5724660.650415334
112,5018193.867790074,7587129.834315182
114,5357466.092229853,8100083.794209743
116,7900198.040112639,11944502.310257174
118,5585836.68941812,3752267.405513644
120,5984764.057118169,4020245.551352031
122,7201445.287985184,4838733.658140957
125,8542607.860001888,5738468.704588294
127,6205067.487456148,4168233.6553626554
129,1699642.097191611,1142009.012578995
131,4972922.3033541,3340544.1846118886
133,4484725.073883483,3012599.303037317
135,2476425.9157444583,1663938.9665845511
137,1854759.7254478836,1246234.3255264955
139,8240733.648618909,1383921.4353418066
141,8476516.22830764,1423517.9785654328
143,2806424.869599692,471301.6703757024
144,1459410.2543798988,245088.51033336789
147,14645220.838328889,2460676.581931903
149,6632476.129353836,10029442.945925426
151,1467504.6443151685,2219119.046338967
153,6185494.787346601,9355060.84004117
155,4571686.8570173485,6914306.803152333
157,1680575.426461695,2541734.4774078256
159,939708.3827302412,1421465.5702194818
161,2220378.151224398,3358692.0717499917
163,2294551.2388589187,3470891.230815261
165,2074033.4047722355,3136294.6952864723
167,2053821.4307845193,3105730.7194830524
169,2633885.5269888914,3982887.25113096
171,2604260.6139613222,3938733.6542210835
173,3307705.6614600527,5002637.423154537
175,1435683.693646967,2171355.5281943544
177,3194312.028617691,4831929.407744201
179,3296392.6322084195,4986343.336637606
181,2060982.743683278,3117579.94799463
183,1628371.159777947,2462376.8443738725
185,2189661.1476467205,3311143.7000183994
187,4924975.461423732,7447408.695799455
189,3075313.6434043823,4651163.282056223
191,3205520.525994265,4848090.666250653
193,4221092.841587825,6384061.696292501
195,1848899.724790618,2796769.0294964537
197,2270191.9572903146,3434043.7569595696
199,5714436.612116612,8644037.923472721
201,9971719.686864361,1675439.2020390488
203,9095356.681137081,1528193.4930621143
205,5403288.95568863,907855.6578591581
207,4206132.663309591,706710.5548874583
209,1969410.5715237404,330898.5591309357
210,1281066.417899566,215243.60535245755
212,621125.8208593857,104412.24019060252
214,5169447.34039608,868992.3349367941
216,4432210.733486377,745061.6865997469
218,1564283.7940869243,2366627.362370759
220,2264679.2318903394,3426265.6542529166
222,5952803.001459381,9006080.94216036
224,1082144.4621918816,1637459.9501238402
226,1377838.2173576292,2084892.5235945918
228,6539403.636105185,9895177.516435651
232,2543514.5249631507,3849380.0903542815
234,8324146.404574946,12597845.667670874
236,4792750.106555094,3222675.692911197
238,5632403.321969118,3787263.862047205
240,2434889.332412555,1637637.281581598
242,3096496.9381695674,2082615.7315431035
244,4790103.611597076,7247016.378133425
246,2485426.877570476,3760237.9298849595
248,6512724.690527043,9853194.487120315
250,3046629.3136821813,4610043.906636258
252,2647857.8104057163,4006637.994875369
254,5138007.154882485,7774637.521619547
256,1597156.132471039,2417151.9199837605
258,2239479.2709474806,3389250.1236930205
260,1449436.9484960746,2193592.242940105
262,7824481.360221635,5261231.094593298
264,4895423.888459451,3291714.197712128
266,7485572.238982532,5034582.89021449
268,6307629.304785056,4242331.990372996
270,2186323.79095582,3307720.58512422
272,2588582.8184750257,3916304.0307156653
274,2511442.2771268794,3799597.0005765604
276,4635376.977595982,7014076.604120397
278,2851245.322344181,4314396.262639361
280,1902063.3443753994,2878130.099843422
282,3850084.156978147,5826755.520601127
284,5368294.12263186,8124429.529304286
286,2734540.3273407593,4138480.432891925
288,7874945.566276906,1323790.8976580843
290,6904309.293183877,1160625.393535724
292,7153755.3231751975,1202557.668645528
294,4852895.489363494,815779.4643833089
296,3255617.3519716077,547274.4643789689
298,473828.69594698923,79651.35878905465
300,146271.83117799324,24600.612129890502
302,1420123.9821545912,238842.42769085715
304,1404849.0895214572,945093.7202698528
306,2269791.385901383,1526972.2571190274
308,927120.9153723627,623861.7180242526
310,3474871.501697148,2338248.7321967157
312,9531047.554722574,1602971.6876925058
314,8844860.39842701,1487565.8440342827
316,7454750.6435425505,5015085.301290443
318,3887721.841736847,2615413.65986343
320,3383590.093689284,2276825.270510931
322,3335933.8408287833,2244757.2723765415
324,3982851.5584037476,2679410.923700418
326,5222041.209409989,3513059.43877954
328,4030935.462921328,2712425.403684242
330,5504988.305917454,3704318.827554473
332,2937746.978073969,1976330.5834261854
334,4113508.4941095747,2767308.65618024
336,5184902.0444567455,3488932.0730547616
338,4305201.282432375,2896979.4812791483
340,4374786.508941381,2943079.9990980965
342,4033115.0460339645,2713225.0229317886
344,3582926.2063412494,2410958.9823506656
346,4542240.058216373,3056483.398672251
348,8032841.837874862,1350997.1452661168
350,5248237.560584173,882670.6793349629
352,5444705.162292037,915713.4273937414
354,3286859.536853226,552797.8691478877
356,1809899.628873527,304396.53626657533
358,524188.60241753503,88160.24512122688
360,353602.8088189266,59499.65852652491
362,1145807.59620192,192801.52479226133
364,1999900.6227791186,336517.1349735413
367,6045213.116388196,4068837.7386483545
369,3581465.647676029,2410568.875963941
371,5335098.2059350675,3591765.805486925
373,8223245.437213981,1383700.251500571
375,5197724.870316811,3498420.7670236407
377,4883263.135010671,3286766.727481582
379,3938930.4921252867,2651819.199142223
381,1654613.4375821347,1113940.8755017642
383,10337380.258531535,1739439.2241845347
385,6818576.951936762,1147341.0000112324
387,3757817.99055703,632316.4908949322
389,3458210.0306103737,581902.3797395694
391,1985994.2825761272,334177.15782178915
393,624409.7576189755,105067.51200040881
396,618243.7972047648,104081.19108256265
398,1395208.8577157997,234883.0677744959
400,6873843.329645899,1157209.8325921702
402,3456514.9224083475,581903.4363878539
404,3458629.1188792964,582259.3608433419
406,9357376.72711627,1575312.068750032
408,4994612.233601425,840841.7401341479
410,2459629.8260304444,414078.0757896652
412,824025.6077068372,138724.5082286818
414,440418.8725406249,74144.4087858522
416,706336.9337522313,118970.22611357331
418,4212116.906962386,709458.1592613186
420,3901253.4033779483,657098.5847513821
422,3221989.0484200874,542688.2657681787
424,1923149.7574406995,323921.27688632405
426,2980731.0566032827,502052.5344809956
428,6195404.629840076,1043508.6351236076
431,261470.73249722554,44061.929111130186
433,2095556.2335429606,353134.1704247556
435,1757445.285865568,296157.1601644565
437,1423881.0060293179,239946.33491538864
439,1656248.2896447892,279103.8753430534
441,1715551.942806523,289097.4732371042
443,4828865.428332342,813739.7411874153
445,266074.4794368379,44837.73284779098
448,49122.97580020093,8282.077910261483
451,1353191.831898849,228146.60546827808
453,1065556.5959347654,179651.6314732025
