from,to,length,volume,EstimatedTT,CO2,lengthm
28255136,28255127,191.15,670.82,13.8,26988.30002474655,0.11877506665000001
34694336,271370539,101.958,1056.6,7.800000000000001,23131.02848104361,0.063353744418
172562,530351,13.904,1894.95,2.4,9597.950297408755,0.008639542384
172562,21509248,239.628,2598.16,19.2,136150.33119520472,0.148897889988
172545,34694336,103.173,1037.38,7.800000000000001,22881.1110383171,0.064108710183
271370539,530340,309.858,1930.18,34.199999999999996,156179.12012325536,0.192536775318
172546,28345850,64.155,1536.28,5.3999999999999995,22027.49280009342,0.039864056505
28345850,35244866,19.106,1818.97,1.7999999999999998,8230.210507339136,0.011871914326000002
28345850,172587,679.351,959.43,50.4,138419.1718067241,0.422129010221
172594,95790027,761.424,1579.96,92.4,335451.3822149079,0.473126792304
530351,27197164,7.581,2599.52,1.7999999999999998,9142.273780483145,0.004710613551000001
530351,530177,259.73,1894.95,24.0,115313.78782264142,0.16138868983000002
21509248,530262,15.556,2043.76,1.7999999999999998,8573.230465780254,0.009666047276
21509248,530256,591.289,2000.68,69.0,320882.43179486215,0.367409837219
172564,21509247,17.296,2960.95,4.8,26521.334866882444,0.010747232816
172564,186969527,190.621,1550.13,13.8,62246.56742908618,0.11844636139100001
21509247,21509248,14.645,1446.28,1.2,4676.593290577574,0.009099978295
21509247,530351,232.928,2599.52,22.8,146585.61233474393,0.144734704288
186969527,27197159,12.846,4.56,1.2,13.80674974593206,0.007982131866
186969527,26982474,387.823,3440.51,54.6,415260.8017107281,0.24098196533299998
172566,29690840,109.416,1435.08,9.0,34728.15720833042,0.067987929336
530318,260745450,205.89,1402.33,16.8,63632.343085425564,0.12793407519
29690840,270790604,59.673,1435.08,4.8,18757.860434113027,0.037079071683
172586,21509249,939.882,1440.76,68.39999999999999,285740.13261970895,0.584015418222
29691250,186962583,121.605,1772.67,9.6,46853.873561980006,0.075561820455
21509249,29690662,13.124,1423.83,1.2,4353.220433050786,0.008154873004
21509249,6019010072,118.247,669.86,8.4,16588.734515328095,0.073475256637
172587,530205,12.214,727.88,0.6,1773.62587824234,0.0075894253940000005
172587,172589,466.818,2586.49,199.2,812333.3646032187,0.290067167478
530205,29492981,18.072,3348.23,19.2,57821.51805097486,0.011229416712
172589,811273887,293.695,1507.46,55.2,172276.6627302559,0.182493555845
530202,530205,467.034,2620.35,208.20000000000002,842435.0124185197,0.290201383614
811273887,172594,58.781,1507.46,10.799999999999999,33880.82425022802,0.036524808751
223826118,811273912,56.735,1528.2,10.799999999999999,34070.37993673292,0.035253483685
95790027,28255854,127.088,1138.69,9.6,30928.052935226122,0.078968797648
458330,26708458,166.618,4256.51,21.599999999999998,207479.55320824892,0.103531593278
458330,458334,302.682,6987.04,39.0,615918.3078687775,0.18807781702200002
26708458,458334,148.061,2190.05,16.8,86270.70656032274,0.092000811631
