,gridID_lat,gridID_lon,inner_grid,inner_gr_1,lanelength,fishnetID,osmid,y,x,highway,street_cou,lon,lat,ref,lanecapaci,geometry
0,0,2,None,None,22600.191,0,1687358486,-34.7949453,-58.6328864,,3,-58.6328864,-34.7949453,,9600,POINT (-58.6328864 -34.7949453)
1,0,2,None,None,22600.191,0,2126843486,-34.8268364,-58.6452417,,3,-58.6452417,-34.8268364,,7200,POINT (-58.6452417 -34.8268364)
2,0,2,None,None,22600.191,0,1687066944,-34.8182637,-58.6404147,,3,-58.6404147,-34.8182637,,7200,POINT (-58.6404147 -34.8182637)
3,0,2,None,None,22600.191,0,1687358694,-34.7933565,-58.6315623,,1,-58.6315623,-34.7933565,,2400,POINT (-58.6315623 -34.7933565)
4,0,4,None,None,52819.323,1,7396621427,-34.8066206,-58.5429063,,3,-58.5429063,-34.8066206,,32000,POINT (-58.5429063 -34.8066206)
5,0,4,None,None,52819.323,1,616643368,-34.8252447,-58.5071168,,3,-58.5071168,-34.8252447,,5600,POINT (-58.5071168 -34.8252447)
6,0,4,None,None,52819.323,1,3237352316,-34.8089046,-58.5115397,,3,-58.5115397,-34.8089046,,7400,POINT (-58.5115397 -34.8089046)
7,0,4,None,None,52819.323,1,3844578387,-34.8231093,-58.5064856,,4,-58.5064856,-34.8231093,,8400,POINT (-58.5064856 -34.8231093)
8,0,5,None,None,59547.178,2,627128039,-34.8127631,-58.4534465,traffic_signals,4,-58.4534465,-34.8127631,,16800,POINT (-58.4534465 -34.8127631)
9,0,5,None,None,59547.178,2,616643434,-34.8234232,-58.4829874,,3,-58.4829874,-34.8234232,,2800,POINT (-58.4829874 -34.8234232)
10,0,5,None,None,59547.178,2,625189769,-34.8132449,-58.4742636,traffic_signals,4,-58.4742636,-34.8132449,,5600,POINT (-58.4742636 -34.8132449)
11,0,5,None,None,59547.178,2,311895642,-34.7977671,-58.4450457,,3,-58.4450457,-34.7977671,,8400,POINT (-58.4450457 -34.7977671)
12,0,6,None,None,37223.651,3,1908168488,-34.7927597,-58.4147204,traffic_signals,4,-58.4147204,-34.7927597,,15600,POINT (-58.4147204 -34.7927597)
13,0,6,None,None,37223.651,3,2210835388,-34.8075188,-58.4376739,,3,-58.4376739,-34.8075188,,5400,POINT (-58.4376739 -34.8075188)
14,0,6,None,None,37223.651,3,3111993935,-34.804592,-58.4050898,,3,-58.4050898,-34.804592,,8200,POINT (-58.4050898 -34.804592)
15,0,6,None,None,37223.651,3,310888292,-34.8142039,-58.3977019,traffic_signals,4,-58.3977019,-34.8142039,,8300,POINT (-58.3977019 -34.8142039)
16,0,7,None,None,36529.274,4,5137332744,-34.8088383,-58.34352,traffic_signals,3,-58.34352,-34.8088383,,11700,POINT (-58.34352 -34.8088383)
17,0,7,None,None,36529.274,4,310682722,-34.8003029,-58.388591,,3,-58.388591,-34.8003029,,4200,POINT (-58.388591 -34.8003029)
18,0,7,None,None,36529.274,4,3273568395,-34.7957512,-58.3642666,,3,-58.3642666,-34.7957512,,4200,POINT (-58.3642666 -34.7957512)
19,0,7,None,None,36529.274,4,310543569,-34.8230323,-58.3647163,traffic_signals,4,-58.3647163,-34.8230323,,4900,POINT (-58.3647163 -34.8230323)
20,0,8,None,None,25621.735,5,394817596,-34.8061299,-58.3385712,traffic_signals,3,-58.3385712,-34.8061299,,15800,POINT (-58.3385712 -34.8061299)
21,0,8,None,None,25621.735,5,2705522047,-34.8132949,-58.3354543,,3,-58.3354543,-34.8132949,,5600,POINT (-58.3354543 -34.8132949)
22,0,8,None,None,25621.735,5,656417457,-34.7937514,-58.3159173,,3,-58.3159173,-34.7937514,,4500,POINT (-58.3159173 -34.7937514)
23,0,8,None,None,25621.735,5,1907901346,-34.8109225,-58.2929126,,2,-58.2929126,-34.8109225,,8400,POINT (-58.2929126 -34.8109225)
24,0,9,None,None,48784.063,6,315099905,-34.7925752,-58.249691,traffic_signals,4,-58.249691,-34.7925752,,9200,POINT (-58.249691 -34.7925752)
25,0,9,None,None,48784.063,6,2664652640,-34.8117497,-58.2777531,,3,-58.2777531,-34.8117497,,2100,POINT (-58.2777531 -34.8117497)
26,0,9,None,None,48784.063,6,2664624203,-34.8098953,-58.2780106,,3,-58.2780106,-34.8098953,,3500,POINT (-58.2780106 -34.8098953)
27,0,9,None,None,48784.063,6,5340017152,-34.8013076,-58.2382365,traffic_signals,4,-58.2382365,-34.8013076,,6400,POINT (-58.2382365 -34.8013076)
28,1,1,None,None,12106.184,7,4346621095,-34.7720719,-58.6489911,traffic_signals,3,-58.6489911,-34.7720719,,9000,POINT (-58.6489911 -34.7720719)
29,1,1,None,None,12106.184,7,692767666,-34.7616252,-58.6582032,traffic_signals,4,-58.6582032,-34.7616252,,6400,POINT (-58.6582032 -34.7616252)
30,1,1,None,None,12106.184,7,628817409,-34.7721272,-58.6490673,traffic_signals,2,-58.6490673,-34.7721272,,5400,POINT (-58.6490673 -34.7721272)
31,1,2,None,None,41628.814,8,2006946332,-34.764121,-58.6169961,,3,-58.6169961,-34.764121,,10800,POINT (-58.6169961 -34.764121)
32,1,2,None,None,41628.814,8,1419771932,-34.7557211,-58.6146873,,3,-58.6146873,-34.7557211,,7200,POINT (-58.6146873 -34.7557211)
33,1,2,None,None,41628.814,8,5744308340,-34.7491665,-58.6121413,,1,-58.6121413,-34.7491665,,2400,POINT (-58.6121413 -34.7491665)
34,1,2,None,None,41628.814,8,1687374648,-34.7663605,-58.6177669,,3,-58.6177669,-34.7663605,,8400,POINT (-58.6177669 -34.7663605)
35,1,2,None,None,41628.814,8,298899992,-34.7568196,-58.6151057,,1,-58.6151057,-34.7568196,,2400,
35,1,4,None,None,20083.003,9,249799467,-34.7839394,-58.5255336,,3,-58.5255336,-34.7839394,,18000,POINT (-58.5255336 -34.7839394)
36,1,4,None,None,20083.003,9,3428076340,-34.7719093,-58.5231943,,1,-58.5231943,-34.7719093,,4000,POINT (-58.5231943 -34.7719093)
37,1,4,None,None,20083.003,9,319144955,-34.7856915,-58.5225215,,1,-58.5225215,-34.7856915,,2000,POINT (-58.5225215 -34.7856915)
38,1,4,None,None,20083.003,9,617440127,-34.7870363,-58.5201758,,3,-58.5201758,-34.7870363,,12000,POINT (-58.5201758 -34.7870363)
39,1,5,None,None,28421.266,10,1426695225,-34.7642371,-58.4784073,,4,-58.4784073,-34.7642371,,10100,POINT (-58.4784073 -34.7642371)
40,1,5,None,None,28421.266,10,7296796790,-34.7733991,-58.4691513,,3,-58.4691513,-34.7733991,,4200,POINT (-58.4691513 -34.7733991)
41,1,5,None,None,28421.266,10,309568490,-34.7775638,-58.4602625,traffic_signals,3,-58.4602625,-34.7775638,,4600,POINT (-58.4602625 -34.7775638)
42,1,5,None,None,28421.266,10,7296795160,-34.7725424,-58.4712006,,3,-58.4712006,-34.7725424,,4200,POINT (-58.4712006 -34.7725424)
43,1,6,None,None,57216.338,11,720958100,-34.7771315,-58.3915141,traffic_signals,4,-58.3915141,-34.7771315,,13600,POINT (-58.3915141 -34.7771315)
44,1,6,None,None,57216.338,11,307672711,-34.7710729,-58.4047585,traffic_signals,4,-58.4047585,-34.7710729,,11000,POINT (-58.4047585 -34.7710729)
45,1,6,None,None,57216.338,11,2146668464,-34.7592204,-58.4316216,,1,-58.4316216,-34.7592204,,4000,POINT (-58.4316216 -34.7592204)
46,1,6,None,None,57216.338,11,307678299,-34.7534521,-58.4347496,,1,-58.4347496,-34.7534521,,2000,POINT (-58.4347496 -34.7534521)
47,1,7,None,None,25528.448,12,319886740,-34.7522181,-58.3431439,traffic_signals,3,-58.3431439,-34.7522181,,17200,POINT (-58.3431439 -34.7522181)
48,1,7,None,None,25528.448,12,485260278,-34.7504703,-58.339399,traffic_signals,4,-58.339399,-34.7504703,,17200,POINT (-58.339399 -34.7504703)
49,1,7,None,None,25528.448,12,5280837473,-34.7468749,-58.3416394,,4,-58.3416394,-34.7468749,,5600,POINT (-58.3416394 -34.7468749)
50,1,7,None,None,25528.448,12,2411367484,-34.7637852,-58.3663118,,3,-58.3663118,-34.7637852,,17200,POINT (-58.3663118 -34.7637852)
51,1,8,None,None,39014.744,13,315100243,-34.7457812,-58.2876156,traffic_signals,4,-58.2876156,-34.7457812,,20000,POINT (-58.2876156 -34.7457812)
52,1,8,None,None,39014.744,13,5282553229,-34.7739114,-58.3251857,traffic_signals,3,-58.3251857,-34.7739114,,5600,POINT (-58.3251857 -34.7739114)
53,1,8,None,None,39014.744,13,648973044,-34.7821436,-58.2960863,,3,-58.2960863,-34.7821436,,10800,POINT (-58.2960863 -34.7821436)
54,1,8,None,None,39014.744,13,649120660,-34.7477878,-58.2918189,traffic_signals,4,-58.2918189,-34.7477878,,16800,POINT (-58.2918189 -34.7477878)
55,1,9,None,None,77922.557,14,2743992018,-34.7742391,-58.2814109,traffic_signals,4,-58.2814109,-34.7742391,,17200,POINT (-58.2814109 -34.7742391)
56,1,9,None,None,77922.557,14,372279323,-34.7498279,-58.2374646,,1,-58.2374646,-34.7498279,,700,POINT (-58.2374646 -34.7498279)
57,1,9,None,None,77922.557,14,315225097,-34.7727251,-58.2781935,,3,-58.2781935,-34.7727251,,2700,POINT (-58.2781935 -34.7727251)
58,1,9,None,None,77922.557,14,655343483,-34.7763678,-58.2369557,traffic_signals,5,-58.2369557,-34.7763678,,8300,POINT (-58.2369557 -34.7763678)
59,2,0,None,None,19964.016,15,5589760559,-34.7136394,-58.7147677,,5,-58.7147677,-34.7136394,,9200,POINT (-58.7147677 -34.7136394)
60,2,0,None,None,19964.016,15,5589760569,-34.7157472,-58.7172447,,3,-58.7172447,-34.7157472,,5000,POINT (-58.7172447 -34.7157472)
61,2,0,None,None,19964.016,15,701099664,-34.7091397,-58.7353398,,3,-58.7353398,-34.7091397,,5600,POINT (-58.7353398 -34.7091397)
62,2,2,None,None,23386.144,17,692741199,-34.7049029,-58.6162037,traffic_signals,4,-58.6162037,-34.7049029,,8400,POINT (-58.6162037 -34.7049029)
63,2,2,None,None,23386.144,17,4934840248,-34.7339908,-58.6034116,,1,-58.6034116,-34.7339908,,2400,POINT (-58.6034116 -34.7339908)
64,2,2,None,None,23386.144,17,2126916188,-34.7234406,-58.5980546,,3,-58.5980546,-34.7234406,,7200,POINT (-58.5980546 -34.7234406)
65,2,2,None,None,23386.144,17,2126916197,-34.7413007,-58.6061495,,1,-58.6061495,-34.7413007,,2400,POINT (-58.6061495 -34.7413007)
66,2,3,None,None,53051.969,18,2461577140,-34.7336755,-58.5532909,traffic_signals,4,-58.5532909,-34.7336755,,9200,POINT (-58.5532909 -34.7336755)
67,2,3,None,None,53051.969,18,2126916032,-34.7193304,-58.5971149,,3,-58.5971149,-34.7193304,,5200,POINT (-58.5971149 -34.7193304)
68,2,3,None,None,53051.969,18,734351129,-34.7184197,-58.5623603,,3,-58.5623603,-34.7184197,,4200,POINT (-58.5623603 -34.7184197)
69,2,3,None,None,53051.969,18,708997109,-34.7114313,-58.5575211,,4,-58.5575211,-34.7114313,,5600,POINT (-58.5575211 -34.7114313)
70,2,4,None,None,84726.213,19,244469976,-34.7060619,-58.5013234,motorway_junction,3,-58.5013234,-34.7060619,,24000,POINT (-58.5013234 -34.7060619)
71,2,4,None,None,84726.213,19,708966783,-34.7144744,-58.5438063,,3,-58.5438063,-34.7144744,,3500,POINT (-58.5438063 -34.7144744)
72,2,4,None,None,84726.213,19,316548750,-34.7132983,-58.5072948,,3,-58.5072948,-34.7132983,,24000,POINT (-58.5072948 -34.7132983)
73,2,4,None,None,84726.213,19,6058823851,-34.7093672,-58.5339266,,3,-58.5339266,-34.7093672,,4300,POINT (-58.5339266 -34.7093672)
74,2,5,None,None,45624.958,20,2715547058,-34.7047929,-58.4623436,,3,-58.4623436,-34.7047929,,14000,POINT (-58.4623436 -34.7047929)
75,2,5,None,None,45624.958,20,2971078448,-34.7071043,-58.4592235,,3,-58.4592235,-34.7071043,,5600,POINT (-58.4592235 -34.7071043)
76,2,5,None,None,45624.958,20,2146634270,-34.7192194,-58.4477916,,3,-58.4477916,-34.7192194,,10000,POINT (-58.4477916 -34.7192194)
77,2,5,None,None,45624.958,20,313256222,-34.7144698,-58.451657,,3,-58.451657,-34.7144698,,10000,POINT (-58.451657 -34.7144698)
78,2,6,None,None,50549.868,21,308092611,-34.7134862,-58.4280262,traffic_signals,4,-58.4280262,-34.7134862,,11200,POINT (-58.4280262 -34.7134862)
79,2,6,None,None,50549.868,21,295100634,-34.7448845,-58.3992725,,4,-58.3992725,-34.7448845,,9600,POINT (-58.3992725 -34.7448845)
80,2,6,None,None,50549.868,21,2146634328,-34.7344015,-58.4356017,,1,-58.4356017,-34.7344015,,2000,POINT (-58.4356017 -34.7344015)
81,2,6,None,None,50549.868,21,307913728,-34.7276529,-58.4171046,,3,-58.4171046,-34.7276529,,5600,POINT (-58.4171046 -34.7276529)
82,2,7,None,None,41376.624,22,316628882,-34.7218126,-58.3621056,traffic_signals,4,-58.3621056,-34.7218126,,11200,POINT (-58.3621056 -34.7218126)
83,2,7,None,None,41376.624,22,5207150962,-34.7117779,-58.3642519,,2,-58.3642519,-34.7117779,,7000,POINT (-58.3642519 -34.7117779)
84,2,7,None,None,41376.624,22,1105343200,-34.736409,-58.390668,,3,-58.390668,-34.736409,,5600,POINT (-58.390668 -34.736409)
85,2,7,None,None,41376.624,22,316629763,-34.7172267,-58.3568562,traffic_signals,3,-58.3568562,-34.7172267,,11200,POINT (-58.3568562 -34.7172267)
86,2,8,None,None,73882.328,23,2666373007,-34.7289219,-58.2996185,traffic_signals,4,-58.2996185,-34.7289219,,18000,POINT (-58.2996185 -34.7289219)
87,2,8,None,None,73882.328,23,510599872,-34.7101835,-58.3159841,,2,-58.3159841,-34.7101835,,4200,POINT (-58.3159841 -34.7101835)
88,2,8,None,None,73882.328,23,488954188,-34.7399581,-58.3201284,,3,-58.3201284,-34.7399581,,10800,POINT (-58.3201284 -34.7399581)
89,2,8,None,None,73882.328,23,574801319,-34.7229943,-58.287665,traffic_signals,4,-58.287665,-34.7229943,,7200,POINT (-58.287665 -34.7229943)
90,2,9,None,None,71968.613,24,599068808,-34.7400885,-58.2751564,traffic_signals,4,-58.2751564,-34.7400885,,20000,POINT (-58.2751564 -34.7400885)
91,2,9,None,None,71968.613,24,492502352,-34.7120018,-58.2750627,traffic_signals,4,-58.2750627,-34.7120018,,11200,POINT (-58.2750627 -34.7120018)
92,2,9,None,None,71968.613,24,655942222,-34.7427913,-58.2441935,,2,-58.2441935,-34.7427913,,4200,POINT (-58.2441935 -34.7427913)
93,2,9,None,None,71968.613,24,5005007891,-34.7084741,-58.2822743,,3,-58.2822743,-34.7084741,,4200,POINT (-58.2822743 -34.7084741)
94,3,0,None,None,22864.102,25,692932236,-34.6667284,-58.7147198,traffic_signals,4,-58.7147198,-34.6667284,,13600,POINT (-58.7147198 -34.6667284)
95,3,0,None,None,22864.102,25,628814630,-34.6653438,-58.7273864,traffic_signals,3,-58.7273864,-34.6653438,,8600,POINT (-58.7273864 -34.6653438)
96,3,0,None,None,22864.102,25,628821573,-34.673209,-58.7236355,traffic_signals,3,-58.7236355,-34.673209,,5600,POINT (-58.7236355 -34.673209)
97,3,0,None,None,22864.102,25,629527211,-34.6738607,-58.7185996,,1,-58.7185996,-34.6738607,,1400,POINT (-58.7185996 -34.6738607)
98,3,1,None,None,31929.466,26,692958602,-34.66551,-58.6962661,traffic_signals,4,-58.6962661,-34.66551,,16500,POINT (-58.6962661 -34.66551)
99,3,1,None,None,31929.466,26,692718073,-34.6919899,-58.6910246,,3,-58.6910246,-34.6919899,,7200,POINT (-58.6910246 -34.6919899)
100,3,1,None,None,31929.466,26,692958574,-34.6814364,-58.6770397,,3,-58.6770397,-34.6814364,,6300,POINT (-58.6770397 -34.6814364)
101,3,1,None,None,31929.466,26,692946242,-34.6714934,-58.6638161,,3,-58.6638161,-34.6714934,,10000,POINT (-58.6638161 -34.6714934)
102,3,2,None,None,30981.856,27,2126916175,-34.6938295,-58.6309144,traffic_signals,4,-58.6309144,-34.6938295,,14000,POINT (-58.6309144 -34.6938295)
103,3,2,None,None,30981.856,27,692735372,-34.6911235,-58.63439,traffic_signals,3,-58.63439,-34.6911235,,4200,POINT (-58.63439 -34.6911235)
104,3,2,None,None,30981.856,27,692713559,-34.6935584,-58.638341,,3,-58.638341,-34.6935584,,4200,POINT (-58.638341 -34.6935584)
105,3,2,None,None,30981.856,27,4619400770,-34.6632548,-58.647397,,1,-58.647397,-34.6632548,,1400,POINT (-58.647397 -34.6632548)
106,3,3,None,None,50269.661,28,317680696,-34.673108,-58.5611314,traffic_signals,4,-58.5611314,-34.673108,,19600,POINT (-58.5611314 -34.673108)
107,3,3,None,None,50269.661,28,692065015,-34.6840987,-58.5650486,,3,-58.5650486,-34.6840987,,5400,POINT (-58.5650486 -34.6840987)
108,3,3,None,None,50269.661,28,3232076969,-34.6711297,-58.5946025,,3,-58.5946025,-34.6711297,,7200,POINT (-58.5946025 -34.6711297)
109,3,3,None,None,50269.661,28,691939170,-34.7013726,-58.5800793,traffic_signals,3,-58.5800793,-34.7013726,,5000,POINT (-58.5800793 -34.7013726)
110,3,4,None,None,68829.229,29,244469974,-34.7008143,-58.4974571,,3,-58.4974571,-34.7008143,,24000,POINT (-58.4974571 -34.7008143)
111,3,4,None,None,68829.229,29,321141237,-34.6979692,-58.5067388,traffic_signals,3,-58.5067388,-34.6979692,,8400,POINT (-58.5067388 -34.6979692)
112,3,4,None,None,68829.229,29,2960510957,-34.6631057,-58.517395,,3,-58.517395,-34.6631057,,6000,POINT (-58.517395 -34.6631057)
113,3,4,None,None,68829.229,29,313440215,-34.6786982,-58.4962672,motorway_junction,3,-58.4962672,-34.6786982,,14000,POINT (-58.4962672 -34.6786982)
