,from,highway,lanes,length,maxspeed,name,oneway,osmid,to,capacity,geometry
0,29603460,secondary,2,62.993,40,Leandro N. Alem,1,305352916,243092050,700,"LINESTRING (-58.5074268 -34.4705133, -58.5080179 -34.4708022)"
1,29603460,secondary,1,816.0780000000001,60,"['Avenida del Libertador', 'Primera Junta']",1,"[161365793, 161365794, 961427717, 348072877, 305352915, 4781013]",29886102,700,"LINESTRING (-58.5074268 -34.4705133, -58.508361 -34.4696213, -58.5087815 -34.4687955, -58.5093376 -34.4675324, -58.5095055 -34.467256, -58.5097082 -34.4671177, -58.509903 -34.4670238, -58.5103676 -34.4668416, -58.5109051 -34.4666533, -58.5116127 -34.4664023, -58.5119564 -34.466158, -58.5123704 -34.4658637, -58.5132054 -34.4663514)"
2,29603531,secondary,2,112.189,40,Avenida del Libertador,1,4651802,29603460,700,"LINESTRING (-58.5065782 -34.4712403, -58.5074268 -34.4705133)"
3,243092050,secondary,2,110.429,60,Avenida 25 de Mayo,1,4762896,29886059,700,"LINESTRING (-58.5080179 -34.4708022, -58.5078177 -34.4710791, -58.507401 -34.4716552)"
4,243092050,secondary,2,443.11400000000003,40,"['Leandro N. Alem', 'Rivadavia']",1,"[305352916, 348072959]",3822115575,700,"LINESTRING (-58.5080179 -34.4708022, -58.5088046 -34.4711624, -58.5099381 -34.471702, -58.5111748 -34.4722873, -58.5105634 -34.4731376)"
5,29886102,secondary,2,691.4179999999999,60,Avenida 25 de Mayo,1,"[4762896, 425628918]",243092050,700,"LINESTRING (-58.5132054 -34.4663514, -58.5123152 -34.4669763, -58.5117936 -34.4673635, -58.5111522 -34.4678489, -58.5105635 -34.4682597, -58.5093646 -34.4691558, -58.5087394 -34.4698436, -58.5080179 -34.4708022)"
6,2613785025,primary,2,3871.947000000001,60,Avenida del Libertador,0,"[954722945, 22983492, 954724680, 954754796, 163156268, 4762893, 138999599, 132390512, 132390513, 958978871, 954722936, 954722938, 954696476, 954696477, 954695103]",29886102,900,"LINESTRING (-58.5459096 -34.4465268, -58.5442838 -34.4468399, -58.5441374 -34.4468671, -58.5431469 -34.4470511, -58.5422656 -34.4472284, -58.5406582 -34.4474926, -58.539478 -34.4476965, -58.5392407 -34.4477423, -58.5382773 -34.4480449, -58.5379657 -34.4481428, -58.5371995 -34.4483834, -58.5357825 -34.4488626, -58.53486 -34.4492436, -58.5342385 -34.4494998, -58.534106 -34.4495544, -58.533295 -34.4498878, -58.5331822 -34.4499357, -58.5324208 -34.4503016, -58.5321997 -34.4504083, -58.5319119 -34.4505059, -58.5316548 -34.4505463, -58.5314077 -34.450574, -58.5309633 -34.4506286, -58.5308156 -34.4506581, -58.5306369 -34.4507062, -58.530432 -34.4507831, -58.5301078 -34.4509227, -58.5292662 -34.4513762, -58.5291498 -34.4514386, -58.5283172 -34.4519199, -58.5276378 -34.4523453, -58.5269995 -34.4528369, -58.5266372 -34.4531419, -58.5263953 -34.4533314, -58.5261209 -34.4535719, -58.5256542 -34.4539461, -58.5251631 -34.4543219, -58.5242375 -34.4549805, -58.5238574 -34.455272, -58.5232804 -34.4557242, -58.5225032 -34.4564895, -58.5223903 -34.4565982, -58.5217295 -34.4572613, -58.5208623 -34.458144, -58.519962 -34.4592099, -58.5193829 -34.4600156, -58.518717 -34.460962, -58.5180842 -34.4618612, -58.5172859 -34.4628329, -58.5170696 -34.4630609, -58.5168013 -34.4633314, -58.516532 -34.4636029, -58.5162884 -34.4638401, -58.516082 -34.4640168, -58.5154783 -34.4645339, -58.5153958 -34.4645999, -58.5146565 -34.4651694, -58.5140647 -34.4656553, -58.5132054 -34.4663514)"
7,3852072909,primary,5,5471.29,60,Avenida del Libertador,0,"[47304458, 954695946, 957696401, 463770641, 957696404, 957696405, 465963929, 465963930, 954759833, 382003744, 957696161, 382003746, 957696160, 957691558, 957691559, 255861799, 957691561, 957691563, 954764979, 954699700, 954699702, 954765116, 957696573, 7",29603531,900,"LINESTRING (-58.4780136 -34.511595, -58.4782148 -34.511123, -58.4782704 -34.5109963, -58.4787631 -34.509823, -58.4793949 -34.5083558, -58.4794592 -34.508215, -58.4798755 -34.5071857, -58.4801683 -34.5064517, -58.480304 -34.5061411, -58.4804746 -34.5057343, -58.4808619 -34.5047425, -58.4809837 -34.504426, -58.4810898 -34.5041497, -58.4813997 -34.5033911, -58.4815453 -34.5030138, -58.4817197 -34.5025963, -58.4819319 -34.5022537, -58.482424 -34.5014594, -58.4825103 -34.5013228, -58.4825696 -34.501229, -58.4829893 -34.500565, -58.4835429 -34.4996573, -58.4840856 -34.4988047, -58.4841739 -34.4982242, -58.4842389 -34.4976013, -58.4843269 -34.4967555, -58.4843452 -34.4965628, -58.4844234 -34.4959602, -58.4844359 -34.4958638, -58.4845288 -34.4950245, -58.4845496 -34.4947378, -58.4845315 -34.4943059, -58.4845211 -34.4940347, -58.4844984 -34.4936105, -58.484496 -34.4935732, -58.4844935 -34.4935358, -58.4844799 -34.4932488, -58.4844596 -34.4926682, -58.4844423 -34.4917952, -58.4844483 -34.4916833, -58.4844808 -34.4915348, -58.484637 -34.49094, -58.484716 -34.4906336, -58.4848174 -34.4902018, -58.4848362 -34.4900988, -58.4849031 -34.4897958, -58.4849211 -34.4897288, -58.4849774 -34.4895444, -58.484987 -34.4895148, -58.4849989 -34.4894785, -58.4850115 -34.4894395, -58.485022 -34.4894073, -58.4850312 -34.4893789, -58.485053 -34.4893119, -58.4852121 -34.4888142, -58.4855124 -34.48783, -58.4856642 -34.4873784, -58.4857781 -34.4870394, -58.4860184 -34.4868224, -58.4865597 -34.4863027, -58.4868705 -34.4860097, -58.4874067 -34.4855116, -58.487551 -34.4853781, -58.4875971 -34.4853355, -58.4877085 -34.4852363, -58.4877424 -34.4852045, -58.4882353 -34.4847423, -58.4886896 -34.4843214, -58.4891453 -34.4838959, -58.4895822 -34.4834861, -58.4897232 -34.4833528, -58.4897669 -34.4833115, -58.4904369 -34.4826687, -58.4909625 -34.4821087, -58.4915383 -34.4815053, -58.4920619 -34.4809176, -58.4923823 -34.4805579, -58.4924594 -34.4804714, -58.4930422 -34.4798238, -58.4935146 -34.4792969, -58.4936383 -34.4791416, -58.4948651 -34.4784666, -58.4962181 -34.4777781, -58.4962734 -34.4777528, -58.4964192 -34.4776862, -58.4966944 -34.47755, -58.4972804 -34.4772583, -58.4979652 -34.4769155, -58.4980336 -34.476881, -58.4983798 -34.476672, -58.4986008 -34.4765337, -58.4987625 -34.4764228, -58.4992152 -34.4761456, -58.4993276 -34.4760713, -58.4994274 -34.4760084, -58.4995476 -34.4759233, -58.4996124 -34.4758811, -58.5003432 -34.4754038, -58.5012095 -34.4748341, -58.5017571 -34.4744658, -58.501931 -34.474358, -58.5020796 -34.474264, -58.5030437 -34.4736132, -58.5036743 -34.4731712, -58.5041926 -34.4728195, -58.5043286 -34.4727271, -58.5056276 -34.4718851, -58.5063032 -34.4714146, -58.5065782 -34.4712403)"
8,29886059,secondary,3,88.417,60,Roque Sáenz Peña,1,132652496,29603531,700,"LINESTRING (-58.507401 -34.4716552, -58.5065782 -34.4712403)"
9,925991210,primary,6,205.903,60,Avenida del Libertador,0,79291758,3852072909,900,"LINESTRING (-58.4772717 -34.5133429, -58.477358 -34.5131351, -58.4779367 -34.511777, -58.4780136 -34.511595)"
10,3852072909,primary_link,1,59.733,40,Avenida del Libertador,1,382003749,3852072906,900,"LINESTRING (-58.4780136 -34.511595, -58.4779766 -34.5113858, -58.4780642 -34.5111705, -58.4781022 -34.5110769)"
11,4638795402,secondary,2,2070.374,60,Diego Palma,0,"[469578872, 468562739, 468621740]",29651086,700,"LINESTRING (-58.5488457 -34.487365, -58.5480179 -34.4869372, -58.5469721 -34.4863955, -58.5459246 -34.4858451, -58.5450367 -34.4853936, -58.5447953 -34.4852653, -58.5437481 -34.4847109, -58.5426758 -34.4841649, -58.5425976 -34.4841243, -58.5415423 -34.4835764, -58.5414857 -34.4835449, -58.5412421 -34.4834205, -58.5404857 -34.483025, -58.5403791 -34.4829692, -58.5394806 -34.4824993, -58.5393403 -34.482426, -58.5385252 -34.4819965, -58.5382711 -34.4818668, -58.5372727 -34.4813447, -58.5361987 -34.480783, -58.535166 -34.4802637, -58.5340708 -34.4797129, -58.5330232 -34.4791862, -58.5319334 -34.4786381, -58.530918 -34.4781275, -58.5302548 -34.4777851, -58.529829 -34.4775626, -58.5297171 -34.4774701)"
12,3031613253,secondary,4,979.0750000000002,60,Avenida Andrés Rolón,0,"[957706944, 954737556, 954737557, 957706943]",29651086,700,"LINESTRING (-58.5373386 -34.4723947, -58.5371284 -34.4724756, -58.536935 -34.47255, -58.5362185 -34.4728025, -58.5361138 -34.4728382, -58.5351588 -34.4731617, -58.5340012 -34.473594, -58.5337458 -34.4736882, -58.5328601 -34.474015, -58.5323458 -34.4741976, -58.5314616 -34.4745132, -58.5312331 -34.4746072, -58.5305863 -34.4749428, -58.530457 -34.4750229, -58.530363 -34.4751042, -58.5303018 -34.4751907, -58.5302789 -34.4752644, -58.5301677 -34.4756378, -58.5299767 -34.4763506, -58.5297171 -34.4774701)"
13,661131616,secondary,4,485.773,60,Avenida Andrés Rolón,0,"[956677994, 51825446]",29651086,700,"LINESTRING (-58.5279849 -34.4815981, -58.5280532 -34.4814376, -58.528068 -34.4814028, -58.5282617 -34.4809479, -58.5283299 -34.4807879, -58.5284091 -34.4806017, -58.5287355 -34.4798352, -58.5290695 -34.4790508, -58.5294157 -34.4782376, -58.5296347 -34.4777232, -58.5297171 -34.4774701)"
14,4638795402,secondary,1,27.618,60,Diego Palma,1,956682682,4638795409,700,"LINESTRING (-58.5488457 -34.487365, -58.5491358 -34.4874322)"
15,267584123,secondary,1,27.818,60,Diego Palma,1,27584484,4638795402,700,"LINESTRING (-58.5490626 -34.48754, -58.5488457 -34.487365)"
16,661115763,secondary,4,70.431,60,Avenida Andrés Rolón,0,957706943,3031613253,700,"LINESTRING (-58.537942 -34.4720026, -58.5373386 -34.4723947)"
17,2986113883,secondary,2,1584.15,40,Intendente Tomkinson,0,53051863,3031613253,700,"LINESTRING (-58.5223951 -34.4652423, -58.5232423 -34.4656509, -58.5232909 -34.4656727, -58.5244031 -34.4662071, -58.5252726 -34.4666249, -58.5257157 -34.4668378, -58.5261647 -34.4670535, -58.5268583 -34.4673868, -58.5273827 -34.4676388, -58.5283504 -34.4681166, -58.5289098 -34.4683789, -58.5296683 -34.4687346, -58.5298056 -34.4688011, -58.5302491 -34.469016, -58.5309639 -34.4693595, -58.5312879 -34.4695152, -58.5315413 -34.4696369, -58.5316607 -34.4696943, -58.5325541 -34.4701235, -58.5330271 -34.4703508, -58.5332695 -34.4704673, -58.5336568 -34.4706484, -58.5351309 -34.4713477, -58.53559 -34.4715696, -58.5362444 -34.471873, -58.536638 -34.4720428, -58.5372416 -34.4723388, -58.5373386 -34.4723947)"
18,300737060,secondary,2,1715.5839999999998,40,Intendente Tomkinson,0,"[468535370, 954728787, 468425732, 468535373]",3031613253,700,"LINESTRING (-58.5534414 -34.4802564, -58.5526316 -34.4798713, -58.5522587 -34.4796891, -58.5516074 -34.4793749, -58.5515164 -34.4793294, -58.5501083 -34.4786415, -58.5488783 -34.4780371, -58.5482479 -34.477731, -58.5474075 -34.477325, -58.546367 -34.4768071, -58.5458066 -34.4765319, -58.5446186 -34.4759599, -58.544228 -34.4757753, -58.5431646 -34.4752492, -58.5423349 -34.4748189, -58.5421733 -34.4747444, -58.5421161 -34.474718, -58.5417385 -34.4745267, -58.5415903 -34.4744559, -58.5412182 -34.4742783, -58.5411596 -34.4742504, -58.5406193 -34.473992, -58.5400289 -34.4737121, -58.5397146 -34.4735578, -58.538696 -34.4730655, -58.5382425 -34.4728407, -58.5374683 -34.4724601, -58.5373386 -34.4723947)"
19,661131616,secondary,2,43.77,60,Avenida Andrés Rolón,1,4662636,29651089,700,"LINESTRING (-58.5279849 -34.4815981, -58.5279277 -34.4817996, -58.5279178 -34.4818931, -58.5279258 -34.4819857)"
20,32730004,secondary,2,36.366,60,Avenida Andrés Rolón,1,51825452,661131616,700,"LINESTRING (-58.5276777 -34.4818022, -58.5277475 -34.4817687, -58.5278422 -34.4817141, -58.5279849 -34.4815981)"
21,29651089,primary,2,16.393,60,,1,481151579,30491471,900,"LINESTRING (-58.5279258 -34.4819857, -58.5279796 -34.4821263)"
22,32730004,primary,2,30.847,60,,1,481151583,29651089,900,"LINESTRING (-58.5276777 -34.4818022, -58.5277493 -34.4818379, -58.5278314 -34.481892, -58.5279258 -34.4819857)"
23,30491471,primary,3,1622.318,60,Avenida Bernabé Márquez,1,4772383,4638590972,900,"LINESTRING (-58.5279796 -34.4821263, -58.5280994 -34.4822883, -58.5282078 -34.4823731, -58.5287097 -34.4826386, -58.5290169 -34.4827917, -58.529289 -34.4829318, -58.5307771 -34.4836622, -58.5309263 -34.4837367, -58.5322375 -34.4843915, -58.5338546 -34.4852226, -58.5354072 -34.4860369, -58.5363917 -34.486541, -58.5374182 -34.4870687, -58.5403499 -34.4886152, -58.5421124 -34.4895122, -58.5421907 -34.4895569, -58.5422541 -34.4895932, -58.5429021 -34.4899298)"
24,30491471,primary,2,32.848,60,,1,481151582,30491470,900,"LINESTRING (-58.5279796 -34.4821263, -58.52797 -34.4822443, -58.5279474 -34.4823109, -58.527875 -34.4824009)"
25,243089254,secondary,2,1605.1909999999998,40,Intendente Neyer,0,64376482,29651132,700,"LINESTRING (-58.5403497 -34.4701174, -58.5388701 -34.4694265, -58.5386219 -34.4693065, -58.5370254 -34.468535, -58.5358246 -34.4679543, -58.535137 -34.4676143, -58.5341726 -34.4671578, -58.5332294 -34.4667184, -58.5321093 -34.4661554, -58.5312573 -34.4657403, -58.5305997 -34.4654175, -58.5296623 -34.4649735, -58.528696 -34.4645062, -58.5285705 -34.464446, -58.5277784 -34.4640685, -58.5268545 -34.4636142, -58.5259039 -34.4631508, -58.5252428 -34.4628204)"
26,29651132,secondary,2,221.12800000000001,60,Avenida Centenario,1,"[389131604, 389131599]",3922847385,700,"LINESTRING (-58.5252428 -34.4628204, -58.5245196 -34.4634292, -58.5242262 -34.4636796, -58.5236148 -34.4642014, -58.5235619 -34.4642466)"
27,268714835,secondary,2,1159.2999999999997,60,Avenida Centenario,1,"[64361797, 473623399, 716012776, 468233993, 389131595, 389131598, 389131601, 389119572, 389131606, 389131607, 389119576, 389119579, 389119580]",29651132,700,"LINESTRING (-58.5349329 -34.4562097, -58.534811 -34.4563418, -58.5340483 -34.4568449, -58.5332996 -34.4573218, -58.53305 -34.4574688, -58.5322216 -34.4579224, -58.5317363 -34.4581881, -58.531365 -34.4583874, -58.5302145 -34.4589799, -58.5295951 -34.4592849, -58.5293754 -34.4594109, -58.5292229 -34.4595154, -58.5290676 -34.4596402, -58.5283335 -34.4602163, -58.5281377 -34.4603642, -58.5281173 -34.4603796, -58.5277255 -34.4607062, -58.527337 -34.46103, -58.5265438 -34.4617039, -58.5265261 -34.461719, -58.5259618 -34.4622114, -58.5252428 -34.4628204)"
28,300737209,secondary,4,1088.588,60,Avenida Andrés Rolón,0,"[472642497, 205303338, 133113515, 133113516, 957706943]",243089254,700,"LINESTRING (-58.547077 -34.4620962, -58.5464543 -34.4628294, -58.5463614 -34.4629387, -58.5462908 -34.4630219, -58.5462228 -34.4631019, -58.54553 -34.4639063, -58.5449972 -34.4645248, -58.5447817 -34.464775, -58.5444663 -34.465111, -58.5440525 -34.4655518, -58.5439837 -34.4656251, -58.5436629 -34.4659655, -58.5434534 -34.46619, -58.5432704 -34.4663849, -58.5431472 -34.4665084, -58.54245 -34.4671949, -58.5419391 -34.4677427, -58.5418021 -34.4679708, -58.5417557 -34.4680591, -58.5414772 -34.4686071, -58.5413699 -34.4688348, -58.5411644 -34.4691742, -58.5408933 -34.4695378, -58.5403497 -34.4701174)"
29,661115763,secondary,4,304.65000000000003,60,Avenida Andrés Rolón,0,957706943,243089254,700,"LINESTRING (-58.537942 -34.4720026, -58.5380031 -34.4719565, -58.5389474 -34.4712885, -58.5390206 -34.471225, -58.5394308 -34.4708728, -58.5400386 -34.4703731, -58.5401122 -34.4703126, -58.5402631 -34.4701886, -58.5403497 -34.4701174)"
30,3922847385,secondary,3,153.95,60,Avenida Centenario,1,958680917,2986113883,700,"LINESTRING (-58.5235619 -34.4642466, -58.5224313 -34.4652114, -58.5223951 -34.4652423)"
31,3922847384,secondary_link,2,9.979,40,,1,958680916,3922847385,700,"LINESTRING (-58.5234814 -34.4641862, -58.5235619 -34.4642466)"
32,29886053,secondary,2,325.301,60,Roque Sáenz Peña,1,257816202,29886059,700,"LINESTRING (-58.5104222 -34.4731888, -58.5091644 -34.4725271, -58.5080728 -34.4719703, -58.507401 -34.4716552)"
33,29886061,secondary,2,15.16,60,Roque Sáenz Peña,1,378845476,29886053,700,"LINESTRING (-58.5105663 -34.4732557, -58.5104222 -34.4731888)"
34,3822115575,secondary,1,14.237,40,Rivadavia,1,436144323,29886053,700,"LINESTRING (-58.5105634 -34.4731376, -58.5104984 -34.4731693, -58.5104222 -34.4731888)"
35,3922847427,secondary,3,216.17200000000003,60,Roque Sáenz Peña,0,"[608807424, 378845477, 4762898, 261476981, 261476982]",29886061,700,"LINESTRING (-58.5125794 -34.4742608, -58.512503 -34.4741977, -58.5124757 -34.4741751, -58.512155 -34.4740168, -58.5119125 -34.4738993, -58.5115495 -34.4737332, -58.5105663 -34.4732557)"
