fishnetID,osmid,lon,lat
0,1687358486,-58.6328864,-34.7949453
0,2126843486,-58.6452417,-34.8268364
0,1687066944,-58.6404147,-34.8182637
0,1687358694,-58.6315623,-34.7933565
1,7396621427,-58.5429063,-34.8066206
1,616643368,-58.5071168,-34.8252447
1,3237352316,-58.5115397,-34.8089046
1,3844578387,-58.5064856,-34.8231093
2,627128039,-58.4534465,-34.8127631
2,616643434,-58.4829874,-34.8234232
2,625189769,-58.4742636,-34.8132449
2,311895642,-58.4450457,-34.7977671
3,1908168488,-58.4147204,-34.7927597
3,2210835388,-58.4376739,-34.8075188
3,3111993935,-58.4050898,-34.804592
3,310888292,-58.3977019,-34.8142039
4,5137332744,-58.34352,-34.8088383
4,310682722,-58.388591,-34.8003029
4,3273568395,-58.3642666,-34.7957512
4,310543569,-58.3647163,-34.8230323
5,394817596,-58.3385712,-34.8061299
5,2705522047,-58.3354543,-34.8132949
5,656417457,-58.3159173,-34.7937514
5,1907901346,-58.2929126,-34.8109225
6,315099905,-58.249691,-34.7925752
6,2664652640,-58.2777531,-34.8117497
6,2664624203,-58.2780106,-34.8098953
6,5340017152,-58.2382365,-34.8013076
7,4346621095,-58.6489911,-34.7720719
7,692767666,-58.6582032,-34.7616252
7,628817409,-58.6490673,-34.7721272
8,2006946332,-58.6169961,-34.764121
8,1419771932,-58.6146873,-34.7557211
8,5744308340,-58.6121413,-34.7491665
8,1687374648,-58.6177669,-34.7663605
8,298899992,-58.6151057,-34.7568196
9,249799467,-58.5255336,-34.7839394
9,3428076340,-58.5231943,-34.7719093
9,319144955,-58.5225215,-34.7856915
9,617440127,-58.5201758,-34.7870363
10,1426695225,-58.4784073,-34.7642371
10,7296796790,-58.4691513,-34.7733991
10,309568490,-58.4602625,-34.7775638
10,7296795160,-58.4712006,-34.7725424
11,720958100,-58.3915141,-34.7771315
11,307672711,-58.4047585,-34.7710729
11,2146668464,-58.4316216,-34.7592204
11,307678299,-58.4347496,-34.7534521
12,319886740,-58.3431439,-34.7522181
12,485260278,-58.339399,-34.7504703
12,5280837473,-58.3416394,-34.7468749
12,2411367484,-58.3663118,-34.7637852
13,315100243,-58.2876156,-34.7457812
13,5282553229,-58.3251857,-34.7739114
13,648973044,-58.2960863,-34.7821436
13,649120660,-58.2918189,-34.7477878
14,2743992018,-58.2814109,-34.7742391
14,372279323,-58.2374646,-34.7498279
14,315225097,-58.2781935,-34.7727251
14,655343483,-58.2369557,-34.7763678
15,5589760559,-58.7147677,-34.7136394
15,5589760569,-58.7172447,-34.7157472
15,701099664,-58.7353398,-34.7091397
17,692741199,-58.6162037,-34.7049029
17,4934840248,-58.6034116,-34.7339908
17,2126916188,-58.5980546,-34.7234406
17,2126916197,-58.6061495,-34.7413007
18,2461577140,-58.5532909,-34.7336755
18,2126916032,-58.5971149,-34.7193304
18,734351129,-58.5623603,-34.7184197
18,708997109,-58.5575211,-34.7114313
19,244469976,-58.5013234,-34.7060619
19,708966783,-58.5438063,-34.7144744
19,316548750,-58.5072948,-34.7132983
19,6058823851,-58.5339266,-34.7093672
20,2715547058,-58.4623436,-34.7047929
20,2971078448,-58.4592235,-34.7071043
20,2146634270,-58.4477916,-34.7192194
20,313256222,-58.451657,-34.7144698
21,308092611,-58.4280262,-34.7134862
21,295100634,-58.3992725,-34.7448845
21,2146634328,-58.4356017,-34.7344015
21,307913728,-58.4171046,-34.7276529
22,316628882,-58.3621056,-34.7218126
22,5207150962,-58.3642519,-34.7117779
22,1105343200,-58.390668,-34.736409
22,316629763,-58.3568562,-34.7172267
23,2666373007,-58.2996185,-34.7289219
23,510599872,-58.3159841,-34.7101835
23,488954188,-58.3201284,-34.7399581
23,574801319,-58.287665,-34.7229943
24,599068808,-58.2751564,-34.7400885
24,492502352,-58.2750627,-34.7120018
24,655942222,-58.2441935,-34.7427913
24,5005007891,-58.2822743,-34.7084741
25,692932236,-58.7147198,-34.6667284
25,628814630,-58.7273864,-34.6653438
25,628821573,-58.7236355,-34.673209
25,629527211,-58.7185996,-34.6738607
26,692958602,-58.6962661,-34.66551
26,692718073,-58.6910246,-34.6919899
26,692958574,-58.6770397,-34.6814364
26,692946242,-58.6638161,-34.6714934
27,2126916175,-58.6309144,-34.6938295
27,692735372,-58.63439,-34.6911235
27,692713559,-58.638341,-34.6935584
27,4619400770,-58.647397,-34.6632548
28,317680696,-58.5611314,-34.673108
28,692065015,-58.5650486,-34.6840987
28,3232076969,-58.5946025,-34.6711297
28,691939170,-58.5800793,-34.7013726
29,244469974,-58.4974571,-34.7008143
29,321141237,-58.5067388,-34.6979692
29,2960510957,-58.517395,-34.6631057
29,313440215,-58.4962672,-34.6786982
30,249789028,-58.4936754,-34.6971421
30,2693881575,-58.4835586,-34.6874279
30,7326221782,-58.4924286,-34.6946282
30,249804310,-58.4868164,-34.6897902
31,246148828,-58.4617828,-34.7041102
31,3269890386,-58.465162,-34.6937767
31,246148844,-58.464157,-34.7023254
31,3269890244,-58.45812,-34.68743
32,3137628224,-58.4700083,-34.6722541
32,249807662,-58.4777926,-34.6748264
32,235269610,-58.4703344,-34.6636864
32,307416792,-58.47938,-34.677567
33,312105853,-58.4463128,-34.6681002
33,312105604,-58.4487643,-34.6643241
33,312233782,-58.4499887,-34.6800282
33,4586087394,-58.4462656,-34.6833595
34,291634361,-58.3906906,-34.6705549
34,206152015,-58.4398842,-34.6661783
34,1626785437,-58.4422692,-34.6684239
34,291634144,-58.4083173,-34.6761923
35,2667888757,-58.357327,-34.6664356
35,316536469,-58.3801799,-34.6990381
35,308995108,-58.3803724,-34.668764
35,315025034,-58.3649054,-34.7014792
36,315199977,-58.3205584,-34.6799031
36,5432305949,-58.2987678,-34.6883785
36,315202559,-58.3164358,-34.6862837
36,315201040,-58.3068822,-34.6953332
37,193707157,-58.2717617,-34.7035758
37,6152929181,-58.2762198,-34.7029728
37,1641225735,-58.2766798,-34.6986846
37,5351487297,-58.2824571,-34.6934316
38,259311126,-58.7134993,-34.6281875
38,259310279,-58.7036732,-34.6293144
38,259310088,-58.7075849,-34.628379
38,685678357,-58.7518929,-34.6340073
39,227972112,-58.6499851,-34.6312291
39,2207692766,-58.678222,-34.6309545
39,259307461,-58.6881977,-34.6288637
39,259316616,-58.6531741,-34.6301675
40,265677116,-58.6197002,-34.6325781
40,317681880,-58.6300275,-34.6602753
40,265677080,-58.6293576,-34.6316316
40,311346313,-58.5989732,-34.6327985
41,310741107,-58.5490384,-34.6306067
41,313239927,-58.5632049,-34.6287397
41,1529630825,-58.5630443,-34.6405914
41,310741117,-58.5465998,-34.6317536
42,290564204,-58.5435862,-34.6601435
42,290559182,-58.5329864,-34.651668
42,32376375,-58.5286503,-34.6530796
42,298890370,-58.5201927,-34.660595
43,199649264,-58.5021896,-34.6513181
43,2693881496,-58.5164441,-34.6629687
43,232582466,-58.4981982,-34.6438883
43,3189921992,-58.4947651,-34.6449714
44,1836623672,-58.5300799,-34.6294499
44,241968703,-58.5299086,-34.6256675
44,248783968,-58.5255024,-34.6355122
44,242019580,-58.5227578,-34.6370029
45,248779737,-58.4958292,-34.6369304
45,1629199761,-58.5049005,-34.6341711
45,1629199740,-58.5183966,-34.6330388
45,199821186,-58.4999106,-34.6317985
46,243677164,-58.4711455,-34.6492662
46,2154854688,-58.4707836,-34.6581756
46,8287853524,-58.4888203,-34.6465187
46,4480160859,-58.4877419,-34.6523613
47,243677210,-58.4626869,-34.6452115
47,206154241,-58.4428343,-34.6595329
47,312389192,-58.4568669,-34.6540517
47,232789615,-58.4492207,-34.6472776
48,232638752,-58.4936541,-34.6366111
48,232587652,-58.491079,-34.6360293
48,193842688,-58.471588,-34.6263627
48,1629199703,-58.4911585,-34.6269381
49,82629624,-58.4567076,-34.6266601
49,206163409,-58.4430821,-34.6417881
49,206163441,-58.445255,-34.6420428
49,193830110,-58.4545718,-34.6290118
50,194122346,-58.430439,-34.6450752
50,2686027508,-58.4174201,-34.6623121
50,4581629798,-58.4312614,-34.6502873
50,312237085,-58.4233961,-34.6574797
51,206119427,-58.3962271,-34.6425264
51,4581629659,-58.4164721,-34.6496399
51,312399236,-58.4052418,-34.6499569
51,206119299,-58.4131748,-34.6427997
52,194143768,-58.4327362,-34.6340038
52,194122340,-58.4343131,-34.6258565
52,194145197,-58.4257464,-34.6314805
52,195867229,-58.4271706,-34.6251272
53,206106058,-58.3911702,-34.6272312
53,235355154,-58.396247,-34.6304135
53,206105935,-58.415945,-34.6313583
53,81551416,-58.4021389,-34.6237745
54,244891656,-58.3890089,-34.6512115
54,206109388,-58.3740597,-34.6564335
54,243462103,-58.3745475,-34.6498021
54,308995788,-58.373873,-34.6596412
55,291599954,-58.3709191,-34.6560055
55,206111134,-58.3713767,-34.6512585
55,5149826903,-58.3719774,-34.6579075
55,291593853,-58.3630555,-34.6528247
56,248190539,-58.353607,-34.6517028
56,315204579,-58.3518413,-34.65406
56,3785522544,-58.3524635,-34.6495932
56,315204662,-58.3467944,-34.6614808
57,206107672,-58.3898933,-34.6402109
57,437369496,-58.3793466,-34.6436446
57,5842361113,-58.3746181,-34.6387425
57,206111967,-58.3750437,-34.6362431
58,206112024,-58.3695631,-34.6380061
58,4479672675,-58.3569351,-34.6379939
58,244892246,-58.3726373,-34.6488259
58,206110349,-58.3580804,-34.6425517
59,3785544733,-58.3519911,-34.648779
