fishnetid,CO2,CO2psqkm
0,8261227.687052538,381079.11530136934
1,26178176.75715924,1207563.4296408505
2,34506629.34506461,1591743.537520673
3,34846152.87394921,1607405.2927596525
4,25891166.142775007,1194324.0232048517
5,19705931.120031115,909007.6053926611
6,12545435.134310123,578703.7354685626
7,13650290.985064853,629353.2208744986
8,26506950.684823766,1222115.6902301798
9,14357875.671204485,661976.7526183043
10,25353487.631914396,1168934.7222714322
11,94799140.10846308,4370759.8782086065
12,63616907.996894784,2933088.092681566
13,60648907.80414605,2796247.018530388
14,55309905.79746975,2550089.7671697
15,25734779.855782643,1185919.8442972875
17,28057666.1353293,1292963.9670913387
18,46326108.79068135,2134817.2407860206
19,62061775.412908554,2859954.1727943574
20,33764998.4547207,1555971.4104619694
21,74445268.49890071,3430614.977926383
22,54764263.62975507,2523667.4788293275
23,78745542.37411475,3628781.8226831136
24,28232429.006271917,1301017.4557109682
25,11677373.532191409,537851.9105583067
26,25557375.642538104,1177155.4005959611
27,48542107.14654919,2235816.555779725
28,75444258.12863341,3474911.397095182
29,84377817.90951923,3886385.105885978
30,33514599.404275566,6174638.885440793
31,23901407.67207808,4403530.5166151365
32,28134771.356810298,5182178.627709428
33,21693388.454391986,3995732.2768074274
34,57532718.9883102,2649918.043828282
35,85267148.714348,3927347.0800138246
36,57187593.722507074,2634021.8079938767
37,19613986.93857533,903406.9450203398
38,10380773.771110969,477892.5597312778
39,41795136.3558683,1924094.016287004
40,75986760.17481962,3498150.3427701546
41,80254889.75907719,3694639.2960282895
42,49700339.68754249,9152081.67774109
43,33329538.116563916,6137476.26358046
44,52580612.16012057,9680054.300914532
45,32387512.72917008,5962518.673902181
46,50794497.10875869,9353565.574032994
47,56547669.98426639,10412985.054746604
48,55778323.75441353,10268750.791878872
49,69750481.94456017,12841015.44277429
50,43465737.28951592,8004009.235305013
51,23044991.88754105,4243625.88552934
52,105835591.99075732,19484259.223155014
53,85608270.09638926,15760423.264317233
54,21832210.56875015,9045670.399589343
55,29999239.589425046,12429489.570454702
56,29760591.39388234,12330611.222266452
57,46260735.82717729,19163874.805711407
58,13411756.833182167,5555926.084616072
59,28825733.989084344,11941287.735095225
60,61879944.29214849,25629992.593825996
61,67315562.52859518,27881365.906078164
62,23655784.981809422,9797966.058638558
63,17366312.427833445,799082.2549991397
64,16783664.307336263,772272.6616595833
65,40961222.17603688,1884763.1539490712
66,17033594.805282917,783772.8017570019
67,93972990.94119649,4324012.355665838
68,35740050.44546698,6578078.101151026
69,27986578.469485004,5151025.156980565
70,44235155.25125124,8139602.802703321
71,46232636.72106218,8507154.485925833
72,53374925.59981626,9823836.980153125
73,52387310.718801476,9642063.095108196
74,49722113.93580653,9149244.659580497
75,85634227.61002517,15757344.924028015
76,35954488.336263865,14889478.760567144
77,49743404.81477674,20599747.173175182
79,33747098.60143362,13973032.67343298
80,49010913.86707114,20293036.41499723
81,41458753.86607828,17163204.135400232
82,43972100.56105938,18203686.02080222
83,14004824.013170153,644087.9894645143
84,35546334.90780474,1634791.5091306954
85,45640672.91722323,2099034.534772962
86,33690799.06212179,1549454.602997779
87,81885354.34949552,3765943.3063891297
88,32486378.032921035,5976250.960811309
89,39985553.15979538,7355812.342260981
90,48130171.56535763,8851908.213741321
91,51399299.22345878,9453153.067594433
92,23786515.737602025,9845570.384508807
93,53048290.59581409,21957426.829592638
94,54121729.37501292,22401738.101182707
95,27976060.980679616,11577760.992914353
96,23705926.92190162,9810586.13673376
97,24865259.727473732,10288664.714651763
98,20067472.054949038,922911.8279069945
99,24792017.267840985,1139628.7926925875
100,19570924.125498988,899627.8274600828
101,15629171.851516567,718435.0533279501
102,49262856.93223345,2264493.831371544
103,81132883.47589393,3729481.5119073763
104,47375366.78540697,2177730.495657117
105,14269794.659923,655622.1342893387
106,59246413.609461255,2722061.6039217417
107,75491784.18656567,3468451.077905938
108,40538259.65299258,7450080.602039003
109,39049081.20670062,7176400.884389391
110,6038298.757618764,1109437.2953935962
111,16605096.44801379,3050911.1974264244
112,43209526.75688406,1985250.862336759
113,5588951.110363797,256655.6702990623
114,12443362.5159749,571423.7759907478
115,17644163.168083854,810254.8108487247
116,27607505.766724937,1267791.1754687983
