<NUMBER OF ZONES> 113,,,,,,,,,
<NUMBER OF NODES> 13431,,,,,,,,,
<FIRST THRU NODE> 0,,,,,,,,,
<NUMBER OF LINKS> 10540,,,,,,,,,
<END OF METADATA>,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
from,to,capacity (veh/hr),length (m),Free Flow Time (min),B,Power,Speed Limit,Toll,Type
890436096,5644599922,2000,37.56,0.05634,0.15,4,0,0,F
290996346,6373307772,1800,107.071,0.107071,0.15,4,0,0,A
3234849335,317498305,1800,981.08,0.98108,0.15,4,0,0,A
298840127,290564434,1400,3970.588,11.911764,0.15,4,0,0,A
305098789,305098392,1400,70.74,0.07074,0.15,4,0,0,A
5644599922,306356309,2000,320.876,0.481314,0.15,4,0,0,F
290564444,5644599922,4000,8.11,0.012165,0.15,4,0,0,F
290996346,290576689,1800,1480.454,1.480454,0.15,4,0,0,A
317498305,290576689,3600,2056.706,2.056706,0.15,4,0,0,A
317680696,320815756,2800,1158.705,1.158705,0.15,4,0,0,A
298892607,290576689,1400,2306.637,2.306637,0.15,4,0,0,A
320815756,290564204,1400,1037.01,1.03701,0.15,4,0,0,A
290559978,290564204,2800,558.299,0.558299,0.15,4,0,0,A
320815756,290559978,2800,1118.697,1.118697,0.15,4,0,0,A
290576689,290559978,2800,737.308,0.737308,0.15,4,0,0,A
290534208,298874519,1800,48.582,0.048582,0.15,4,0,0,A
5905596150,313235625,700,36.087,0.0541305,0.15,4,0,0,A
298875152,290534208,1800,62.787,0.062787,0.15,4,0,0,A
298875497,290534208,3600,1064.869,1.064869,0.15,4,0,0,A
313235583,313440672,10000,84.27,0.0632025,0.15,4,0,0,F
290427815,5905596150,2100,189.783,0.2846745,0.15,4,0,0,A
5905596150,313235626,2100,3.369,0.0050535,0.15,4,0,0,A
313235678,313235583,8000,766.242,0.5746815,0.15,4,0,0,F
2960510619,290427802,1400,24.028,0.036042,0.15,4,0,0,A
290427802,290427815,2100,113.542,0.170313,0.15,4,0,0,A
290427815,313235583,2000,291.618,0.437427,0.15,4,0,0,F
3372619793,290427802,2100,21.131,0.0316965,0.15,4,0,0,A
6199917623,290427808,1800,445.649,0.445649,0.15,4,0,0,A
290427795,313494615,1800,504.412,0.504412,0.15,4,0,0,A
313494615,2626530837,1800,30.013,0.0450195,0.15,4,0,0,A
313494615,290427802,1800,80.543,0.080543,0.15,4,0,0,A
290559182,290559010,1400,430.873,0.430873,0.15,4,0,0,A
290555804,310363202,700,204.418,0.306627,0.15,4,0,0,A
313491210,290559182,1400,2678.445,4.0176675,0.15,4,0,0,A
290559183,290559182,1400,486.708,0.486708,0.15,4,0,0,A
1529630825,298874598,1800,26.567,0.0398505,0.15,4,0,0,A
317680696,317680825,2800,276.974,0.276974,0.15,4,0,0,A
290546108,1119570237,1400,70.205,0.070205,0.15,4,0,0,A
1529630825,536762933,1800,32.063,0.0480945,0.15,4,0,0,A
317680825,290534212,1400,3422.923,3.422923,0.15,4,0,0,A
305873494,298875497,1800,997.841,0.997841,0.15,4,0,0,A
317681275,317680825,1400,2646.164,2.646164,0.15,4,0,0,A
290534212,1529630825,1800,348.978,0.523467,0.15,4,0,0,A
298875152,298874519,1800,43.238,0.043238,0.15,4,0,0,A
298874519,290534212,1800,80.348,0.080348,0.15,4,0,0,A
298875497,305873494,1800,997.442,0.997442,0.15,4,0,0,A
298840127,298875497,2800,43.155,0.0647325,0.15,4,0,0,A
670872731,3157086662,1800,932.351,0.932351,0.15,4,0,0,A
670872731,6064668323,900,16.638,0.024957,0.15,4,0,0,A
290398105,290386870,3600,877.176,0.877176,0.15,4,0,0,A
319741894,290386870,3600,31.973,0.031973,0.15,4,0,0,A
289105326,6064668323,1800,930.169,0.930169,0.15,4,0,0,A
333263574,1407894409,1400,3300.82,3.30082,0.15,4,0,0,A
6064668323,574270086,1800,2613.138,3.919707,0.15,4,0,0,A
289105326,3157086662,1800,82.85,0.08285,0.15,4,0,0,A
289105288,3157080065,1800,77.672,0.077672,0.15,4,0,0,A
316437063,3157086461,1800,705.075,0.705075,0.15,4,0,0,A
3157080065,289105326,1800,11.555,0.011555,0.15,4,0,0,A
289105288,1407894409,2700,497.715,0.497715,0.15,4,0,0,A
5153028887,317040184,2800,972.008,0.972008,0.15,4,0,0,A
316437063,317040184,1400,11.415,0.011415,0.15,4,0,0,A
3157086461,289105288,1800,12.429,0.012429,0.15,4,0,0,A
317040184,317040635,1800,807.354,0.807354,0.15,4,0,0,A
313632854,313618025,1400,1200.438,1.200438,0.15,4,0,0,A
290427795,313618025,1800,225.955,0.225955,0.15,4,0,0,A
290427808,290427795,1800,60.417,0.060417,0.15,4,0,0,A
313490860,313239893,1400,214.622,0.214622,0.15,4,0,0,A
313239893,290427744,1400,1881.133,1.881133,0.15,4,0,0,A
313618025,290427744,1800,599.643,0.599643,0.15,4,0,0,A
313239893,312767806,1400,1777.244,1.777244,0.15,4,0,0,A
312767017,312767806,1800,2312.821,2.312821,0.15,4,0,0,A
1306391060,1886242473,1400,56.537,0.0848055,0.15,4,0,0,A
304468146,703671717,1400,23.045,0.023045,0.15,4,0,0,A
312767806,290427744,1800,1907.655,1.907655,0.15,4,0,0,A
314458442,1306391060,1400,52.046,0.052046,0.15,4,0,0,A
290398164,290398173,2100,103.89,0.10389,0.15,4,0,0,A
319741894,2960408821,3600,471.011,0.471011,0.15,4,0,0,A
1306391060,290398173,2800,854.218,0.854218,0.15,4,0,0,A
703671717,290398164,1400,55.066,0.165198,0.15,4,0,0,A
292917501,292917502,1800,25.942,0.025942,0.15,4,0,0,A
2781711153,2781711127,1400,10.646,0.010646,0.15,4,0,0,A
292918350,292917501,1800,57.931,0.0868965,0.15,4,0,0,A
292918068,292917501,1800,1273.777,1.273777,0.15,4,0,0,A
298937040,292718845,1400,173.731,0.173731,0.15,4,0,0,A
292718845,292718882,1400,16.587,0.016587,0.15,4,0,0,A
2781711127,2781711130,1400,7.629,0.007629,0.15,4,0,0,A
2781711127,292718882,1400,1240.324,1.240324,0.15,4,0,0,A
2781556408,292718142,1400,17.756,0.026634,0.15,4,0,0,A
292718142,292718046,1400,18.135,0.018135,0.15,4,0,0,A
2781556408,292718046,1400,19.309,0.0289635,0.15,4,0,0,A
292717524,2781556408,1400,96.223,0.1443345,0.15,4,0,0,A
298937043,2155682221,1400,92.372,0.092372,0.15,4,0,0,A
292718142,292712908,1400,1254.48,1.88172,0.15,4,0,0,A
297390242,2871308445,1400,3113.891,9.341673,0.15,4,0,0,A
2871308445,2155682221,700,1238.176,1.238176,0.15,4,0,0,A
292918068,2079452488,2000,20.871,0.0313065,0.15,4,0,0,F
2079452488,3279577706,1800,7.958,0.007958,0.15,4,0,0,A
3279577701,292918068,1800,39.191,0.039191,0.15,4,0,0,A
303722580,292918068,2000,185.367,0.2780505,0.15,4,0,0,F
292917516,2079452488,1800,1235.036,1.235036,0.15,4,0,0,A
292918211,2084599402,1800,543.656,0.543656,0.15,4,0,0,A
292918816,292917516,900,50.242,0.075363,0.15,4,0,0,A
292918213,292917516,1800,26.552,0.026552,0.15,4,0,0,A
292917507,292918211,1800,85.305,0.085305,0.15,4,0,0,A
307456815,307456818,1400,61.611,0.0924165,0.15,4,0,0,A
292918211,292918212,1800,63.111,0.0946665,0.15,4,0,0,A
307456815,292917507,1400,870.252,0.870252,0.15,4,0,0,A
292917502,307456818,1400,881.657,0.881657,0.15,4,0,0,A
292918213,292917501,1400,48.759,0.048759,0.15,4,0,0,A
307456818,307456796,1400,11.068,0.016602,0.15,4,0,0,A
292917502,292917507,1800,65.189,0.065189,0.15,4,0,0,A
2781711142,2781711144,1400,10.014,0.015021,0.15,4,0,0,A
2642085305,2781711144,1400,4441.702,6.662553,0.15,4,0,0,A
4649530074,292711479,1400,16.068,0.016068,0.15,4,0,0,A
2871308445,2781711142,1400,330.411,0.330411,0.15,4,0,0,A
292709841,2781711142,1400,9.237,0.0138555,0.15,4,0,0,A
292709841,2781711144,1400,4.421,0.0066315,0.15,4,0,0,A
2781711144,2781711121,1400,3.634,0.005451,0.15,4,0,0,A
2781711136,292709841,1400,2.844,0.004266,0.15,4,0,0,A
292566367,292896141,1800,1877.148,1.877148,0.15,4,0,0,A
2125308297,292566367,1400,12.358,0.018537,0.15,4,0,0,A
2125825920,292896141,1800,14.759,0.014759,0.15,4,0,0,A
2125825920,2125308297,1800,1877.535,2.8163025,0.15,4,0,0,A
292717522,292717524,1400,19.293,0.019293,0.15,4,0,0,A
292718046,292564872,1400,211.461,0.211461,0.15,4,0,0,A
292566367,292566339,1400,2040.464,3.060696,0.15,4,0,0,A
292717522,292717524,1400,42.767,0.0641505,0.15,4,0,0,A
298932172,292712901,1800,369.797,0.369797,0.15,4,0,0,A
2930471576,1329175732,3600,1004.099,1.004099,0.15,4,0,0,A
292712908,2871308445,700,1239.067,1.239067,0.15,4,0,0,A
2155682221,292712908,1400,9.014,0.009014,0.15,4,0,0,A
298932172,292711934,3600,728.141,0.728141,0.15,4,0,0,A
1329175732,292711934,3600,29.062,0.029062,0.15,4,0,0,A
1329175732,1329175708,900,26.815,0.0402225,0.15,4,0,0,A
2155638164,1329175708,1800,713.497,0.713497,0.15,4,0,0,A
292718845,292711520,1400,21.508,0.021508,0.15,4,0,0,A
4649530077,298937043,1400,447.463,0.447463,0.15,4,0,0,A
1329175708,292711934,1800,31.24,0.03124,0.15,4,0,0,A
292718882,292711520,1400,29.762,0.029762,0.15,4,0,0,A
292711520,292711479,1400,133.85,0.13385,0.15,4,0,0,A
292711479,4649530077,1400,12.977,0.012977,0.15,4,0,0,A
298932172,4649530074,1400,1362.714,1.362714,0.15,4,0,0,A
4649530074,4649530077,1400,15.316,0.015316,0.15,4,0,0,A
292534587,292528621,1800,1373.023,2.0595345,0.15,4,0,0,A
292896141,4015841972,1800,3590.488,5.385732,0.15,4,0,0,A
292534587,4649639199,1400,481.514,0.481514,0.15,4,0,0,A
292534108,292534587,3600,116.546,0.174819,0.15,4,0,0,A
6466089419,4650195634,1800,1040.043,1.5600645,0.15,4,0,0,A
6466089419,6466089412,1800,14.847,0.014847,0.15,4,0,0,A
4015841972,292528621,2700,58.157,0.0872355,0.15,4,0,0,A
292896141,6466089419,1800,11.106,0.016659,0.15,4,0,0,A
308995108,6369605206,1800,128.76,0.12876,0.15,4,0,0,A
310483754,310155465,1400,1189.231,1.189231,0.15,4,0,0,A
292528109,4015841972,1800,82.629,0.082629,0.15,4,0,0,A
292528109,6466089419,1800,3585.85,3.58585,0.15,4,0,0,A
291634361,308995108,1400,1146.745,1.146745,0.15,4,0,0,A
291634361,310483754,1400,439.598,0.439598,0.15,4,0,0,A
310483754,1148246164,1400,14.556,0.021834,0.15,4,0,0,A
1148246164,291634361,1400,506.644,0.759966,0.15,4,0,0,A
5307729587,4645673262,1800,45.098,0.045098,0.15,4,0,0,A
2066520615,2880570090,900,30.835,0.0462525,0.15,4,0,0,A
292564872,292717522,1400,91.997,0.091997,0.15,4,0,0,A
5307729587,4645673262,900,47.787,0.0716805,0.15,4,0,0,A
4649639199,292566339,1400,1746.607,1.746607,0.15,4,0,0,A
2066520615,292534607,1800,34.275,0.034275,0.15,4,0,0,A
2880570090,297390242,1400,101.752,0.101752,0.15,4,0,0,A
292566339,4649639199,1400,1747.333,1.747333,0.15,4,0,0,A
292534607,2880570090,1400,15.33,0.01533,0.15,4,0,0,A
292564872,292566318,2800,913.666,0.913666,0.15,4,0,0,A
297390262,292534607,1400,183.38,0.18338,0.15,4,0,0,A
292534607,5307729587,1800,297.014,0.297014,0.15,4,0,0,A
292534108,292566318,1400,1050.345,1.050345,0.15,4,0,0,A
292566318,292534587,2100,931.461,0.931461,0.15,4,0,0,A
4649639199,292534108,2100,597.167,0.8957505,0.15,4,0,0,A
292534607,292534108,3600,1231.535,1.8473025,0.15,4,0,0,A
291593913,291593860,1400,3003.652,3.003652,0.15,4,0,0,A
1751839977,291593853,1400,813.303,0.813303,0.15,4,0,0,A
480063268,291593901,1400,423.362,0.423362,0.15,4,0,0,A
291593901,291593913,1400,23.662,0.023662,0.15,4,0,0,A
2667888758,1740262070,4500,1620.365,1.620365,0.15,4,0,0,A
1740262070,482787700,5400,452.603,0.452603,0.15,4,0,0,A
291593853,291593901,1400,3043.464,3.043464,0.15,4,0,0,A
291593860,291593853,1400,41.683,0.041683,0.15,4,0,0,A
1740262070,291593845,2800,1370.729,1.370729,0.15,4,0,0,A
4575367520,291593845,1400,170.833,0.170833,0.15,4,0,0,A
1740262069,1740262070,3500,21.432,0.021432,0.15,4,0,0,A
1748098183,4575367520,4200,541.982,0.541982,0.15,4,0,0,A
4438405102,291580368,1400,2332.02,3.49803,0.15,4,0,0,A
291580368,1150939173,1400,2412.504,3.618756,0.15,4,0,0,A
291593845,4575367520,1400,168.434,0.168434,0.15,4,0,0,A
1150939173,315204686,1400,72.2,0.0722,0.15,4,0,0,A
4958936346,308086445,1400,945.775,0.945775,0.15,4,0,0,A
2686027514,1730038413,1400,319.621,0.319621,0.15,4,0,0,A
310155465,4958936346,1400,22.101,0.022101,0.15,4,0,0,A
4958936346,310155470,1400,23.393,0.023393,0.15,4,0,0,A
291634144,4958936346,1400,532.685,0.532685,0.15,4,0,0,A
1730038413,291634144,2800,1578.942,1.578942,0.15,4,0,0,A
1730038413,3292139258,1400,234.046,0.234046,0.15,4,0,0,A
310155465,291634144,1400,524.717,0.524717,0.15,4,0,0,A
2667888758,2667888757,7200,16.305,0.016305,0.15,4,0,0,A
2667888757,291612309,7200,441.947,0.441947,0.15,4,0,0,A
291634361,310507209,4200,14.863,0.014863,0.15,4,0,0,A
1740262069,2667888757,4500,1656.791,1.656791,0.15,4,0,0,A
291593913,315204686,1400,1009.898,1.514847,0.15,4,0,0,A
1751839977,291602573,1800,190.337,0.190337,0.15,4,0,0,A
5149826901,291602573,900,7.085,0.007085,0.15,4,0,0,A
315204686,4438405102,1400,188.573,0.188573,0.15,4,0,0,A
323122807,307452486,10000,240.544,0.111020308,0.15,4,0,0,F
323132740,2493949388,1400,494.788,0.494788,0.15,4,0,0,A
296160140,672076533,2000,292.515,0.4387725,0.15,4,0,0,F
2132413924,323122807,4000,310.638,0.465957,0.15,4,0,0,F
2079452512,296159502,2000,508.379,0.7625685,0.15,4,0,0,F
296159502,296159503,10000,49.013,0.022621385,0.15,4,0,0,F
296159503,323122807,10000,1683.657,0.777072462,0.15,4,0,0,F
296159503,323132740,4000,640.975,0.9614625,0.15,4,0,0,F
2005197355,2005196892,700,114.834,0.172251,0.15,4,0,0,A
2005271800,2005196812,1400,502.984,0.502984,0.15,4,0,0,A
3755800768,481390414,700,66.978,0.066978,0.15,4,0,0,A
481390414,3755800766,700,70.196,0.070196,0.15,4,0,0,A
481390414,295433608,1400,547.884,0.547884,0.15,4,0,0,A
2005197355,295433608,1400,26.73,0.02673,0.15,4,0,0,A
806978903,2005196812,700,125.772,0.188658,0.15,4,0,0,A
2005196892,806978903,1400,44.229,0.044229,0.15,4,0,0,A
298826718,298836308,1400,113.415,0.113415,0.15,4,0,0,A
298836308,298836356,1400,125.54,0.12554,0.15,4,0,0,A
3405347693,3405347893,1400,625.716,0.625716,0.15,4,0,0,A
3405347693,298826718,1400,201.71,0.20171,0.15,4,0,0,A
298830019,5265021067,4000,53.661,0.160983,0.15,4,0,0,F
298834097,298824020,1400,8.521,0.008521,0.15,4,0,0,A
298836356,298834097,1400,1053.572,1.053572,0.15,4,0,0,A
298836356,298830019,1400,8.74,0.01311,0.15,4,0,0,A
298573206,298573266,1400,59.041,0.0885615,0.15,4,0,0,A
2306753494,486817048,1400,19.405,0.0291075,0.15,4,0,0,A
298824020,298830019,1400,1052.641,1.052641,0.15,4,0,0,A
486817048,298573206,1400,40.439,0.0606585,0.15,4,0,0,A
307452508,296160140,12000,322.722,0.148948615,0.15,4,0,0,F
296160140,672076497,10000,1012.111,0.467128154,0.15,4,0,0,F
2306753494,8626705414,1400,9.499,0.0142485,0.15,4,0,0,A
672076513,672076497,2000,454.59,0.681885,0.15,4,0,0,F
2492628738,295420422,1400,65.246,0.065246,0.15,4,0,0,A
295420422,2004962543,1400,30.438,0.030438,0.15,4,0,0,A
295425876,1120478937,1800,18.311,0.018311,0.15,4,0,0,A
2005197355,2004962543,1400,540.524,0.810786,0.15,4,0,0,A
2004962543,295420394,700,34.469,0.034469,0.15,4,0,0,A
295420422,295420394,1400,27.931,0.027931,0.15,4,0,0,A
295420422,2728609099,1400,19.242,0.019242,0.15,4,0,0,A
2728609099,2492628738,1400,55.07,0.05507,0.15,4,0,0,A
4760913954,4760913926,1400,10.578,0.010578,0.15,4,0,0,A
4760913954,7090645372,1400,392.391,0.392391,0.15,4,0,0,A
295420394,2728609099,1400,25.295,0.025295,0.15,4,0,0,A
4760913923,4760913954,1400,8.583,0.008583,0.15,4,0,0,A
295420390,4760913954,1400,541.491,0.541491,0.15,4,0,0,A
307739689,1977369010,1800,1324.237,1.324237,0.15,4,0,0,A
4760913919,295420390,1400,554.604,0.554604,0.15,4,0,0,A
295420394,295420390,2800,171.889,0.171889,0.15,4,0,0,A
718958981,6513744234,700,610.211,0.9153165,0.15,4,0,0,A
6513744234,718958981,700,609.604,1.219208,0.15,4,0,0,A
2005196812,295433608,1400,75.118,0.075118,0.15,4,0,0,A
806978903,295433608,1400,69.84,0.06984,0.15,4,0,0,A
1707846559,1707846546,1400,421.51,0.42151,0.15,4,0,0,A
1707846546,4760913941,1400,1410.675,2.1160125,0.15,4,0,0,A
1707846554,1707846559,1800,22.628,0.022628,0.15,4,0,0,A
1707846559,1707846557,1400,41.266,0.041266,0.15,4,0,0,A
295433531,1707846559,1400,422.432,0.422432,0.15,4,0,0,A
1707846546,295433531,1400,4.412,0.006618,0.15,4,0,0,A
4772053442,295433531,1400,1403.601,2.1054015,0.15,4,0,0,A
6513744234,295433531,1400,156.688,0.235032,0.15,4,0,0,A
2696623869,295425876,1400,23.168,0.023168,0.15,4,0,0,A
1707846559,295425876,1800,89.062,0.089062,0.15,4,0,0,A
2696623869,1120478937,1800,27.986,0.041979,0.15,4,0,0,A
1120478937,603903484,1800,393.234,0.393234,0.15,4,0,0,A
293393811,293393806,1400,36.326,0.054489,0.15,4,0,0,A
3269890212,293393729,2100,86.863,0.086863,0.15,4,0,0,A
3269890383,3269890386,3500,1625.753,1.625753,0.15,4,0,0,A
293393811,3269890244,1400,24.716,0.037074,0.15,4,0,0,A
3168224306,3168224291,1400,276.315,0.276315,0.15,4,0,0,A
3168224306,3269890212,2100,19.392,0.019392,0.15,4,0,0,A
293393729,3269890383,1400,981.193,0.981193,0.15,4,0,0,A
293393729,293393811,1400,32.637,0.0489555,0.15,4,0,0,A
293393834,293393869,2100,789.341,0.789341,0.15,4,0,0,A
293393869,312233234,2800,54.458,0.054458,0.15,4,0,0,A
293393834,293393724,1400,71.45,0.107175,0.15,4,0,0,A
293393724,3168224306,2100,97.327,0.097327,0.15,4,0,0,A
312233782,293393683,2800,77.34,0.07734,0.15,4,0,0,A
4482382001,293395176,1400,381.555,0.381555,0.15,4,0,0,A
293393707,293393724,2100,792.602,0.792602,0.15,4,0,0,A
293393707,293393869,1400,83.357,0.1250355,0.15,4,0,0,A
5282938501,314822828,1400,9.285,0.009285,0.15,4,0,0,A
308993299,308993205,2700,1080.655,1.080655,0.15,4,0,0,A
308993299,307739689,1400,10.993,0.010993,0.15,4,0,0,A
5282938501,310395300,700,2366.26,2.36626,0.15,4,0,0,A
295100634,307739689,2700,1080.315,1.080315,0.15,4,0,0,A
295100634,5282938501,1400,516,0.774,0.15,4,0,0,A
308993205,308993074,2700,2961.498,2.961498,0.15,4,0,0,A
307672711,295100634,2700,2954.984,2.954984,0.15,4,0,0,A
312233234,312233782,2800,57.713,0.057713,0.15,4,0,0,A
312233234,4586087392,1400,124.422,0.124422,0.15,4,0,0,A
308993205,295100634,1400,11.099,0.011099,0.15,4,0,0,A
295058151,295058151,1400,2132.157,2.132157,0.15,4,0,0,A
293393806,293393834,2100,170.857,0.170857,0.15,4,0,0,A
3269890383,3269890386,1400,30.834,0.046251,0.15,4,0,0,A
3269890386,3269890244,2800,955.898,0.955898,0.15,4,0,0,A
3269890244,293393806,2100,40.028,0.040028,0.15,4,0,0,A
641359668,300757698,1400,10.034,0.010034,0.15,4,0,0,A
648213143,292921463,3600,631.568,0.631568,0.15,4,0,0,A
300740346,300757698,1400,896.114,0.896114,0.15,4,0,0,A
300757698,300757599,1400,917.045,0.917045,0.15,4,0,0,A
