,osmid,y,x,highway,street_cou,lon,lat,ref,geometry
0,29603460,-34.4705133,-58.5074268,traffic_signals,3,-58.5074268,-34.4705133,,POINT (-58.5074268 -34.4705133)
1,243092050,-34.4708022,-58.5080179,traffic_signals,4,-58.5080179,-34.4708022,,POINT (-58.5080179 -34.4708022)
2,29886102,-34.4663514,-58.5132054,traffic_signals,3,-58.5132054,-34.4663514,,POINT (-58.5132054 -34.4663514)
3,29603531,-34.4712403,-58.5065782,traffic_signals,3,-58.5065782,-34.4712403,,POINT (-58.5065782 -34.4712403)
4,3852072909,-34.511595,-58.4780136,,3,-58.4780136,-34.511595,,POINT (-58.4780136 -34.511595)
5,29651086,-34.4774701,-58.5297171,traffic_signals,3,-58.5297171,-34.4774701,,POINT (-58.5297171 -34.4774701)
6,4638795402,-34.487365,-58.5488457,,3,-58.5488457,-34.487365,,POINT (-58.5488457 -34.487365)
7,3031613253,-34.4723947,-58.5373386,traffic_signals,4,-58.5373386,-34.4723947,,POINT (-58.5373386 -34.4723947)
8,661131616,-34.4815981,-58.5279849,,3,-58.5279849,-34.4815981,,POINT (-58.5279849 -34.4815981)
9,29651089,-34.4819857,-58.5279258,,3,-58.5279258,-34.4819857,,POINT (-58.5279258 -34.4819857)
10,30491471,-34.4821263,-58.5279796,,3,-58.5279796,-34.4821263,,POINT (-58.5279796 -34.4821263)
11,29651132,-34.4628204,-58.5252428,traffic_signals,3,-58.5252428,-34.4628204,,POINT (-58.5252428 -34.4628204)
12,243089254,-34.4701174,-58.5403497,traffic_signals,3,-58.5403497,-34.4701174,,POINT (-58.5403497 -34.4701174)
13,3922847385,-34.4642466,-58.5235619,,3,-58.5235619,-34.4642466,,POINT (-58.5235619 -34.4642466)
14,29886053,-34.4731888,-58.5104222,,3,-58.5104222,-34.4731888,,POINT (-58.5104222 -34.4731888)
15,29886059,-34.4716552,-58.507401,traffic_signals,3,-58.507401,-34.4716552,,POINT (-58.507401 -34.4716552)
16,29886061,-34.4732557,-58.5105663,,3,-58.5105663,-34.4732557,,POINT (-58.5105663 -34.4732557)
17,3922847427,-34.4742608,-58.5125794,traffic_signals,4,-58.5125794,-34.4742608,,POINT (-58.5125794 -34.4742608)
18,2613785025,-34.4465268,-58.5459096,,3,-58.5459096,-34.4465268,,POINT (-58.5459096 -34.4465268)
19,29886183,-34.4464796,-58.5461084,traffic_signals,3,-58.5461084,-34.4464796,,POINT (-58.5461084 -34.4464796)
20,300718299,-34.4463615,-58.5466416,,3,-58.5466416,-34.4463615,,POINT (-58.5466416 -34.4463615)
21,29886231,-34.4336565,-58.5645032,,3,-58.5645032,-34.4336565,,POINT (-58.5645032 -34.4336565)
22,247768573,-34.4330731,-58.5637125,traffic_signals,3,-58.5637125,-34.4330731,,POINT (-58.5637125 -34.4330731)
23,29886266,-34.447315,-58.5469682,traffic_signals,3,-58.5469682,-34.447315,,POINT (-58.5469682 -34.447315)
24,2613785033,-34.4466632,-58.5463176,,3,-58.5463176,-34.4466632,,POINT (-58.5463176 -34.4466632)
25,268714835,-34.4562097,-58.5349329,traffic_signals,3,-58.5349329,-34.4562097,,POINT (-58.5349329 -34.4562097)
26,30491461,-34.4956567,-58.5531548,traffic_signals,4,-58.5531548,-34.4956567,,POINT (-58.5531548 -34.4956567)
27,597709271,-34.4944525,-58.5555052,,3,-58.5555052,-34.4944525,,POINT (-58.5555052 -34.4944525)
28,32724523,-34.495739,-58.5547472,,3,-58.5547472,-34.495739,,POINT (-58.5547472 -34.495739)
29,30491463,-34.4823053,-58.5275084,,3,-58.5275084,-34.4823053,,POINT (-58.5275084 -34.4823053)
30,4638678634,-34.4819979,-58.5273935,,3,-58.5273935,-34.4819979,,POINT (-58.5273935 -34.4819979)
31,30491470,-34.4824009,-58.527875,,3,-58.527875,-34.4824009,,POINT (-58.527875 -34.4824009)
32,3031249003,-34.4824277,-58.5277947,,3,-58.5277947,-34.4824277,,POINT (-58.5277947 -34.4824277)
33,4638590972,-34.4899298,-58.5429021,traffic_signals,3,-58.5429021,-34.4899298,,POINT (-58.5429021 -34.4899298)
34,30491484,-34.4846685,-58.6187183,,3,-58.6187183,-34.4846685,,POINT (-58.6187183 -34.4846685)
35,603451893,-34.4840212,-58.6234687,,3,-58.6234687,-34.4840212,,POINT (-58.6234687 -34.4840212)
36,30491490,-34.4693023,-58.6812697,,3,-58.6812697,-34.4693023,,POINT (-58.6812697 -34.4693023)
37,30958677,-34.4611971,-58.6891237,,3,-58.6891237,-34.4611971,,POINT (-58.6891237 -34.4611971)
38,3376921988,-34.461989,-58.7058093,,3,-58.7058093,-34.461989,,POINT (-58.7058093 -34.461989)
39,30491519,-34.4476336,-58.7513279,,3,-58.7513279,-34.4476336,,POINT (-58.7513279 -34.4476336)
40,742399417,-34.4492358,-58.7462859,,3,-58.7462859,-34.4492358,,POINT (-58.7462859 -34.4492358)
41,742399419,-34.4486507,-58.7494606,,1,-58.7494606,-34.4486507,,POINT (-58.7494606 -34.4486507)
42,30491540,-34.484911,-58.6184506,,3,-58.6184506,-34.484911,,POINT (-58.6184506 -34.484911)
43,2079452518,-34.486326,-58.6083182,,3,-58.6083182,-34.486326,,POINT (-58.6083182 -34.486326)
44,303722565,-34.4856339,-58.6159102,,1,-58.6159102,-34.4856339,,POINT (-58.6159102 -34.4856339)
45,30491545,-34.4930252,-58.5611908,motorway_junction,3,-58.5611908,-34.4930252,,POINT (-58.5611908 -34.4930252)
