fishnetid,CO2,CO2psqkm
0,9531397.290247066,723384.382153648
1,13381207.723137142,1015565.3349141455
2,23086196.5338448,1752124.4270237826
3,11872721.867125383,901078.9615410645
4,10910018.07574384,828014.6598319494
5,7814187.06665731,593056.8951343588
6,9129094.969881453,692851.6903986245
7,4472685.506733367,339453.9901475479
8,589531.3386192428,44742.418153484316
9,10173469.131640162,772369.7232317621
10,10582417.687680343,803417.0954659836
11,7346111.293959375,2230866.9165127897
12,5232358.555415707,1588962.5312657433
13,5146990.851600873,1563296.7816863367
14,8037195.496475295,2441139.34057524
15,15310919.53097543,1162404.9306624995
16,5851107.456122316,444216.04744731815
17,8716193.629010292,661733.3746985708
18,6514454.003881187,494577.3138814955
19,9221973.866098,2800528.821247307
20,1843360.1586156515,559791.5725094327
21,5457329.9809698025,1657556.1608385048
22,1657143.1745018566,503324.49895211146
23,2328346.220279945,176768.03285833597
25,18042018.166388646,1370203.552229005
26,3021788.6228041174,2065411.3666191257
27,3387653.485483951,2315482.281678923
28,2269077.8158569904,1550928.836400655
29,2720647.5514014317,1859785.0072213428
30,6130464.4712576745,4190673.615577067
31,5607125.138276745,3832928.3998617902
32,3949463.6655509486,2700079.6689085565
33,4166783.4863973767,2848651.9510213747
34,3431724.7448364752,2346123.6758917687
35,4170957.362474619,1267055.7190258617
36,5908086.976798667,1794761.9076148055
37,11008233.245704265,3344641.3864551056
38,7168109.298227346,2177893.0811481937
39,15036250.479125358,1141930.111626201
40,3197467.115579928,971328.317005141
41,2757136.7499280395,837564.5166173665
42,3319647.9546372117,1008611.617297752
43,2585191.899766678,785461.1750039238
44,3466108.039740778,263234.0520147563
45,12421231.332496721,943332.1227086878
46,2919206.4857660034,221699.53824446033
47,10156962.247256327,771627.6929569495
48,17832615.09355402,1354749.5116214843
49,17111915.030853566,1299997.695757868
50,5006537.197765431,3423134.175741637
51,2235962.570835355,1528801.1632714618
52,1981102.3027341522,1354544.8141587966
53,3365302.0964205866,2301222.2875656434
54,2189475.0841345186,1497181.7439626146
55,1636704.5619083755,1119192.5444161613
56,1021298.9405543654,698450.2198839979
57,1044567.2659022057,714363.0601995965
58,1967917.7265996165,1345827.861243388
59,2919211.5663051903,887093.768301883
60,4548007.643603296,1382054.4168151002
61,4750857.750311958,1443936.3607048388
62,3388518.6808475885,1029878.3060558169
63,8134907.773569834,618011.563391689
64,7650968.225813004,581246.5200967706
65,9509301.487395389,722424.6964522378
67,12121172.724755764,921155.1656728538
68,15619425.256068833,1187006.7844247103
69,9668924.352473864,734795.2063739622
70,9157751.32359582,695948.3318351205
71,7116149.169318492,540795.6569770272
72,9349410.519833758,710513.5775147962
73,649482.0942139251,49357.747775955126
74,9805369.745923096,745164.4488443155
75,622655.7559251882,47334.79866570266
77,12032939.181987224,914753.855747457
78,8926709.751925772,678615.7597252947
79,10577720.813024761,804126.96785011
80,10931682.2934263,831035.4084301502
81,11982128.680555975,910891.1999662099
82,11667020.528119178,886936.4210832006
83,5422133.318620653,412194.99945697165
