from,to,capacity (veh/hr),length (m),Free Flow Time (min),B,Power,Speed Limit,Toll,Type
3984547307,9784949118,1200,42.528,0.042527999999999996,0.15,4,0,0,A
4091044900,9784949143,1400,52.761,0.052761,0.15,4,0,0,A
1067571026,2916372149,1800,40.983,0.040983,0.15,4,0,0,A
1067571015,2370546572,1400,36.071,0.036071,0.15,4,0,0,A
2370546572,1067571056,1400,415.90099999999995,0.41590099999999997,0.15,4,0,0,A
3992697239,6019551947,1200,140.065,0.140065,0.15,4,0,0,A
3992697239,7674928571,1400,66.176,0.066176,0.15,4,0,0,A
2916372149,3029841304,1800,34.278,0.034277999999999996,0.15,4,0,0,A
2916372149,1331315681,1200,74.845,0.074845,0.15,4,0,0,A
1067571056,2370546591,1400,218.369,0.21836899999999998,0.15,4,0,0,A
2370546591,2370546572,1200,31.906,0.031906,0.15,4,0,0,A
2370546591,1067571015,1400,44.009,0.044009,0.15,4,0,0,A
3980689115,9783698738,1800,1483.9220000000005,2.225883000000001,0.15,4,0,0,A
9771229436,9016911523,1800,149.068,0.149068,0.15,4,0,0,A
1073220447,1073220575,1800,32.134,0.032134,0.15,4,0,0,A
1073220575,1073220929,1800,193.49599999999998,0.19349599999999997,0.15,4,0,0,A
1073220455,3980567292,1800,7.994,0.007994,0.15,4,0,0,A
3980567292,3405474001,1800,27.078,0.027078,0.15,4,0,0,A
3980567292,1073265181,1800,94.202,0.094202,0.15,4,0,0,A
1073220929,1073220773,1800,61.93,0.061930000000000006,0.15,4,0,0,A
1073220929,3405474001,1800,153.899,0.153899,0.15,4,0,0,A
1073220583,1073220575,1800,17.927,0.017927,0.15,4,0,0,A
1073220583,1073220447,1800,39.769,0.039769,0.15,4,0,0,A
1073220659,1073220455,1800,68.05799999999999,0.068058,0.15,4,0,0,A
1073220710,2916396459,1800,56.82899999999999,0.056829,0.15,4,0,0,A
2916396459,1073220791,1800,397.5539999999999,0.3975539999999999,0.15,4,0,0,A
1073220773,1073265181,1800,54.653,0.054653,0.15,4,0,0,A
1073220773,1073220710,1800,66.24600000000001,0.06624600000000001,0.15,4,0,0,A
1073265181,2916398205,1400,803.914,0.8039139999999999,0.15,4,0,0,A
1073265181,1073220710,1800,35.159,0.035159,0.15,4,0,0,A
1073220791,1073220583,1800,7.294,0.007294,0.15,4,0,0,A
1073220791,2916353513,1200,302.29900000000004,0.30229900000000004,0.15,4,0,0,A
2916353513,1331315681,1200,48.228,0.04822800000000001,0.15,4,0,0,A
2916353513,3029841304,1200,74.621,0.07462099999999999,0.15,4,0,0,A
3405474001,3405474003,1800,5.888999999999999,0.005888999999999999,0.15,4,0,0,A
3029855824,2916330938,1200,193.235,0.19323500000000002,0.15,4,0,0,A
2916398205,2916398217,1400,264.06600000000003,0.264066,0.15,4,0,0,A
9784527896,9784527903,1400,43.194,0.043194,0.15,4,0,0,A
9784060897,9784060911,1200,24.936,0.024936,0.15,4,0,0,A
1330605009,1330605566,1400,438.33799999999997,0.438338,0.15,4,0,0,A
1330605566,3416239363,1400,479.074,0.47907400000000006,0.15,4,0,0,A
1330605166,1330605388,1400,13.233,0.013233,0.15,4,0,0,A
1330605166,3989846958,1400,25.504,0.025504,0.15,4,0,0,A
1330605388,3989929957,1400,13.252999999999998,0.013253,0.15,4,0,0,A
3989846958,1330605388,1400,27.145000000000003,0.027145000000000006,0.15,4,0,0,A
3980386435,3980386437,1400,38.931000000000004,0.038931,0.15,4,0,0,A
3988788460,3988795029,1400,46.794,0.046793999999999995,0.15,4,0,0,A
3989929957,3416239360,1400,15.584,0.015583999999999999,0.15,4,0,0,A
3989929957,1334516810,1400,24.456,0.024456,0.15,4,0,0,A
1330605474,1335061028,1400,22.005,0.022005,0.15,4,0,0,A
1335061028,1330605166,1400,19.541,0.019541,0.15,4,0,0,A
9784010390,9784010392,1400,35.86,0.035859999999999996,0.15,4,0,0,A
1334516810,3416239360,1400,24.988,0.024988,0.15,4,0,0,A
1330605641,3032776825,1400,341.462,0.34146200000000004,0.15,4,0,0,A
3032776825,1330605641,1400,341.641,0.34164100000000003,0.15,4,0,0,A
3032776825,7635344834,1400,106.645,0.106645,0.15,4,0,0,A
7635344825,7635344827,1400,23.427000000000003,0.023427000000000003,0.15,4,0,0,A
1331315637,2916365919,1200,61.885,0.061884999999999996,0.15,4,0,0,A
1331315637,6749367530,1800,61.819,0.061819000000000006,0.15,4,0,0,A
2916365919,6749367530,1200,2.806,0.0028060000000000003,0.15,4,0,0,A
2916365919,2916372149,1200,114.979,0.114979,0.15,4,0,0,A
6749367530,2370546591,1200,447.0640000000001,0.4470640000000001,0.15,4,0,0,A
6749367530,1067571031,1800,38.879999999999995,0.03888,0.15,4,0,0,A
1331315653,9771229466,1200,41.427,0.041427,0.15,4,0,0,A
9771229466,9771229477,1200,12.235,0.012235,0.15,4,0,0,A
9771229466,9771229470,1800,15.570999999999998,0.015570999999999998,0.15,4,0,0,A
1331315681,1067571010,1200,41.718,0.041718000000000005,0.15,4,0,0,A
1331315681,3029651126,1200,160.554,0.160554,0.15,4,0,0,A
3029651126,1073220447,1200,116.10500000000002,0.11610500000000001,0.15,4,0,0,A
3416239360,1335060974,1400,3.864,0.0038640000000000002,0.15,4,0,0,A
9074525746,9784010387,1800,61.58400000000001,0.06158400000000001,0.15,4,0,0,A
1338457101,4256570954,1200,39.715999999999994,0.039715999999999994,0.15,4,0,0,A
9770768344,9770768319,1400,47.78,0.04778,0.15,4,0,0,A
1334565566,3982830207,1200,41.914,0.041914,0.15,4,0,0,A
3982830207,3982830213,1400,21.773000000000003,0.021773,0.15,4,0,0,A
3982830207,3982833158,1200,15.945,0.015945,0.15,4,0,0,A
1335060974,1335061028,1400,15.309000000000001,0.015309000000000001,0.15,4,0,0,A
1335060974,1330605474,1400,24.453000000000003,0.024453000000000006,0.15,4,0,0,A
3988880743,3988880750,1200,31.97,0.03197,0.15,4,0,0,A
1335061003,3988880782,1400,128.685,0.128685,0.15,4,0,0,A
3989680428,9784060883,1400,71.09700000000001,0.07109700000000001,0.15,4,0,0,A
3988880782,3988867788,1400,22.731,0.022731,0.15,4,0,0,A
3988880782,3988880784,1400,31.839,0.031839,0.15,4,0,0,A
3988859211,9784060896,1400,131.903,0.131903,0.15,4,0,0,A
9783820471,9783820480,1400,31.055,0.031055,0.15,4,0,0,A
4020011665,9019188138,1400,22.795,0.022795,0.15,4,0,0,A
1338456909,4256531766,1800,35.513,0.035512999999999996,0.15,4,0,0,A
1338457022,9784032134,1800,88.984,0.088984,0.15,4,0,0,A
4256531766,3526691229,1800,7.631,0.007631000000000001,0.15,4,0,0,A
4256531766,9784032134,1800,46.126999999999995,0.046127,0.15,4,0,0,A
1338456932,9783883952,1400,114.85799999999999,0.11485799999999999,0.15,4,0,0,A
9783883952,9783883950,1400,5.697,0.005697,0.15,4,0,0,A
3999732216,3999734820,1400,21.282,0.021282000000000002,0.15,4,0,0,A
9784032134,3526691217,1800,83.76400000000001,0.083764,0.15,4,0,0,A
9784108632,9784108651,1400,33.965,0.033965,0.15,4,0,0,A
4256570954,3526690811,1800,7.699,0.007699,0.15,4,0,0,A
4256570954,4173224932,1400,123.374,0.123374,0.15,4,0,0,A
1338457143,9784108631,1400,116.038,0.116038,0.15,4,0,0,A
9783820461,9783820470,1400,86.979,0.086979,0.15,4,0,0,A
9784108631,9784108639,1400,7.482,0.007482,0.15,4,0,0,A
9784949127,9784949147,1400,57.81100000000001,0.05781100000000001,0.15,4,0,0,A
9098857474,9783820474,1400,50.938,0.050938000000000004,0.15,4,0,0,A
1392107009,9784101195,1400,78.526,0.07852599999999998,0.15,4,0,0,A
9784101195,9784101200,1400,7.633,0.007633,0.15,4,0,0,A
9784101195,9784101197,1200,26.81,0.026809999999999997,0.15,4,0,0,A
1392107018,4124403485,1400,55.419,0.055418999999999996,0.15,4,0,0,A
4124403485,4250418571,1200,10.395,0.010395,0.15,4,0,0,A
4124403485,3982483979,1400,111.25699999999999,0.11125699999999998,0.15,4,0,0,A
3982530847,3982532685,1400,32.04,0.03204,0.15,4,0,0,A
3982463149,10801510405,1400,115.612,0.11561199999999999,0.15,4,0,0,A
1392550038,3409128252,1400,349.06,0.34906,0.15,4,0,0,A
9784527820,9784527880,1400,181.59999999999997,0.18159999999999996,0.15,4,0,0,A
3097356289,4404070983,1400,30.089,0.030088999999999998,0.15,4,0,0,A
4126284489,9770768343,1400,109.54399999999998,0.10954399999999999,0.15,4,0,0,A
1837501367,9784126694,1400,59.162000000000006,0.059162000000000006,0.15,4,0,0,A
9784126694,4007324411,1400,117.26099999999998,0.11726099999999998,0.15,4,0,0,A
9784126694,9837102189,1400,20.894,0.020894,0.15,4,0,0,A
9784143128,9784143142,1400,89.53099999999999,0.089531,0.15,4,0,0,A
1837501419,3982994349,1400,26.312,0.026312000000000002,0.15,4,0,0,A
3986867504,9074525779,1400,20.478,0.020478,0.15,4,0,0,A
3982994352,3982994349,1400,35.0,0.035,0.15,4,0,0,A
3982994349,1837501498,1400,24.480999999999998,0.024481,0.15,4,0,0,A
1837501498,3986867504,1400,52.656000000000006,0.05265600000000001,0.15,4,0,0,A
3980634482,9783972302,1800,240.939,0.2891268,0.15,4,0,0,A
3982994351,9074525779,1400,27.830999999999996,0.027830999999999995,0.15,4,0,0,A
3526691077,9783684680,1400,19.166,0.019166,0.15,4,0,0,A
1876012697,3526686370,1200,34.194,0.034194,0.15,4,0,0,A
3526691045,9771229491,1200,61.471000000000004,0.061471000000000005,0.15,4,0,0,A
3526686370,9016737893,1200,9.13,0.009130000000000001,0.15,4,0,0,A
3526686370,1876012739,1800,136.206,0.136206,0.15,4,0,0,A
1876012739,9016737893,1800,133.698,0.133698,0.15,4,0,0,A
9016737893,3526690835,1800,8.719,0.008719,0.15,4,0,0,A
3526691405,3526691231,1800,120.21499999999999,0.12021499999999999,0.15,4,0,0,A
1877378924,3526691015,1400,25.271,0.025271,0.15,4,0,0,A
3526691015,3526691399,1400,6.851,0.006851,0.15,4,0,0,A
3526691015,3526691030,1800,137.59799999999998,0.41279399999999994,0.15,4,0,0,A
3097356292,3097356289,1400,59.788,0.059787999999999994,0.15,4,0,0,A
9783883951,9783883964,1200,20.08,0.02008,0.15,4,0,0,A
9783865799,9783865811,1200,21.426,0.021426,0.15,4,0,0,A
1908801841,3982567594,1200,58.026999999999994,0.05802699999999999,0.15,4,0,0,A
9784126634,9784126644,1200,7.171,0.007170999999999999,0.15,4,0,0,A
3982567594,9019188138,1200,5.23,0.00523,0.15,4,0,0,A
3982567594,4020011665,1400,25.424999999999997,0.025424999999999996,0.15,4,0,0,A
1910224505,2867470429,1200,172.55199999999996,0.17255199999999996,0.15,4,0,0,A
2867470429,1910224505,1200,176.66400000000002,0.17666400000000002,0.15,4,0,0,A
9784655837,9784655823,1200,25.45,0.02545,0.15,4,0,0,A
4016894943,9784655819,1400,100.338,0.100338,0.15,4,0,0,A
3979578162,9784143144,1400,65.008,0.065008,0.15,4,0,0,A
3980734217,9783684657,1400,96.71600000000001,0.09671600000000001,0.15,4,0,0,A
9783684667,9783684688,1200,10.319,0.010319000000000002,0.15,4,0,0,A
3982483978,4250418572,1200,32.75,0.03275,0.15,4,0,0,A
2887261923,4250423777,1200,38.957,0.038957,0.15,4,0,0,A
2370340774,9784126640,1400,68.925,0.068925,0.15,4,0,0,A
3982530845,4124408498,1400,153.709,0.153709,0.15,4,0,0,A
9784126640,9784126638,1400,27.067,0.027067,0.15,4,0,0,A
9784126640,9784126628,1400,33.628,0.033628,0.15,4,0,0,A
10801462893,10801462890,1400,64.781,0.064781,0.15,4,0,0,A
3982483979,3982483141,1400,66.85900000000001,0.066859,0.15,4,0,0,A
4250423777,4124408498,1200,8.96,0.008960000000000001,0.15,4,0,0,A
4250423777,3982530845,1400,157.177,0.15717699999999998,0.15,4,0,0,A
2916348987,2916353513,1200,513.056,0.513056,0.15,4,0,0,A
3029841304,2916372157,1800,248.853,0.24885300000000002,0.15,4,0,0,A
3029841304,2916365919,1200,98.254,0.09825400000000001,0.15,4,0,0,A
2916372157,3029654294,1800,513.856,0.513856,0.15,4,0,0,A
2916372157,2916373220,1200,635.409,0.635409,0.15,4,0,0,A
2916379851,2916381747,1200,238.89100000000002,0.23889100000000002,0.15,4,0,0,A
2916399036,2916396459,1400,476.1479999999998,0.4761479999999998,0.15,4,0,0,A
9784655826,9784655848,1200,29.42,0.02942,0.15,4,0,0,A
