fishnetid,CO2,CO2psqkm
0,670209.2752626216,72037.95622354062
1,915304.9632528943,98352.56542800466
2,834313.7284204835,89622.71324324084
3,982368.2531513656,105526.86028329344
4,1551547.2163073546,166668.56425069264
5,266533.87311237573,28631.30266930212
6,234152.064109034,25145.218128109387
7,830701.556535094,89207.72028178563
8,874623.585413305,93924.43717672778
9,2787782.3854802824,299375.5209604333
10,982213.4827744176,105478.34530825244
11,731893.8031500201,78573.13876725934
12,879163.1887985333,94383.38039649276
13,3134034.015601122,336457.1315528171
14,1186260.757928343,127352.12505652622
15,2296334.680471456,246450.51429182448
16,2331764.6345455856,250252.9784870796
17,2103214.436558978,225724.18731639333
18,766446.9149431864,82257.7118098391
19,279122.6712150686,29956.402460170848
20,1784759.0526878734,191488.43309552607
21,1291408.176240655,138556.3657921511
22,1939345.6950475643,208074.1755118434
23,820347.0715134625,88015.78850772108
24,987050.184295607,105869.40933839466
25,1776985.9647045175,190596.6459244822
26,1760859.294321092,188866.92529305493
27,1242786.8744514664,133299.31387995384
28,1820238.1746494155,195176.56697427348
29,1137707.9111364805,121991.68625709615
30,213633.8199245373,22900.10949754896
31,1084109.6251688893,116209.26467771595
32,355214.85863046086,38076.64517100942
33,2468965.1148695247,264576.03207295004
34,2779450.467237816,297666.63415150647
35,514146.9991839795,55046.05545500648
36,2763210.3772095987,295837.2447940269
37,1932967.007280808,206949.00338684328
38,2017184.011825601,215965.517943578
39,689839.7855451525,73833.71346649528
40,967973.74693945,103602.4563560625
41,1167732.914333169,124944.593046968
42,263159.55094556365,28148.836532740672
43,387892.9568630519,41478.25421767975
