From,To,Demand,TT,Distance,Estimated?
3984547307,9784949118,,0.042527999999999996,0,Yes
4091044900,9784949143,,0.052761,0,Yes
1067571026,2916372149,,0.040983,0,Yes
1067571015,2370546572,,0.036071,0,Yes
2370546572,1067571056,,0.41590099999999997,0,Yes
3992697239,6019551947,,0.5157432170542635,172,No
3992697239,7674928571,,0.44446567164179107,67,No
2916372149,3029841304,,0.3204853658536585,41,No
2916372149,1331315681,,0.233890625,80,No
1067571056,2370546591,,0.7961369791666667,224,No
2370546591,2370546572,,0.1661770833333333,32,No
2370546591,1067571015,,0.15048367300724638,736,No
3980689115,9783698738,,2.16655278526505,1484,No
9771229436,9016911523,,0.2779822843822844,143,No
1073220447,1073220575,,0.1530190476190476,35,No
1073220575,1073220929,,0.6247253054101222,191,No
1073220455,3980567292,,0.03633636363636363,11,No
3980567292,3405474001,,0.20513636363636364,33,No
3980567292,1073265181,,0.2616722222222222,96,No
1073220929,1073220773,,0.1664784946236559,62,No
1073220929,3405474001,,0.732261370967742,620,No
1073220583,1073220575,,0.15650555555555554,21,No
1073220583,1073220447,,0.26714283903675534,263,No
1073220659,1073220455,,0.28780746268656715,134,No
1073220710,2916396459,,0.16913392857142853,56,No
2916396459,1073220791,,0.3975539999999999,0,Yes
1073220773,1073265181,,0.054653,0,Yes
1073220773,1073220710,,0.06624600000000001,0,Yes
1073265181,2916398205,,0.803914,0,Yes
1073265181,1073220710,,0.035159,0,Yes
1073220791,1073220583,,0.06946666666666666,7,No
1073220791,2916353513,,1.4722353896103897,308,No
2916353513,1331315681,,0.3145304347826087,46,No
2916353513,3029841304,,0.5037704641350211,237,No
3405474001,3405474003,,0.016358333333333332,6,No
3029855824,2916330938,,0.9339691666666667,200,No
2916398205,2916398217,,0.6544386617100373,269,No
9784527896,9784527903,,0.10866415094339622,53,No
9784060897,9784060911,,0.05667272727272728,22,No
1330605009,1330605566,,1.431171905846621,439,No
1330605566,3416239363,,2.102648364888124,581,No
1330605166,1330605388,,0.016965384615384615,13,No
1330605166,3989846958,,0.1700266666666667,30,No
1330605388,3989929957,,0.020080303030303025,11,No
