,Unnamed: 0,gridID_lat,gridID_lon,inner_grid_lat,inner_grid_lon,lat_min,lat_max,lon_min,lon_max,lane_capacity_total,node_count,lane_length,percent_residential_roads_(by_length)
0,0,14,1,,,38.46023533,38.482212775,25.867490925,25.89434185,1200.0,1,4419.191000000002,None
1,1,2,2,,,38.19650599,38.218483435,25.89434185,25.921192775,1200.0,1,4142.919000000002,None
2,2,4,2,,,38.24046088,38.262438325,25.89434185,25.921192775,50600.0,12,4352.781,None
3,3,5,2,,,38.262438325,38.28441577,25.89434185,25.921192775,30600.0,7,13288.709999999975,None
4,4,14,2,,,38.46023533,38.482212775,25.89434185,25.921192775,3600.0,1,7888.743999999996,None
5,5,3,3,,,38.218483435,38.24046088,25.921192775,25.9480437,3600.0,1,15401.157999999998,None
6,6,4,3,,,38.24046088,38.262438325,25.921192775,25.9480437,81200.0,19,14617.427,None
7,7,14,3,,,38.46023533,38.482212775,25.921192775,25.9480437,160800.0,39,10555.66,None
8,8,15,3,,,38.482212775,38.50419022,25.921192775,25.9480437,19200.0,5,51364.48899999997,None
9,9,16,3,,,38.50419022,38.526167665,25.921192775,25.9480437,4000.0,1,9905.065,None
10,10,17,3,,,38.526167665,38.54814511,25.921192775,25.9480437,4000.0,1,13786.779999999992,None
11,11,18,3,,,38.54814511,38.570122555000005,25.921192775,25.9480437,15600.0,4,63817.69499999985,None
12,12,19,3,,,38.570122555000005,38.5921,25.921192775,25.9480437,1200.0,1,2893.674999999997,None
13,13,13,4,,,38.438257885,38.46023533,25.9480437,25.974894625,40600.0,9,22870.377999999997,None
14,14,14,4,,,38.46023533,38.482212775,25.9480437,25.974894625,4200.0,1,3567.337,None
15,15,17,4,,,38.526167665,38.54814511,25.9480437,25.974894625,1200.0,1,2293.635,None
16,16,19,4,,,38.570122555000005,38.5921,25.9480437,25.974894625,1200.0,1,7984.453999999998,None
17,17,3,5,,,38.218483435,38.24046088,25.974894625,26.00174555,54400.0,13,24129.982,None
18,18,6,5,,,38.28441577,38.306393215,25.974894625,26.00174555,4000.0,1,24789.685,None
19,19,8,5,,,38.32837066,38.350348105,25.974894625,26.00174555,5200.0,2,13410.405,None
20,20,10,5,,,38.37232555,38.394302995,25.974894625,26.00174555,4200.0,1,29436.675000000007,None
21,21,14,5,,,38.46023533,38.482212775,25.974894625,26.00174555,4200.0,1,23239.473000000005,None
22,22,17,5,,,38.526167665,38.54814511,25.974894625,26.00174555,4000.0,1,45988.315,None
23,23,0,6,,,38.1525511,38.174528545,26.00174555,26.028596475,1200.0,1,4782.101,None
24,24,1,6,,,38.174528545,38.19650599,26.00174555,26.028596475,9400.0,3,14489.919999999998,None
25,25,3,6,,,38.218483435,38.24046088,26.00174555,26.028596475,79000.0,18,10680.172,None
26,26,4,6,,,38.24046088,38.262438325,26.00174555,26.028596475,40600.0,9,8975.704999999998,None
27,27,6,6,,,38.28441577,38.306393215,26.00174555,26.028596475,16400.0,4,24637.068000000003,None
28,28,10,6,,,38.37232555,38.394302995,26.00174555,26.028596475,4000.0,1,13780.065999999992,None
29,29,11,6,,,38.394302995,38.41628044,26.00174555,26.028596475,1200.0,1,4479.963000000001,None
30,30,14,6,,,38.46023533,38.482212775,26.00174555,26.028596475,9800.0,2,23982.96499999998,None
31,31,2,7,,,38.19650599,38.218483435,26.028596475,26.0554474,9400.0,3,8890.827000000001,None
32,32,3,7,,,38.218483435,38.24046088,26.028596475,26.0554474,16400.0,4,15988.637,None
33,33,4,7,,,38.24046088,38.262438325,26.028596475,26.0554474,4200.0,1,6813.832000000001,None
34,34,5,7,,,38.262438325,38.28441577,26.028596475,26.0554474,30400.0,7,8042.288999999999,None
35,35,7,7,,,38.306393215,38.32837066,26.028596475,26.0554474,4000.0,1,15823.971000000012,None
36,36,9,7,,,38.350348105,38.37232555,26.028596475,26.0554474,4000.0,1,18348.709000000003,None
37,37,14,7,,,38.46023533,38.482212775,26.028596475,26.0554474,8400.0,2,11616.311000000009,None
38,38,2,8,,,38.19650599,38.218483435,26.0554474,26.082298325,3600.0,1,12387.454,None
39,39,3,8,,,38.218483435,38.24046088,26.0554474,26.082298325,4000.0,1,8254.822,None
40,40,4,8,,,38.24046088,38.262438325,26.0554474,26.082298325,47400.0,11,19348.223000000005,None
41,41,5,8,,,38.262438325,38.28441577,26.0554474,26.082298325,16000.0,4,24859.607999999997,None
42,42,6,8,,,38.28441577,38.306393215,26.0554474,26.082298325,15200.0,4,12174.525,None
43,43,7,8,,,38.306393215,38.32837066,26.0554474,26.082298325,50600.0,12,15323.176,None
44,44,10,8,,,38.37232555,38.394302995,26.0554474,26.082298325,4000.0,1,16810.75500000001,None
45,45,2,9,,,38.19650599,38.218483435,26.082298325,26.10914925,1200.0,1,4840.491,None
46,46,3,9,,,38.218483435,38.24046088,26.082298325,26.10914925,7200.0,2,8257.401000000002,None
47,47,4,9,,,38.24046088,38.262438325,26.082298325,26.10914925,132400.0,32,7888.416999999999,None
