gridID_lat,gridID_lon,inner_gridID_lat,inner_gridID_lon,KM
0,6,None,None,4782.101
1,6,None,None,14489.919999999998
2,2,None,None,4142.919000000002
2,7,None,None,8890.827000000001
2,8,None,None,12387.454
2,9,None,None,4840.491
3,3,None,None,15401.157999999998
3,5,None,None,25335.701999999997
3,6,None,None,12656.039999999999
3,7,None,None,15988.637
3,8,None,None,8254.822
3,9,None,None,8257.401000000002
4,2,None,None,5626.187
4,3,None,None,16729.851000000002
4,6,None,None,9853.176999999998
4,7,None,None,6813.832000000001
4,8,None,None,20402.953000000005
4,9,None,None,11337.543
5,2,None,None,13775.691999999977
5,7,None,None,8734.758999999998
5,8,None,None,24859.607999999993
5,9,None,None,13567.696999999998
5,10,None,None,1454.5039999999985
6,5,None,None,24789.685
6,6,None,None,24637.068000000003
6,8,None,None,12174.525000000001
6,9,None,None,25829.873000000003
6,10,None,None,10322.455999999998
6,11,None,None,4654.77
7,7,None,None,15823.971000000012
7,8,None,None,15900.81
7,9,None,None,16488.437
7,10,None,None,31111.857
7,11,None,None,19673.474
8,5,None,None,13410.405
8,9,None,None,20485.880000000005
8,10,None,None,5854.92
8,11,None,None,20444.978
9,7,None,None,18348.709000000003
9,10,None,None,21997.592999999997
9,11,None,None,15173.580999999998
10,5,None,None,29436.675000000007
10,6,None,None,13780.065999999992
10,8,None,None,16810.75500000001
10,9,None,None,7481.993
10,10,None,None,26656.357
10,11,None,None,4508.669
11,6,None,None,4479.963000000001
11,10,None,None,33485.55900000002
11,11,None,None,546.232
12,10,None,None,10388.267000000014
13,4,None,None,24033.751999999993
14,1,None,None,4419.191000000002
14,2,None,None,7888.743999999996
14,3,None,None,14741.002
14,4,None,None,3943.317
14,5,None,None,23239.473000000005
14,6,None,None,24141.706999999977
14,7,None,None,11807.861000000006
14,10,None,None,18433.63099999999
15,3,None,None,51717.81699999997
15,10,None,None,10479.618
16,3,None,None,9905.064999999999
16,9,None,None,18560.804
17,3,None,None,13786.779999999993
17,4,None,None,2293.635
17,5,None,None,45988.314999999995
17,9,None,None,34752.213999999985
18,3,None,None,63817.69499999985
19,3,None,None,2893.674999999997
19,4,None,None,7984.453999999998
