from,to,volume,EstimatedTT,length,CO2,lengthm
442874,26384674,1323.68,33.6,612.679,162299.07030173406,0.380700962909
442928,1803689295,0.0,1.7999999999999998,30.892,0.0,0.019195392932
26384674,264670999,390.79,21.0,283.786,23531.241674122204,0.176336390606
26384674,534589,932.89,31.200000000000003,557.893,104300.76159930203,0.346658531303
1803689298,1803689295,0.0,2.4,43.606,0.0,0.027095503826
1803689295,139470345,0.0,35.4,692.761,0.0,0.430461595331
442936,15866840,286.1,19.2,260.692,15800.17528754903,0.16198644873200002
15866840,1803689315,1184.23,32.400000000000006,604.714,143126.9995210779,0.37575174289400004
264670999,534589,143.17,19.8,272.256,8223.191759577847,0.16917198297599997
534589,534591,1076.05,22.2,304.907,69242.3442443841,0.189460367497
534591,534626,1060.26,39.6,541.967,121410.896221945,0.336762576757
8083440,534911,1069.83,2.4,31.226,7185.437799238616,0.019402930846
534626,534624,0.0,4.2,58.368,0.0,0.036268182528
534626,534625,1060.26,4.8,66.223,14796.699224133783,0.041149051733
534608,30409417,859.88,51.6,714.166,129283.00619005498,0.443762041586
30436919,30436908,674.13,78.0,1083.322,153578.23360375135,0.673144874462
30409417,30409422,413.72,1.2,15.849,1402.54660892281,0.009848108979
30409417,30403571,1623.97,10.799999999999999,146.232,50355.11302434008,0.090864324072
534624,534608,615.26,73.2,1018.636,131717.26939972866,0.632950869956
534625,30436908,1060.26,1.2,17.695,3879.1655943500555,0.010995159845
534625,534624,615.26,4.2,56.363,7375.701679186035,0.035022333673
30436908,30436907,1178.26,1.2,17.517,4278.667095315218,0.010884555807
30436908,534628,556.13,22.2,304.045,35717.917593651844,0.188924745695
534628,534629,707.03,12.6,178.166,26346.599742221355,0.110707185586
534629,3595409680,901.11,37.8,522.992,99225.55670046911,0.32497206203199996
11769656,11769730,625.35,11.4,160.837,21050.33202838949,0.099939447527
3595409680,3855350,800.52,0.6,8.705,1446.959223539496,0.005409034555
3595409680,7128283652,100.59,2.4,36.005,745.7014914113626,0.022372462855
3160432771,30409397,275.97,9.0,125.872,7289.276034352064,0.078213210512
30409405,30409419,820.3,43.199999999999996,599.679,103464.49106143563,0.372623139909
534736,140605768,1474.05,6.6,46.052,21415.001328322436,0.028615377292
534306820,2021890013,1317.51,11.4,154.698,43185.48066990894,0.09612485095800001
140605768,534324288,1474.05,22.8,160.239,74105.65529381731,0.099567867669
534329195,2021890013,657.48,1.2,13.435,2032.5724891900559,0.008348119385
534329195,534306820,1474.05,13.8,162.195,53704.42143634531,0.100783269345
3853550,3564765835,194.67,24.0,329.278,13532.681796701598,0.204603800138
534742,534770,1015.65,32.400000000000006,445.353,95435.23953190254,0.276729438963
534770,29138173,1648.13,4.2,57.914,20118.390888922706,0.035986080094
534743,534744,543.85,4.2,50.828,6126.192703337834,0.031583045188
534744,534747,1569.3,3.0,37.105,12782.396516554574,0.023055970954999998
247994358,534742,489.79,3.5999999999999996,45.02,4818.024573762561,0.027974122420000004
534747,277692998,122.41,0.6,11.887,290.32123701456334,0.0073862370770000005
534747,2287846802,1446.89,19.2,258.843,79530.95020263625,0.160837533753
277692998,288154283,1360.55,4.8,61.39,18084.68322565655,0.03814596569
2287846802,29510418,0.0,2.4,35.734,0.0,0.022204071314000002
2287846802,2287846804,1446.89,4.8,46.887,16875.860627091733,0.029134222077
534749,25235133,1941.32,3.5999999999999996,17.868,14236.652658856061,0.011102657028
534749,7095690293,155.69,43.8,610.927,19975.75393177047,0.37961232091700003
25235133,25235132,817.5,0.6,9.536,1585.9684785710413,0.005925393856
25235133,534751,1123.82,46.2,542.553,137015.3812013659,0.337126700163
7095690293,7095690318,548.34,0.6,10.963,1202.882846502862,0.006812090273
534751,534754,770.53,49.8,428.259,89289.9817165072,0.266107723089
534754,3098430373,770.53,9.6,127.4,20961.326372046326,0.0791626654
29510455,25235132,868.84,40.2,551.169,101121.13976888549,0.34248043269899997
3098430373,16574394,283.7,1.2,16.344,981.2577409737627,0.010155687624000001
3098430373,2260849842,1069.54,40.2,169.399,84018.43642973108,0.105259626029
534758,25873172,942.86,1.2,17.576,3432.364620871159,0.010921216696
534758,2202559858,1253.2,37.8,514.418,136464.3833744091,0.319644427078
25873172,25873173,1599.47,1.2,12.711,4820.3247801192,0.007898246781
25873172,3100041009,636.43,12.6,149.898,21307.752521778628,0.093142270158
2202559858,25873172,1293.04,37.8,513.409,140618.7070413267,0.319017463739
534769,546378258,1091.18,34.199999999999996,466.515,107673.24356057087,0.289878892065
534769,534770,632.48,2.4,34.331,4526.31067415269,0.021332287801
546378258,247994363,779.26,2.4,28.145,4931.786980861279,0.017488486795
546378258,290077155,311.93,14.399999999999999,199.327,13089.123716972259,0.123856017317
29138173,1775338888,203.62,5.3999999999999995,72.629,3143.003964900844,0.045129554359000006
29138173,534773,1444.51,39.0,524.564,161037.64354262853,0.32594885724399997
534773,2544089666,2107.45,1.7999999999999998,19.567,9638.02097026891,0.012158366357000001
534773,335716508,572.98,15.600000000000001,215.889,26042.830035273342,0.13414716381900002
2544089666,2544089665,1566.73,3.0,31.119,11698.481598816536,0.019336444149
2544089666,16574602,540.72,1.7999999999999998,21.847,2614.6178523501235,0.013575092237000002
335716508,534799,572.98,30.0,418.354,50346.013128932755,0.259953043334
534774,534804,462.67,9.0,123.165,12040.426098405243,0.076531159215
244038933,534778,540.72,4.8,69.168,7780.321735183718,0.042978989328000004
534804,18630111,2433.33,36.0,404.867,226168.84854271414,0.25157261265700004
534804,16574613,124.91,3.0,40.308,1070.4269630018462,0.025046222268
534778,244038915,891.43,1.2,17.262,3202.631043935936,0.010726106202000001
534778,30058360,740.83,13.2,180.662,28278.269771679068,0.112258127602
244038915,534787,1318.33,12.0,146.46,42630.25964001107,0.09100599666
244038915,244038942,474.93,1.2,15.993,1619.4232500100356,0.009937586403
30058360,30056676,948.1,45.6,612.026,123410.94591538931,0.380295207646
30058360,30056684,280.42,1.2,18.049,1041.4700074789528,0.011215125179
534787,244038955,429.29,3.0,38.97,3600.532644859571,0.02421482787
534787,244038923,889.04,10.200000000000001,102.026,22237.837118468746,0.063395997646
244038955,244038925,885.54,3.0,36.898,7189.993382838208,0.022927347158000003
244038955,2072816,429.29,19.2,259.661,23645.82708822695,0.161345815231
244038923,244038955,885.54,5.3999999999999995,75.481,14028.57328216843,0.046901704451
534790,30261537,382.49,2.4,33.547,2693.0343401685427,0.020845132936999997
534790,30409389,1270.06,1.7999999999999998,24.669,6616.856358776147,0.015328601199000001
30261537,30409389,303.44,3.0,38.226,2515.1977979667745,0.023752527845999998
30409389,30409397,1405.31,3.0,32.822,10743.313589906382,0.020394638962000004
30409389,3160432771,168.18,10.799999999999999,146.739,5226.816910450112,0.09117935916900001
534796,534790,415.4,3.0,39.242,3499.1907511634986,0.024383840782
534796,3160432775,1092.28,18.6,135.418,45180.96363048597,0.084144818078
3160432775,534790,1237.14,9.6,122.332,32816.09830090622,0.076013557172
534799,1501721437,143.06,1.2,13.322,440.47736359388904,0.008277904462
534799,11769597,649.49,25.8,354.14,48551.58247460784,0.22005232594
1501721437,18630516,724.2,0.6,8.869,1327.2211794273344,0.005510939399
1501721437,2071676,219.38,19.2,160.528,9719.192259671956,0.099747443888
11769597,7128283648,759.08,0.6,10.404,1587.1019767685505,0.006464743884
11769597,3595409680,0.0,1.2,18.255,0.0,0.011343127605
18630111,280008666,2033.61,1.7999999999999998,19.543,9295.104502258384,0.012143453453
18630111,35711189,839.07,52.8,733.837,129458.83135292168,0.455985030527
16574613,534773,1452.94,2.4,34.458,10425.520473679377,0.021411201918
16574613,16574619,161.2,8.4,119.072,4011.628955175906,0.073987887712
534806,280008531,557.33,1.2,18.402,2101.2596494202853,0.011434469142000001
534806,2287864441,2278.99,17.4,206.602,105258.7003204146,0.128376491342
280008531,18630070,109.83,1.7999999999999998,27.872,625.905055494815,0.017318852512
280008531,31197353,447.5,2.4,35.964,3314.556106646321,0.022346986644
2287864441,280221322,664.64,4.2,50.112,7429.063017372921,0.031138143552
2287864441,24969587,1614.34,3.0,34.981,12733.130515346767,0.021736178951000003
24669567,976932104,382.79,6.0,49.192,5269.786122029667,0.030566482232
1854526402,27318980,543.51,1.7999999999999998,30.668,3356.2356285788064,0.019056205828
27318980,27318981,631.54,3.0,43.508,5705.9897449623995,0.027034609468
534908,534911,0.0,3.0,38.596,0.0,0.023982435115999998
534911,534914,1069.83,16.8,226.276,51422.921941104425,0.140601344396
3853544,15511907,247.38,19.8,274.595,14291.73257834382,0.17062536974500003
534914,442936,171.7,24.599999999999998,339.779,12290.031395130874,0.211128817009
534914,15866840,898.13,32.400000000000006,591.166,106250.59968187743,0.36733340858600005
30409415,30409424,740.81,3.0,40.311,6348.74393212277,0.025048086381
536575,30409422,1699.36,10.200000000000001,137.062,49517.05626915411,0.08516635200200001
30403571,10919767,1364.71,24.599999999999998,332.787,96329.89334328388,0.206784190977
30409422,30409424,1449.93,0.6,11.597,3356.420947315358,0.007206039487
30409422,30409415,663.14,3.5999999999999996,38.719,6036.207759985165,0.024058863749
536584,30587893,645.66,64.2,801.795,113177.59161275167,0.498212160945
30587893,1619208224,641.03,25.8,322.636,45190.68198170789,0.200476653956
536652,25479302,1061.48,72.0,949.489,215700.86227737207,0.589984929419
536652,18629762,737.93,2.4,27.809,4641.239903408151,0.017279706139
25479302,18627237,1029.14,72.6,968.664,212459.44048244116,0.601899718344
25479302,28796755,500.62,3.0,36.496,4039.724460935097,0.022677556016
18629762,264218470,1016.85,10.799999999999999,147.847,31761.82762121425,0.09186783823700001
18629762,264223496,826.26,1.2,15.535,2766.1591077587436,0.009652998485
25599929,2526224454,728.33,5.3999999999999995,74.029,11385.809997410342,0.045999473759
264218470,264223496,636.78,10.799999999999999,149.287,20021.2182000071,0.092762612477
3899207524,309517759,1061.62,0.6,10.684,2273.8127984126077,0.006638727764
536663,21527849,1861.25,4.8,54.421,23157.864540952374,0.033815631191
536663,536667,1240.11,114.6,1454.534,391745.5581686622,0.903805246114
21527849,2297622,1363.96,0.6,11.633,3166.9721791869165,0.007228408842999999
21527849,21552197,1481.21,6.6,58.671,22985.760127468413,0.036456457941
21647397,2297615,1295.39,7.800000000000001,98.543,27775.25761820565,0.06123176245300001
21647058,1632149359,316.04,16.8,229.611,15339.181848309321,0.142673616681
536670,24945363,170.27,1.2,12.608,511.3328129306193,0.007834245568000001
536670,2075220,2189.24,26.4,418.513,186485.10228929512,0.26005184132299997
24945363,21660961,1892.06,0.6,10.83,4103.580349213929,0.00672944793
2075220,25096430,2020.35,1.7999999999999998,23.918,10313.66682864198,0.014861951578
2075220,3869392962,601.84,19.8,257.122,33308.65792522753,0.159768154262
344434421,10919786,612.98,13.2,179.877,23329.894130706187,0.111770351367
1630023963,311941598,833.85,13.2,180.64,31826.335573634147,0.11224445743999999
3100041009,25873173,574.52,12.0,148.412,18717.939442474257,0.09221891285200001
31296012,3148489413,572.12,7.199999999999999,98.953,11945.291134064444,0.061486524563
536675,3148489416,848.59,10.200000000000001,140.248,25107.91261228811,0.087146040008
3148489416,3148489413,160.6,1.2,15.044,527.368891845868,0.009347905324
3148489416,31296012,794.86,7.800000000000001,108.128,18084.824346280217,0.067187603488
248219433,248219482,273.48,22.8,314.529,18127.72174207859,0.195439199259
2071674,518252065,150.9,2.4,33.567,1062.895761918125,0.020857560357
518252065,29348253,150.9,14.399999999999999,196.862,6278.855055134494,0.122324337802
11769758,3853550,198.09,48.6,672.312,28041.797123453,0.417755179752
