fishnetid,CO2,CO2psqkm
0,647068.9666339395,112873.10132962881
3,525836.5746456244,91767.68836160153
4,510278.5778501276,89052.54553909603
6,2353729.684167879,410767.0378191638
8,4875659.450337244,850887.9347112352
10,1252793.3340024776,218634.37006774306
12,690718.4356520508,120542.45977706593
14,479495.3501641371,83718.73708084397
16,1963778.8749461928,342871.0773947351
18,4460656.955307239,778819.9963177716
20,7116173.521042567,1242466.8139657485
22,4426899.952703159,772926.1046988415
24,2787160.104772829,486631.4635456209
27,1704731.1315840438,297641.96326359926
28,1120500.0984843743,195726.4798223015
30,2814936.4820230766,491706.88096772064
32,2269332.0966718197,396401.9132440372
34,1119751.2587965494,782382.6912567886
36,2790971.324077928,1950082.787225121
38,3421311.3688809373,2391057.6147347162
40,3637565.1950555514,2542191.288943462
42,2545684.611891207,1778698.226142826
44,3131072.044499221,2187714.95316469
46,3028480.7872405914,2116519.4472722276
48,4664697.097426733,3260024.684301473
50,6574507.631441887,1148420.4570865752
52,6009073.282523253,1049651.6351702707
56,2086700.3073555413,364500.19607787573
59,833716.7286784865,145631.79485118145
61,2347743.6083492665,410287.1570240057
63,5434505.970311391,949723.8098996186
65,7091755.140294097,1239341.4870661565
67,1883245.0725102774,1316449.1364516246
69,4016822.688378091,2807888.8067104113
71,1541754.732734356,1077984.152012519
73,3410561.89216599,2384641.078864711
75,10955142.834643625,1914499.6891623791
77,4555699.093994947,796145.2106119242
80,2370478.746598179,414260.30605251173
82,489448.0930423652,85535.00726868918
84,336552.28079927,58815.22922179704
86,434133.6437084203,75903.25851039024
88,1754326.4207752894,306723.73301976785
89,6525102.008766451,1140838.7987334486
91,5193623.989961713,908045.2299168361
93,3292123.4581984426,575589.8017053629
95,2669388.663495486,466926.6498979735
97,4970177.572779667,3477512.8540572505
99,4763726.06419574,3333063.7344174227
101,621348.6750970846,434842.7251796919
103,2603446.189674785,1821987.687991573
105,2930477.6602970734,512596.06187565386
107,1865397.5982499698,326293.38064919715
110,26695.439046675616,4671.68921266485
111,2339502.0954197296,409411.7606782798
113,1425769.1798240498,249508.93242428923
116,1719319.3360738303,300880.0709895827
117,622564.2585752935,108998.6795915957
119,1891004.9393960363,331077.53722812684
