From,To,Volume,EstimatedTT
442874,26384674,2084.47,0.74
442928,1803689295,0.0,0.03
26384674,264670999,610.56,0.42
26384674,534589,1473.92,0.73
1803689298,1803689295,0.0,0.04
1803689295,139470345,0.0,0.59
442936,15866840,648.12,0.41
15866840,1803689315,2181.12,0.77
264670999,534589,283.42,0.33
534589,534591,1757.34,0.39
534591,534626,1457.65,0.67
8083440,534911,1518.02,0.04
534626,534624,2.56,0.07
534626,534625,1455.09,0.08
534608,30409417,1351.45,0.88
30436919,30436908,911.45,1.3
30409417,30409422,540.81,0.02
30409417,30403571,2427.05,0.22
534624,534608,985.15,1.23
534625,30436908,1458.2,0.02
534625,534624,982.59,0.07
30436908,30436907,1449.03,0.02
30436908,534628,917.51,0.39
534628,534629,1298.13,0.23
534629,3595409680,1599.98,0.66
11769656,11769730,1052.95,0.2
3595409680,3855350,1259.64,0.01
3595409680,7128283652,340.34,0.04
3160432771,30409397,434.93,0.16
30409405,30409419,1062.48,0.72
534736,140605768,2040.81,0.15
534306820,2021890013,1630.84,0.19
140605768,534324288,2040.81,0.54
534329195,2021890013,1049.75,0.02
534329195,534306820,2040.81,0.33
3853550,3564765835,337.39,0.4
534742,534770,1729.46,0.57
534770,29138173,2781.05,0.1
534743,534744,592.39,0.07
534744,534747,2242.84,0.05
247994358,534742,792.75,0.07
534747,277692998,121.49,0.01
534747,2287846802,2121.35,0.35
277692998,288154283,2052.66,0.08
2287846802,29510418,0.0,0.04
2287846802,2287846804,2121.35,0.18
534749,25235133,2446.97,0.11
534749,7095690293,496.27,0.78
25235133,25235132,998.78,0.01
25235133,534751,1456.01,0.97
7095690293,7095690318,1327.23,0.02
534751,534754,771.7,0.84
534754,3098430373,997.34,0.17
29510455,25235132,1449.83,0.73
3098430373,16574394,757.02,0.03
3098430373,2260849842,1199.93,0.95
534758,25873172,1610.69,0.03
534758,2202559858,1495.7,0.64
25873172,25873173,2361.27,0.02
25873172,3100041009,964.65,0.36
2202559858,25873172,1715.24,0.66
534769,546378258,1512.64,0.58
534769,534770,1051.6,0.04
546378258,247994363,990.1,0.05
546378258,290077155,522.54,0.24
29138173,1775338888,295.52,0.09
29138173,534773,2485.53,0.81
534773,2544089666,3018.27,0.04
534773,335716508,870.88,0.28
2544089666,2544089665,2137.52,0.07
2544089666,16574602,880.75,0.04
335716508,534799,870.88,0.51
534774,534804,517.26,0.15
244038933,534778,797.15,0.08
534804,18630111,3266.16,0.87
534804,16574613,303.2,0.05
534778,244038915,1260.04,0.02
534778,30058360,1247.16,0.24
244038915,534787,1912.05,0.27
244038915,244038942,938.34,0.03
30058360,30056676,1438.3,0.86
30058360,30056684,582.71,0.02
534787,244038955,746.24,0.06
534787,244038923,1165.81,0.26
244038955,244038925,1152.18,0.05
244038955,2072816,751.62,0.37
244038923,244038955,1157.56,0.1
534790,30261537,764.85,0.04
534790,30409389,1681.25,0.04
30261537,30409389,550.99,0.05
30409389,30409397,1947.51,0.06
30409389,3160432771,284.72,0.18
534796,534790,824.16,0.05
534796,3160432775,1277.76,0.43
3160432775,534790,1621.94,0.19
534799,1501721437,295.27,0.02
534799,11769597,988.59,0.43
1501721437,18630516,1131.03,0.01
1501721437,2071676,423.87,0.32
11769597,7128283648,1245.71,0.02
11769597,3595409680,0.0,0.02
18630111,280008666,2553.17,0.05
18630111,35711189,1279.78,0.9
16574613,534773,1946.98,0.05
16574613,16574619,479.47,0.15
534806,280008531,1573.16,0.02
534806,2287864441,2926.8,0.37
280008531,18630070,605.0,0.03
280008531,31197353,968.48,0.05
