from,to,demand,TT,distance,estimated?
442874,26384674,,0.548816693811075,614,No
442928,1803689295,,0.036776190476190476,28,No
26384674,264670999,,0.6350923439340399,283,No
26384674,534589,,0.5008016157989227,557,No
1803689298,1803689295,,0.19034365079365076,42,No
1803689295,139470345,,0.5937951428571429,0,Yes
442936,15866840,,0.31283040000000006,0,Yes
15866840,1803689315,,0.5183262857142857,0,Yes
264670999,534589,,0.3267072000000001,0,Yes
534589,534591,,0.3658883999999999,0,Yes
534591,534626,,0.880032199754902,544,No
8083440,534911,,0.03252708333333333,32,No
534626,534624,,0.27794285714285716,56,No
534626,534625,,0.2264351457399103,892,No
534608,30409417,,1.8375620305980527,719,No
30436919,30436908,,1.7805753302611365,1085,No
30409417,30409422,,0.031076470588235292,17,No
30409417,30403571,,0.20742127659574475,141,No
534624,534608,,1.6295515507672214,1021,No
534625,30436908,,0.030324523292300266,2762,No
534625,534624,,0.0676356,0,Yes
30436908,30436907,,0.0210204,0,Yes
30436908,534628,,0.36485399999999996,0,Yes
534628,534629,,0.2137992,0,Yes
534629,3595409680,,0.6275904,0,Yes
11769656,11769730,,0.21644730848861282,161,No
3595409680,3855350,,0.016120370370370368,9,No
3595409680,7128283652,,0.0545530303030303,33,No
3160432771,30409397,,0.4814775956284154,122,No
30409405,30409419,,1.4420141791044772,603,No
534736,140605768,,0.17521852770885027,403,No
534306820,2021890013,,0.6066588235294118,153,No
140605768,534324288,,0.2637679012345679,162,No
534329195,2021890013,,0.11195833333333333,22,No
534329195,534306820,,0.5002076771653542,254,No
3853550,3564765835,,0.39513360000000003,0,Yes
534742,534770,,0.5344236,0,Yes
534770,29138173,,0.0694968,0,Yes
534743,534744,,0.06099360000000001,0,Yes
534744,534747,,0.044526,0,Yes
247994358,534742,,0.19405172413793104,58,No
534747,277692998,,0.06095897435897436,13,No
534747,2287846802,,0.3511436046511628,258,No
277692998,288154283,,0.06394791666666666,64,No
2287846802,29510418,,0.3225986111111111,48,No
2287846802,2287846804,,0.13301276595744682,47,No
534749,25235133,,0.04963333333333334,18,No
