gridID_lat,gridID_lon,inner_gridID_lat,inner_gridID_lon,KM
0,6,None,None,17692.950999999997
0,7,None,None,4026.991000000001
1,3,None,None,6864.339
1,4,None,None,6006.878000000001
1,5,None,None,2091.7
1,6,None,None,38416.254
1,7,None,None,24481.966999999997
1,8,None,None,12028.841000000002
1,9,None,None,1752.3439999999998
2,2,None,None,3047.156
2,3,None,None,20594.268
2,4,None,None,54101.746
2,5,None,None,48590.971000000005
2,6,None,None,33100.18
2,7,None,None,21676.262
2,8,None,None,1832.2380000000007
2,9,None,None,12286.786
3,0,None,None,22679.045000000002
3,1,None,None,39858.039000000004
3,2,None,None,21703.391999999996
3,3,0,0,7752.581999999999
3,3,0,1,17012.782
3,3,1,0,21215.104000000003
3,3,1,1,18374.378
3,4,0,0,18617.589
3,4,0,1,29491.226000000002
3,4,1,0,20751.888
3,4,1,1,21124.807
3,5,None,None,51991.774
3,6,None,None,47243.127
3,7,None,None,1029.232
3,8,None,None,11941.339999999997
3,9,None,None,5577.490000000002
3,10,None,None,10463.144
4,0,None,None,20966.420000000002
4,1,None,None,45998.952999999994
4,2,None,None,37303.691
4,3,None,None,41861.932
4,4,0,0,9865.307999999999
4,4,0,1,22770.959000000003
4,4,1,0,10467.952
4,4,1,1,16284.272
4,5,None,None,56192.64
4,6,None,None,25632.042000000005
4,7,None,None,11331.206000000004
4,8,None,None,19733.879999999997
4,9,None,None,3571.803
4,10,None,None,2585.0729999999994
5,0,None,None,4413.572999999999
5,1,None,None,11901.217
5,3,None,None,55714.685
5,4,None,None,38604.506
5,5,None,None,15609.238000000001
6,3,None,None,1045.804
6,4,0,0,18667.149
6,4,0,1,22020.327999999998
6,4,1,0,2654.4860000000003
6,4,1,1,8961.78
6,5,None,None,33427.721
6,6,None,None,8544.997000000001
6,8,None,None,10484.792
7,3,None,None,151.65300000000002
7,4,None,None,26715.314
7,5,None,None,11742.842
7,6,None,None,5959.5419999999995
7,7,None,None,13580.565999999999
8,5,None,None,3328.114
8,6,None,None,10814.894999999999
8,7,None,None,3522.0379999999996
8,8,None,None,2418.7879999999996
