,from,highway,lanes,length,maxspeed,name,oneway,osmid,to,capacity,geometry
0,21133789,motorway_link,2,973.653,60,,1,"[10710912, 500277497, 500277498]",5986873669,2000,"LINESTRING (55.3139296 25.1810675, 55.3128877 25.1810769, 55.3122426 25.1811293, 55.3114741 25.1812483, 55.3105718 25.1813748, 55.307826 25.1817597, 55.304354 25.1822551)"
1,21133789,motorway_link,1,390.631,40,,1,33423636,642942771,2000,"LINESTRING (55.3139296 25.1810675, 55.3130514 25.1811159, 55.3127054 25.1811767, 55.3124478 25.1812815, 55.3122649 25.1814709, 55.3122225 25.1817432, 55.3123024 25.1819864, 55.3124478 25.1821544, 55.3127058 25.1822724, 55.3129743 25.1822629, 55.3131988 25.1821666, 55.3135256 25.1818698)"
2,639121786,motorway_link,3,123.592,60,,1,499189331,21133789,2000,"LINESTRING (55.3151561 25.1811261, 55.3147869 25.1811091, 55.3139296 25.1810675)"
3,5986873669,motorway_link,2,439.471,60,,1,500277498,2229425413,2000,"LINESTRING (55.304354 25.1822551, 55.3032813 25.1824011, 55.300038 25.1828593)"
4,7943163357,motorway_link,2,81.814,60,,1,634378802,5986873669,2000,"LINESTRING (55.305166 25.1822179, 55.304354 25.1822551)"
5,642942771,motorway_link,2,151.097,60,,1,"[99880430, 816714614]",638968084,2000,"LINESTRING (55.3135256 25.1818698, 55.3140714 25.1813155, 55.3145551 25.1808815)"
6,642942821,motorway_link,2,510.23400000000004,60,,1,816714614,642942771,2000,"LINESTRING (55.3111641 25.1859026, 55.3116677 25.1846528, 55.3121306 25.183811, 55.3126088 25.1830562, 55.3130612 25.1824448, 55.3135256 25.1818698)"
7,21162710,motorway_link,2,756.309,60,,1,24595147,267369795,2000,"LINESTRING (55.289363 25.0614026, 55.2910218 25.0621001, 55.2914643 25.0623321, 55.2923414 25.0628138, 55.2926103 25.0629535, 55.2929308 25.0631054, 55.2932286 25.0632135, 55.2936248 25.0633368, 55.2939856 25.0634231, 55.2943853 25.0634814, 55.2947661 25.0635178, 55.2950907 25.0635263, 55.2953911 25.0635202, 55.2956325 25.0634996, 55.2958457 25.0634546, 55.2960429 25.0633988, 55.2963069 25.063322)"
8,21162710,motorway,6,1199.9,110,???? ????? ???? ?? ????,1,499943582,1014768766,2000,"LINESTRING (55.289363 25.0614026, 55.2906235 25.0620538, 55.2921165 25.0628979, 55.2929555 25.0634629, 55.294076 25.0643579, 55.2951413 25.0653179, 55.2960184 25.0660739, 55.2984519 25.0682878)"
9,1014766460,motorway,6,1424.5459999999998,110,???? ????? ???? ?? ????,1,499943582,21162710,2000,"LINESTRING (55.2755884 25.0588407, 55.2796699 25.0593126, 55.2832002 25.0597082, 55.2841057 25.0598281, 55.2852446 25.0600798, 55.2862759 25.0603051, 55.2874276 25.0606386, 55.2881893 25.0608938, 55.289363 25.0614026)"
10,267369795,secondary,2,654.548,60,,1,87273063,267369798,700,"LINESTRING (55.2963069 25.063322, 55.2966772 25.0631509, 55.2969454 25.0630015, 55.2972015 25.062822, 55.2975445 25.0624653, 55.2995269 25.0601453, 55.2996483 25.059998, 55.3001821 25.0592939, 55.3005195 25.0589153)"
11,1014766449,secondary,2,245.94000000000003,60,,1,87272766,267369795,700,"LINESTRING (55.297244 25.0630717, 55.2965576 25.0638402, 55.2964901 25.0639017, 55.2964204 25.063943, 55.2963359 25.0639643, 55.2962514 25.0639624, 55.2961696 25.063946, 55.2961106 25.0639181, 55.2960563 25.0638683, 55.2960187 25.0638124, 55.2959909 25.0637564, 55.2959765 25.0636852, 55.2959841 25.0636079, 55.2960154 25.0635276, 55.2960536 25.0634826, 55.2961159 25.0634403, 55.2963069 25.063322)"
12,1014768766,motorway,6,216.025,110,???? ????? ???? ?? ????,1,499943582,1626870976,2000,"LINESTRING (55.2984519 25.0682878, 55.2999846 25.0696468)"
13,1625545290,motorway_link,2,518.6379999999999,60,,1,87272838,1014768766,2000,"LINESTRING (55.2965892 25.0641888, 55.2965149 25.0644617, 55.2964693 25.0648517, 55.2964613 25.0650752, 55.2964854 25.0653042, 55.2965458 25.06562, 55.2966477 25.0659414, 55.2967704 25.0661965, 55.296875 25.0663653, 55.2969702 25.0665123, 55.297268 25.0668646, 55.2982409 25.0678698, 55.2984519 25.0682878)"
14,21162918,motorway,6,1194.2559999999999,110,???? ????? ???? ?? ????,1,499943582,1014766460,2000,"LINESTRING (55.2638239 25.0575095, 55.2666 25.0578301, 55.2710489 25.058353, 55.2719691 25.0584512, 55.2734589 25.0586179, 55.2755884 25.0588407)"
15,1202779615,motorway,6,813.5930000000001,110,???? ????? ???? ?? ????,1,499943582,21162918,2000,"LINESTRING (55.2558085 25.0566079, 55.2602349 25.057101, 55.2638239 25.0575095)"
16,1202789747,motorway_link,2,307.512,60,,1,104231510,21162918,2000,"LINESTRING (55.2608442 25.0569078, 55.2638239 25.0575095)"
17,7634022362,motorway_link,2,443.649,60,,1,87272939,1014766460,2000,"LINESTRING (55.2715517 25.0578412, 55.2715422 25.0579283, 55.2715905 25.0580789, 55.2716441 25.0581542, 55.2717367 25.0582211, 55.2718428 25.0582465, 55.2723402 25.0583097, 55.2740581 25.0585187, 55.2744613 25.0585816, 55.2755884 25.0588407)"
18,21163317,motorway,3,1893.929,100,???? ??? - ?????,1,449938121,1036688016,2000,"LINESTRING (55.3595334 25.1265206, 55.3531886 25.1339052, 55.3527239 25.1344904, 55.3488979 25.1389738, 55.3480775 25.1400293)"
19,7862276783,motorway_link,2,407.893,80,,1,"[10479201, 842790346]",21163317,2000,"LINESTRING (55.3621738 25.1237406, 55.361854 25.1240518, 55.3607696 25.125279, 55.3595334 25.1265206)"
20,282933035,motorway,3,1818.402,100,???? ??? - ?????,1,449938121,21163317,2000,"LINESTRING (55.3705367 25.1135539, 55.3694964 25.1147623, 55.3684826 25.1159602, 55.3664263 25.1183561, 55.3623312 25.1231541, 55.3616462 25.1239936, 55.3609005 25.1248275, 55.3595334 25.1265206)"
21,1036688016,motorway,3,477.906,100,???? ??? - ?????,1,449938121,1036687950,2000,"LINESTRING (55.3480775 25.1400293, 55.3453453 25.1435442)"
22,1036688016,"['primary', 'motorway_link']",2,1116.684,60,,1,"[725165368, 89382499]",2317090490,2000,"LINESTRING (55.3480775 25.1400293, 55.3471556 25.1413664, 55.346974 25.1416798, 55.3469374 25.1418041, 55.3469247 25.1419543, 55.346951 25.1420825, 55.3469854 25.1421918, 55.3470659 25.142315, 55.3471275 25.1423846, 55.3471788 25.1424331, 55.3481441 25.1430158, 55.3489419 25.1434974, 55.3496274 25.1439079, 55.3530842 25.1459495, 55.3531466 25.1459863, 55.3537548 25.1463501, 55.3539056 25.1464404)"
23,21164262,motorway_link,3,272.668,60,,1,566703229,91067036,2000,"LINESTRING (55.2867485 25.2276488, 55.2869245 25.2278413, 55.2871446 25.2280506, 55.2874222 25.228273, 55.2876843 25.2284527, 55.288017 25.2286582, 55.2883302 25.2288329, 55.2885354 25.2289061, 55.2886466 25.228924, 55.2887461 25.2289401, 55.2889558 25.2289521)"
24,346176398,motorway_link,3,122.831,60,,1,10551693,21164262,2000,"LINESTRING (55.2860832 25.2267231, 55.2863224 25.2270797, 55.2865209 25.2273589, 55.2867485 25.2276488)"
25,91067052,motorway_link,1,69.021,60,,1,10551695,21164262,2000,"LINESTRING (55.2867296 25.2271209, 55.2866295 25.2271623, 55.2865927 25.2272169, 55.2865966 25.227287, 55.2867485 25.2276488)"
26,91067036,primary,4,45.004999999999995,60,???? ?????? ??????? ???????,1,4874338,31473922,900,"LINESTRING (55.2889558 25.2289521, 55.2891738 25.2288779, 55.2893814 25.2288291)"
27,31473916,primary,4,117.40500000000002,60,???? ?????? ??????? ???????,1,4874338,91067036,900,"LINESTRING (55.2884182 25.2297907, 55.2884068 25.2296206, 55.2884345 25.2294509, 55.2884988 25.2292929, 55.2886073 25.2291606, 55.2887626 25.2290399, 55.2889558 25.2289521)"
28,21164284,motorway_link,2,337.65100000000007,60,,1,694266397,5986873668,2000,"LINESTRING (55.3118563 25.1834385, 55.311846 25.1833013, 55.311721 25.1828777, 55.3116162 25.1826545, 55.3114828 25.182471, 55.3112935 25.1822554, 55.3110908 25.1820887, 55.3108424 25.181948, 55.3105399 25.1817997, 55.3099886 25.1816651, 55.3097352 25.1816502, 55.3095671 25.1816521)"
29,642942821,motorway_link,2,284.793,60,,1,694584023,21164284,2000,"LINESTRING (55.3111641 25.1859026, 55.3117821 25.1841996, 55.3118572 25.183872, 55.3118697 25.1836392, 55.3118563 25.1834385)"
30,5742312137,motorway_link,2,364.895,60,,1,694266397,21164284,2000,"LINESTRING (55.3105432 25.1863621, 55.3107152 25.1863235, 55.3108931 25.1862335, 55.3110016 25.186094, 55.3111188 25.1857589, 55.31144 25.1847587, 55.3115947 25.1843116, 55.3118563 25.1834385)"
31,5986873668,motorway_link,2,447.35400000000004,60,,1,694584024,7943163357,2000,"LINESTRING (55.3095671 25.1816521, 55.3078579 25.1818926, 55.3065409 25.1820636, 55.305166 25.1822179)"
32,5986873668,motorway_link,2,173.65300000000002,60,,1,727331514,5986873650,2000,"LINESTRING (55.3095671 25.1816521, 55.3088708 25.1817894, 55.3086291 25.1818634, 55.308432 25.1819677, 55.308127 25.1821899, 55.3080778 25.1823066)"
33,26386386,primary,4,12.112,80,???? ??????,1,614183128,92554467,900,"LINESTRING (55.3048406 25.2769554, 55.3047358 25.2769017)"
34,26386386,secondary,2,49.755,60,???? ??????,1,24105762,261304935,700,"LINESTRING (55.3048406 25.2769554, 55.3046564 25.2772516, 55.3045888 25.2773402)"
35,5774073727,primary,2,11.878,60,???? ??????,1,614183130,26386386,900,"LINESTRING (55.3048963 25.2768612, 55.3048406 25.2769554)"
36,261304921,primary,4,55.045,80,???? ??????,1,485584740,26386386,900,"LINESTRING (55.3053168 25.2771996, 55.3048406 25.2769554)"
37,92554467,primary,4,122.171,80,???? ??????,1,614183127,261304904,900,"LINESTRING (55.3047358 25.2769017, 55.3037001 25.2763272)"
38,92554467,primary,2,12.819,60,???? ??????,1,614183129,4902302649,900,"LINESTRING (55.3047358 25.2769017, 55.3047935 25.2767989)"
39,261304889,secondary,2,80.80600000000001,60,???? ??????,1,24105765,92554467,700,"LINESTRING (55.3042391 25.2774594, 55.3043878 25.277357, 55.3044892 25.2772608, 55.3045652 25.2771829, 55.3046345 25.277079, 55.3047358 25.2769017)"
40,261304935,secondary,2,106.31499999999997,60,???? ??????,1,24105762,261304817,700,"LINESTRING (55.3045888 25.2773402, 55.3044959 25.2774395, 55.3043168 25.2775755, 55.304087 25.2777146, 55.3039738 25.2777696, 55.3038133 25.2778368, 55.3037328 25.2778869)"
41,261304921,primary_link,1,77.823,60,,1,24105771,261304935,900,"LINESTRING (55.3053168 25.2771996, 55.3051412 25.277192, 55.3050293 25.277177, 55.304916 25.2771839, 55.3048191 25.2772152, 55.3045888 25.2773402)"
42,26386402,primary,2,14.986,60,???? ??????,1,10595601,91777306,900,"LINESTRING (55.3064633 25.273499, 55.3065252 25.2733764)"
43,91782925,secondary,2,9.803,60,???? ????,1,498874560,26386402,700,"LINESTRING (55.3065474 25.2735436, 55.3064633 25.273499)"
44,2169693469,primary,2,43.915,60,???? ??????,1,10595601,26386402,900,"LINESTRING (55.3062808 25.2738578, 55.3064633 25.273499)"
45,91777306,primary,2,51.54,60,???? ??????,1,10595601,2169693438,900,"LINESTRING (55.3065252 25.2733764, 55.306746 25.2729581)"
46,91777306,secondary,3,9.976,60,???? ????,1,98524416,91782924,700,"LINESTRING (55.3065252 25.2733764, 55.3066131 25.273418)"
47,4931131477,primary_link,2,12.51,60,,1,502731268,91777306,900,"LINESTRING (55.3065866 25.2734687, 55.3065386 25.273428, 55.3065252 25.2733764)"
48,26422224,primary,3,454.17100000000005,60,???? ??? ???,1,"[693816585, 290656154, 10569972]",6461936731,900,"LINESTRING (55.2962568 25.274951, 55.2963853 25.2742509, 55.2965285 25.2738284, 55.2966083 25.2734879, 55.2966659 25.2731518, 55.2966869 25.2728823, 55.2966784 25.2726777, 55.2966775 25.2725161, 55.2966773 25.2724877, 55.2966151 25.2721298, 55.2965042 25.2716512, 55.2963781 25.2712364, 55.2962677 25.2709553)"
49,26422233,primary_link,3,121.431,60,,1,693816586,26422224,900,"LINESTRING (55.2970177 25.2755466, 55.2968686 25.2756146, 55.2967118 25.2756015, 55.296564 25.2755207, 55.2964652 25.2754317, 55.296401 25.2752739, 55.2963298 25.2751176, 55.2962568 25.274951)"
50,3054891768,primary,3,61.577,60,???? ??? ???,1,10570133,26422224,900,"LINESTRING (55.2962299 25.2754988, 55.2961985 25.275308, 55.2962568 25.274951)"
51,6461936731,primary,2,43.521,60,???? ??? ???,1,290656154,8350116979,900,"LINESTRING (55.2962677 25.2709553, 55.2961329 25.2707338, 55.296067 25.2706087)"
52,6461936731,primary_link,2,58.498,60,,1,"[613934819, 693816589]",5808011725,900,"LINESTRING (55.2962677 25.2709553, 55.2962441 25.2708716, 55.2962548 25.2707586, 55.2962995 25.2706869, 55.2964055 25.2706558, 55.2965558 25.2706107)"
53,26422233,primary,3,59.066,60,???? ??? ???,1,10570132,91559822,900,"LINESTRING (55.2970177 25.2755466, 55.2969827 25.275669, 55.2969501 25.2758225, 55.296966 25.2759139, 55.2970768 25.2760334)"
54,5808011725,primary,3,658.3390000000002,40,"['???? ?????', '???? ??? ???']",1,"[10569994, 4845252, 749544525, 502908517]",26422233,900,"LINESTRING (55.2965558 25.2706107, 55.2966408 25.2706795, 55.2969138 25.2708949, 55.2971861 25.2711043, 55.2972872 25.2712099, 55.2975884 25.2715029, 55.2977687 25.2717048, 55.2981551 25.2721891, 55.2983459 25.2724501, 55.2980921 25.2726547, 55.2980186 25.2727097, 55.2979464 25.2727756, 55.2977891 25.2729347, 55.2976746 25.2730881, 55.2975963 25.2732077, 55.2975094 25.2733633, 55.2974442 25.2734875, 55.2973907 25.2735937, 55.29734 25.2737052, 55.2973309 25.273907, 55.2973303 25.2740136, 55.2973468 25.2741822, 55.2973437 25.2743095, 55.2973194 25.2744866, 55.2972633 25.2748797, 55.2971617 25.2752235, 55.2970177 25.2755466)"
55,91559822,primary,3,543.355,60,???? ??? ???,1,10570132,261304821,900,"LINESTRING (55.2970768 25.2760334, 55.2972989 25.2761668, 55.2979856 25.2764957, 55.2982545 25.2766345, 55.2984857 25.2767693, 55.2986698 25.2768757, 55.2988077 25.2769499, 55.2989138 25.277007, 55.2993841 25.2772315, 55.299562 25.2773185, 55.2997574 25.277414, 55.2999199 25.277496, 55.3010236 25.278047, 55.3013746 25.2782288, 55.3017786 25.278438)"
56,3054891768,primary_link,2,120.523,60,,1,693816588,91559822,900,"LINESTRING (55.2962299 25.2754988, 55.2962574 25.2754494, 55.296303 25.27543, 55.2963473 25.2754312, 55.2964063 25.2754616, 55.2964331 25.2755149, 55.2964841 25.275641, 55.2965458 25.2757369, 55.2966101 25.2758157, 55.2966879 25.2758751, 55.2968931 25.2759806, 55.2970768 25.2760334)"
57,26422509,secondary,2,12.183,60,???? ??? ?? ??????,1,752832651,266559108,700,"LINESTRING (55.3130749 25.2627212, 55.3131454 25.2628103)"
58,26422509,primary,3,339.814,60,???? ??? ???,1,10568279,91507733,900,"LINESTRING (55.3130749 25.2627212, 55.3135276 25.2624239, 55.3140672 25.2620476, 55.314308 25.2618501, 55.3146214 25.2616077, 55.3146514 25.2615845, 55.314671 25.2615691, 55.3151105 25.2612358, 55.3153481 25.2610519, 55.3155418 25.2609017, 55.3156891 25.2607876)"
59,92515214,primary,3,14.973,60,???? ??? ???,1,10568279,26422509,900,"LINESTRING (55.3129587 25.2628054, 55.3130749 25.2627212)"
60,266559108,primary,2,15.088,60,???? ??? ???,1,301440040,266559109,900,"LINESTRING (55.3131454 25.2628103, 55.3130267 25.2628933)"
61,266559108,secondary,2,55.771,60,???? ??? ?? ??????,1,301440038,4919454373,700,"LINESTRING (55.3131454 25.2628103, 55.313238 25.2629248, 55.3134727 25.2632152)"
62,91507767,primary,2,168.685,60,???? ??? ???,1,502113032,266559108,900,"LINESTRING (55.3144717 25.261882, 55.3140507 25.2621934, 55.3136011 25.2625047, 55.3131454 25.2628103)"
