<NUMBER OF ZONES> 113,,,,,,,,,
<NUMBER OF NODES> 13431,,,,,,,,,
<FIRST THRU NODE> 0,,,,,,,,,
<NUMBER OF LINKS> 10540,,,,,,,,,
<END OF METADATA>,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
from,to,capacity (veh/hr),length (m),Free Flow Time (min),B,Power,Speed Limit,Toll,Type
21133789,5986873669,4000,973.653,0.973653,0.15,4,0,0,F
21133789,642942771,2000,390.631,0.5859465,0.15,4,0,0,F
639121786,21133789,6000,123.592,0.123592,0.15,4,0,0,F
5986873669,2229425413,4000,439.471,0.439471,0.15,4,0,0,F
7943163357,5986873669,4000,81.814,0.081814,0.15,4,0,0,F
642942771,638968084,4000,151.097,0.151097,0.15,4,0,0,F
642942821,642942771,4000,510.234,0.510234,0.15,4,0,0,F
21162710,267369795,4000,756.309,0.756309,0.15,4,0,0,F
21162710,1014768766,12000,1199.9,0.654490909,0.15,4,0,0,F
1014766460,21162710,12000,1424.546,0.777025091,0.15,4,0,0,F
267369795,267369798,1400,654.548,0.654548,0.15,4,0,0,A
1014766449,267369795,1400,245.94,0.24594,0.15,4,0,0,A
1014768766,1626870976,12000,216.025,0.117831818,0.15,4,0,0,F
1625545290,1014768766,4000,518.638,0.518638,0.15,4,0,0,F
21162918,1014766460,12000,1194.256,0.651412364,0.15,4,0,0,F
1202779615,21162918,12000,813.593,0.443778,0.15,4,0,0,F
1202789747,21162918,4000,307.512,0.307512,0.15,4,0,0,F
7634022362,1014766460,4000,443.649,0.443649,0.15,4,0,0,F
21163317,1036688016,6000,1893.929,1.1363574,0.15,4,0,0,F
7862276783,21163317,4000,407.893,0.30591975,0.15,4,0,0,F
282933035,21163317,6000,1818.402,1.0910412,0.15,4,0,0,F
1036688016,1036687950,6000,477.906,0.2867436,0.15,4,0,0,F
1036688016,2317090490,4000,1116.684,1.116684,0.15,4,0,0,F
21164262,91067036,6000,272.668,0.272668,0.15,4,0,0,F
346176398,21164262,6000,122.831,0.122831,0.15,4,0,0,F
91067052,21164262,2000,69.021,0.069021,0.15,4,0,0,F
91067036,31473922,3600,45.005,0.045005,0.15,4,0,0,A
31473916,91067036,3600,117.405,0.117405,0.15,4,0,0,A
21164284,5986873668,4000,337.651,0.337651,0.15,4,0,0,F
642942821,21164284,4000,284.793,0.284793,0.15,4,0,0,F
5742312137,21164284,4000,364.895,0.364895,0.15,4,0,0,F
5986873668,7943163357,4000,447.354,0.447354,0.15,4,0,0,F
5986873668,5986873650,4000,173.653,0.173653,0.15,4,0,0,F
26386386,92554467,3600,12.112,0.009084,0.15,4,0,0,A
26386386,261304935,1400,49.755,0.049755,0.15,4,0,0,A
5774073727,26386386,1800,11.878,0.011878,0.15,4,0,0,A
261304921,26386386,3600,55.045,0.04128375,0.15,4,0,0,A
92554467,261304904,3600,122.171,0.09162825,0.15,4,0,0,A
92554467,4902302649,1800,12.819,0.012819,0.15,4,0,0,A
261304889,92554467,1400,80.806,0.080806,0.15,4,0,0,A
261304935,261304817,1400,106.315,0.106315,0.15,4,0,0,A
261304921,261304935,900,77.823,0.077823,0.15,4,0,0,A
26386402,91777306,1800,14.986,0.014986,0.15,4,0,0,A
91782925,26386402,1400,9.803,0.009803,0.15,4,0,0,A
2169693469,26386402,1800,43.915,0.043915,0.15,4,0,0,A
91777306,2169693438,1800,51.54,0.05154,0.15,4,0,0,A
91777306,91782924,2100,9.976,0.009976,0.15,4,0,0,A
4931131477,91777306,1800,12.51,0.01251,0.15,4,0,0,A
26422224,6461936731,2700,454.171,0.454171,0.15,4,0,0,A
26422233,26422224,2700,121.431,0.121431,0.15,4,0,0,A
3054891768,26422224,2700,61.577,0.061577,0.15,4,0,0,A
6461936731,8350116979,1800,43.521,0.043521,0.15,4,0,0,A
6461936731,5808011725,1800,58.498,0.058498,0.15,4,0,0,A
26422233,91559822,2700,59.066,0.059066,0.15,4,0,0,A
5808011725,26422233,2700,658.339,0.9875085,0.15,4,0,0,A
91559822,261304821,2700,543.355,0.543355,0.15,4,0,0,A
3054891768,91559822,1800,120.523,0.120523,0.15,4,0,0,A
26422509,266559108,1400,12.183,0.012183,0.15,4,0,0,A
26422509,91507733,2700,339.814,0.339814,0.15,4,0,0,A
92515214,26422509,2700,14.973,0.014973,0.15,4,0,0,A
266559108,266559109,1800,15.088,0.015088,0.15,4,0,0,A
266559108,4919454373,1400,55.771,0.055771,0.15,4,0,0,A
91507767,266559108,1800,168.685,0.168685,0.15,4,0,0,A
91507733,91507740,2700,70.2,0.0702,0.15,4,0,0,A
91507733,1024942124,1800,154.595,0.154595,0.15,4,0,0,A
26447900,4943186750,2100,20.915,0.01568625,0.15,4,0,0,A
4016797417,26447900,700,77.064,0.077064,0.15,4,0,0,A
1139701588,26447900,2100,188.759,0.14156925,0.15,4,0,0,A
4943186750,4016797453,2100,562.586,0.4219395,0.15,4,0,0,A
4943186754,4943186750,700,36.967,0.036967,0.15,4,0,0,A
26448290,2813314369,2100,115.274,0.0864555,0.15,4,0,0,A
91767774,26448290,900,157.799,0.11834925,0.15,4,0,0,A
476282215,26448290,2100,122.719,0.09203925,0.15,4,0,0,A
2813314369,2813314364,700,152.435,0.152435,0.15,4,0,0,A
2813314369,4942899578,2100,89.46,0.067095,0.15,4,0,0,A
26448341,95890507,2700,372.363,0.27927225,0.15,4,0,0,A
91767788,26448341,900,87.892,0.087892,0.15,4,0,0,A
476281930,26448341,2700,51.015,0.03826125,0.15,4,0,0,A
95890507,3051015903,2700,44.593,0.03344475,0.15,4,0,0,A
95890507,2813234393,1800,55.134,0.055134,0.15,4,0,0,A
31005214,91567796,3600,50.911,0.050911,0.15,4,0,0,A
31005214,6948561523,3600,1112.263,0.83419725,0.15,4,0,0,A
4471849211,31005214,3600,12.703,0.012703,0.15,4,0,0,A
91567796,91565626,3600,9.655,0.009655,0.15,4,0,0,A
91567794,91567796,3600,57.258,0.057258,0.15,4,0,0,A
6948561523,6948561525,2700,290.159,0.21761925,0.15,4,0,0,A
6948561523,4878996098,1800,681.602,0.681602,0.15,4,0,0,A
31005223,91565648,3600,54.061,0.054061,0.15,4,0,0,A
31005223,91565687,3600,58.835,0.058835,0.15,4,0,0,A
91565638,31005223,3600,7.524,0.007524,0.15,4,0,0,A
91565648,91565651,3600,6.052,0.006052,0.15,4,0,0,A
261304918,91565648,3600,535.697,0.40177275,0.15,4,0,0,A
91565687,261304921,3600,477.627,0.35822025,0.15,4,0,0,A
91565695,91565687,900,118.168,0.118168,0.15,4,0,0,A
31203518,262991367,2700,16.748,0.012561,0.15,4,0,0,A
31203518,1050212529,2700,67.873,0.05090475,0.15,4,0,0,A
54043141,31203518,2700,20.57,0.0154275,0.15,4,0,0,A
262098290,31203518,5400,67.695,0.05077125,0.15,4,0,0,A
262991367,262991368,2700,20.633,0.01547475,0.15,4,0,0,A
262991367,262098224,2700,93.051,0.06978825,0.15,4,0,0,A
262098253,262991367,5400,86.545,0.06490875,0.15,4,0,0,A
1050212529,31309234,5400,45.455,0.03409125,0.15,4,0,0,A
262098290,1050212529,1800,106.114,0.106114,0.15,4,0,0,A
31264113,1065944980,3600,76.939,0.076939,0.15,4,0,0,A
31264113,3453617080,1400,21.912,0.021912,0.15,4,0,0,A
4444655802,31264113,2700,9.549,0.009549,0.15,4,0,0,A
4444655797,31264113,1400,141.993,0.141993,0.15,4,0,0,A
1065944980,2571195560,3600,124.79,0.12479,0.15,4,0,0,A
1065944944,1065944980,2700,181.841,0.181841,0.15,4,0,0,A
3453617080,92593693,1400,20.289,0.020289,0.15,4,0,0,A
3453617080,6545989472,2700,11.988,0.011988,0.15,4,0,0,A
4726768161,3453617080,2700,113.9,0.1139,0.15,4,0,0,A
31309234,1766030985,5400,20.976,0.015732,0.15,4,0,0,A
31309234,6928155430,1800,105.749,0.105749,0.15,4,0,0,A
1766030985,1766030992,900,107.937,0.107937,0.15,4,0,0,A
1766030985,266557898,5400,82.377,0.06178275,0.15,4,0,0,A
