fishnetid,CO2,CO2psqkm
0,725888.8267244224,49142.02263157736
1,2705323.378692543,183147.96675050634
2,8100477.305337133,548395.0495033333
3,1189477.7769349967,80526.57883946049
4,1751448.035717102,118571.46141459644
5,962018.0420409692,65127.758760676654
6,885131.4572177406,59922.6059158348
7,215450.2219992487,14585.78682529677
9,4559995.275430761,308794.40215915564
10,5029573.030738632,340593.33471469814
11,13444731.668787941,910452.232313061
12,12830433.909046942,868853.130118895
13,9178873.383793235,621576.2402901321
14,7521512.982036174,509342.8752291876
15,643649.5964794026,43586.75400732674
16,1285363.9890642373,87042.45960485213
18,160093.78833363843,10844.307145533076
19,3664432.4647977185,248218.44480016487
20,3530169.6526386067,956495.4216399051
21,3433499.6784179043,930302.8029131995
22,5804103.392025236,1572836.8713789256
23,5126259.40660793,1389149.9276260564
24,10147200.683835713,687343.100742747
25,5548112.284848029,375813.6672324315
26,14755841.225457557,999519.5697793269
27,8116046.206444426,549758.3559369673
28,3493618.1442304747,236647.9586722022
29,969224.628875806,65671.09588582779
30,1056227.5358506807,71566.09285153943
31,5837975.817802304,395559.7683838523
32,16105178.079551455,1091227.6291900293
33,10182015.193363598,689895.8983841683
34,814911.1212037116,55215.38019631941
35,1775543.1617884266,120304.27390447038
36,18916575.509896643,1281717.5782902087
37,4315147.167608497,292378.5002598008
38,1167999.6886373132,79139.36280806854
39,232686.14195810838,15765.957121375273
40,7543841.470186076,511287.3664891798
41,16669485.940576654,1129782.1674763002
42,5621581.018140149,381005.26974621345
43,5793812.295151747,392678.32470069185
44,1309351.4793154334,88741.9058729604
45,14178032.517038763,960922.7521926052
46,3367844.961707893,228257.2596495351
47,1272319.1088505427,86232.0197301294
48,268199.65236609144,18182.50005216345
49,11043964.81926371,748721.6673503353
50,3492765.864609603,947163.2762461705
51,6507389.728250672,1764664.6851633452
52,8148868.842974694,2210111.6626687017
53,3236221.8606373686,877718.3453313638
54,11655760.019872434,790198.1054025199
55,6912347.334815171,468620.12932168157
56,18600480.375556316,1261012.9521615796
57,1608345.341516314,109037.20045130696
58,887590.1326858138,60173.85739124837
59,1932429.6059078032,131045.50845750379
60,3185406.3615516387,1944132.2695178092
61,3542510.3699597274,2162081.676130454
62,828513.124474328,505662.04690599086
63,1620521.9997243888,989138.175179721
64,6031035.654013436,3681238.2690696428
65,6169910.240949213,3766004.8785472396
66,2347693.8091722094,1433126.6587922836
67,2214278.9496458303,1351684.8663748566
68,2903135.0675214636,1772190.326985932
69,8776448.825799266,2380659.4401424206
70,7410213.518508111,2010060.6881509097
71,6000499.287919454,1627898.9539483848
72,7264133.087890185,1970715.1168112957
73,245238.57545065042,149675.1667287145
74,3970665.368819434,2423395.259127461
75,4243713.3928262275,2590043.2199662724
76,5701143.594870861,3479877.948478573
77,2808489.63685072,1714252.7623063095
78,1585839.0595200954,967968.3174485946
79,1664024.7501393578,1015787.5873747567
80,1567705.0600328846,956990.1772875874
81,2064507.7980924456,1260258.5359172511
82,19661513.426161308,1333323.0954955325
83,2745479.871062736,186181.5843450825
84,824175.2583839741,55890.50460769714
85,436487.07934261335,29608.27552615339
86,3496163.3939972203,948622.5246183866
87,2538408.5763702374,688752.5784303243
88,2624782.8926906,712289.9257732999
89,2421895.615916652,1478562.3740880745
90,4210513.098337827,2570509.7287829057
91,6960286.124863669,4249240.5987595115
92,2634483.068567224,1608498.9121508473
93,2745349.856198769,1676189.2721417318
94,5662403.283113202,3457213.154913303
95,3108386.9421119923,1898023.5102248376
96,2258909.7519366294,1379321.138745006
97,1730193.239351408,1056479.6168168706
98,14160417.26221367,960545.1242597388
99,24962120.127681397,1693258.2095458624
100,10657562.291131461,722935.5820296241
101,1430888.2946100456,97061.60131423829
102,451124.2331378797,30609.859329601422
103,6172614.194033059,418826.6519423319
104,10516244.040963694,2854209.3402064987
105,2336889.92733224,634254.3052105644
106,830247.5217070364,225369.19595768146
107,8203786.394083139,2226903.0561412326
108,4798110.988269043,1302253.2707237443
109,3377410.9301232374,916661.6697866096
110,4159743.006404892,1129154.7547376899
111,3371091.424182243,915076.7017114585
112,23095717.863179896,1567099.754297156
113,1571529.3231037068,106632.02723103952
114,2545889.231690045,172793.86928835144
115,4370732.939865485,2669842.2703082007
116,2599269.4540386605,1587751.884133735
117,3615674.811440721,2208618.458295771
118,1830242.2769565154,1118101.3598131286
119,2314447.6947550005,1413904.130237017
120,4479338.987654845,2736443.7354636285
121,2971899.3350596894,1815716.1981871133
122,3915555.9181236294,2392254.078587506
123,1842051.332984148,1125422.5214605508
124,5546114.931182317,1505697.3321755226
125,6540717.981994663,1775718.9921598628
126,2190203.0656592804,594696.1060983159
127,2839297.7398763867,770941.8986910098
128,4742049.90857984,321851.06164975505
129,644717.5496482927,43770.565653603015
130,2967714.6744551565,805925.321806671
131,3286321.973649844,892447.6860830851
132,501969.9730229985,136336.57806646798
133,811454.6783383443,220393.5694287712
134,3375290.200021818,229152.07036106318
135,2372619.389915833,161079.67408982848
