,from,highway,lanes,length,maxspeed,name,oneway,osmid,to,geometry,capacity
0,308906325,residential,2.0,107.119,50,太原街 Tai Yuen Street,1,88008306,24533064,"LINESTRING (114.1732827 22.2755691, 114.1732608 22.2757566, 114.1732557 22.2757989, 114.1731993 22.276289, 114.1731936 22.2763411, 114.1731723 22.276527)",400
1,26411640,secondary_link,1.0,130.623,50,海洋公園道 Ocean Park Road,1,26560287,3698862626,"LINESTRING (114.1699636 22.2503365, 114.1701234 22.2504881, 114.17016 22.250518, 114.170191 22.250549, 114.17022 22.250581, 114.17026 22.25063, 114.170293 22.250677, 114.170318 22.25072, 114.17041 22.25092, 114.17043 22.25096, 114.17046 22.25101, 114.1705 22.25106, 114.17055 22.251101, 114.1706 22.251137, 114.17065 22.251162, 114.17069 22.251172, 114.17077 22.251185)",700
2,26411640,trunk,3.0,115.535,70,黃竹坑道 Wong Chuk Hang Road,1,46766846,26411641,"LINESTRING (114.1699636 22.2503365, 114.1701308 22.2503987, 114.1702708 22.250448, 114.170422 22.2504859, 114.1705868 22.2505136, 114.1707462 22.2505376, 114.1710523 22.2505594)",1200
3,564633761,trunk,3.0,52.245999999999995,70,黃竹坑道 Wong Chuk Hang Road,1,714996652,26411640,"LINESTRING (114.1694938 22.2501585, 114.1695738 22.2501902, 114.1696883 22.2502321, 114.1699636 22.2503365)",1200
4,26411641,trunk,4.0,81.002,70,黃竹坑道 Wong Chuk Hang Road,1,86289334,597665412,"LINESTRING (114.1710523 22.2505594, 114.1712067 22.250564, 114.1713715 22.2505628, 114.171486 22.2505552, 114.1716427 22.2505413, 114.1718348 22.2505073)",1200
5,3698862146,trunk_link,1.0,140.791,50,海洋公園道 Ocean Park Road,1,26560290,26411641,"LINESTRING (114.17099 22.25103, 114.17095 22.251061, 114.17091 22.251079, 114.17085 22.2511, 114.1708 22.251108, 114.17075 22.251108, 114.170705 22.2511, 114.17066 22.25108, 114.17062 22.251058, 114.17058 22.251025, 114.170545 22.25098, 114.17052 22.250928, 114.17051 22.25088, 114.17051 22.25082, 114.17052 22.25078, 114.17054 22.250735, 114.17058 22.25069, 114.170622 22.25065, 114.17067 22.250617, 114.1707289 22.2505879, 114.1710523 22.2505594)",1200
6,1685958990,secondary,3.0,289.93300000000005,50,山頂道 Peak Road,0,"[245435906, 156335566, 4338992, 492657362, 492658229, 492658230, 492658231]",26412219,"LINESTRING (114.1507206 22.2692695, 114.1501427 22.2695415, 114.1500862 22.26957, 114.1498613 22.2696796, 114.149688 22.2697766, 114.149571 22.2699377, 114.1495121 22.2701166, 114.1494783 22.2703058, 114.1494595 22.2704623, 114.149462 22.2706245, 114.1495214 22.2709598, 114.1495431 22.2710854, 114.1495679 22.2712495)",700
7,26412251,secondary_link,1.0,5.312,50,,1,156335619,1685958857,"LINESTRING (114.1514696 22.2671122, 114.1514819 22.2671586)",700
8,1095691571,secondary,2.0,193.989,50,山頂道 Peak Road,0,"[156335568, 156335567]",26412251,"LINESTRING (114.1514328 22.2687141, 114.1514905 22.2684518, 114.1514813 22.2683025, 114.151242 22.2675627, 114.1512221 22.267485, 114.1512238 22.2674232, 114.1512466 22.2673098, 114.1512846 22.2672317, 114.1513127 22.2671952, 114.1513486 22.2671705, 114.1514696 22.2671122)",700
9,1685958757,secondary,2.0,163.923,50,山頂道 Peak Road,0,245435901,26412251,"LINESTRING (114.1522965 22.2660201, 114.1522453 22.2661905, 114.1522403 22.266389, 114.1522263 22.2665184, 114.1521562 22.266642, 114.1520168 22.2668341, 114.1519055 22.2669614, 114.1517995 22.2670197, 114.1516419 22.2670762, 114.1514696 22.2671122)",700
10,30747332,primary,2.0,10.981,50,梳士巴利道 Salisbury Road,1,111783432,1187353031,"LINESTRING (114.1723211 22.2947802, 114.1724276 22.2947867)",900
11,30747332,primary,2.0,92.965,50,彌敦道 Nathan Road,1,102821031,1649047771,"LINESTRING (114.1723211 22.2947802, 114.1723038 22.2950248, 114.1722804 22.2953856, 114.1722642 22.2956146)",900
12,33476549,primary,5.0,101.54500000000002,50,梳士巴利道 Salisbury Road,1,"[709674358, 246481118, 709674359]",30747332,"LINESTRING (114.1713365 22.294724, 114.1715256 22.2947413, 114.1716416 22.2947398, 114.1717306 22.294744, 114.1719499 22.2947606, 114.172036 22.2947647, 114.1720802 22.2947664, 114.1723211 22.2947802)",900
13,4642297159,primary_link,2.0,17.348,50,彌敦道 Nathan Road,1,99517944,30747332,"LINESTRING (114.1724417 22.2946865, 114.1724243 22.2946862, 114.1723988 22.2946981, 114.1723685 22.2947123, 114.1723387 22.2947419, 114.1723211 22.2947802)",900
14,30747334,residential,2.0,57.853,50,北京道 Peking Road,1,100220087,1649047802,"LINESTRING (114.1721995 22.296485, 114.1721306 22.2964785, 114.1716404 22.2964293)",400
15,30747334,primary,2.0,747.3149999999999,50,彌敦道 Nathan Road,1,"[757833657, 124697423]",1625209832,"LINESTRING (114.1721995 22.296485, 114.172128 22.2975566, 114.1721014 22.2979449, 114.1720963 22.2980114, 114.1720864 22.298159, 114.1720744 22.2983334, 114.1720428 22.2988179, 114.1720355 22.2989302, 114.1720001 22.2994072, 114.1719939 22.2995066, 114.171989 22.2995943, 114.1719443 22.300336, 114.1719345 22.3004564, 114.1719296 22.3005102, 114.1718718 22.3013386, 114.1718439 22.301718, 114.1717977 22.3022692, 114.171748 22.3030582, 114.1717454 22.3031057, 114.1717393 22.3031921)",900
16,1649047771,primary,2.0,97.012,50,彌敦道 Nathan Road,1,757833658,30747334,"LINESTRING (114.1722642 22.2956146, 114.1722386 22.2959541, 114.1722104 22.2963366, 114.1721995 22.296485)",900
17,33004487,primary,3.0,70.593,50,彌敦道 Nathan Road,1,102506130,1172757801,"LINESTRING (114.1710926 22.3102907, 114.1710171 22.3109217)",900
18,33004487,secondary,2.0,43.109,50,眾坊街 Public Square Street,1,102506142,1636768902,"LINESTRING (114.1710926 22.3102907, 114.1709504 22.3102642, 114.1709179 22.3102581, 114.1706807 22.3102195)",700
19,1183787463,primary_link,1.0,79.127,50,彌敦道 Nathan Road,1,150801669,33004487,"LINESTRING (114.1711037 22.3109889, 114.171088 22.3108322, 114.1711449 22.3104096, 114.1710926 22.3102907)",900
