<NUMBER OF ZONES> 113,,,,,,,,,
<NUMBER OF NODES> 13431,,,,,,,,,
<FIRST THRU NODE> 0,,,,,,,,,
<NUMBER OF LINKS> 10540,,,,,,,,,
<END OF METADATA>,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
from,to,capacity (veh/hr),length (m),Free Flow Time (min),B,Power,Speed Limit,Toll,Type
26411640,3698862626,700,130.623,0.1567476,0.15,4,0,0,A
26411640,26411641,3600,115.535,0.09903,0.15,4,0,0,F
564633761,26411640,3600,52.246,0.044782286,0.15,4,0,0,F
26411641,597665412,4800,81.002,0.069430286,0.15,4,0,0,A
3698862146,26411641,1200,140.791,0.1689492,0.15,4,0,0,A
26412251,26412219,2100,584.082,0.7008984,0.15,4,0,0,F
26412251,1685958857,700,5.312,0.0063744,0.15,4,0,0,A
4848058343,26412251,2100,2343.58,2.812296,0.15,4,0,0,A
30747332,1187353031,1800,10.981,0.0131772,0.15,4,0,0,A
30747332,1625209832,1800,937.292,1.1247504,0.15,4,0,0,A
495137366,30747332,4500,160.153,0.1921836,0.15,4,0,0,A
4642297159,30747332,1800,17.348,0.0208176,0.15,4,0,0,A
33004487,1151084822,2700,298.867,0.3586404,0.15,4,0,0,A
33004487,1636768897,2100,119.336,0.1432032,0.15,4,0,0,A
1183787463,33004487,900,79.127,0.0949524,0.15,4,0,0,A
5099453112,33004487,2700,200.333,0.2403996,0.15,4,0,0,A
33004488,1151084822,2700,10.668,0.0128016,0.15,4,0,0,F
33004488,1183787463,2700,224.562,0.2694744,0.15,4,0,0,A
1151084876,33004488,2700,8.795,0.010554,0.15,4,0,0,A
1636641362,33004488,2700,533.647,0.6403764,0.15,4,0,0,A
33004530,33004534,1800,364.505,0.437406,0.15,4,0,0,A
33004530,988059453,1800,122.508,0.1470096,0.15,4,0,0,A
1158360166,33004530,1800,340.248,0.4082976,0.15,4,0,0,A
33004534,4844962258,3600,130.453,0.1565436,0.15,4,0,0,A
3610003009,33004534,900,147.813,0.1773756,0.15,4,0,0,A
33004677,1649048065,3600,26.901,0.0322812,0.15,4,0,0,A
990625876,33004677,900,84.023,0.1008276,0.15,4,0,0,A
5120437769,33004677,3600,162.515,0.195018,0.15,4,0,0,A
33476495,1187353069,1800,12.848,0.0154176,0.15,4,0,0,A
33476495,33476497,2700,169.953,0.2039436,0.15,4,0,0,A
4844962258,33476495,3600,9.271,0.0111252,0.15,4,0,0,A
5137163580,33476495,4500,89.313,0.1071756,0.15,4,0,0,A
33476497,420041549,900,46.577,0.0558924,0.15,4,0,0,A
33476497,420041599,2700,35.955,0.043146,0.15,4,0,0,A
33476500,1185400508,2700,15.411,0.0184932,0.15,4,0,0,A
33476500,2754770542,1800,111.208,0.1334496,0.15,4,0,0,A
1185808523,33476500,1800,17.496,0.0209952,0.15,4,0,0,A
1187353106,33476500,2700,78.846,0.0946152,0.15,4,0,0,A
33476502,484141119,900,83.563,0.1002756,0.15,4,0,0,A
33476502,1171655919,2700,67.839,0.0814068,0.15,4,0,0,A
1185808508,33476502,2700,40.345,0.048414,0.15,4,0,0,A
33476508,1158360142,1800,43.393,0.0520716,0.15,4,0,0,A
33476508,441549980,1400,27.875,0.03345,0.15,4,0,0,A
759630064,33476508,1800,10.735,0.012882,0.15,4,0,0,A
1158360169,33476508,2100,43.649,0.0523788,0.15,4,0,0,A
33476510,1158360153,900,54.611,0.0655332,0.15,4,0,0,A
33476510,759630064,1800,27.19,0.032628,0.15,4,0,0,A
1158360124,33476510,2700,35.431,0.0425172,0.15,4,0,0,A
34971938,332246178,1200,316.587,0.3799044,0.15,4,0,0,A
34971938,332248700,1200,598.336,0.7180032,0.15,4,0,0,A
5026796433,34971938,1200,982.727,1.1792724,0.15,4,0,0,A
50060656,574307497,1800,286.65,0.34398,0.15,4,0,0,A
1266044690,50060656,1800,318.731,0.3824772,0.15,4,0,0,A
5843309109,50060656,1200,234.502,0.2814024,0.15,4,0,0,A
5084246001,50060666,2700,3046.434,2.611229143,0.15,4,0,0,A
50060666,1266044690,1800,342.202,0.4106424,0.15,4,0,0,A
1266044588,50060666,1800,347.511,0.4170132,0.15,4,0,0,A
165996965,274242065,3600,135.895,0.163074,0.15,4,0,0,A
984409370,165996965,2100,131.981,0.1583772,0.15,4,0,0,A
4860173835,165996965,1800,455.068,0.5460816,0.15,4,0,0,A
165997300,6481253417,1400,18.622,0.0223464,0.15,4,0,0,A
165997300,1001584084,2100,60.149,0.0721788,0.15,4,0,0,A
2496630039,165997300,1400,84.493,0.1013916,0.15,4,0,0,A
165997863,165997979,2800,66.653,0.0799836,0.15,4,0,0,F
165997863,288373551,700,61.913,0.0742956,0.15,4,0,0,F
5012578128,165997863,2800,362.089,0.4345068,0.15,4,0,0,F
165997979,508018737,2800,34.094,0.0409128,0.15,4,0,0,A
288373551,165997979,700,42.623,0.0511476,0.15,4,0,0,F
1002550816,165999009,1400,12.592,0.0151104,0.15,4,0,0,A
1025308469,165999009,1400,140.418,0.1685016,0.15,4,0,0,A
165999009,281676216,2100,523.651,0.6283812,0.15,4,0,0,A
1618530651,165999009,1400,652.196,0.7826352,0.15,4,0,0,A
166091633,5012578128,700,58.883,0.0706596,0.15,4,0,0,A
166091633,279084958,700,37.032,0.0444384,0.15,4,0,0,A
2496629924,166091633,2100,79.904,0.0958848,0.15,4,0,0,A
166091692,1615603902,3500,478.435,0.574122,0.15,4,0,0,A
279084608,166091692,1400,87.838,0.1054056,0.15,4,0,0,A
988470348,166091692,4200,71.318,0.0855816,0.15,4,0,0,F
232200869,525449212,4000,203.785,0.244542,0.15,4,0,0,F
288177038,232200869,4000,297.887,0.3574644,0.15,4,0,0,A
1034004752,232200869,2000,450.664,0.5407968,0.15,4,0,0,A
5090469981,232216521,2100,9.485,0.011382,0.15,4,0,0,A
5179288734,232216521,2100,2495.489,2.9945868,0.15,4,0,0,A
232216521,5090469984,1400,19.583,0.0234996,0.15,4,0,0,A
2285675770,232216521,1400,271.496,0.3257952,0.15,4,0,0,A
232221477,2285675771,700,11.4,0.01368,0.15,4,0,0,A
232221477,292204233,2100,110.756,0.1329072,0.15,4,0,0,A
5090446026,232221477,1400,9.22,0.011064,0.15,4,0,0,A
232221479,2285675770,1400,76.008,0.0912096,0.15,4,0,0,A
2688575200,232221479,1400,551.661,0.6619932,0.15,4,0,0,A
2285675771,232221479,1400,80.85,0.09702,0.15,4,0,0,A
232221594,232221586,2100,15.419,0.0185028,0.15,4,0,0,A
2688581881,232221586,1400,929.416,1.1152992,0.15,4,0,0,F
1974692376,232221586,700,232.404,0.2788848,0.15,4,0,0,A
232221594,1974692376,700,227.421,0.2729052,0.15,4,0,0,A
239989632,232221594,1400,553.311,0.6639732,0.15,4,0,0,A
235220025,4869996051,2100,20.303,0.0243636,0.15,4,0,0,A
235220025,566138764,2800,45.433,0.0545196,0.15,4,0,0,A
984409307,235220025,2100,49.87,0.059844,0.15,4,0,0,A
4869996046,235220025,2100,23.036,0.0276432,0.15,4,0,0,F
239978277,239978228,1400,2408.389,2.8900668,0.15,4,0,0,F
239978228,6435551384,1400,25.746,0.0308952,0.15,4,0,0,F
6435551379,239978228,1400,23.827,0.0285924,0.15,4,0,0,A
239978278,239978277,1400,11.272,0.0135264,0.15,4,0,0,A
239978277,1653118140,2700,729.864,0.8758368,0.15,4,0,0,A
311742922,239978277,2700,1081.163,1.2973956,0.15,4,0,0,F
239978278,3787678459,2700,1002.26,1.202712,0.15,4,0,0,F
1653118151,239978278,2700,746.957,0.8963484,0.15,4,0,0,F
239989634,239989632,1400,77.311,0.0927732,0.15,4,0,0,A
239989632,312459990,1400,164.203,0.1970436,0.15,4,0,0,F
312459990,239989632,1400,163.895,0.196674,0.15,4,0,0,F
239989634,1072934548,1400,80.735,0.096882,0.15,4,0,0,F
1072934037,239989634,1400,68.825,0.08259,0.15,4,0,0,F
239989636,1072934037,1400,20.993,0.0251916,0.15,4,0,0,F
1078809413,239989636,1400,450.297,0.5403564,0.15,4,0,0,F
1072934548,239989636,1400,20.415,0.024498,0.15,4,0,0,A
239990432,239990433,2800,32.766,0.0393192,0.15,4,0,0,A
279085264,239990432,2800,50.51,0.060612,0.15,4,0,0,A
2496629713,239990432,700,104.253,0.1251036,0.15,4,0,0,A
239990433,239990443,3500,235.998,0.2831976,0.15,4,0,0,A
279085325,239990433,700,37.682,0.0452184,0.15,4,0,0,A
239990443,526901913,2100,35.564,0.0426768,0.15,4,0,0,A
356278264,239990443,700,71.425,0.08571,0.15,4,0,0,A
239990446,5179288741,700,61.509,0.0738108,0.15,4,0,0,A
239990446,984968781,700,50.913,0.0610956,0.15,4,0,0,A
526955841,239990446,2100,85.235,0.102282,0.15,4,0,0,A
239990448,239990447,1400,17.187,0.0206244,0.15,4,0,0,A
5179288734,239990447,1400,6.996,0.0083952,0.15,4,0,0,A
5179288741,239990447,1400,6.143,0.0073716,0.15,4,0,0,A
239990448,984968781,700,63.662,0.0763944,0.15,4,0,0,A
5012882374,239990448,1400,18.764,0.0225168,0.15,4,0,0,F
239990812,1029692771,1400,25.821,0.0309852,0.15,4,0,0,F
239990812,2496629720,700,41.571,0.0498852,0.15,4,0,0,F
279121636,239990812,1400,113.652,0.1363824,0.15,4,0,0,A
239991573,8442857151,2800,38.109,0.0457308,0.15,4,0,0,A
982684032,239991573,1400,38.008,0.0456096,0.15,4,0,0,A
1623825584,239991573,2100,482.294,0.5787528,0.15,4,0,0,A
239994496,317355749,2000,504.127,0.6049524,0.15,4,0,0,F
239994496,317355979,4000,327.402,0.280630286,0.15,4,0,0,A
7235049597,239994496,6000,191.068,0.163772571,0.15,4,0,0,F
243845374,4475207931,2100,103.936,0.1247232,0.15,4,0,0,A
1025308469,243845374,700,180.214,0.2162568,0.15,4,0,0,A
3034002227,243845374,1400,92.623,0.1111476,0.15,4,0,0,F
245088214,245088222,3600,295.07,0.354084,0.15,4,0,0,A
4464851534,245088214,900,83.322,0.0999864,0.15,4,0,0,A
6374552939,245088214,2700,311.524,0.3738288,0.15,4,0,0,F
245088222,1636543866,2700,56.286,0.0675432,0.15,4,0,0,A
245088222,1141935440,900,45.414,0.0544968,0.15,4,0,0,A
245088222,1140062928,1200,219.816,0.2637792,0.15,4,0,0,A
245088364,245088365,3500,17.252,0.0207024,0.15,4,0,0,F
245088364,984409351,700,58.797,0.0705564,0.15,4,0,0,F
2496630063,245088364,1400,136.207,0.1634484,0.15,4,0,0,F
245088365,527734527,1400,27.509,0.0330108,0.15,4,0,0,A
245088365,6233488023,2100,29.131,0.0349572,0.15,4,0,0,F
245088371,984409360,2400,222.589,0.2671068,0.15,4,0,0,F
245088371,984409317,1800,208.89,0.250668,0.15,4,0,0,F
6783589506,245088371,4500,118.951,0.1427412,0.15,4,0,0,F
249968570,597662979,1400,10.408,0.0124896,0.15,4,0,0,A
249968570,8449585181,2100,50.525,0.06063,0.15,4,0,0,F
597663005,249968570,2100,41.125,0.04935,0.15,4,0,0,A
983470685,249968570,2100,27.833,0.0333996,0.15,4,0,0,F
249968572,597662940,2100,195.247,0.2342964,0.15,4,0,0,F
597662979,249968572,1400,61.397,0.0736764,0.15,4,0,0,F
982761647,249968572,700,11.673,0.0140076,0.15,4,0,0,F
249968862,1822894556,2700,150.108,0.1801296,0.15,4,0,0,A
595721948,249968862,2100,53.286,0.0639432,0.15,4,0,0,F
4791936461,249968862,2700,64.205,0.077046,0.15,4,0,0,F
249970441,1695401428,1400,75.025,0.09003,0.15,4,0,0,F
2510642520,249970441,2100,2081.924,2.4983088,0.15,4,0,0,F
1695401409,249970441,700,75.509,0.0906108,0.15,4,0,0,A
249970473,2555609144,1400,62.55,0.07506,0.15,4,0,0,A
249970473,2555609278,1400,29.219,0.0350628,0.15,4,0,0,A
2555609333,249970473,1400,7.349,0.0088188,0.15,4,0,0,A
251083363,1033405530,700,34.135,0.040962,0.15,4,0,0,A
6236481404,251083363,1400,186.478,0.2237736,0.15,4,0,0,A
1033405570,251083363,700,37.68,0.045216,0.15,4,0,0,A
253020938,1688106588,6000,1445.723,1.08429225,0.15,4,0,0,A
991762948,253020938,2000,305.986,0.3671832,0.15,4,0,0,F
1691725591,253020938,6000,667.312,0.571981714,0.15,4,0,0,F
285750164,253287511,1400,691.608,0.8299296,0.15,4,0,0,F
526956446,253287511,1400,1574.229,1.8890748,0.15,4,0,0,F
3296357668,253287511,1400,219.508,0.2634096,0.15,4,0,0,F
253290813,3296359693,1400,18.589,0.0223068,0.15,4,0,0,A
253290813,3296359783,700,9.097,0.0109164,0.15,4,0,0,A
297209156,253290813,1400,100.524,0.1206288,0.15,4,0,0,A
253290826,419510712,900,99.278,0.1191336,0.15,4,0,0,A
419510712,253290826,3600,77.364,0.0928368,0.15,4,0,0,A
5087413983,253290826,4500,812.128,0.9745536,0.15,4,0,0,A
253313718,4862273081,1400,92.423,0.1109076,0.15,4,0,0,A
253313718,253331259,2700,204.9,0.24588,0.15,4,0,0,A
525462338,253313718,3600,82.986,0.0995832,0.15,4,0,0,A
253313722,3296357668,700,13.403,0.0160836,0.15,4,0,0,A
253314296,356559053,2100,36.457,0.0437484,0.15,4,0,0,A
253314296,289338722,2700,139.968,0.1679616,0.15,4,0,0,F
253331259,253314296,2700,64.779,0.0777348,0.15,4,0,0,F
308234641,253314296,2100,64.348,0.0772176,0.15,4,0,0,F
253315365,4862273061,1400,344.353,0.4132236,0.15,4,0,0,F
1038509270,253315365,2100,399.882,0.4798584,0.15,4,0,0,A
4862273120,253315365,2800,11.073,0.0132876,0.15,4,0,0,A
253315544,2408448739,1800,424.465,0.509358,0.15,4,0,0,F
7084047888,253315544,1400,32.631,0.0391572,0.15,4,0,0,F
7084047889,253315544,1800,13.626,0.0163512,0.15,4,0,0,A
253330892,289340123,900,255.587,0.3067044,0.15,4,0,0,A
253330892,253330896,1200,293.391,0.22004325,0.15,4,0,0,A
579143562,253330892,900,468.581,0.5622972,0.15,4,0,0,A
253330896,253332974,2400,859.766,0.6448245,0.15,4,0,0,A
1034004752,253330896,2400,73.566,0.0551745,0.15,4,0,0,F
356559133,253331259,2000,151.34,0.181608,0.15,4,0,0,A
253331807,1038509270,2100,36.876,0.0442512,0.15,4,0,0,A
253331807,4862280130,2100,7.018,0.0084216,0.15,4,0,0,A
1038509312,253331807,2700,35.332,0.0423984,0.15,4,0,0,A
1680952034,253331807,700,395.876,0.4750512,0.15,4,0,0,A
253332974,1034004862,3600,254.978,0.1912335,0.15,4,0,0,A
5122954685,253332974,4000,555.71,0.666852,0.15,4,0,0,A
253332980,289558700,2700,19.659,0.0235908,0.15,4,0,0,A
289339837,253332980,2700,32.96,0.039552,0.15,4,0,0,A
2593031259,253332980,900,31.696,0.0380352,0.15,4,0,0,A
253333456,525459207,2400,271.424,0.3257088,0.15,4,0,0,A
253333456,1034004842,2400,215.972,0.161979,0.15,4,0,0,A
5633165916,253333456,2400,510.769,0.38307675,0.15,4,0,0,A
253333461,2408448739,1200,753.924,0.565443,0.15,4,0,0,A
356559133,253333461,2000,233.856,0.200448,0.15,4,0,0,A
1034004842,253333461,2400,855.989,0.64199175,0.15,4,0,0,A
256015556,256363241,900,43.512,0.0522144,0.15,4,0,0,A
256015556,291157816,2700,227.42,0.194931429,0.15,4,0,0,A
566142553,256015556,2700,213.242,0.182778857,0.15,4,0,0,A
256015573,566142553,2700,123.106,0.105519429,0.15,4,0,0,A
256015573,566142529,900,106.552,0.1278624,0.15,4,0,0,A
256015760,256015573,2700,129.542,0.111036,0.15,4,0,0,A
291157028,256015760,900,141.651,0.1699812,0.15,4,0,0,A
660911704,256015760,1800,252.737,0.216631714,0.15,4,0,0,A
256015937,291157028,900,383.524,0.4602288,0.15,4,0,0,A
256015937,660911704,1800,237.762,0.203796,0.15,4,0,0,A
256016231,256015937,1800,626.869,0.537316286,0.15,4,0,0,A
288737703,256016231,1800,141.396,0.1696752,0.15,4,0,0,A
288737712,256016231,900,92.082,0.1104984,0.15,4,0,0,A
256016264,1051895012,900,44.384,0.0532608,0.15,4,0,0,A
256016264,662071404,2700,35.748,0.0428976,0.15,4,0,0,A
566146086,256016264,1800,82.184,0.0986208,0.15,4,0,0,A
256016362,1051895086,1800,135.821,0.1629852,0.15,4,0,0,A
256016362,296285632,900,30.636,0.0367632,0.15,4,0,0,A
664469675,256016362,1800,344.758,0.4137096,0.15,4,0,0,A
496053841,256017646,1800,10.163,0.0121956,0.15,4,0,0,A
256017646,6938681153,1800,559.866,0.6718392,0.15,4,0,0,A
1051895086,256017646,1800,680.171,0.8162052,0.15,4,0,0,A
256093769,566530269,900,319.048,0.3828576,0.15,4,0,0,A
256093769,566530269,1800,328.046,0.3936552,0.15,4,0,0,A
8358637223,256093769,1800,99.955,0.119946,0.15,4,0,0,A
256363215,6574940721,1400,17.932,0.0215184,0.15,4,0,0,A
256363215,1054617083,1400,113.139,0.1357668,0.15,4,0,0,A
256363216,256363215,1400,11.962,0.0143544,0.15,4,0,0,A
566142529,256363216,1400,416.628,0.4999536,0.15,4,0,0,A
565448746,256363216,1800,143.911,0.1726932,0.15,4,0,0,A
257006540,1180215220,1400,111.601,0.1339212,0.15,4,0,0,A
278943717,257006540,700,83.174,0.0998088,0.15,4,0,0,A
317360302,257006540,2100,1044.7,1.25364,0.15,4,0,0,A
257503927,4576848790,2400,240.965,0.289158,0.15,4,0,0,A
257503927,292204101,1400,44.354,0.0532248,0.15,4,0,0,A
1012752117,257503927,2800,11.083,0.0132996,0.15,4,0,0,A
261738996,311742913,2400,592.054,0.7104648,0.15,4,0,0,A
261738997,261738996,4000,417.878,0.358181143,0.15,4,0,0,A
1654580567,261738996,1200,54.411,0.046638,0.15,4,0,0,A
261738997,316732551,4000,378.276,0.4539312,0.15,4,0,0,A
479762104,261738997,6000,1061.489,0.909847714,0.15,4,0,0,A
261739794,6549181329,1800,102.518,0.1230216,0.15,4,0,0,A
1197923668,261739794,1800,25.32,0.030384,0.15,4,0,0,F
7432176744,261739794,900,1233.528,1.4802336,0.15,4,0,0,F
262120312,474384999,2700,84.045,0.100854,0.15,4,0,0,F
567538719,262120312,1800,1151.584,1.3819008,0.15,4,0,0,F
1686529413,262120312,1400,12.339,0.0148068,0.15,4,0,0,A
262120933,1695401114,900,31.451,0.0377412,0.15,4,0,0,A
262120933,7609811200,900,145.407,0.1744884,0.15,4,0,0,A
3936118492,262120933,1800,52.65,0.0351,0.15,4,0,0,A
262120934,3936118494,1800,10.913,0.007275333,0.15,4,0,0,A
262120934,3936118510,700,18.053,0.0216636,0.15,4,0,0,A
3936118501,262120934,700,9.479,0.0113748,0.15,4,0,0,A
3936118509,262120934,1800,24.501,0.021000857,0.15,4,0,0,A
262120943,3936118509,1800,957.115,0.820384286,0.15,4,0,0,A
1695401102,262120943,1800,36.946,0.0443352,0.15,4,0,0,A
1695401105,262120943,1800,65.632,0.056256,0.15,4,0,0,F
262120944,7632619276,1800,63.897,0.054768857,0.15,4,0,0,F
262120944,7632619276,1800,76.532,0.0918384,0.15,4,0,0,F
1695401332,262120944,1800,823.014,0.705440571,0.15,4,0,0,A
262120949,1424865936,1800,33.161,0.028423714,0.15,4,0,0,A
262120949,1424865937,1800,20.508,0.0246096,0.15,4,0,0,A
1424865925,262120949,1800,30.332,0.025998857,0.15,4,0,0,A
1695401485,262120949,1800,20.913,0.0250956,0.15,4,0,0,A
262122582,7609611542,700,170.085,0.204102,0.15,4,0,0,F
262122763,262122762,2100,46.092,0.0553104,0.15,4,0,0,F
496511490,262122762,1400,178.314,0.2139768,0.15,4,0,0,A
496511470,262122762,1200,271.806,0.3261672,0.15,4,0,0,A
262122763,2160504743,1200,21.66,0.025992,0.15,4,0,0,A
2160504748,262122763,2100,15.949,0.0191388,0.15,4,0,0,A
262123052,4862251978,1400,11.748,0.0140976,0.15,4,0,0,A
262123052,1691725688,1400,29.841,0.0358092,0.15,4,0,0,A
5098204253,262123052,1400,15.881,0.0190572,0.15,4,0,0,A
262123054,993701400,1400,186.61,0.223932,0.15,4,0,0,A
262123054,491586689,1400,38.063,0.0456756,0.15,4,0,0,A
4862251978,262123054,1400,41.368,0.0496416,0.15,4,0,0,A
262123055,491586678,1400,41.926,0.0503112,0.15,4,0,0,A
262123055,491586679,1400,40.563,0.0486756,0.15,4,0,0,A
491586689,262123055,1400,10.429,0.0125148,0.15,4,0,0,F
581279715,262966966,2100,278.464,0.3341568,0.15,4,0,0,F
1502804316,268637360,2400,575.58,0.690696,0.15,4,0,0,F
1502804370,268637360,3600,282.75,0.3393,0.15,4,0,0,F
268637911,1646789170,4000,793.952,0.595464,0.15,4,0,0,A
268637911,323083782,4000,251.752,0.3021024,0.15,4,0,0,A
