fishnetid,CO2,fishnetid,CO2psqkm
0,650965.2733094004,0,261182.92333932332
100,3854143.720693122,3,1546533.6099118476
103,3274567.703423124,5,1314104.6838196667
105,199779.30396753148,7,80172.69540620086
108,1227468.8302933169,9,492590.98764239793
112,12780011.362513637,13,5128699.209117454
114,568331.7453275238,15,228075.1159052073
118,14082246.786990583,21,5651874.422333454
120,19183132.68775317,23,7699102.182907316
122,482356.04734455934,25,193592.3896010048
124,4572565.742975028,27,1835187.7905599365
126,23403900.12541661,29,9393096.606122913
128,8879750.070521494,31,3563865.4157558098
13,1864576.3223287528,33,748343.029635378
130,2219591.5932699977,35,890918.9977218667
133,1358393.9788411176,37,545244.0015586833
135,121775.45702605434,39,48879.293131921215
137,9202375.962968156,41,3693729.7809408708
143,4151243.9138821657,43,1666262.423351098
146,14905533.71856376,45,5982912.893207478
148,11496297.705904385,47,4614484.061262449
15,1572529.5273291185,49,631195.5922985426
150,9186388.015249794,51,3687312.399292796
152,12555787.506250385,54,5040269.207397379
154,2060237.4990915305,56,827041.0455286717
156,3773710.6217752397,58,1514880.4832134612
158,5099227.693774511,60,2046982.7411180055
160,2548700.244729928,62,1023124.6232882715
162,8742827.467327647,64,3509632.832449579
164,3956833.1420833883,66,1588391.3482082284
166,6567791.363538381,68,2636508.188262137
169,23754671.61668719,70,9535836.746346839
171,14105321.532406805,72,5662298.581034198
173,5074069.375719855,74,2036883.438649348
175,7279086.795328395,76,2922043.481082609
177,26374487.318340905,78,10588598.040187795
179,17811053.532280248,80,7150625.68797658
181,2670319.474304121,82,1072056.461650231
184,1481273.6096937058,87,594688.747928409
186,9614362.181570623,89,3859889.874818972
189,9783160.13251174,92,3927657.396923898
192,12652620.277331017,94,5079663.109843546
194,7304491.317700427,96,2932543.162550349
196,16100570.516258255,98,6463915.9562334595
198,7370617.492108343,100,2959090.919571014
201,6273403.064431734,103,2518590.886398484
203,1075462.0393542668,105,431767.07492977614
205,1212203.207129102,108,486714.80399002216
207,1721002.3668950251,112,691004.0533991645
209,1573828.430783903,114,631911.870631346
21,315012.3695884191,118,126481.42062070195
213,243659.24927029884,120,97832.24714428521
215,7919904.953653118,122,3179941.2544612945
217,16878327.20859649,124,6776860.241493891
219,9921970.789217088,126,3983795.8186183223
221,13945760.932082951,128,5599398.070090463
224,6857207.221436503,130,2753254.77533156
226,5432421.341843604,133,2181185.3598775603
228,6359262.024490201,135,2553586.482174535
23,1431971.6506587937,137,575013.804416349
230,1883946.9466458182,143,756506.2482970067
232,9581209.088106904,146,3847371.8988232724
234,7352226.189119906,148,2952315.117402522
236,1327604.8253096195,150,533104.8984186109
238,1265123.785372616,152,508015.39300643327
240,8336664.347899622,154,3347620.1017153794
242,7318851.137948272,156,2938913.2353649763
244,8622208.383043744,158,3462281.423322469
246,6746836.189297049,160,2709218.400513392
249,8828073.055402024,162,3545312.523101458
25,2077585.0265905359,164,834348.3528446738
251,6876844.421378909,166,2761708.301858212
253,13709128.248497969,169,5505521.279122403
255,11150890.530131256,171,4478145.07108284
257,20523417.82228017,173,8242107.849072265
259,10754877.378835972,175,4319108.056343484
261,15896762.746634511,177,6384064.98096764
264,493447.0760895354,179,198166.0196247006
266,420497.227146526,181,168869.70417836835
268,7857800.951321178,184,3155655.8200078765
27,3218459.0666096117,186,1292651.289423172
270,1703284.840208443,189,684101.708110197
272,740222.0772646432,192,297300.3548693889
273,9546125.678266972,194,3834074.447315194
275,5075464.4968417445,196,2038492.8285529881
277,700911.3197993753,198,281511.71183432004
279,2953078.1335400674,201,1186064.5663296136
281,1098440.5616149525,203,441174.046008427
285,4208974.174721253,205,1690478.5120796273
287,5458830.916561184,207,2192466.853547755
29,8385828.762069814,209,3368404.2221479127
290,1963526.7668524457,213,788705.8082657228
292,11649049.76039411,215,4679168.81089563
294,3510316.827353537,217,1410017.5853598095
298,4323567.577412467,219,1736682.6458921875
3,1622722.1235984836,221,651812.0280759024
300,3395099.5581323113,224,1363737.3252781169
303,566355.5863764961,226,227492.66679735796
305,14424278.86777991,228,5793917.717413309
307,1480979.9962726752,230,594877.3119395756
308,2230011.772124493,232,895747.0134193357
31,547330.6756476663,234,219850.77576370863
310,8620482.765454024,236,3462659.6092084264
313,1731266.3966570918,238,695411.8913737604
315,1909980.4000501698,240,767276.6382445085
317,2272995.177209121,242,913106.8037484855
320,1331410.4473795039,244,534853.7252849668
322,5897679.905483881,246,2369213.8470127755
324,5085224.894064799,249,2042834.7125078135
326,7089977.540330576,251,2848183.2233624076
329,8313283.158883829,253,3339609.1157505093
33,2673851.158199362,255,1074138.5240255757
331,1860860.5497562734,257,747544.2296790677
334,2155099.8109652144,259,865745.9196939043
336,1901597.9359656542,261,763909.2377909459
338,4991908.992419455,264,2005347.8821155992
340,7910848.45038313,266,3178271.6402249164
342,15181077.807567792,268,6099167.411240673
345,923482.3964492119,270,371019.3576950385
349,1351203.66808201,272,542861.1514135309
35,855290.9472119359,273,343622.6820320035
351,1638150.4934044767,275,658145.2404584677
353,1966347.763313858,277,790002.1559207988
355,1231678.4133605065,279,494840.54657558515
357,10671209.374217803,281,4287277.443592619
359,9924079.311698189,285,3987521.9782803
361,4730662.310505435,287,1900792.944363383
363,3422649.957250962,290,1375230.033927034
365,454741.76889494946,292,182716.4758521448
367,565233.3066935284,294,227112.27535652457
369,406099.3582889137,298,163188.7117502103
37,1028921.5552342569,300,413466.26056814974
371,3708118.9223295487,303,1490086.447074707
373,5992088.969377482,305,2407886.7884072443
375,6855578.984355169,307,2754875.3277363083
377,1637949.4481418317,308,658200.646956133
379,2599989.7964048428,310,1044791.0758270641
381,1937620.0522319207,313,778621.5706357948
384,144575.0066803108,315,58096.64213917049
385,5901862.966196699,317,2371629.9834552263
387,148218.83387854946,320,59567.06230265147
389,11980201.901209563,322,4814674.453808199
39,1325288.5545618834,324,532614.8090140735
392,6899102.607311021,326,2772652.1933047064
394,4305850.968339361,329,1730460.8745400927
396,8597570.251102876,331,3455242.423637871
398,5108069.694152447,334,2052861.2846002136
400,7323826.554785185,336,2943342.767360722
404,1568844.9111112766,338,630496.6792542525
406,7635406.107067094,340,3068562.202142324
409,5821276.98333283,342,2339489.251626425
41,895195.576948151,345,359766.4973455558
411,919346.5586375899,349,369510.7319243271
414,5683948.362626307,351,2284535.575798931
416,1403894.08121634,353,564263.7421331116
419,718533.4103430157,355,288798.39041505253
421,6151187.265952539,357,2472331.7746618344
423,1633489.9763102534,359,656544.6632360747
425,209024.6651868847,361,84012.77657242012
429,1510219.3771637662,363,606998.8103817967
43,3660182.93647083,365,1471128.447835181
431,747119.6832229111,367,300319.1481381893
434,7313.934978074815,369,2939.977049835036
45,11213556.18624495,371,4507504.911295495
47,1204564.455144461,373,484197.88578678045
49,2288508.651556771,375,919910.135118104
5,7027742.225271476,377,2824936.3600247023
51,960463.9612890303,379,386076.9902724326
54,308580.82615804044,381,124040.00714288703
56,7375868.606579351,384,2965180.2054826748
58,2429305.9587933486,385,976607.6819269328
60,3675263.2165693897,387,1477496.1866836967
62,6114750.657401218,389,2458196.9362401827
64,8163791.576693334,392,3282274.787384403
66,24644296.97265086,394,9908307.169086875
68,3129293.6126574795,396,1258141.0770565274
7,918713.6064870761,398,369371.32447267196
70,669711.5979467555,400,269259.3842104921
72,4750179.609177014,404,1910021.2492275718
74,825649.207765339,406,331989.0322021486
76,666170.5434636411,409,267863.53323711106
78,207800.67241252103,411,83555.51422608014
80,3740051.4304047213,414,1503854.2314210811
82,4883271.879006839,416,1963536.9232420754
87,15102451.476956666,419,6073244.821083854
89,15908396.950930856,421,6397344.798044262
9,131024.91644772541,423,52689.882597089854
92,14142032.319611829,425,5687617.326892767
94,9994171.179108178,429,4019437.9337826474
96,17794804.89381012,431,7157428.35716186
98,13156194.880854005,434,5291686.133925972
