from,to,capacity (veh/hr),length (m),Free Flow Time (min),B,Power,Speed Limit,Toll,Type
24533064,1618530621,1200,161.59699999999998,0.161597,0.15,4,0,0,A
1618530621,1618530649,1200,283.67,0.28367000000000003,0.15,4,0,0,A
1618530621,5086819795,1200,10.301,0.010301000000000001,0.15,4,0,0,A
26411640,26411641,2400,95.355,0.09535500000000001,0.15,4,0,0,F
26411640,3698862626,700,139.88500000000002,0.139885,0.15,4,0,0,A
26411641,597665412,2400,98.659,0.098659,0.15,4,0,0,F
3698862626,564645699,1400,34.053,0.034053,0.15,4,0,0,A
3698862626,11114881525,1200,53.031,0.053031,0.15,4,0,0,A
597665412,597665430,4000,573.338,0.573338,0.15,4,0,0,F
597665412,597665378,2100,221.68200000000002,0.22168200000000002,0.15,4,0,0,A
30747332,1187353031,1800,10.981,0.0131772,0.15,4,0,0,A
30747332,1649047771,1800,91.456,0.09145600000000001,0.15,4,0,0,A
1187353031,4642297159,1800,12.456,0.012456,0.15,4,0,0,A
1187353031,1158360121,1800,80.818,0.0969816,0.15,4,0,0,A
1649047771,6670380186,1800,151.878,0.15187799999999999,0.15,4,0,0,A
1649047771,1649048114,1800,285.0280000000001,0.28502800000000006,0.15,4,0,0,A
32899260,7731316960,700,34.461,0.034461,0.15,4,0,0,A
1691726272,7731316967,1400,24.489,0.024489000000000004,0.15,4,0,0,A
7731316960,1691726272,1400,33.893,0.033893,0.15,4,0,0,A
33004487,1172757801,1800,72.396,0.072396,0.15,4,0,0,A
33004487,1636768897,2100,119.337,0.119337,0.15,4,0,0,A
1172757801,1151084822,1800,228.276,0.22827600000000003,0.15,4,0,0,A
1636768897,276372740,1400,138.574,0.138574,0.15,4,0,0,A
1636768897,1624950144,1400,50.259,0.050259,0.15,4,0,0,A
33004488,1151084822,1800,10.668,0.010667999999999999,0.15,4,0,0,A
33004488,1183787459,2700,304.633,0.304633,0.15,4,0,0,A
1151084822,1151084802,1800,10.58,0.010579999999999999,0.15,4,0,0,A
1151084822,308473180,1800,122.625,0.122625,0.15,4,0,0,A
1183787459,33004487,1400,14.094999999999999,0.014094999999999998,0.15,4,0,0,A
1183787459,1183787457,2700,31.062,0.031062,0.15,4,0,0,A
33004530,33004534,1800,329.945,0.329945,0.15,4,0,0,A
33004530,988059453,1400,122.497,0.122497,0.15,4,0,0,A
33004534,4844962258,4500,166.892,0.166892,0.15,4,0,0,A
988059453,988059831,1400,42.479,0.042478999999999996,0.15,4,0,0,A
988059453,988059784,1400,32.549,0.032549,0.15,4,0,0,A
4844962258,33476495,1800,9.541,0.009541000000000001,0.15,4,0,0,A
4844962258,7328499113,1800,86.891,0.086891,0.15,4,0,0,A
33004677,4862605959,1800,10.48,0.012576000000000002,0.15,4,0,0,A
33004677,384143869,1200,83.858,0.083858,0.15,4,0,0,A
4862605959,10243968793,1800,16.732,0.0200784,0.15,4,0,0,A
33476495,1187353069,1800,16.509,0.016509,0.15,4,0,0,A
33476495,33476497,1800,168.83100000000002,0.168831,0.15,4,0,0,A
1187353069,4510286866,1800,9.28,0.00928,0.15,4,0,0,A
1187353069,1624949965,1400,119.50999999999999,0.11950999999999999,0.15,4,0,0,A
33476497,420041549,1800,46.577,0.046577,0.15,4,0,0,A
33476497,420041599,1800,35.955,0.035954999999999994,0.15,4,0,0,A
420041549,5655203851,1400,97.529,0.09752899999999999,0.15,4,0,0,A
420041599,474209050,1800,14.005,0.014005000000000002,0.15,4,0,0,A
420041599,420041549,1400,27.424999999999997,0.027424999999999995,0.15,4,0,0,A
33476500,1185400508,1800,15.411,0.015411,0.15,4,0,0,A
33476500,2754770542,4500,119.10300000000001,0.119103,0.15,4,0,0,A
1185400508,1185808485,1800,17.112,0.017111999999999995,0.15,4,0,0,A
1185400508,308778521,1800,231.223,0.231223,0.15,4,0,0,A
2754770542,2754770587,1800,34.285,0.034284999999999996,0.15,4,0,0,A
2754770542,420041600,1800,37.465,0.037465,0.15,4,0,0,A
33476508,1158360142,1400,37.202999999999996,0.0446436,0.15,4,0,0,A
33476508,441549980,1400,28.369,0.0340428,0.15,4,0,0,A
1158360142,5120437766,1400,15.649999999999999,0.018779999999999998,0.15,4,0,0,A
441549980,759629968,1800,11.37,0.013643999999999998,0.15,4,0,0,A
33476510,1158360153,1400,50.711,0.060853199999999996,0.15,4,0,0,A
33476510,759630064,1400,28.804000000000002,0.03456480000000001,0.15,4,0,0,A
1158360153,759629913,1400,183.685,0.18368500000000001,0.15,4,0,0,A
759630064,33476508,1400,10.735,0.012881999999999998,0.15,4,0,0,A
759630064,1158360153,1400,30.156999999999996,0.030156999999999996,0.15,4,0,0,A
50060656,574307497,1800,286.65,0.34398,0.15,4,0,0,A
574307497,574307507,1800,320.928,0.320928,0.15,4,0,0,A
574307497,574307496,1800,385.69399999999996,0.385694,0.15,4,0,0,A
165996965,366080458,1800,166.833,0.20019959999999998,0.15,4,0,0,A
366080458,2496630039,1400,47.43899999999999,0.047438999999999995,0.15,4,0,0,A
366080458,1618530749,1200,40.125,0.040125,0.15,4,0,0,A
366080458,2496629828,1800,387.852,0.46542239999999996,0.15,4,0,0,A
165997863,165997979,1400,66.653,0.066653,0.15,4,0,0,A
165997863,288373551,1400,61.913000000000004,0.061913,0.15,4,0,0,A
165997979,508018737,1400,34.093999999999994,0.03409399999999999,0.15,4,0,0,A
288373551,165997979,1400,42.623,0.042622999999999994,0.15,4,0,0,A
508018737,1618530651,1400,120.80799999999999,0.120808,0.15,4,0,0,A
508018737,601280674,1400,26.774,0.026774,0.15,4,0,0,A
165998789,3066143624,1200,55.007999999999996,0.055007999999999994,0.15,4,0,0,A
