fishnetid,CO2,CO2psqkm
0,1802646.9979943575,723265.3291802296
3,5970868.773002081,2395901.633932888
5,7064592.612755744,2835065.5972070326
7,334733.74023009714,134330.7623196418
9,2464295.4370958204,988937.3100509712
13,20467818.466452494,8213864.714483934
15,1171083.3305824944,469963.13078259333
21,23242205.924536012,9328201.044228723
23,42467208.03325598,17044107.414194997
25,1059642.2815360834,425284.7715585812
27,7896155.196724925,3169102.0805242285
29,42737347.5016956,17152527.21220227
31,14505019.910703776,5821553.3550000815
33,4391662.141036909,1762582.5837227902
35,4304808.057704603,1727901.3363467318
37,3432936.838724492,1377942.0758631683
39,191641.6597868199,76922.79785904409
41,13807822.039035153,5542303.822486451
43,6773894.55329906,2718964.7700921106
45,25176433.250524923,10105535.966950735
47,21212615.585344862,8514504.323073365
49,4182179.617805916,1678679.6655217356
51,16638809.219868734,6678630.104023643
54,21392080.412816927,8587421.866865385
56,3930397.778500864,1577779.401407987
58,6356466.840854423,2551676.1947353706
60,9090056.47447838,3649020.9569896567
62,6136915.2440911755,2463541.607235247
64,14361360.88775788,5765080.447794611
66,6273218.739097492,2518257.913032359
68,10872202.42564201,4364427.725092294
70,37944826.613465354,15232190.021109782
72,25388411.9374029,10191669.048988974
74,9386324.08885791,3767951.6519574057
76,12760267.808081292,5122353.7256626515
78,45190916.3372929,18142853.06810851
80,30368554.38847981,12192101.086183004
82,5074739.300511417,2037361.8627491733
87,2880923.7794240275,1156608.0324735665
89,14255528.64266088,5723184.713539636
92,17658480.508706074,7089372.00751402
94,19889951.377211027,7985243.3766955
96,12578633.220467834,5049959.434618696
98,28663142.255561776,11507427.168150632
100,12063589.055129351,4843184.016629581
103,10532585.99767228,4228530.325804694
105,2125083.499481323,853159.9005609691
108,2819817.733056525,1132192.215926077
112,3936838.8559491606,1580690.2183105086
114,3795643.392724122,1523998.4674512085
118,455437.9951988279,182864.07201296743
120,580163.4675321649,232942.91478641157
122,12340657.025272569,4954928.703244209
124,25373490.224451374,10187774.82892021
126,15159584.37422736,6086763.4187828535
128,22078212.338578697,8864679.393383255
130,13321382.439084169,5348702.267560035
133,9462865.003791638,3799459.0827822895
135,10651202.142708795,4277031.785415391
137,2300048.800107553,923593.571342453
143,3988172.496092047,1601466.2291586883
146,15086980.975338982,6058236.0857411735
148,13851035.1025867,5561937.197410235
150,2429242.468311846,975471.7929723832
152,2723307.642074431,1093554.811048303
154,15573292.55503185,6253516.398348678
156,15053134.101408726,6044644.741436282
158,13151454.057428818,5281017.698697818
160,10231543.799789729,4108516.3401510017
162,17009185.415130205,6830808.680623185
164,3677633.1059927633,1476920.1188302794
166,13721121.003259696,5510337.512900303
169,21635686.37128425,8688789.655066129
171,15715499.67357619,6311270.585309996
173,33927517.93240609,13625131.265741425
175,18521909.46480141,7438311.527913189
177,26786509.323200405,10757335.871343402
179,755614.0749918461,303451.05051623523
181,755154.2904889849,303266.4032275868
184,16406751.332607483,6588873.992978878
186,6514079.472006692,2616293.40458405
189,3737012.647144252,1500921.440026399
192,1695743.513385645,681072.8344661023
194,17515194.04619407,7034744.795489778
196,9940440.78996033,3992445.8688655784
198,1287136.916540532,516961.4279366879
201,6479750.43621928,2602505.6038207496
203,2260219.842132844,907787.246272335
205,8909039.871477457,3578197.4041194245
207,10852734.780861516,4358856.619866335
209,19110764.418425683,7676376.585062834
213,3494752.2520955144,1403765.635492648
215,21447376.300471578,8614942.533931924
217,5116218.409682434,2055073.169458754
219,7123498.470188655,2861353.719980486
221,3516586.935734226,1412536.1509234624
224,6105628.962744624,2452497.774579094
226,1100389.7326954892,442002.51719759055
228,29596466.352914333,11888253.98807408
230,2952938.190449981,1186130.76306209
232,4738831.559235925,1903485.115793327
234,1456227.95190292,584934.9564334411
236,13206710.937211145,5304847.277931268
238,2481157.039509842,996626.5809655238
240,2816657.3160923487,1131506.5623298383
242,5468696.855211159,2196882.9305931437
244,2334723.847804874,937904.423063424
246,9846680.28482393,3955604.856787919
249,8037298.156473837,3228740.520007883
251,11994126.53586586,4818276.191146609
253,13781104.452185694,5536140.31592887
255,7231875.997066612,2905186.620281553
257,3467916.9731349405,1393130.3571418428
259,4275664.219153996,1717618.2898257158
261,3421940.2229627855,1374660.5936245057
264,7862358.411557299,3158463.7887014914
266,11646142.230351703,4678967.597585557
268,22834409.81297055,9173978.94612973
270,2283806.9112185067,917544.9110430124
272,2243918.6535520423,901519.3584211232
273,1269260.6067803171,509939.61215322703
275,2409997.0833812165,968243.2208348424
277,3077255.5103827775,1236321.7396624477
279,1969341.65505144,791204.9853345017
281,16056781.2740285,6450991.050664179
285,18513294.664931763,7438691.998337378
287,8062047.417717707,3239352.5140634207
290,6094068.794229083,2448613.3666361463
292,1270139.3621583548,510345.439915544
294,787993.9521317447,316618.1067472998
298,742117.3700547785,298215.6339693963
300,2592145.4879316264,1041638.8851914764
303,5726406.89964449,2301123.9634770844
305,9248299.642344365,3716376.4820310986
307,14307753.958537996,5749489.352489063
308,2984075.258905581,1199133.629066291
310,7117434.509997273,2860100.4777446566
313,4411947.415572659,1772915.9142003674
315,321922.1944127094,129362.59838332552
317,9897715.90082242,3977340.7028525146
320,260125.3904052446,104540.73164188616
322,20915935.075947866,8405819.794865865
324,2112937.8990330477,849159.9898590503
326,12224096.23310413,4912692.15158029
329,6924835.064170366,2782993.70537938
331,14326910.445796365,5757783.574449541
334,7479286.227039912,3005819.820647813
336,10879678.308122473,4372389.517949592
338,2176903.008539103,874866.6666931899
340,12188766.611187004,4898493.673991317
342,10463977.68199252,4205325.289686638
345,2428236.302104948,975873.9784146858
349,1187589.5584192844,477324.9900532728
351,9055119.281161116,3639502.124427634
353,2315683.3874364323,930737.0059273052
