From,To,Demand,TT,Distance,Estimated?
24533064,1618530621,,1.0099812499999998,160,No
1618530621,1618530649,,1.8457979452054796,292,No
1618530621,5086819795,,0.19075925925925927,27,No
26411640,26411641,,0.11710263157894739,95,No
26411640,3698862626,,0.39524236753265823,2271,No
26411641,597665412,,0.11510216666666667,100,No
3698862626,564645699,,0.07094375,32,No
3698862626,11114881525,,0.10380788590604027,596,No
597665412,597665430,,0.573338,0,Yes
597665412,597665378,,0.45978488888888897,225,No
30747332,1187353031,,0.19064236111111113,24,No
30747332,1649047771,,0.34418924731182793,93,No
1187353031,4642297159,,0.0346,12,No
1187353031,1158360121,,0.4643270186335403,644,No
1649047771,6670380186,,1.3837773333333332,150,No
1649047771,1649048114,,2.3542753921568633,680,No
32899260,7731316960,,0.11167916666666666,36,No
1691726272,7731316967,,0.11904375,24,No
7731316960,1691726272,,0.291000505050505,33,No
33004487,1172757801,,0.22733043478260873,69,No
33004487,1636768897,,0.8151434426229508,122,No
1172757801,1151084822,,1.1110778761061948,226,No
1636768897,276372740,,0.5483143884892088,139,No
1636768897,1624950144,,0.3449147058823529,51,No
33004488,1151084822,,0.12223749999999999,16,No
33004488,1183787459,,1.0354849780701751,304,No
1151084822,1151084802,,0.040692307692307694,13,No
1151084822,308473180,,0.5911673553719009,121,No
1183787459,33004487,,0.06941764514024787,1022,No
1183787459,1183787457,,0.06090588235294118,34,No
33004530,33004534,,0.5682943262411347,329,No
33004530,988059453,,0.2655761517615176,123,No
33004534,4844962258,,0.45241807228915665,166,No
988059453,988059831,,0.2872975845410628,69,No
988059453,988059784,,0.13288286227007626,743,No
4844962258,33476495,,0.03322254901960785,493,No
4844962258,7328499113,,0.14981206896551724,87,No
33004677,4862605959,,0.031757575757575755,11,No
33004677,384143869,,0.6642217821782179,101,No
4862605959,10243968793,,0.0328078431372549,17,No
33476495,1187353069,,0.137575,18,No
33476495,33476497,,0.5595724431818183,176,No
1187353069,4510286866,,0.015466666666666665,10,No
1187353069,1624949965,,1.0775491803278687,122,No
33476497,420041549,,0.186308,50,No
33476497,420041599,,0.2523157894736842,38,No
420041549,5655203851,,0.4975969387755102,98,No
420041599,474209050,,0.03591025641025641,13,No
420041599,420041549,,0.06304597701149424,29,No
33476500,1185400508,,0.03951538461538461,13,No
33476500,2754770542,,0.4841585365853659,123,No
1185400508,1185808485,,0.07899906103286385,1065,No
1185400508,308778521,,1.5822170054200544,246,No
2754770542,2754770587,,0.23348207885304656,93,No
2754770542,420041600,,0.23626576576576577,37,No
33476508,1158360142,,0.10054864864864864,37,No
33476508,441549980,,0.057330631244323346,1468,No
1158360142,5120437766,,0.03260416666666666,16,No
441549980,759629968,,0.042111111111111106,9,No
33476510,1158360153,,0.1274525665601704,1565,No
33476510,759630064,,0.3476344827586207,29,No
1158360153,759629913,,1.2214612566920258,1183,No
759630064,33476508,,0.03578333333333333,10,No
759630064,1158360153,,0.094240625,32,No
50060656,574307497,,0.316280487804878,287,No
574307497,574307507,,0.40115999999999996,320,No
574307497,574307496,,0.4508111688311688,385,No
165996965,366080458,,0.7282392857142856,168,No
366080458,2496630039,,0.21869042553191487,47,No
366080458,1618530749,,0.14792218543046357,755,No
366080458,2496629828,,0.7644041131105398,389,No
165997863,165997979,,0.10098939393939395,66,No
165997863,288373551,,0.17735494791666667,64,No
165997979,508018737,,0.06494095238095238,35,No
288373551,165997979,,0.15754469086021505,744,No
508018737,1618530651,,0.30455798319327726,119,No
508018737,601280674,,0.08463549160671463,1529,No
165998789,3066143624,,0.5432888888888888,54,No
165998789,165999009,,1.677658537832311,326,No
3066143624,1618530653,,0.05131250000000001,8,No
3066143624,660415374,,0.7347985074626865,134,No
165999009,257508650,,0.9061123222748817,211,No
1002550816,1002550704,,1.414750506585613,329,No
9736395042,9736395049,,0.21025,18,No
257508650,289560034,,0.6392041353383459,133,No
257508650,2498627622,,0.06427727272727274,11,No
166091633,5012578128,,0.14256582207207208,1184,No
166091633,279084958,,0.20573333333333335,33,No
5012578128,165997863,,0.6018249307479223,361,No
279084958,366155319,,0.21732807017543862,57,No
166091692,1615603762,,0.08811851851851851,27,No
1615603762,1615603766,,1.9470153846153848,286,No
1615603762,984741525,,0.393888,100,No
232216521,5090469984,,0.054397222222222215,12,No
5090469981,5090446026,,1.1946171140939599,298,No
5090469984,5090469981,,0.19476666666666667,22,No
232221477,2285675771,,0.04823834196891191,386,No
232221477,292204233,,0.29934864864864863,111,No
2285675771,2285675770,,0.01591666666666667,10,No
2285675771,232221479,,0.331562,75,No
292204233,5087080156,,0.20689804668889947,2099,No
292204233,1012752117,,0.15698974234321827,2057,No
232221479,2285675770,,0.32179485148514847,505,No
2285675770,5090446026,,0.07910666666666666,45,No
2285675770,232216521,,0.9802888086642598,277,No
2688575200,2688586799,,0.11380250000000001,60,No
232221594,1974692376,,0.6577487745098038,340,No
2688581881,2688577711,,0.073305,40,No
1974692376,232221586,,0.36572875536480687,233,No
239989632,312459990,,0.3141504047093451,453,No
239978227,6435551380,,0.023104999999999997,10,No
6435551380,6435551379,,0.016184210526315787,19,No
239978228,6435551384,,0.07949019607843137,17,No
239978277,1653118101,,1.5562000000000005,574,No
6435551384,239978227,,0.029108333333333337,4,No
239978278,291190518,,2.43168264977885,829,No
1653118101,1653118140,,0.247160294117647,170,No
291190518,3787678459,,0.2818663708086785,169,No
239989634,1072934548,,0.09493939393939395,66,No
312459990,239989632,,0.36176439539347405,521,No
1072934548,239989636,,0.052035135135135135,37,No
1072934548,1072934037,,0.027038294573643405,1720,No
239989636,1072934037,,0.04792113289760349,1683,No
1072934037,239989634,,0.10417974588938714,892,No
10166403999,10166403998,,0.01778921568627451,17,No
239990432,239990433,,0.04964545454545455,33,No
239990433,239990443,,0.35757272727272726,231,No
239990443,526901913,,0.29636666666666667,248,No
526901913,526955841,,0.3731967896174863,244,No
526901913,526902255,,0.5540033986928105,255,No
239990812,1029692771,,0.06313294270833333,1152,No
239990812,2496629720,,0.15227472527472524,182,No
1029692771,5012578128,,0.06426491228070175,38,No
2496629720,2496629713,,0.05601935483870968,31,No
2496629720,988470348,,0.30805,132,No
239991573,8442857151,,0.11400128205128206,39,No
8442857151,1012176402,,0.8401571428571429,175,No
8442857151,1623825506,,0.8747269480519481,308,No
290057730,1623825499,,0.46437093023255815,86,No
239994475,2694745278,,0.5206421296296295,108,No
2694745278,2694738295,,0.23991483870967745,930,No
2694745278,2694685648,,0.22389604847207586,949,No
239994496,317355979,,0.19805381526104418,249,No
