fishnetid,CO2,CO2psqkm
0,6448995.50517845,447768.27613111946
1,15498573.375484386,1076100.8403959617
2,12083361.58180375,838974.9971152364
3,20561068.849047963,1427601.2979941922
4,30524050.103771266,2119353.5155243613
5,34302442.796878085,2381695.82625867
6,22424273.580485236,6227871.187106757
7,16496011.7958164,4581420.940869006
8,7722676.410475376,2144743.9685978675
9,19803678.73022202,5499883.493125543
10,21918829.956435136,1521873.70831987
11,16663117.570471644,1156957.7655169722
12,8943256.911589596,620911.5631832785
13,17502143.989413764,1215137.13526923
14,21686278.597516585,1505632.822217421
15,39713926.97535483,2757254.6245941645
16,14221137.745019775,987343.7557249328
17,22089377.106867213,1533619.10596528
18,42265045.66538266,2934373.4426433835
19,23923792.43528606,1660978.7133606425
20,26456004.566370934,1836784.8886910244
21,19391249.57020935,1346209.8764182169
22,19821945.20680838,1376110.307415227
23,22813099.348448947,1583766.9224665854
24,36915906.63792498,2562834.227519608
25,6092909.313622357,3806923.9409745284
26,13914462.58324109,8693925.677764334
27,7032928.1667927485,4394259.168346539
28,11085933.62371258,6926482.955555763
29,10046632.390008781,6277128.329666078
30,12787539.07885697,7989644.758801111
31,4068258.7264363198,2541792.4555404303
32,8175003.649207521,5107630.560604764
33,16616580.282746831,10381812.278817503
34,61596373.92587663,4276240.508912671
35,40062595.99545739,11125154.611793447
36,38042235.58984393,10564112.040157668
37,26043532.77393786,7231916.183703834
38,21029364.28881226,5839553.383693148
39,33498491.16875402,2325585.027061163
40,13455090.423026651,934100.484344552
41,31224802.45805581,2167603.049009899
42,41993617.74519289,2915166.3644857514
43,66646548.30869999,4626554.852155773
44,48856256.323163025,3391565.737254985
45,16797132.990942474,4664178.962144702
46,29361062.60115351,8152894.340031452
47,20837109.635681782,5785809.2762196995
48,14684456.84820896,4077411.317315622
49,15795426.06348576,4386027.9003059
50,11085827.832845261,3078280.3817671244
51,16602555.889321523,4610007.028465176
52,14750296.44056714,4095692.8991121887
53,44715273.19681302,3104101.7040515
54,18378681.077863414,1275834.6572302938
55,13253445.445313996,920044.5317705212
56,22946091.75570842,1592802.755346263
57,7073994.747648762,491041.28255553026
58,32175862.91108507,2233487.2380901314
59,27549266.08837628,1912332.0607491564
60,27461968.47995275,17156450.679405134
61,5375095.00641478,3358009.548444734
62,13783970.277553877,8611327.567636764
63,13398043.500379186,8370054.187766184
64,9577834.900762808,5983485.3587898025
65,12135799.96161595,7581502.723709915
66,9286771.874335866,5801533.222763778
67,2438439.651081541,1523316.0498497481
68,5079633.3293094635,3173294.4362352295
69,11938372.478019277,7458318.174133226
70,14914629.478336861,9317689.85291358
71,3577884.5272507165,2235229.4036457688
72,7329090.17441285,4578644.777882988
73,5991103.888024246,3742775.143690226
74,4185856.5571163893,2614997.1974855135
75,1600914.472716816,1000106.2399235653
76,10845757.421120727,6775446.070615199
77,5768556.281135652,3603671.0457889303
78,38907273.707168214,2700748.058691596
79,13862198.185014391,962244.3638470153
80,15069741.841895763,1046065.9960603992
81,14224099.770413993,987305.1956033622
82,18167977.66441483,1261052.6522734403
83,30635669.66741956,2126444.2967662993
84,23323948.285674572,1618932.3539707153
85,11541610.393260315,3204446.5630014353
86,7702972.943638215,2138676.0021431632
87,15253433.962339541,4234878.776865745
88,11417807.558785604,3169976.7428406845
89,8145807.603546207,2261625.9160244437
90,5152195.319317608,1430470.6206814926
91,20665592.76119993,5737480.518277531
92,27027286.752971914,7503705.942484772
93,30973360.712080177,2149883.6798051912
94,25757445.958639607,1787843.2119361854
95,16869119.03608505,1170897.9224274387
97,20179766.18605156,1400606.9086607913
98,27702965.686048947,1922765.842405676
99,631930.9056455952,43860.111365178826
100,11692124.011097904,811509.3859799892
101,28866926.10053023,2003552.259002366
102,6170735.045979606,428289.11183759244
