fishnetid,CO2,CO2psqkm
0,6971857.666527033,295978.2019603312
2,3753398.0142603246,159344.04410405096
3,61274542.83272655,2601305.1156573547
4,86793119.7910984,3684652.3218098995
5,53916251.13896083,2288921.5230494873
6,75946809.87213726,3224190.9266882446
7,37829438.568753436,1605983.6193308267
8,79137562.98456062,3359648.851144817
9,64818231.671812505,2751746.318141344
10,18519728.89680879,786223.1734860969
11,7253940.706299654,307953.5512730771
12,51492139.817351826,2188048.7824573987
13,83227009.27898113,3536554.4521239675
14,38608161.48090736,1640571.5711342634
15,103257384.74591982,4387702.584791603
16,36369971.53145679,1545464.4574820674
17,45107120.16585524,1916730.9750409804
18,45655601.05305857,1940037.5018565925
20,7601414.674325935,323005.9224982516
21,37816226.4186859,1606919.9778070992
22,34240232.26231925,1454965.7244459663
23,4591042.824016631,195086.58402877764
24,79712027.12270403,3390356.5996808135
25,18190523.12159912,773689.5214322582
26,34053626.82298268,1448387.93604689
27,58273255.71061721,2478510.7619864647
28,63677219.36948707,2708355.1721290145
29,73037984.6763362,3106492.486932037
30,29411115.67025651,5003720.055411561
31,16503307.252911879,2807711.560752706
32,45493448.08960301,7743429.086991054
33,23066782.597758953,3926191.6344302436
34,31668029.464234885,1346922.3725509138
35,37030783.67002617,1575014.0391457523
36,81727365.28789324,3476074.0917026913
37,41167416.13793768,1750955.6089975517
38,6447690.50032118,274236.7849560928
39,75674260.81963673,3221631.0430540824
40,46312064.17431219,1971613.3596267789
41,35322983.51897366,1503782.3826154112
42,59006976.08958942,2512065.5803966923
43,25664062.777840275,4370317.622569774
44,20603044.158994693,3508479.8438220955
45,22080306.121796276,3761802.233532925
46,33186628.104025044,5653976.490928808
47,33167693.82668999,5648106.3846189715
48,31737418.710895788,5404545.706101783
49,41563890.42458545,7081203.266433848
50,27636631.82416182,4708428.5312889125
51,95969028.99117742,4085626.9968283097
52,61643801.9590436,2624321.4516024715
53,49846564.76395283,2122085.3523221407
54,38690481.588344045,1647144.6857314678
55,43811890.377980955,1865175.0881715927
56,23593079.94495014,1004412.8337515886
57,62730023.66437271,2673066.5777389975
58,27347846.42184336,1165352.888028431
59,58019779.95771762,2472352.5609130166
60,62512760.24503517,2663808.497622471
61,97652889.67905563,4161207.9889740264
62,51355461.28251785,8753483.903551169
