<NUMBER OF ZONES> 113,,,,,,,,,
<NUMBER OF NODES> 13431,,,,,,,,,
<FIRST THRU NODE> 0,,,,,,,,,
<NUMBER OF LINKS> 10540,,,,,,,,,
<END OF METADATA>,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
from,to,capacity (veh/hr),length (m),Free Flow Time (min),B,Power,Speed Limit,Toll,Type
109888,122671181,3600,489.961,0.609025482,0.15,4,0,0,A
198015,109888,1200,32.406,0.04028092,0.15,4,0,0,A
2194786530,109888,3600,23.936,0.029752641,0.15,4,0,0,A
29350100,122671181,1400,12.657,0.015732753,0.15,4,0,0,A
122671181,13986560,3600,742.812,0.923321318,0.15,4,0,0,A
312670730,122671181,1400,685.417,1.277968303,0.15,4,0,0,A
109903,55120123,2400,294.472,0.366031075,0.15,4,0,0,A
109903,55115532,2400,1066.582,1.325770044,0.15,4,0,0,A
296098,109903,3600,1099.949,1.025434121,0.15,4,0,0,A
55120123,55120124,1800,49.283,0.061259167,0.15,4,0,0,A
4486531501,55120123,1800,33.136,0.041188316,0.15,4,0,0,A
55115532,29350100,3600,737.389,0.916580485,0.15,4,0,0,A
299492,55115532,2400,361.552,0.449412057,0.15,4,0,0,A
197978,27125486,2400,730.682,0.90824363,0.15,4,0,0,A
300425901,197978,1800,51.561,0.096136109,0.15,4,0,0,A
1528999913,197978,1800,181.033,0.337538222,0.15,4,0,0,A
300425896,197978,2400,26.777,0.049926041,0.15,4,0,0,A
198014,27125486,1800,118.299,0.220569919,0.15,4,0,0,A
198057,27125486,1800,1184.042,2.207660659,0.15,4,0,0,A
27125486,7985579736,2400,331.46,0.412007458,0.15,4,0,0,A
5146350397,300425901,1800,1167.027,2.175935985,0.15,4,0,0,A
300425896,300425901,1800,56.786,0.105878185,0.15,4,0,0,A
1528999913,198021,2400,43.976,0.054662523,0.15,4,0,0,A
33141762,1528999913,1800,26.422,0.049264139,0.15,4,0,0,A
198014,1528999913,3600,772.293,0.959966439,0.15,4,0,0,A
7985579736,197992,1800,129.538,0.241525171,0.15,4,0,0,A
197992,198014,3600,280.826,0.349068987,0.15,4,0,0,A
3826340874,197992,1800,747.595,1.393899938,0.15,4,0,0,A
27510686,197992,2400,268.111,0.333264139,0.15,4,0,0,A
7985579736,8436834888,2400,193.102,0.240027346,0.15,4,0,0,A
7985579736,7985579742,1800,44.064,0.082157862,0.15,4,0,0,A
7985579742,7985579736,1800,44.454,0.082885022,0.15,4,0,0,A
4210765393,198014,1800,879.22,1.639316346,0.15,4,0,0,A
4210765393,3826340874,1400,423.962,0.790482287,0.15,4,0,0,A
8333764703,3826340874,1800,108.737,0.202741454,0.15,4,0,0,A
20960814,4210765393,1800,238.825,0.445292107,0.15,4,0,0,A
198015,2194786530,3600,23.643,0.02938844,0.15,4,0,0,A
198021,198015,3600,634.513,0.788704786,0.15,4,0,0,A
2194786530,2194782796,3600,18.939,0.02354133,0.15,4,0,0,A
356809870,2194786530,3600,86.557,0.10759105,0.15,4,0,0,A
33141762,198021,2400,35.134,0.043671846,0.15,4,0,0,A
21105391,198042,1800,480.625,0.896131137,0.15,4,0,0,A
5198842675,198042,1400,228.382,0.425821007,0.15,4,0,0,A
18129852,198042,1800,112.087,0.20898757,0.15,4,0,0,A
7843989526,21105391,1800,303.505,0.565888751,0.15,4,0,0,A
7985579742,21105391,1800,486.103,0.906344935,0.15,4,0,0,A
5198842675,5198842676,1400,57.34,0.071274083,0.15,4,0,0,A
5198842676,5198842675,1400,57.307,0.071233064,0.15,4,0,0,A
198057,18129852,1400,520.097,0.96972716,0.15,4,0,0,A
5167408132,18129852,1800,899.033,1.676257924,0.15,4,0,0,A
198056,198057,1800,49.118,0.091581106,0.15,4,0,0,A
5146350397,198056,1400,291.551,0.543600373,0.15,4,0,0,A
1960925514,198056,1800,555.992,1.036653822,0.15,4,0,0,A
202211,10802627,2400,13.767,0.012834369,0.15,4,0,0,A
10802619,202211,2400,567.789,0.529324736,0.15,4,0,0,A
10802626,202211,2400,43.116,0.040195152,0.15,4,0,0,A
10802627,18199507,1800,58.363,0.072545681,0.15,4,0,0,A
10802627,10802628,2400,52.699,0.049128962,0.15,4,0,0,A
202218,202220,3600,20.235,0.018864201,0.15,4,0,0,A
