,osmid,y,x,street_cou,lon,lat,highway,ref,geometry
0,109888,51.4925271,-0.2004886,3,-0.2004886,51.4925271,,,POINT (-0.2004886 51.4925271)
1,122671181,51.4908431,-0.2068479,4,-0.2068479,51.4908431,,,POINT (-0.2068479 51.4908431)
2,109903,51.491097,-0.2327062,3,-0.2327062,51.491097,motorway_junction,,POINT (-0.2327062 51.491097)
3,55120123,51.4912458,-0.228475,3,-0.228475,51.4912458,traffic_signals,,POINT (-0.228475 51.4912458)
4,55115532,51.4909222,-0.2174302,3,-0.2174302,51.4909222,,,POINT (-0.2174302 51.4909222)
5,197978,51.4894801,-0.1902412,4,-0.1902412,51.4894801,,,POINT (-0.1902412 51.4894801)
6,27125486,51.4841147,-0.1842793,4,-0.1842793,51.4841147,traffic_signals,,POINT (-0.1842793 51.4841147)
7,300425901,51.4896325,-0.1895382,3,-0.1895382,51.4896325,,,POINT (-0.1895382 51.4896325)
8,1528999913,51.4886596,-0.1924936,4,-0.1924936,51.4886596,,,POINT (-0.1924936 51.4886596)
9,197992,51.4812001,-0.1832791,4,-0.1832791,51.4812001,,,POINT (-0.1832791 51.4812001)
10,7985579736,51.4816835,-0.1815782,4,-0.1815782,51.4816835,,,POINT (-0.1815782 51.4816835)
11,198014,51.483336,-0.185443,4,-0.185443,51.483336,crossing,,POINT (-0.185443 51.483336)
12,3826340874,51.4771234,-0.1916882,3,-0.1916882,51.4771234,,,POINT (-0.1916882 51.4771234)
13,4210765393,51.4800097,-0.1956251,3,-0.1956251,51.4800097,,,POINT (-0.1956251 51.4800097)
14,198015,51.492511,-0.2000298,3,-0.2000298,51.492511,,,POINT (-0.2000298 51.492511)
15,2194786530,51.4926775,-0.2002413,4,-0.2002413,51.4926775,,,POINT (-0.2002413 51.4926775)
16,198021,51.4887918,-0.1930881,3,-0.1930881,51.4887918,,,POINT (-0.1930881 51.4887918)
17,198042,51.4869504,-0.1701065,3,-0.1701065,51.4869504,,,POINT (-0.1701065 51.4869504)
18,21105391,51.4844772,-0.1757842,3,-0.1757842,51.4844772,traffic_signals,,POINT (-0.1757842 51.4844772)
19,5198842675,51.4851555,-0.1685095,2,-0.1685095,51.4851555,,,POINT (-0.1685095 51.4851555)
20,18129852,51.4874766,-0.1687264,3,-0.1687264,51.4874766,,,POINT (-0.1687264 51.4874766)
21,198057,51.4916124,-0.1721642,3,-0.1721642,51.4916124,,,POINT (-0.1721642 51.4916124)
22,198056,51.4919242,-0.1716633,3,-0.1716633,51.4919242,,,POINT (-0.1716633 51.4919242)
23,202211,51.4978146,-0.4096008,3,-0.4096008,51.4978146,,,POINT (-0.4096008 51.4978146)
24,10802627,51.4979113,-0.409725,3,-0.409725,51.4979113,,,POINT (-0.409725 51.4979113)
