,Unnamed: 0,osmid,y,x,street_cou,lon,lat,highway,ref,geometry,gridID_lon,gridID_lat,inner_grid_lon,inner_grid_lat
0,0,12067302,14.5415061,120.9949722,3,120.9949722,14.5415061,,,POINT (120.9949722 14.5415061),2.0,1.0,None,None
1,1,1686647100,14.5412542,120.9937997,1,120.9937997,14.5412542,,,POINT (120.9937997 14.5412542),2.0,1.0,None,None
2,2,24785165,14.540372400000003,120.9952246,3,120.9952246,14.540372400000003,,,POINT (120.9952246 14.5403724),2.0,1.0,None,None
3,3,24815764,14.544175,120.99434860000001,3,120.99434860000001,14.544175,,,POINT (120.9943486 14.544175),2.0,1.0,None,None
4,4,12067308,14.537867199999999,120.9957327,3,120.9957327,14.537867199999999,,,POINT (120.9957327 14.5378672),2.0,1.0,None,None
5,5,978165773,14.538511600000001,120.9956048,3,120.9956048,14.538511600000001,,,POINT (120.9956048 14.5385116),2.0,1.0,None,None
6,6,1723298722,14.537591800000001,120.9941267,3,120.9941267,14.537591800000001,,,POINT (120.9941267 14.5375918),2.0,1.0,None,None
7,7,12067327,14.556251300000001,120.9883148,3,120.9883148,14.556251300000001,,,POINT (120.9883148 14.5562513),1.0,2.0,None,None
8,8,1257037322,14.5568606,120.9881199,3,120.9881199,14.5568606,,,POINT (120.9881199 14.5568606),1.0,2.0,None,None
9,9,5892903986,14.556529500000002,120.9891084,4,120.9891084,14.556529500000002,,,POINT (120.9891084 14.5565295),1.0,2.0,None,None
10,10,12067330,14.55965,120.98716200000001,4,120.98716200000001,14.55965,traffic_signals,,POINT (120.987162 14.55965),1.0,2.0,None,None
11,11,21590503,14.559607399999999,120.98700420000002,3,120.98700420000002,14.559607399999999,traffic_signals,,POINT (120.9870042 14.5596074),1.0,2.0,None,None
12,12,25353083,14.5642677,120.98509840000001,4,120.98509840000001,14.5642677,traffic_signals,,POINT (120.9850984 14.5642677),1.0,2.0,None,None
13,13,12067342,14.583039900000001,120.97554140000001,4,120.97554140000001,14.583039900000001,traffic_signals,,POINT (120.9755414 14.5830399),1.0,3.0,0,0
14,14,3403138097,14.5840429,120.9750241,3,120.9750241,14.5840429,,,POINT (120.9750241 14.5840429),1.0,3.0,0,0
15,15,21590497,14.582928400000002,120.97534109999998,3,120.97534109999998,14.582928400000002,traffic_signals,,POINT (120.9753411 14.5829284),1.0,3.0,0,0
16,16,12067355,14.538879399999999,121.01082530000001,3,121.01082530000001,14.538879399999999,,,POINT (121.0108253 14.5388794),2.0,1.0,None,None
17,17,750630860,14.538696,121.0094236,3,121.0094236,14.538696,,,POINT (121.0094236 14.538696),2.0,1.0,None,None
18,18,31457284,14.5399639,121.0109966,1,121.0109966,14.5399639,,,POINT (121.0109966 14.5399639),2.0,1.0,None,None
19,19,12067389,14.594472099999999,120.98047659999999,3,120.98047659999999,14.594472099999999,,,POINT (120.9804766 14.5944721),1.0,3.0,1,1
20,20,6054023526,14.5943922,120.98099950000001,1,120.98099950000001,14.5943922,,,POINT (120.9809995 14.5943922),1.0,3.0,1,1
21,21,163700040,14.5979905,120.9840912,3,120.9840912,14.5979905,,,POINT (120.9840912 14.5979905),1.0,3.0,1,1
22,22,12067395,14.604536600000001,120.9853908,3,120.9853908,14.604536600000001,,,POINT (120.9853908 14.6045366),1.0,4.0,2,0
23,23,990043712,14.605142,120.98737220000001,3,120.98737220000001,14.605142,,,POINT (120.9873722 14.605142),1.0,4.0,2,0
24,24,1934653712,14.606342199999998,120.98573909999999,3,120.98573909999999,14.606342199999998,,,POINT (120.9857391 14.6063422),1.0,4.0,2,0
25,25,12067407,14.6176513,121.0018404,3,121.0018404,14.6176513,,,POINT (121.0018404 14.6176513),2.0,4.0,1,1
26,26,316549463,14.6178343,121.002624,3,121.002624,14.6178343,,,POINT (121.002624 14.6178343),2.0,4.0,1,1
27,27,12067409,14.6178165,121.0018811,3,121.0018811,14.6178165,,,POINT (121.0018811 14.6178165),2.0,4.0,1,1
28,28,1365497867,14.6180179,121.002023,3,121.002023,14.6180179,,,POINT (121.002023 14.6180179),2.0,4.0,1,1
29,29,12067411,14.617969800000001,121.0017006,3,121.0017006,14.617969800000001,,,POINT (121.0017006 14.6179698),2.0,4.0,1,1
30,30,5382926912,14.6179686,121.0016555,3,121.0016555,14.6179686,,,POINT (121.0016555 14.6179686),2.0,4.0,1,1
31,31,12067439,14.631364800000002,121.02182990000001,3,121.02182990000001,14.631364800000002,,,POINT (121.0218299 14.6313648),3.0,5.0,0,0
32,32,5380606828,14.6316916,121.0217702,1,121.0217702,14.6316916,,,POINT (121.0217702 14.6316916),3.0,5.0,0,0
33,33,6636742026,14.631443099999998,121.02156629999999,3,121.02156629999999,14.631443099999998,,,POINT (121.0215663 14.6314431),3.0,5.0,0,0
34,34,12067458,14.630317300000002,121.0409196,1,121.0409196,14.630317300000002,,,POINT (121.0409196 14.6303173),4.0,5.0,None,None
35,35,12067502,14.6312228,121.0367803,4,121.0367803,14.6312228,,,POINT (121.0367803 14.6312228),3.0,5.0,1,0
36,36,12067461,14.629357999999998,121.04094070000001,3,121.04094070000001,14.629357999999998,traffic_signals,,POINT (121.0409407 14.629358),4.0,5.0,None,None
37,37,32929345,14.628825899999999,121.04111329999999,4,121.04111329999999,14.628825899999999,,,POINT (121.0411133 14.6288259),4.0,5.0,None,None
38,38,31241750,14.628045000000002,121.0363744,3,121.0363744,14.628045000000002,traffic_signals,,POINT (121.0363744 14.628045),3.0,5.0,1,0
39,39,5352181469,14.630114,121.043549,3,121.043549,14.630114,,,POINT (121.043549 14.630114),4.0,5.0,None,None
40,40,12067467,14.627406099999998,121.03421589999999,3,121.03421589999999,14.627406099999998,,,POINT (121.0342159 14.6274061),3.0,5.0,1,0
41,41,8340814047,14.6274438,121.0343254,3,121.0343254,14.6274438,,,POINT (121.0343254 14.6274438),3.0,5.0,1,0
42,42,5352171552,14.6273932,121.0339642,3,121.0339642,14.6273932,,,POINT (121.0339642 14.6273932),3.0,5.0,1,0
43,43,12067468,14.6273636,121.0335804,3,121.0335804,14.6273636,,,POINT (121.0335804 14.6273636),3.0,5.0,1,0
44,44,8340814049,14.6272851,121.0335617,3,121.0335617,14.6272851,,,POINT (121.0335617 14.6272851),3.0,5.0,1,0
45,45,12067476,14.6189425,121.0345777,3,121.0345777,14.6189425,,,POINT (121.0345777 14.6189425),3.0,4.0,None,None
46,46,31909294,14.6196231,121.03416409999998,3,121.03416409999998,14.6196231,,,POINT (121.0341641 14.6196231),3.0,4.0,None,None
47,47,12067481,14.617667800000001,121.03232369999999,4,121.03232369999999,14.617667800000001,,,POINT (121.0323237 14.6176678),3.0,4.0,None,None
48,48,31909271,14.616938099999999,121.0327751,4,121.0327751,14.616938099999999,,,POINT (121.0327751 14.6169381),3.0,4.0,None,None
49,49,246782961,14.615163199999998,121.02919479999998,3,121.02919479999998,14.615163199999998,,,POINT (121.0291948 14.6151632),3.0,4.0,None,None
50,50,12067485,14.6232725,121.0289517,3,121.0289517,14.6232725,traffic_signals,,POINT (121.0289517 14.6232725),3.0,4.0,None,None
51,51,12067544,14.623168599999998,121.02861899999999,3,121.02861899999999,14.623168599999998,,,POINT (121.028619 14.6231686),3.0,4.0,None,None
52,52,3610291872,14.624005100000002,121.0314497,3,121.0314497,14.624005100000002,traffic_signals,,POINT (121.0314497 14.6240051),3.0,4.0,None,None
53,53,31909343,14.6224318,121.0294156,4,121.0294156,14.6224318,,,POINT (121.0294156 14.6224318),3.0,4.0,None,None
54,54,12067495,14.628747599999999,121.03390549999999,4,121.03390549999999,14.628747599999999,traffic_signals,,POINT (121.0339055 14.6287476),3.0,5.0,1,0
