,from,highway,lanes,length,maxspeed,name,oneway,osmid,to,capacity,geometry
0,24798154,secondary,2,941.5149999999999,50,F.B. Harrison Street,0,"[224028345, 224039651, 224039654, 224039655]",12067308,700,"LINESTRING (120.9938663 14.5461379, 120.993887 14.5460582, 120.9939583 14.5457835, 120.9939829 14.545689, 120.9940858 14.5452852, 120.9941214 14.5451401, 120.9942025 14.5448062, 120.9942542 14.5445907, 120.9943486 14.544175, 120.9943565 14.5441426, 120.9944021 14.5439552, 120.9944881 14.543593, 120.9945527 14.543321, 120.9945718 14.5432379, 120.9945904 14.5431649, 120.9946455 14.5429102, 120.9947653 14.542399, 120.9948409 14.542074, 120.9948568 14.5420018, 120.9948959 14.5418242, 120.9949722 14.5415061, 120.9950455 14.5412014, 120.9951423 14.5407786, 120.9952246 14.5403724, 120.9953139 14.5399645, 120.9953859 14.5396069, 120.9954427 14.5393476, 120.9954545 14.5392935, 120.9955476 14.5388066, 120.9955762 14.5386736, 120.9956048 14.5385116, 120.9957205 14.5379366, 120.9957234 14.5379204, 120.9957327 14.5378672)"
1,12067308,trunk,5,175.734,60,EDSA,1,"[644875507, 840378998]",1723298722,1200,"LINESTRING (120.9957327 14.5378672, 120.9951587 14.5378027, 120.9942099 14.5376124, 120.9941267 14.5375918)"
2,8386859818,trunk,5,176.026,60,EDSA,1,"[644875492, 667228839]",12067308,1200,"LINESTRING (120.9973661 14.53787, 120.9971917 14.5378835, 120.9969592 14.5378993, 120.9966017 14.5379025, 120.9959437 14.537881, 120.9957327 14.5378672)"
3,24798146,secondary,4,535.737,40,Antonio S. Arnaiz Avenue,0,"[224034848, 224036129, 224028344, 378929018, 224039644, 224039645, 224034847]",24798154,700,"LINESTRING (120.9985836 14.5476707, 120.9985463 14.5476633, 120.9985383 14.5476617, 120.9985108 14.5476562, 120.9983273 14.5475978, 120.9977317 14.5474081, 120.9974651 14.5473122, 120.9963809 14.5469478, 120.9961872 14.5468819, 120.9954368 14.5466673, 120.9951909 14.5465798, 120.9950835 14.5465416, 120.9948315 14.5464641, 120.9939561 14.5461682, 120.9938663 14.5461379)"
4,21717798,secondary,2,781.499,50,F.B. Harrison Street,0,"[675168641, 224034854, 224034855, 22738927, 224028346, 224028347, 224028348]",24798154,700,"LINESTRING (120.9920122 14.552932, 120.9920587 14.5527818, 120.9920881 14.5526868, 120.9921035 14.5526374, 120.9921236 14.5525725, 120.992286 14.552048, 120.9922957 14.5520152, 120.9924251 14.551581, 120.9924502 14.5514969, 120.9924748 14.5514144, 120.992488 14.551366, 120.9925336 14.551199, 120.992651 14.5507685, 120.9927337 14.5504546, 120.9927394 14.5504329, 120.9928362 14.5500724, 120.9928557 14.5499986, 120.9929475 14.5496354, 120.993045 14.5492665, 120.9931691 14.5487764, 120.9932877 14.5483071, 120.9934047 14.5478528, 120.9934374 14.5477229, 120.993458 14.5476383, 120.9935118 14.547434, 120.9935832 14.5471793, 120.9937164 14.5466851, 120.9938439 14.5462197, 120.9938663 14.5461379)"
5,21590507,secondary,4,292.919,40,Antonio S. Arnaiz Avenue,0,"[4202498, 909949884, 947624062]",24798154,700,"LINESTRING (120.9912522 14.5454064, 120.9913375 14.5454304, 120.9914728 14.5454685, 120.9915422 14.5454877, 120.992403 14.5457257, 120.9926746 14.5458149, 120.9931825 14.5459568, 120.9935551 14.5460555, 120.9938663 14.5461379)"
6,1723298722,trunk,5,170.27800000000002,60,EDSA,1,"[644875520, 700820553, 644875507]",25389521,1200,"LINESTRING (120.9941267 14.5375918, 120.9939337 14.5375436, 120.993568 14.5374586, 120.9928809 14.5372995, 120.992587 14.5372408)"
7,1723298722,trunk_link,1,42.658,40,,1,853615049,7961927120,1200,"LINESTRING (120.9941267 14.5375918, 120.9941025 14.5375649, 120.9940732 14.5375304, 120.9940559 14.5375051, 120.9940428 14.5374759, 120.9940383 14.5374445, 120.9940426 14.537413, 120.9940576 14.5373806, 120.9940818 14.5373539, 120.9941132 14.5373355, 120.9941488 14.537327, 120.9941855 14.5373292)"
8,12067330,secondary,2,17.631,40,Pedro Bukaneg Street,1,22738968,21590503,700,"LINESTRING (120.987162 14.55965, 120.9870042 14.5596074)"
9,12067330,trunk,4,559.448,60,Roxas Boulevard,1,"[712297667, 156307503, 104950908, 675166366, 675166367]",25353083,1200,"LINESTRING (120.987162 14.55965, 120.9871164 14.5597507, 120.9869777 14.5600576, 120.986794 14.5604631, 120.9862547 14.5616529, 120.9858219 14.5626321, 120.9857632 14.5627711, 120.9856696 14.5629842, 120.9854431 14.5634998, 120.9851302 14.5641966, 120.9850984 14.5642677)"
