<NUMBER OF ZONES> 113,,,,,,,,,
<NUMBER OF NODES> 13431,,,,,,,,,
<FIRST THRU NODE> 0,,,,,,,,,
<NUMBER OF LINKS> 10540,,,,,,,,,
<END OF METADATA>,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
from,to,capacity (veh/hr),length (m),Free Flow Time (min),B,Power,Speed Limit,Toll,Type
26793864,104977276,3600,102.193,0.102193,0.15,4,0,0,A
26793864,191592819,3600,211.606,0.211606,0.15,4,0,0,A
25783680,1399484450,1400,13.296,0.019944,0.15,4,0,0,A
25783680,1359232822,1400,76.927,0.1153905,0.15,4,0,0,A
1263630893,1263630866,1800,11.179,0.0167685,0.15,4,0,0,A
25783640,8657725924,3600,6.697,0.0100455,0.15,4,0,0,A
8657725924,67745266,4200,461.758,0.692637,0.15,4,0,0,A
1234326336,31462115,4800,1178.288,1.178288,0.15,4,0,0,A
25629704,7011602391,3600,530.9,0.79635,0.15,4,0,0,A
25629704,61650854,1400,693.717,1.0405755,0.15,4,0,0,A
40834830,246781623,1400,785.286,1.177929,0.15,4,0,0,A
61650854,26365550,1400,404.459,0.6066885,0.15,4,0,0,A
6622140390,767059660,2800,389.263,0.4671156,0.15,4,0,0,A
25629696,266586086,1400,16.986,0.025479,0.15,4,0,0,A
25629696,257890648,1400,181.039,0.2715585,0.15,4,0,0,A
266586086,61091579,1400,161.877,0.2428155,0.15,4,0,0,A
25629582,26272868,2800,1706.549,2.5598235,0.15,4,0,0,A
591407340,32618986,1400,13.096,0.019644,0.15,4,0,0,A
25629569,6622140388,1400,6.987,0.0104805,0.15,4,0,0,A
6622140388,605288600,1400,36.119,0.0541785,0.15,4,0,0,A
25629578,605288596,2800,34.092,0.051138,0.15,4,0,0,A
25629578,25629582,2800,270.35,0.405525,0.15,4,0,0,A
25629564,33471556,2800,11.754,0.017631,0.15,4,0,0,A
25629564,25629582,2800,634.124,0.951186,0.15,4,0,0,A
25584085,25584096,2800,646.503,0.646503,0.15,4,0,0,A
6719655534,2139678386,2800,10.773,0.021546,0.15,4,0,0,A
25629548,25629578,2800,503.991,0.7559865,0.15,4,0,0,A
25629548,219725819,2800,59.169,0.0887535,0.15,4,0,0,A
1467951848,25583986,2800,333.825,0.5007375,0.15,4,0,0,A
25584075,2159444673,1400,456.106,0.684159,0.15,4,0,0,A
2159444673,25584085,2800,93.434,0.093434,0.15,4,0,0,A
2159444673,32547188,2800,485.42,0.48542,0.15,4,0,0,A
166133612,258050048,1400,1283.207,1.9248105,0.15,4,0,0,A
311733853,8349434254,3600,30.846,0.0370152,0.15,4,0,0,A
311733853,8349434257,1400,26.847,0.0402705,0.15,4,0,0,A
26506280,206873951,1400,15.534,0.023301,0.15,4,0,0,A
26504597,166133612,1400,1951.907,2.9278605,0.15,4,0,0,A
26504597,311733853,3600,1925.078,2.3100936,0.15,4,0,0,A
26504597,824321806,3600,501.798,0.6021576,0.15,4,0,0,A
166133612,311733853,1400,989.617,1.4844255,0.15,4,0,0,A
26365599,6630741032,1400,11.036,0.016554,0.15,4,0,0,A
26365599,1451082616,2800,35.367,0.0530505,0.15,4,0,0,A
1451082616,1548250308,2800,214.333,0.3214995,0.15,4,0,0,A
26498406,1020345251,1400,38.731,0.0580965,0.15,4,0,0,A
8574313982,321734966,2800,166.889,0.2503335,0.15,4,0,0,A
26365550,3654959450,1400,490.485,0.7357275,0.15,4,0,0,A
26365550,61091579,1400,587.719,0.8815785,0.15,4,0,0,A
61091579,321734966,2800,1626.175,2.4392625,0.15,4,0,0,A
26082709,191593252,2800,14.446,0.0173352,0.15,4,0,0,A
26082709,7838739155,2800,1060.369,1.2724428,0.15,4,0,0,A
191593252,252166913,1400,548.009,0.8220135,0.15,4,0,0,A
8574313982,8574313981,2800,13.586,0.020379,0.15,4,0,0,A
32618987,31877896,2800,961.709,1.4425635,0.15,4,0,0,A
32618987,32618986,2800,646.942,0.970413,0.15,4,0,0,A
33957110,33957092,1400,130.973,0.1571676,0.15,4,0,0,A
4223876367,26498406,1400,14.408,0.021612,0.15,4,0,0,A
26082576,32618987,2800,393.479,0.5902185,0.15,4,0,0,A
5288960678,5472868281,3600,395.297,0.5929455,0.15,4,0,0,A
5288960678,60171014,3600,835.516,1.253274,0.15,4,0,0,A
32618987,5472868281,2800,916.434,1.374651,0.15,4,0,0,A
1359232822,166142988,1400,924.052,1.386078,0.15,4,0,0,A
1359232822,1846713781,1400,513.955,0.7709325,0.15,4,0,0,A
1272925883,31460429,1800,31.477,0.031477,0.15,4,0,0,A
26082576,8594864818,3500,471.628,0.707442,0.15,4,0,0,A
31461005,3661087849,1400,530.958,0.796437,0.15,4,0,0,A
394324816,394324815,1400,23.462,0.046924,0.15,4,0,0,A
244116589,244116593,1400,14.905,0.0223575,0.15,4,0,0,A
56110088,31461465,1400,810.19,1.215285,0.15,4,0,0,A
8661003177,159481610,3600,395.937,0.395937,0.15,4,0,0,A
31461005,394324816,1400,619.663,1.239326,0.15,4,0,0,A
31461005,244116589,1400,987.871,1.4818065,0.15,4,0,0,A
31461005,56110088,1400,206.076,0.309114,0.15,4,0,0,A
43095796,43087964,2800,485.257,0.7278855,0.15,4,0,0,A
31241710,334410588,1400,645.939,0.9689085,0.15,4,0,0,A
31241743,8606134608,1400,1070.549,1.6058235,0.15,4,0,0,A
31460429,8661003177,3600,16.355,0.016355,0.15,4,0,0,A
29663307,111047883,2800,495.561,0.495561,0.15,4,0,0,A
29663307,223618645,2800,8.75,0.00875,0.15,4,0,0,A
111047883,59739550,2800,223.876,0.223876,0.15,4,0,0,A
43095796,104973410,2800,12.717,0.0190755,0.15,4,0,0,A
29487849,29487859,1400,81.801,0.1227015,0.15,4,0,0,A
29487849,243813693,1400,282.375,0.4235625,0.15,4,0,0,A
29487859,8253955474,1400,967.425,1.4511375,0.15,4,0,0,A
8253955474,72998152,1400,10.875,0.0163125,0.15,4,0,0,A
5291635123,27049508,2800,11.577,0.011577,0.15,4,0,0,A
313868248,6687031939,2800,34.464,0.034464,0.15,4,0,0,A
306542749,5464354432,2800,50.499,0.050499,0.15,4,0,0,A
29487748,168178739,1800,9.869,0.009869,0.15,4,0,0,A
26832002,26832095,2800,917.902,1.1014824,0.15,4,0,0,A
26832095,764098855,2800,11.929,0.0143148,0.15,4,0,0,A
27049507,5291635123,2800,386.164,0.386164,0.15,4,0,0,A
27049507,178165092,2800,376.722,0.376722,0.15,4,0,0,A
206873951,31877896,1400,723.454,1.085181,0.15,4,0,0,A
26659923,26659924,1400,15.434,0.023151,0.15,4,0,0,A
191592819,191593121,3600,11.358,0.011358,0.15,4,0,0,A
26832002,767059660,2800,12.041,0.0144492,0.15,4,0,0,A
257532974,257532994,4800,21.929,0.021929,0.15,4,0,0,A
8383473504,8383473503,1400,11.875,0.0178125,0.15,4,0,0,A
31877896,7451318495,2800,289.281,0.4339215,0.15,4,0,0,A
31909001,247717937,1400,1246.588,1.869882,0.15,4,0,0,A
31462141,257532974,4800,537.455,0.537455,0.15,4,0,0,A
166032738,61719522,2800,9.187,0.0137805,0.15,4,0,0,A
61719527,244085209,1400,331.949,0.4979235,0.15,4,0,0,A
278542629,6050245082,4800,122.84,0.12284,0.15,4,0,0,A
6616106965,166148174,6000,460.309,0.460309,0.15,4,0,0,A
6615962112,166142970,1400,792.891,1.1893365,0.15,4,0,0,A
31462141,166032738,1400,844.581,1.2668715,0.15,4,0,0,A
31462141,278542629,4800,96.675,0.096675,0.15,4,0,0,A
31462115,6616106961,2800,33.997,0.0509955,0.15,4,0,0,A
31462115,6616106965,4800,33.044,0.033044,0.15,4,0,0,A
31462115,6615962112,1400,501.827,0.7527405,0.15,4,0,0,A
6616106961,61719398,2800,1457.799,2.1866985,0.15,4,0,0,A
31461814,67745266,2800,114.748,0.172122,0.15,4,0,0,A
67750942,6643623476,1400,422.269,0.6334035,0.15,4,0,0,A
67745266,5171189455,4200,104.027,0.1560405,0.15,4,0,0,A
1234326339,88764652,1400,14.017,0.0210255,0.15,4,0,0,A
31461802,67771248,2800,398.04,0.59706,0.15,4,0,0,A
31461802,191592669,2100,10.733,0.0160995,0.15,4,0,0,A
191592669,67774559,2100,410.909,0.6163635,0.15,4,0,0,A
31461814,67750942,2800,9.247,0.0138705,0.15,4,0,0,A
61719412,61719406,2800,18.814,0.028221,0.15,4,0,0,A
31461477,1399440591,2800,365.118,0.365118,0.15,4,0,0,A
31461477,5552541289,2800,530.751,0.530751,0.15,4,0,0,A
5552541289,79631304,2800,2056.484,2.056484,0.15,4,0,0,A
56110088,56112423,3600,612.459,0.612459,0.15,4,0,0,A
56110088,4214976420,3600,712.001,0.712001,0.15,4,0,0,A
31461465,61719412,2800,1770.919,2.6563785,0.15,4,0,0,A
31461465,31461477,2800,914.934,1.372401,0.15,4,0,0,A
6618656318,4347479379,1400,701.266,1.051899,0.15,4,0,0,A
123437780,6618679495,1400,11.654,0.017481,0.15,4,0,0,A
6773499491,7700852512,1400,186.805,0.2802075,0.15,4,0,0,A
130168824,5352201573,1400,1723.613,1.723613,0.15,4,0,0,A
88913693,454740145,1400,404.824,0.607236,0.15,4,0,0,A
32476363,88921544,1400,12.183,0.0182745,0.15,4,0,0,A
32476363,6618656318,1400,881.491,1.3222365,0.15,4,0,0,A
6618656318,6618679495,1400,624.933,0.9373995,0.15,4,0,0,A
32476390,92315778,1400,666.85,1.000275,0.15,4,0,0,A
32476390,123437780,1400,347.15,0.520725,0.15,4,0,0,A
32476317,4798255428,2800,61.425,0.0921375,0.15,4,0,0,A
4798255428,1067882100,2800,8.842,0.013263,0.15,4,0,0,A
31909189,56135086,1400,792.279,0.792279,0.15,4,0,0,A
56135086,117086764,2800,585.468,1.170936,0.15,4,0,0,A
56135086,43086339,1400,703.483,0.703483,0.15,4,0,0,A
32476241,32476390,1400,1076.331,1.6144965,0.15,4,0,0,A
31909184,72979942,1400,33.618,0.050427,0.15,4,0,0,A
43080699,56135086,2800,643.993,1.287986,0.15,4,0,0,A
43080699,43080694,2800,698.858,1.397716,0.15,4,0,0,A
31909189,72980726,1400,31.399,0.031399,0.15,4,0,0,A
56137973,1358468027,2800,715.255,0.715255,0.15,4,0,0,A
56137973,56137932,2800,628.177,0.628177,0.15,4,0,0,A
8654092545,8654092546,1800,30.265,0.0453975,0.15,4,0,0,A
31909184,43080699,1400,824.572,1.649144,0.15,4,0,0,A
60451184,266584319,1400,496.588,0.744882,0.15,4,0,0,A
31909099,31909134,2800,22.235,0.04447,0.15,4,0,0,A
31909134,56137973,2800,647.428,1.294856,0.15,4,0,0,A
56137973,43080699,2800,631.348,1.262696,0.15,4,0,0,A
31909001,122959239,2800,12.373,0.0185595,0.15,4,0,0,A
8585081877,8585081876,1400,13.692,0.020538,0.15,4,0,0,A
122959239,250544112,2800,646.056,0.969084,0.15,4,0,0,A
31909047,60451184,1400,20.96,0.03144,0.15,4,0,0,A
32614909,252166864,2800,160.022,0.240033,0.15,4,0,0,A
5472868281,1162946101,3600,397.13,0.595695,0.15,4,0,0,A
32929013,33469409,1400,618.41,1.23682,0.15,4,0,0,A
32929013,32929021,2800,209.617,0.209617,0.15,4,0,0,A
242434204,303915907,2800,86.843,0.086843,0.15,4,0,0,A
32546629,32546634,1400,229.476,0.229476,0.15,4,0,0,A
32546634,2229732910,1400,527.573,0.527573,0.15,4,0,0,A
32547188,7067118323,2800,137.494,0.137494,0.15,4,0,0,A
255062897,248836965,1400,278.495,0.4177425,0.15,4,0,0,A
32546623,2337738041,2100,34.063,0.034063,0.15,4,0,0,A
32546623,242434204,2100,65.1,0.0651,0.15,4,0,0,A
2337738041,2315613623,2800,393.085,0.393085,0.15,4,0,0,A
32545958,6626977400,1400,10.087,0.0151305,0.15,4,0,0,A
32545958,255062897,1400,861.234,1.291851,0.15,4,0,0,A
6626977400,246623184,1400,1333.764,2.000646,0.15,4,0,0,A
255062897,248836634,1400,374.268,0.561402,0.15,4,0,0,A
32544889,1123491460,1400,1542.347,2.3135205,0.15,4,0,0,A
1123491460,309110400,1400,8.903,0.0133545,0.15,4,0,0,A
32545957,611624454,1400,265.716,0.398574,0.15,4,0,0,A
611624454,627550756,1400,13.403,0.0201045,0.15,4,0,0,A
1319917505,32544861,2800,665.856,0.998784,0.15,4,0,0,A
1319917496,8313778366,3600,855.994,0.855994,0.15,4,0,0,A
32544886,32544889,1400,127.404,0.191106,0.15,4,0,0,A
299177367,318859702,2800,1166.484,1.749726,0.15,4,0,0,A
32544185,1319917505,2800,20.492,0.030738,0.15,4,0,0,A
32544185,1319917496,1800,16.067,0.016067,0.15,4,0,0,A
