fishnetid,CO2,CO2psqkm
0,3179558.542212791,451785.93863318185
1,5606984.983260563,3186803.374190137
2,547666.4102279715,311273.37941079575
3,27563917.97610803,15667177.6541601
4,6197009.531221333,3522345.746868199
5,29203816.608475305,4149592.9459909047
6,11413914.257141259,1621811.9269326266
7,4258515.5882242825,605095.781904048
8,5286512.575980604,751247.539260713
9,48597418.05380869,6906006.597480654
10,31609005.15094044,4491843.535190775
11,25845903.8651632,3672869.6658914452
12,10653326.565107457,1513906.4273375382
13,27248048.628458764,3872551.4035291513
14,7746618.27681324,9908694.780121181
16,15057397.233573906,19259907.74801693
17,7632422.896001437,9762987.578287974
18,22148785.05325415,28331542.459693983
19,10668964.015131576,13647168.739496868
20,16499912.96901235,21106585.92809642
21,20124719.411487397,25743415.75823887
22,5689211.199106338,7277603.54024547
23,32091558.861498658,4560921.517907774
24,38166539.23801117,5424310.82347825
25,33254844.2659808,4726250.147023888
26,4242352.635056775,602999.0497647851
27,9284922.558152258,5278957.1819073465
28,19791452.318994824,11252461.041560415
29,10697409.242169218,6082365.781230531
30,11206514.378543828,6371834.342289495
31,63732595.10275103,9058816.555811599
32,38850762.21545633,5522165.3440519
33,36724203.48885602,5219900.774903976
34,26132985.52915035,3714487.4076182614
35,16680706.700117534,2371223.3867095904
37,9840683.1477286,12590001.483621918
38,12284136.029650068,15716113.253174441
39,3404833.9133366346,4356247.409459741
40,13201868.929447467,16890870.09456847
41,16054519.778992802,20540637.80415042
42,8513183.794876076,10892427.96709028
44,9899462.732138803,12666140.814118829
45,23283273.016938366,13239209.21820764
46,7787241.156277972,4427939.097119173
47,18766992.112662066,10671778.393392745
48,11134473.61522906,6331575.8985496815
49,57448540.58536332,8166519.885358857
50,41821942.15540569,5945141.839572955
51,26729852.448356666,3799746.1611379646
52,16965551.308726605,2411983.017751033
53,39915131.64037252,5674712.121990075
54,44380534.47379928,6309555.965597783
55,22985601.74050504,13071400.987199929
56,9108331.95677432,5179706.003594429
57,5413404.822435916,3078654.2619080637
58,16835041.27296978,9574246.38734195
59,41914342.01911289,5958938.752453481
60,19474876.99542463,2768732.458555168
61,8498114.912125785,1208306.738835471
62,24664139.949956812,3506877.327181153
63,35097545.41476688,4990353.87021887
64,33257411.566917554,4728713.947512272
65,39016591.40791547,5547584.471622711
66,23812940.64755183,3385849.326992496
67,2896753.0144635006,411921.518239309
68,18530633.61372236,2635076.8235981646
69,17770466.642476633,2526980.230157257
70,25839515.661341105,3674408.0246549253
71,10042502.054597065,1428055.0231919424
72,6611613.476879688,940178.8305076341
