,Unnamed: 0,osmid,y,x,street_cou,lon,lat,ref,highway,geometry,gridID_lon,gridID_lat,inner_grid_lon,inner_grid_lat
0,0,16874214,45.4358687,-73.8983655,3,-73.8983655,45.4358687,,,POINT (-73.8983655 45.4358687),0.0,0.0,None,None
1,1,2076579875,45.4368727,-73.89413449999999,3,-73.89413449999999,45.4368727,49,motorway_junction,POINT (-73.89413450000001 45.4368727),0.0,0.0,None,None
2,2,16874246,45.443665,-73.8766694,3,-73.8766694,45.443665,,,POINT (-73.8766694 45.443665),0.0,0.0,None,None
3,3,16874253,45.448305100000006,-73.86722259999999,3,-73.86722259999999,45.448305100000006,50,motorway_junction,POINT (-73.86722260000001 45.4483051),0.0,1.0,None,None
4,4,109892866,45.450269,-73.862746,4,-73.862746,45.450269,,,POINT (-73.862746 45.450269),0.0,1.0,None,None
5,5,4322954829,45.4561222,-73.84355550000001,4,-73.84355550000001,45.4561222,52,motorway_junction,POINT (-73.84355549999999 45.4561222),1.0,1.0,None,None
6,6,16874298,45.442538899999995,-73.8134452,3,-73.8134452,45.442538899999995,,,POINT (-73.8134452 45.4425389),1.0,0.0,None,None
7,7,7721254396,45.4434383,-73.8098163,3,-73.8098163,45.4434383,,,POINT (-73.80981629999999 45.4434383),1.0,0.0,None,None
8,8,16874301,45.4472698,-73.800189,3,-73.800189,45.4472698,51,motorway_junction,POINT (-73.800189 45.4472698),2.0,1.0,None,None
9,9,7721254407,45.449034399999995,-73.7911632,3,-73.7911632,45.449034399999995,,,POINT (-73.7911632 45.4490344),2.0,1.0,None,None
10,10,101435479,45.4472342,-73.7970216,1,-73.7970216,45.4472342,,,POINT (-73.79702159999999 45.4472342),2.0,1.0,None,None
11,11,17052722,45.6026049,-73.5610705,3,-73.5610705,45.6026049,8-O,motorway_junction,POINT (-73.5610705 45.6026049),7.0,5.0,None,None
12,12,224932987,45.603426899999995,-73.5625056,3,-73.5625056,45.603426899999995,8-E,motorway_junction,POINT (-73.56250559999999 45.6034269),7.0,5.0,None,None
13,13,17052729,45.601533,-73.56949279999999,3,-73.56949279999999,45.601533,,,POINT (-73.56949280000001 45.601533),7.0,5.0,None,None
14,14,246653148,45.59709229999999,-73.573411,3,-73.573411,45.59709229999999,78,motorway_junction,POINT (-73.57341099999999 45.5970923),7.0,5.0,None,None
15,15,17052772,45.511606,-73.6605634,3,-73.6605634,45.511606,,,POINT (-73.6605634 45.511606),5.0,3.0,None,None
16,16,17052775,45.5054789,-73.66437629999999,3,-73.66437629999999,45.5054789,66,motorway_junction,POINT (-73.6643763 45.5054789),5.0,2.0,0,1
17,17,98426483,45.5011402,-73.6633566,3,-73.6633566,45.5011402,,,POINT (-73.6633566 45.5011402),5.0,2.0,0,1
18,18,8630521026,45.5022391,-73.6679197,3,-73.6679197,45.5022391,,,POINT (-73.6679197 45.5022391),4.0,2.0,None,None
19,19,17052780,45.4977291,-73.6733873,3,-73.6733873,45.4977291,65,motorway_junction,POINT (-73.6733873 45.4977291),4.0,2.0,None,None
20,20,2133239474,45.49614520000001,-73.6761185,3,-73.6761185,45.49614520000001,,,POINT (-73.6761185 45.4961452),4.0,2.0,None,None
21,21,227856404,45.494915999999996,-73.68246040000001,3,-73.68246040000001,45.494915999999996,64,motorway_junction,POINT (-73.6824604 45.494916),4.0,2.0,None,None
22,22,17052789,45.4913831,-73.7013317,4,-73.7013317,45.4913831,62,motorway_junction,POINT (-73.7013317 45.4913831),4.0,2.0,None,None
23,23,6151696451,45.4894059,-73.70906740000001,3,-73.70906740000001,45.4894059,,,POINT (-73.7090674 45.4894059),4.0,2.0,None,None
24,24,116453662,45.4896643,-73.72466440000001,4,-73.72466440000001,45.4896643,60,motorway_junction,POINT (-73.72466439999999 45.4896643),3.0,2.0,None,None
25,25,17052796,45.4905608,-73.7536897,3,-73.7536897,45.4905608,,,POINT (-73.7536897 45.4905608),3.0,2.0,None,None
26,26,17052801,45.4869195,-73.77919490000001,4,-73.77919490000001,45.4869195,55,motorway_junction,POINT (-73.77919489999999 45.4869195),2.0,2.0,None,None
27,27,3626111540,45.4833524,-73.7870923,3,-73.7870923,45.4833524,,,POINT (-73.7870923 45.4833524),2.0,2.0,None,None
28,28,98418247,45.474422600000004,-73.805161,3,-73.805161,45.474422600000004,,,POINT (-73.805161 45.4744226),2.0,1.0,None,None
