,from,highway,lanes,length,maxspeed,name,oneway,osmid,to,capacity,geometry
0,16874214,motorway,3,348.535,100,Autoroute Félix-Leclerc,1,682295368,2076579875,2000,"LINESTRING (-73.8983655 45.4358687, -73.89803360000001 45.4359571, -73.89765439999999 45.4360541, -73.89728789999999 45.4361445, -73.8967877 45.4362649, -73.8962812 45.4363809, -73.89413450000001 45.4368727)"
1,2076579875,"['secondary', 'motorway_link']",1,896.7939999999999,50,Voie de Service Sud,1,"[925930152, 925930153, 544417840, 12120625, 925923664]",109972106,2000,"LINESTRING (-73.89413450000001 45.4368727, -73.8935707 45.4369623, -73.89326869999999 45.4370115, -73.89303169999999 45.4370577, -73.8922594 45.4372134, -73.8915129 45.4373664, -73.8910085 45.437472, -73.8907596 45.4375295, -73.8905264 45.4375869, -73.89028140000001 45.4376512, -73.8900091 45.4377244, -73.8897535 45.4377949, -73.8894502 45.4378818, -73.8891203 45.4379808, -73.8879448 45.438358, -73.88765789999999 45.4384501, -73.8870304 45.4386584, -73.8868397 45.4387261, -73.8866142 45.4388085, -73.8860502 45.4390237, -73.88569579999999 45.4391778, -73.88498920000001 45.4394605, -73.8845932 45.4396262, -73.88435200000001 45.4397235, -73.88397929999999 45.4398852, -73.8838121 45.4399491, -73.88362050000001 45.4400227)"
2,2076579875,motorway,3,1565.996,100,Autoroute Félix-Leclerc,1,433805455,16874246,2000,"LINESTRING (-73.89413450000001 45.4368727, -73.8933392 45.4370542, -73.8925481 45.4372469, -73.8919554 45.4373976, -73.8914784 45.4375238, -73.8909895 45.4376597, -73.89065340000001 45.4377547, -73.8903351 45.4378469, -73.88971239999999 45.4380327, -73.8891271 45.4382158, -73.8885418 45.438403, -73.8882021 45.4385185, -73.8878524 45.4386395, -73.88748529999999 45.4387665, -73.88711480000001 45.4388994, -73.88679980000001 45.4390116, -73.8864865 45.4391288, -73.8862015 45.4392382, -73.8859224 45.4393448, -73.88557950000001 45.4394753, -73.8851476 45.4396497, -73.8848423 45.4397759, -73.8845211 45.4399109, -73.88419260000001 45.4400484, -73.8838878 45.4401804, -73.883472 45.4403654, -73.88302470000001 45.4405706, -73.8826861 45.4407287, -73.88222279999999 45.4409488, -73.88186829999999 45.4411189, -73.8814119 45.4413434, -73.8808449 45.4416233, -73.88009750000001 45.4419879, -73.8791097 45.4424765, -73.8783985 45.4428181, -73.8776203 45.4432078, -73.8766694 45.443665)"
3,16874246,motorway,3,899.6360000000002,100,Autoroute Félix-Leclerc,1,433805455,16874253,2000,"LINESTRING (-73.8766694 45.443665, -73.8760978 45.4439539, -73.8751498 45.4444187, -73.87362349999999 45.4451703, -73.87217 45.4458845, -73.8704383 45.4467351, -73.8689969 45.4474439, -73.8675799 45.4481318, -73.86722260000001 45.4483051)"
4,5214234771,motorway_link,1,363.30500000000006,100,,1,"[925947905, 12132189]",16874246,2000,"LINESTRING (-73.8803077 45.4416261, -73.8794735 45.4421064, -73.8790521 45.4423499, -73.878961 45.4424018, -73.87846209999999 45.4426857, -73.8780388 45.4429184, -73.8766694 45.443665)"
5,16874253,motorway_link,1,411.91299999999995,100,,1,20893798,109892866,2000,"LINESTRING (-73.86722260000001 45.4483051, -73.8651887 45.4492211, -73.8649071 45.4493416, -73.8645734 45.449483, -73.86434199999999 45.4495792, -73.86408160000001 45.4496877, -73.8639429 45.4497451, -73.8636645 45.4498601, -73.862746 45.450269)"
6,16874253,motorway,3,2063.2980000000002,100,Autoroute Félix-Leclerc,1,539342130,4322954829,2000,"LINESTRING (-73.86722260000001 45.4483051, -73.8645405 45.4496308, -73.86285220000001 45.4504577, -73.86208019999999 45.4508415, -73.8612277 45.4512627, -73.8597917 45.4519714, -73.8590305 45.4523421, -73.8588276 45.4524364, -73.8586404 45.4525241, -73.8584567 45.4526008, -73.8582775 45.4526789, -73.858056 45.4527685, -73.8578574 45.4528449, -73.85767869999999 45.4529131, -73.8575293 45.4529682, -73.85736060000001 45.453028, -73.8571558 45.4530997, -73.8569524 45.453168, -73.8567419 45.4532358, -73.8565096 45.4533062, -73.8562828 45.4533712, -73.8560889 45.4534258, -73.8559265 45.4534684, -73.85574130000001 45.4535171, -73.8554956 45.4535766, -73.8553052 45.4536201, -73.8550996 45.4536667, -73.8542018 45.4538566, -73.8519733 45.4543306, -73.8513312 45.4544666, -73.85011540000001 45.4547264, -73.8487373 45.4550197, -73.84743109999999 45.4552993, -73.84677809999999 45.4554374, -73.8441002 45.4560064, -73.84355549999999 45.4561222)"
7,109892866,secondary,2,103.39399999999999,50,Voie de Service Sud,1,539342129,109892868,700,"LINESTRING (-73.862746 45.450269, -73.86252399999999 45.4503819, -73.8616729 45.4508148)"
8,5214234771,secondary,2,1673.5170000000003,50,Voie de Service Sud,1,"[925947888, 925947904, 925963578]",109892866,700,"LINESTRING (-73.8803077 45.4416261, -73.87904260000001 45.4422452, -73.87861340000001 45.4424558, -73.87827249999999 45.4426212, -73.87743159999999 45.4430346, -73.87702040000001 45.4432366, -73.876445 45.4435178, -73.87588270000001 45.443795, -73.8753565 45.444052, -73.8747572 45.4443461, -73.8745697 45.444438, -73.8737866 45.4448219, -73.8735923 45.4449171, -73.87281659999999 45.4452969, -73.8723432 45.4455294, -73.8721133 45.4456424, -73.8720766 45.4456604, -73.871092 45.446145, -73.8707703 45.4463033, -73.87041790000001 45.4464769, -73.8692066 45.4470717, -73.86844290000001 45.447445, -73.8677118 45.4478024, -73.86662699999999 45.4483361, -73.86521209999999 45.4490324, -73.8651905 45.449043, -73.8647618 45.4492533, -73.8647216 45.449273, -73.8643769 45.449443, -73.8638886 45.4496881, -73.862746 45.450269)"
9,4322954829,motorway_link,1,748.477,100,,1,8293363,8599501292,2000,"LINESTRING (-73.84355549999999 45.4561222, -73.84053040000001 45.4567324, -73.8399787 45.4568703, -73.8396881 45.4569471, -73.83940269999999 45.457031, -73.8391732 45.4571027, -73.838945 45.4571763, -73.8386854 45.4572695, -73.8384014 45.4573736, -73.8381545 45.4574677, -73.83790430000001 45.4575668, -73.83764309999999 45.4576765, -73.8373543 45.4578032, -73.8370426 45.4579466, -73.8368124 45.4580573, -73.83651 45.4582035, -73.8363564 45.458279, -73.8361487 45.4583787, -73.83600269999999 45.4584413, -73.8355603 45.4586308, -73.8349056 45.4589113)"
10,4322954829,motorway,3,3089.1610000000005,100,Autoroute Félix-Leclerc,1,466406351,4612060247,2000,"LINESTRING (-73.84355549999999 45.4561222, -73.84226 45.4563971, -73.84176840000001 45.4565021, -73.8414782 45.4565695, -73.8411665 45.4566435, -73.8409029 45.4567114, -73.8406186 45.4567877, -73.8403316 45.4568678, -73.8400637 45.4569468, -73.8398067 45.4570254, -73.8395488 45.4571078, -73.839342 45.4571766, -73.8390909 45.457264, -73.83883400000001 45.4573551, -73.83853809999999 45.4574681, -73.8382447 45.457584, -73.8380325 45.4576703, -73.837812 45.4577615, -73.83756409999999 45.4578704, -73.83732860000001 45.4579774, -73.8370793 45.458094, -73.8367985 45.4582296, -73.8354762 45.4588983, -73.83408900000001 45.4596009, -73.8314654 45.4609305, -73.82787759999999 45.462748, -73.8262154 45.4635893, -73.8243111 45.4645555, -73.8234966 45.4649671, -73.8223977 45.4655222, -73.8218104 45.4658201, -73.8206137 45.4664268, -73.81996030000001 45.4667575, -73.81901070000001 45.467239, -73.8163267 45.4685945, -73.8140968 45.4697259, -73.81071420000001 45.4714402)"
11,2077014213,motorway_link,1,644.12,100,,1,"[197462322, 926423314]",4322954829,2000,"LINESTRING (-73.8513681 45.4542466, -73.85003 45.4545787, -73.8495418 45.4546996, -73.8491374 45.4547969, -73.8485649 45.4549274, -73.84795320000001 45.455064, -73.84773869999999 45.4551136, -73.84746749999999 45.4551784, -73.8469551 45.455308, -73.846497 45.4554239, -73.8440949 45.4559941, -73.84355549999999 45.4561222)"
12,16874298,motorway,2,300.59499999999997,100,Autoroute du Souvenir,1,11392948,7721254396,2000,"LINESTRING (-73.8134452 45.4425389, -73.813204 45.4425874, -73.8129339 45.4426413, -73.8124052 45.442749, -73.81211209999999 45.4428148, -73.8117901 45.4428887, -73.8115339 45.4429526, -73.8112565 45.4430247, -73.8110482 45.4430795, -73.81082170000001 45.443142, -73.8106203 45.4431986, -73.8103399 45.4432782, -73.8101705 45.4433293, -73.80981629999999 45.4434383)"
