<NUMBER OF ZONES> 113,,,,,,,,,
<NUMBER OF NODES> 13431,,,,,,,,,
<FIRST THRU NODE> 0,,,,,,,,,
<NUMBER OF LINKS> 10540,,,,,,,,,
<END OF METADATA>,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
from,to,capacity (veh/hr),length (m),Free Flow Time (min),B,Power,Speed Limit,Toll,Type
581020614,29217073,1800,47.039,0.0564468,0.15,4,0,0,A
29793425,29793610,1400,269.456,0.3233472,0.15,4,0,0,A
29217073,246283590,1800,16.661,0.0199932,0.15,4,0,0,A
29793427,29793610,2100,128.154,0.1537848,0.15,4,0,0,A
29793610,208721773,1400,435.67,0.522804,0.15,4,0,0,A
215084065,29237094,8000,315.14,0.27012,0.15,4,0,0,F
2133247519,98425546,4000,198.177,0.169866,0.15,4,0,0,F
29237094,2133247519,6000,270.023,0.231448286,0.15,4,0,0,F
29237094,5239457462,4000,591.618,0.507101143,0.15,4,0,0,F
581020609,245569271,2100,1539.625,1.84755,0.15,4,0,0,A
581020614,581020609,900,61.173,0.0734076,0.15,4,0,0,A
246283590,227778611,2700,1236.896,1.4842752,0.15,4,0,0,A
4625168023,246283590,2100,1546.836,1.8562032,0.15,4,0,0,A
32124695,29793427,1400,193.638,0.2323656,0.15,4,0,0,A
208721773,427615136,1400,16.533,0.0198396,0.15,4,0,0,A
29794284,29794285,2100,147.161,0.1765932,0.15,4,0,0,A
29796354,29794284,1400,13.542,0.0162504,0.15,4,0,0,A
29793425,29794284,2100,321.903,0.3862836,0.15,4,0,0,A
29794280,29793425,2100,417.321,0.5007852,0.15,4,0,0,A
29794074,31776718,5400,162.367,0.1948404,0.15,4,0,0,A
31705842,31776718,2100,563.627,0.6763524,0.15,4,0,0,A
29794074,29794077,1400,523.547,0.7853205,0.15,4,0,0,A
31776724,29794074,5400,514.902,0.6178824,0.15,4,0,0,A
31706588,1472721975,1400,51.301,0.0615612,0.15,4,0,0,A
1472721954,31706588,1400,107.404,0.1288848,0.15,4,0,0,A
31706267,31706123,1400,212.135,0.254562,0.15,4,0,0,A
31706062,31706267,1400,263.077,0.3156924,0.15,4,0,0,A
208721773,29794280,2800,280.474,0.3365688,0.15,4,0,0,A
32124693,208721773,2800,112.085,0.134502,0.15,4,0,0,A
1374356024,31705842,2100,278.413,0.3340956,0.15,4,0,0,A
29794112,1766803140,1400,2431.982,3.647973,0.15,4,0,0,A
31776724,31631609,1400,207.219,0.3108285,0.15,4,0,0,A
208863157,31776724,5400,1261.466,1.5137592,0.15,4,0,0,A
31705842,29794077,1400,160.221,0.1922652,0.15,4,0,0,A
31705853,31776724,2800,400.264,0.4803168,0.15,4,0,0,A
29794316,29794074,1400,250.347,0.3755205,0.15,4,0,0,A
31705853,29794077,1400,498.594,0.5983128,0.15,4,0,0,A
213943474,31700661,2100,2511.377,3.0136524,0.15,4,0,0,A
29794279,29794280,2100,16.751,0.0201012,0.15,4,0,0,A
31700661,31700825,2100,11.142,0.0133704,0.15,4,0,0,A
31700661,437733306,2100,287.586,0.3451032,0.15,4,0,0,A
1766803140,437849119,1400,67.718,0.101577,0.15,4,0,0,A
1766803140,1207291265,1400,68.75,0.0825,0.15,4,0,0,A
29794112,31700661,2100,158.173,0.1898076,0.15,4,0,0,A
31777190,29794112,1400,505.315,0.7579725,0.15,4,0,0,A
29783885,618066334,1400,65.029,0.0780348,0.15,4,0,0,A
618066330,29783885,1400,157.589,0.1891068,0.15,4,0,0,A
581020631,581020620,1400,32.515,0.039018,0.15,4,0,0,A
581020631,581020611,900,63.342,0.0760104,0.15,4,0,0,A
8635817624,29583132,2100,1790.684,2.1488208,0.15,4,0,0,A
