fishnetid,CO2,CO2psqkm
0,1228400.1752850446,93174.54182547878
1,5713526.927509992,433372.82458058867
2,1365122.1346006063,103544.94568334431
3,5015508.789863273,1521711.6963404128
4,7154681.271648877,2170739.326917338
5,14528189.461734656,4409144.996975134
6,6378784.82812355,1935890.7237394834
7,10740540.520985128,814673.3956371832
8,1442690.5115548146,109428.53160935946
9,4626817.294386171,351148.50561629597
10,14513990.559091007,1101527.415301315
11,14359559.268486846,1089806.979099252
12,10134946.696945375,769183.471206486
13,21510386.323143635,1632513.1363561468
14,24056037.5635109,1825713.2503865857
15,2853133.3073790795,1948825.8967838585
16,7855407.552534577,5365617.382331954
17,13530344.742046943,9243652.208956787
18,10176912.382513287,6952656.44878344
19,12143158.22515726,8295955.017529387
20,10874386.397068115,7430589.737038573
21,15243427.28438281,10416004.195626164
22,10255832.841514897,7007925.180724695
23,20189772.21566637,1532286.21127325
24,11891946.717163607,902529.5473993334
25,5526419.79545296,419665.9272452396
26,22209890.76637851,1686577.3407503553
27,34779650.58748463,2641101.265066288
28,27400839.60743133,2080768.2345470919
30,14313339.900912894,4347712.422039511
31,19539042.215472523,5936751.713840134
32,12097433.492277142,3675689.8432550174
33,42995713.01154214,3265013.5958537445
35,4833752.378230497,3303594.553774258
36,4823470.883097372,3296567.7371974536
37,16107111.749015315,11010419.506335115
38,6832179.513754726,4670307.362437402
40,22266831.398035586,15223990.309746245
42,9306433.989640571,706713.0971160588
43,4715327.198503959,358280.62537053303
44,14060600.687740833,1068354.4524939982
45,19259824.484130822,1463402.5742452228
46,8784859.245838458,2669969.3988205474
47,8432339.969365127,2562828.731640931
48,17716030.48405072,5385968.738047015
49,19597341.777378473,5957918.7480405215
50,41889227.39832545,3182832.9099448402
51,40389129.15180922,3068852.2432260164
52,11677159.870412426,7985299.686502024
53,8528558.495558238,5832162.635150257
54,244321.7146174237,167076.7663361317
55,13312875.779325344,9105626.25897446
56,16708489.690899832,11428129.053343548
58,18162999.81944146,12425374.834320946
59,9861261.836758522,6746125.413157487
60,3180506.1649562097,2175795.9398378925
61,7594835.982397331,577071.8490590688
62,5370870.67730978,408327.0233091162
63,13632301.589605901,1036412.4298235999
64,22716461.123330995,1727046.7877390184
65,6725169.730178809,2045157.050550044
66,11497384.489446742,3496410.930111326
67,12592024.283035314,3830408.066093648
68,8144682.778409659,2477557.0558731565
69,11569017.78441269,879548.7507228942
70,45333564.46827988,3446539.778649381
71,46345689.06300165,3523487.7909561363
72,39373516.91947118,2993419.861861305
73,4324468.8477363335,328773.04222750996
74,3386874.0206815945,257640.83331717318
75,10572552.087963838,804258.1783675359
76,18302474.136453237,1392276.3762362034
77,20873134.594461363,1587827.524147992
78,5354491.234878754,1629272.9647574911
79,6005177.977800298,1827264.9442498593
80,13083508.205738086,3982227.5315608485
81,4776457.298152323,1453810.3585768254
82,20167357.636434607,1534138.7945135992
84,17393408.39214284,5292493.5003522495
85,7817892.99273599,2379532.1732450887
86,6437649.19992088,1959427.3553631601
87,28192759.20212474,2144634.2349893544
88,8899280.496261362,676971.753002862
89,4456330.601550649,339191.9739141559
90,21784003.10156105,1658081.4289683816
91,1657619.610290071,126169.11039266539
93,16378451.85521024,1246639.8728354373
94,12952760.96129951,985894.6633299212
95,16868141.44581611,1283912.4169285493
96,17549220.206551705,1335752.4777103467
97,7264371.596192078,552924.9872308845
98,8210424.52969269,625297.3364504491
99,4275767.073779331,325637.9439149755
100,7171274.646245601,546156.7692433409
101,6075417.960539894,462697.471344036
102,11889019.804229643,905455.3013316259
103,3747421.9589585843,285399.73310983385
104,9714122.809894396,739817.4232057877
105,6035789.752579253,1838717.6946720479
106,594762.9131938077,181186.08126726566
107,2633299.5040741633,802431.0358840828
108,910477.9368881744,69381.46729799006
110,774434.64634278,59014.51305159535
112,5581758.454782735,425348.6833733771
113,1199715.5782362975,91422.34400847103
