,osmid,y,x,street_cou,lon,lat,ref,highway,geometry
0,16874214,45.4358687,-73.8983655,3,-73.8983655,45.4358687,,,POINT (-73.8983655 45.4358687)
1,2076579875,45.4368727,-73.8941345,3,-73.8941345,45.4368727,49,motorway_junction,POINT (-73.89413450000001 45.4368727)
2,16874246,45.443665,-73.8766694,3,-73.8766694,45.443665,,,POINT (-73.8766694 45.443665)
3,16874253,45.4483051,-73.8672226,3,-73.8672226,45.4483051,50,motorway_junction,POINT (-73.86722260000001 45.4483051)
4,109892866,45.450269,-73.862746,3,-73.862746,45.450269,,,POINT (-73.862746 45.450269)
5,4322954829,45.4561222,-73.8435555,4,-73.8435555,45.4561222,52,motorway_junction,POINT (-73.84355549999999 45.4561222)
6,16874298,45.4425389,-73.8134452,3,-73.8134452,45.4425389,,,POINT (-73.8134452 45.4425389)
7,7721254396,45.4434383,-73.8098163,3,-73.8098163,45.4434383,,,POINT (-73.80981629999999 45.4434383)
8,16874301,45.4472698,-73.800189,3,-73.800189,45.4472698,51,motorway_junction,POINT (-73.800189 45.4472698)
9,7721254407,45.4490344,-73.7911632,3,-73.7911632,45.4490344,,,POINT (-73.7911632 45.4490344)
10,101435479,45.4472342,-73.7970216,1,-73.7970216,45.4472342,,,POINT (-73.79702159999999 45.4472342)
11,17052722,45.6026049,-73.5610705,3,-73.5610705,45.6026049,8-O,motorway_junction,POINT (-73.5610705 45.6026049)
12,224932987,45.6034269,-73.5625056,3,-73.5625056,45.6034269,8-E,motorway_junction,POINT (-73.56250559999999 45.6034269)
13,17052729,45.601533,-73.5694928,3,-73.5694928,45.601533,,,POINT (-73.56949280000001 45.601533)
14,246653148,45.5970923,-73.573411,3,-73.573411,45.5970923,78,motorway_junction,POINT (-73.57341099999999 45.5970923)
15,17052772,45.511606,-73.6605634,3,-73.6605634,45.511606,,,POINT (-73.6605634 45.511606)
16,17052775,45.5054789,-73.6643763,3,-73.6643763,45.5054789,66,motorway_junction,POINT (-73.6643763 45.5054789)
17,98426483,45.5011402,-73.6633566,3,-73.6633566,45.5011402,,,POINT (-73.6633566 45.5011402)
18,8630521026,45.5022391,-73.6679197,3,-73.6679197,45.5022391,,,POINT (-73.6679197 45.5022391)
19,17052780,45.4977291,-73.6733873,3,-73.6733873,45.4977291,65,motorway_junction,POINT (-73.6733873 45.4977291)
20,2133239474,45.4961452,-73.6761185,3,-73.6761185,45.4961452,,,POINT (-73.6761185 45.4961452)
21,227856404,45.494916,-73.6824604,3,-73.6824604,45.494916,64,motorway_junction,POINT (-73.6824604 45.494916)
22,17052789,45.4913831,-73.7013317,4,-73.7013317,45.4913831,62,motorway_junction,POINT (-73.7013317 45.4913831)
23,6151696451,45.4894059,-73.7090674,3,-73.7090674,45.4894059,,,POINT (-73.7090674 45.4894059)
24,116453662,45.4896643,-73.7246644,4,-73.7246644,45.4896643,60,motorway_junction,POINT (-73.72466439999999 45.4896643)
25,17052796,45.4905608,-73.7536897,3,-73.7536897,45.4905608,,,POINT (-73.7536897 45.4905608)
