From,To,Demand,TT,Distance
581020614,29217073,,0.16909444444444444,51
29793425,29793610,,1.363913086419753,270
29217073,246283590,,0.025243939393939395,11
29793427,29793610,,0.9010828125,128
29793610,208721773,,1.4221178955453149,434
215084065,29237094,,0.5136351209253418,317
2133247519,98425546,,0.3949424187315299,4399
29237094,2133247519,,0.3000255555555556,270
29237094,5239457462,,0.8797910774410775,594
581020609,245569271,,3.782412067099567,1540
581020614,581020609,,0.1853727272727273,66
246283590,227778611,,2.041575523349436,1242
4625168023,246283590,,3.84710503875969,1548
32124695,29793427,,0.4706479166666667,192
208721773,427615136,,0.1441997409326425,193
29794284,29794285,,0.7457483108108107,148
29796354,29794284,,0.034723076923076926,13
29793425,29794284,,1.5771086577181208,745
29794280,29793425,,1.5845521582733813,417
29794074,31776718,,0.3865880952380952,161
31705842,31776718,,1.7488426418439715,564
29794074,29794077,,1.7017780114722754,523
31776724,29794074,,1.9624817829457364,516
31706588,1472721975,,0.5614071698113208,265
1472721954,31706588,,0.2817697530864197,108
31706267,31706123,,0.36517762128325504,213
31706062,31706267,,0.680944255050505,264
208721773,29794280,,1.4040217903415784,283
32124693,208721773,,0.34594135802469134,108
1374356024,31705842,,0.9013370503597122,278
29794112,1766803140,,6.115685226185596,2439
31776724,31631609,,0.7471838942307691,208
208863157,31776724,,3.437327989417989,1260
31705842,29794077,,0.634208125,160
31705853,31776724,,1.2580671629445823,403
29794316,29794074,,0.9309051792828686,251
31705853,29794077,,2.1439542,500
213943474,31700661,,5.725074141815773,2515
29794279,29794280,,0.05583666666666667,15
31700661,31700825,,0.018569999999999996,10
31700661,437733306,,1.1189466898954703,287
1766803140,437849119,,0.4089251207729469,69
1766803140,1207291265,,0.5560661764705883,68
29794112,31700661,,0.7653532258064516,155
31777190,29794112,,1.5626603190104167,512
29783885,618066334,,0.15241171874999998,64
618066330,29783885,,0.3964503144654088,159
581020631,581020620,,0.2463257575757576,33
581020631,581020611,,0.33089104477611936,67
8635817624,29583132,,6.218205212498149,2251
246283580,29583132,,0.12215686274509804,17
4109587566,4109567674,,0.4853777173913044,92
29583132,581020631,,3.34209262143122,899
5416283756,29784714,,1.3397920489296635,436
209370661,29784714,,0.9083559236947791,332
127962991,29784714,,10.747416845001528,3271
209396025,29784714,,4.418589569160998,1470
31461017,618066334,,0.5054702702702702,37
29794077,29784599,,1.6521056910569105,615
618066326,29783885,,0.28926562499999997,160
618066334,31703742,,0.06506491228070176,38
5416283756,5416283759,,0.21698765432098766,27
5416283760,5416283756,,0.4265333333333333,27
209396025,224554453,,2.062168494152047,912
31699856,209396025,,1.1513197986577182,447
437733306,127962991,,3.618256509695291,1444
224547073,209396025,,0.2726031746031746,42
5422390981,127962991,,0.2002077922077922,77
213972392,127962991,,1.5754296094459581,367
31705722,5422441477,,0.23205299145299146,117
31776718,1315075334,,0.8005497942386832,243
29796354,29796355,,0.7708532915360502,319
5422441477,1374356024,,1.209309243697479,119
29796355,29793425,,0.06527692307692308,13
29796355,29796362,,1.4571385589865398,421
209370661,4515093894,,2.0777884070294785,588
4515093889,209370661,,2.2610581059390045,623
4659380893,4659380894,,0.03169931662870159,878
4659596472,4659596471,,0.01248,1
4659380900,4659380899,,0.044112895377128945,548
4659380891,4659380892,,0.10304242424242423,11
4667313108,4667313109,,0.146725,18
4659596470,4659596469,,0.0123132,0
4514936342,4514936344,,0.09213888888888888,732
4667249879,4667249878,,0.09495,18
4667249885,4667249884,,0.07979999999999998,14
4667249887,4667249886,,0.11030000000000001,14
4667249881,4667249880,,0.06787943786982249,338
4667249883,4667249882,,0.0801,14
4666805390,4666805389,,0.208,74
4667249874,4667249875,,0.05882500000000001,10
4659596474,4659596473,,0.0127128,0
4666805387,4666805388,,0.022623333333333332,10
5413960905,5413960906,,0.010016400000000002,0
4670568541,4670568540,,0.043190082644628106,484
4683382523,4683389731,,0.6626902173913043,368
4667313107,4667313106,,0.09818333333333333,18
4670568535,4670568534,,0.035620565092989984,466
4667250389,4667249888,,0.07141287878787879,286
4667250391,4667250390,,0.12217499999999999,14
248409901,248409184,,0.23132585958410543,1619
615101664,615101663,,0.07637554585152838,229
246658366,4553931600,,0.09769761904761906,42
4656651153,4656651151,,0.04634166666666666,8
246658359,4553879097,,0.8118526315789474,1995
3199250912,1258984235,,0.6966142259414225,239
246656320,5023167183,,0.6568844512195121,164
5023167183,3700477093,,0.03255555555555555,6
248511998,612002386,,0.08500531914893616,47
612002386,248512003,,1.8407628984063746,1004
612002376,248511997,,0.4423385416666667,32
248511997,248511998,,0.09079545454545457,22
248511987,612002376,,1.5479248235294116,850
1209147513,4753144411,,0.23904492753623185,69
248511987,5580840649,,2.0093254480286737,1023
248511987,1209147513,,1.5455756613756615,315
4526362270,4753144411,,0.837410102739726,292
290739615,612002134,,0.04351034482758621,29
248512070,290739615,,1.585229191438763,841
4526362273,286270655,,1.5701067599067597,572
248512070,4526362273,,0.052954,25
248512070,4526362270,,0.08854807692307692,26
248512003,611541486,,0.634735845410628,345
611541486,611541591,,1.373706983901515,704
286270647,248513137,,0.03438,10
248513118,1700228919,,0.32626377777777776,75
248512280,286270647,,0.9603267029972752,367
609404690,612683929,,0.5417794117647059,68
248512280,4690266558,,1.229457142857143,903
248512280,609404690,,0.5901714285714286,91
248512109,286270655,,0.017493333333333333,10
248512280,5116306782,,2.8056899781420768,1525
246431028,583083116,,1.3645656716417909,737
574793968,583082975,,0.06730444444444444,30
581376601,582950749,,0.5759930555555556,360
246431028,574793968,,0.06688717948717948,13
246430984,246431009,,0.9402650722021659,554
246431009,581376601,,0.21515656565656568,66
5306548739,5293570960,,1.1342143884892084,417
246279626,4344195541,,1.3215540691192864,598
246650253,4488816373,,2.85468126349892,926
246650208,4520410260,,0.11405714285714287,49
246650167,246650253,,0.04906428571428571,14
246650167,246653333,,2.17873611404435,947
252126743,4345600078,,0.11664455958549222,193
246461047,438304293,,2.434961382113821,1107
246436884,4490164910,,3.1551488573407203,1444
4490164910,252125040,,1.7447095282146161,1081
1450239297,246653336,,1.0175215525554482,1037
246653307,1448557379,,0.04667586206896552,29
4658735296,4658735294,,0.05532692307692308,13
4488816373,437823106,,0.3172407407407407,36
246650242,4520410267,,0.10340675709620699,1327
4520410267,4553879092,,1.4977815425940137,1303
246650208,246650242,,0.1466759259259259,45
4520410260,4552515310,,1.2810978002378122,841
246653554,1763307862,,0.5970812499999999,288
