fishnetid,CO2,CO2psqkm
0,764712.8000807114,137977.52609385864
2,2330075.9180068197,420416.80320183624
4,842097.3482871291,151940.06015670035
6,957330.1785887491,172731.57933635486
8,1097850.2316539586,198085.68519998915
12,4926795.38985849,889291.9278748039
14,7232779.733765179,1305524.6106980909
16,6991395.656900877,1261954.5222151983
18,8213734.678628223,1482588.0454555624
20,1400094.8544476419,1010874.5718021035
22,469476.5258305524,338964.0926916867
24,2815857.170464762,2033458.8799056034
27,920565.1083792433,166163.00357226096
29,967597.0832120035,174652.3261970487
31,2900586.6113004596,523763.960011376
33,6990924.923751802,1262363.4501866566
35,10552333.776159478,1905453.2295056633
37,5250708.782468865,3792518.379454156
39,6443423.810885823,4654000.867651357
41,4439358.259283237,3207118.2741721417
43,3918148.0777372904,2830581.261322075
45,3275564.1785168396,2365897.2273576567
47,5544485.150146393,4004709.2131161303
49,2544828.223448165,1838456.0612971561
51,4505731.768709227,3255068.37924809
53,7633359.953099045,1378369.0587452909
55,6450530.542342596,1164783.49857546
57,1850555.8672674743,334158.0856390238
59,1063626.791669144,192136.16208745178
61,2231121.5743349018,403035.2937711523
63,7695483.138851041,1390131.018970674
65,8120797.600111712,1466960.8702935025
67,5392082.922734864,3896156.5107800122
69,2539162.041455013,1834721.9175777836
71,4692189.418707015,3391098.8354034936
73,3023123.268432637,2184845.6829106733
75,6004045.277298046,4338342.053221941
77,4114819.5983079295,2973244.5510126087
79,6124943.710629731,4426566.711313615
81,5699264.049752954,4118923.1629733015
83,4562447.769903685,3296687.1686729565
85,7436824.199950977,5373624.894379262
87,4138270.010602448,2990774.958399594
89,3778395.9037203714,2730689.834838386
91,6188160.296200743,1117844.5099414203
93,5754941.697981029,1039586.8358598769
95,1616297.9257936343,1167888.1384386946
97,216104.48630074057,156150.58473217057
99,781955.3769330399,565128.0737906202
101,816084.294045177,589793.431632237
103,2036979.3529180388,368109.1901170883
105,3536663.9708782285,639122.0942771705
107,5279993.213356024,954164.814094909
109,7466415.817889222,1349280.3821812756
111,9688328.625980834,1750809.5008372313
113,9151589.659448994,1653813.6496070994
115,8799790.98408489,1590238.9622707367
117,2098736.261986316,379269.4828066986
119,1436148.1471969574,259632.81706690826
121,5936421.692839437,1073210.9291213003
123,2471466.030783391,446801.8770277055
125,5953752.191642189,1076344.0085560663
127,2998100.1169093726,2168035.8705236684
129,3252901.5293860584,2352292.0929868715
131,3581806.715241249,2590643.649410622
133,3927895.1131962254,2840961.9333313177
135,4426329.999892989,3200841.1461705016
137,5116349.978436654,3699819.8348480486
139,4006197.7754755607,2897596.5624149237
141,4260900.511134002,3081817.565131843
143,6296324.504567079,1138275.65176954
145,776441.3241715396,140368.28211300878
147,520863.4842558746,94200.82050855987
150,2695671.1704318454,487525.8945032981
152,3129854.4394371607,566050.1555192559
155,4677210.048470345,845897.3177707809
157,2033922.2461275985,367845.2228410002
159,423165.96002214105,76531.72443510286
161,915562.3753612628,165649.1692034898
163,3356068.102974925,607200.4573460066
165,1292290.571914195,233809.14874600712
167,259188.42436020283,46893.96191656539
