fishnetid,CO2,CO2psqkm
0,1931022.6485282215,239751.67616003277
1,2516707.9710449073,312469.1235098755
2,19913912.184507612,2472469.097541853
3,19427475.178763095,2412074.1106873723
4,21247575.11070976,2638053.8576341583
5,43587479.34573968,5411728.9824108295
6,31119485.315661132,3863729.289427981
7,10882384.638918562,1351133.794203547
8,9665271.13603858,1200019.5632985565
9,7593276.016054624,942765.0440984798
10,26032617.16030625,3233860.2496945583
11,12812642.524914976,1591630.034726068
12,29853092.385087363,3708452.6768901576
13,18229804.155653153,2264568.2781588556
14,24363537.917618234,3026521.5490452065
15,41898486.205947004,5204772.467917085
16,19144599.9160958,2378207.3190615643
17,31623121.893721264,3928331.7629424185
18,35286446.978405185,4383402.4652125295
19,6535508.11765592,811863.0479254877
20,24908914.023647916,3095904.503037796
21,20402484.607692193,2535804.8090794757
22,23409821.086691547,2909583.7116300086
23,30521710.46146385,3793513.4694492524
24,10508163.641690757,5224197.387715899
25,9345533.870933441,4646188.934633331
26,30204432.369401574,15020285.303555967
27,30992613.811162982,15412238.04682975
28,23285169.4818495,11576363.456786377
29,14510664.532215526,7214065.019168742
30,23733942.45605252,11802591.841759933
31,35533144.13758425,17670186.817335207
32,12730917.308345,6329252.8755083075
33,2359842.112508431,1173209.8414109682
34,31871866.376375645,15849479.317311846
35,36678615.932536624,18239815.571053844
36,60039962.64920534,7462308.093858602
37,64666880.7577009,8037383.209284402
38,15550483.78522905,1932754.3838081914
39,50169270.100607716,6238786.228502416
40,22487562.689206116,2796434.872117154
41,28028051.087333117,13941683.223534849
42,12304003.995761123,6120244.520587782
43,26099873.1867746,12986005.06108163
44,17968347.181819696,8940160.198196465
45,31745018.9267462,15790573.394588314
46,26983398.969078287,13422053.483096221
47,26730049.07102017,13299549.38996074
48,10655736.69589188,5301767.164620562
49,46107535.78788908,5733690.339261627
50,49155661.86441588,6112739.24610923
51,14374736.893531162,7150266.265992293
52,27761562.43755877,13809126.724110287
53,26129444.89465998,13000718.479246883
54,12042125.455978686,5991565.591083279
55,53333298.09783683,6632248.087846269
56,21559562.74858994,2681033.686531723
57,49728300.049856305,6183949.515225685
58,29577971.248624276,3680107.278320215
59,17413096.530296613,2166546.9460559306
60,34066028.443070464,4238513.796737816
61,25925104.018316183,12902462.10212255
62,15390625.886297623,7659640.134350319
63,10162961.01977925,5059263.648622227
64,46965187.39611042,23379924.894077115
65,21267378.708703358,10584395.24897055
66,19824301.362588674,9866201.379602576
67,36204219.74722041,18022965.210371513
68,21380467.752451167,10643494.851549003
69,53809849.362002805,6695050.739547644
70,30358988.819240786,3777281.909465868
71,63899447.2071402,7950403.993937635
72,44376016.40370402,5521288.10922845
73,34104573.27197959,4243309.565325742
74,17037004.54696074,2120876.2296899417
75,33511315.942376893,4171704.7860092064
76,38550355.577243805,4798996.946001151
77,27105040.489776455,13496841.064863095
78,27460305.7345337,13673743.90129925
79,19255014.2937301,9590494.348261949
80,19716989.90207311,9820594.123482123
81,33105162.94521039,16484576.839736894
82,16781150.19040666,8356103.252859554
83,28015691.5358042,13953992.826911092
84,33696015.75725512,16783235.979426056
85,82974574.54566762,10329210.298528427
86,15292949.556037929,7615059.997739737
87,26154191.239897102,13023369.674657777
88,28310393.538835175,14100777.339837179
89,29463256.607438102,14674992.792243078
90,34794950.055601545,4331499.840993972
91,90841788.52983296,11308571.845736511
92,6455336.785908828,803601.9657175859
93,4972860.813014084,619382.0181840282
94,23356023.82469824,2909050.0855035437
95,53226605.50409107,6629504.339219079
96,24143155.31179912,3007089.2439253614
97,31141516.76973358,15515009.236323468
98,14677684.09811888,7312566.2450543465
99,11895248.607990019,5927901.555085773
100,19303470.470972322,9619729.388973413
101,20157616.91572702,10042722.547597043
102,23740963.92970981,11827981.192189734
103,33641286.29225743,16764864.686645297
104,49285676.23015607,24561120.69586778
105,68818559.03043987,8571520.415218549
106,45982597.481961034,5727245.36250562
107,41217848.270993315,5133784.155084268
108,32731720.472683445,4076816.1119551384
109,8527762.519630922,1062717.4343017235
110,19438043.78426834,2422340.909553875
111,27440073.857374765,3419542.3265634626
112,55133095.89978529,6870606.690190346
113,57019955.29003771,7105744.379060146
114,29704312.088233482,3701708.420870915
115,32700819.036730133,4075128.783931338
116,41645514.6172341,5189803.813406074
117,26599545.566095524,3314796.9062835183
118,16626453.260985468,2071964.5640198616
119,4273110.208288613,532791.6816134042
120,6829919.55243159,851586.8176219423
121,16465266.149332544,2052967.6072709034
122,12952312.501433317,1614955.856985658
123,13532580.30297625,1687306.403238961
124,11518601.80692492,1436193.9962706012
125,13128761.690269688,1636956.380130877
126,16716143.993952256,2084248.2488175002
127,11959309.071938725,1491143.4718002737
