<NUMBER OF ZONES> 113,,,,,,,,,
<NUMBER OF NODES> 13431,,,,,,,,,
<FIRST THRU NODE> 0,,,,,,,,,
<NUMBER OF LINKS> 10540,,,,,,,,,
<END OF METADATA>,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
from,to,capacity (veh/hr),length (m),Free Flow Time (min),B,Power,Speed Limit,Toll,Type
122926,318399738,8000,1618.526,1.079017333,0.15,4,0,0,F
85245811,122926,4000,124.804,0.106974857,0.15,4,0,0,F
289232660,122926,6000,200.73,0.13382,0.15,4,0,0,F
318399738,247173751,8000,705.227,0.470151333,0.15,4,0,0,F
318399738,247174151,2000,211.795,0.254154,0.15,4,0,0,F
122935,85245595,10000,938.676,0.804579429,0.15,4,0,0,F
3471334863,122935,6000,438.816,0.292544,0.15,4,0,0,F
413741124,122935,4000,1004.516,0.669677333,0.15,4,0,0,F
85245595,85245590,2000,850.441,0.566960667,0.15,4,0,0,F
85245595,132275950,8000,195.803,0.167831143,0.15,4,0,0,F
122946,331668606,6000,1128.23,0.615398182,0.15,4,0,0,F
332137916,122946,6000,703.077,0.383496545,0.15,4,0,0,F
332135076,122946,2000,274.968,0.3299616,0.15,4,0,0,F
331668606,84821300,8000,974.434,0.531509455,0.15,4,0,0,F
365021950,331668606,4000,210.024,0.2520288,0.15,4,0,0,F
122954,130318842,4000,474.108,0.316072,0.15,4,0,0,F
122954,130367459,4000,373.626,0.249084,0.15,4,0,0,F
130340924,122954,8000,528.884,0.352589333,0.15,4,0,0,F
130318842,315858886,8000,513.942,0.280332,0.15,4,0,0,F
130356871,130318842,4000,417.212,0.278141333,0.15,4,0,0,F
130367459,87147746,4000,517.515,0.34501,0.15,4,0,0,F
130367459,130365379,1200,316.789,0.3801468,0.15,4,0,0,A
125743,84791114,5400,78.2,0.09384,0.15,4,0,0,A
125745,125743,5400,73.156,0.0877872,0.15,4,0,0,A
25245020,125743,3600,239.779,0.2877348,0.15,4,0,0,A
84791114,84791118,5400,11.355,0.013626,0.15,4,0,0,A
84791114,1089076105,3600,165.779,0.1989348,0.15,4,0,0,A
125745,25245021,2400,268.796,0.230396571,0.15,4,0,0,A
125747,125745,5400,37.538,0.0450456,0.15,4,0,0,A
25245021,25245027,6000,475.122,0.407247429,0.15,4,0,0,A
206093615,25245021,4800,567.211,0.486180857,0.15,4,0,0,A
84791125,125747,5400,11.82,0.014184,0.15,4,0,0,A
332038651,125747,1800,65.546,0.131092,0.15,4,0,0,A
125748,84791125,5400,47.022,0.0564264,0.15,4,0,0,A
206093615,125748,2400,204.833,0.2457996,0.15,4,0,0,A
2572298835,125748,5400,72.461,0.0869532,0.15,4,0,0,A
84791125,332038651,1800,66.301,0.132602,0.15,4,0,0,A
125792,6763218090,6000,750.322,0.500214667,0.15,4,0,0,F
125792,28869232,2000,381.936,0.4583232,0.15,4,0,0,F
28869178,125792,8000,1474.896,0.983264,0.15,4,0,0,F
6763218090,5070611118,6000,3757.221,4.5086652,0.15,4,0,0,F
28869153,6763218090,2000,1261.241,0.840827333,0.15,4,0,0,F
28869232,28869252,6000,818.054,0.545369333,0.15,4,0,0,F
28869153,28869232,4000,867.087,0.578058,0.15,4,0,0,F
361704,360932,1400,197.601,0.2371212,0.15,4,0,0,A
471617379,360932,2100,1115.253,2.230506,0.15,4,0,0,A
430770,360932,3600,799.208,0.9590496,0.15,4,0,0,A
429385391,360932,3600,520.593,0.6247116,0.15,4,0,0,A
361706,361704,2100,588.267,0.7059204,0.15,4,0,0,A
14956519,361704,2100,1344.94,2.68988,0.15,4,0,0,A
361704,442139,2100,750.617,1.501234,0.15,4,0,0,A
382021,361704,1400,839.459,1.678918,0.15,4,0,0,A
471617379,471617384,1400,46.578,0.0558936,0.15,4,0,0,A
64441586,471617379,700,1127.992,2.255984,0.15,4,0,0,A
34909834,430770,7200,30.259,0.0363108,0.15,4,0,0,A
430770,34909758,1800,443.638,0.5323656,0.15,4,0,0,A
442138,430770,2700,185.483,0.2225796,0.15,4,0,0,A
429385391,1836902820,1800,21.986,0.0263832,0.15,4,0,0,A
245225501,429385391,1800,24.899,0.0298788,0.15,4,0,0,A
360982,34909185,1400,1331.882,1.5982584,0.15,4,0,0,A
360983,360982,1400,399.506,0.4794072,0.15,4,0,0,A
513972750,360982,2100,1212.701,2.425402,0.15,4,0,0,A
442197,360982,700,780.514,1.561028,0.15,4,0,0,A
34909185,34909186,1400,33.392,0.0400704,0.15,4,0,0,A
34909185,5708499452,700,322.062,0.3864744,0.15,4,0,0,A
21346786,34909185,1400,268.384,0.3220608,0.15,4,0,0,A
141558085,360983,2100,1301.807,2.603614,0.15,4,0,0,A
360983,6953649865,700,848.38,1.018056,0.15,4,0,0,A
110553570,360983,700,1167.009,1.4004108,0.15,4,0,0,A
1363470287,513972750,700,1233.385,2.46677,0.15,4,0,0,A
141558085,141556844,2700,23.971,0.0287652,0.15,4,0,0,A
360988,141558085,4200,33.878,0.0406536,0.15,4,0,0,A
5312118009,141558085,2700,773.542,0.9282504,0.15,4,0,0,A
442207,6953649865,1400,90.376,0.1084512,0.15,4,0,0,A
360990,360988,4200,279.214,0.3350568,0.15,4,0,0,A
360988,130234851,2700,733.275,0.87993,0.15,4,0,0,A
141559263,360988,3600,23.112,0.0277344,0.15,4,0,0,A
4616553,360990,3600,559.542,0.6714504,0.15,4,0,0,A
34819299,360990,5400,1106.305,2.21261,0.15,4,0,0,A
130234851,130234868,3600,17.757,0.0213084,0.15,4,0,0,A
5312118009,130234851,2700,35.862,0.0430344,0.15,4,0,0,A
4616553,2689489652,1800,186.164,0.2233968,0.15,4,0,0,A
4958686525,4616553,2700,223.135,0.267762,0.15,4,0,0,A
34819299,134600676,3600,512.525,1.02505,0.15,4,0,0,A
360996,34818779,4500,28.552,0.0342624,0.15,4,0,0,A
260656204,360996,2800,21.236,0.0254832,0.15,4,0,0,A
260654567,360996,3600,805.154,0.9661848,0.15,4,0,0,A
34818779,260656204,3600,24.002,0.0288024,0.15,4,0,0,A
34818779,7850681872,3500,37.797,0.0453564,0.15,4,0,0,A
34818779,392015279,1800,41.199,0.0494388,0.15,4,0,0,A
360997,264542426,3600,50.737,0.0608844,0.15,4,0,0,A
360997,392015132,2800,27.842,0.0334104,0.15,4,0,0,A
264542727,360997,3500,39.55,0.04746,0.15,4,0,0,A
34818796,360997,4500,26.968,0.0323616,0.15,4,0,0,A
264542426,392015112,2700,30.033,0.0360396,0.15,4,0,0,A
264542727,264542426,2800,57.557,0.0690684,0.15,4,0,0,A
392015132,7850681872,4500,24.806,0.0297672,0.15,4,0,0,A
392015132,260656204,2800,39.479,0.0473748,0.15,4,0,0,A
392015112,392015132,3600,87.561,0.1050732,0.15,4,0,0,A
177268309,361000,2100,89.357,0.1072284,0.15,4,0,0,A
295135510,361000,3600,231.952,0.2783424,0.15,4,0,0,A
296970902,361000,3600,487.654,0.5851848,0.15,4,0,0,A
1911142315,361000,2800,597.466,1.194932,0.15,4,0,0,A
177268309,6132156249,700,125.877,0.1510524,0.15,4,0,0,A
358873202,177268309,1400,73.989,0.0887868,0.15,4,0,0,A
295135510,295135550,1800,94.335,0.113202,0.15,4,0,0,A
295135550,295135510,1800,94.515,0.113418,0.15,4,0,0,A
296970902,194414345,2700,150.615,0.180738,0.15,4,0,0,A
296971484,296970902,3600,109.281,0.1311372,0.15,4,0,0,A
1911142315,34818886,700,118.436,0.1421232,0.15,4,0,0,A
34818886,1911142315,1400,111.118,0.1333416,0.15,4,0,0,A
361027,358913441,1400,39.343,0.0472116,0.15,4,0,0,A
1758970671,361027,2100,638.295,0.765954,0.15,4,0,0,A
967317037,361027,1400,41.334,0.0496008,0.15,4,0,0,A
358913441,27117485,2800,71.7,0.08604,0.15,4,0,0,A
967317037,358913441,700,43.856,0.0526272,0.15,4,0,0,A
27117303,1758970671,2800,1103.262,1.3239144,0.15,4,0,0,A
2320354492,1758970671,2800,1151.654,1.3819848,0.15,4,0,0,A
358874150,1758970671,1400,1178.317,2.356634,0.15,4,0,0,A
361031,25671388,1800,472.857,0.5674284,0.15,4,0,0,A
361031,5059182789,1400,88.95,0.10674,0.15,4,0,0,A
247352879,361031,3600,125.558,0.1506696,0.15,4,0,0,A
332476879,361031,1400,644.19,0.773028,0.15,4,0,0,A
25671388,332476879,1800,495.14,0.594168,0.15,4,0,0,A
25671388,644163,1800,165.073,0.330146,0.15,4,0,0,A
368175,25671388,1800,68.347,0.0820164,0.15,4,0,0,A
5059182789,25675623,4500,293.082,0.3516984,0.15,4,0,0,A
368175,5059182789,1800,554.531,0.6654372,0.15,4,0,0,A
247352879,665321094,2700,17.802,0.0213624,0.15,4,0,0,A
247352896,247352879,1800,24.758,0.0297096,0.15,4,0,0,A
361042,25034117,1400,95.795,0.19159,0.15,4,0,0,A
25034117,361042,1400,110.92,0.22184,0.15,4,0,0,A
1142990090,361042,2800,151.382,0.1816584,0.15,4,0,0,A
470137,25034117,1400,1306.531,2.613062,0.15,4,0,0,A
21292412,1142990090,3500,55.424,0.0665088,0.15,4,0,0,A
1142990090,1142990067,700,93.989,0.1127868,0.15,4,0,0,A
7223004840,1142990090,2800,588.879,0.7066548,0.15,4,0,0,A
1142990020,1142990090,2800,809.105,0.970926,0.15,4,0,0,A
361062,367510,2700,130.767,0.1569204,0.15,4,0,0,A
368146,361062,1800,707.546,0.8490552,0.15,4,0,0,A
470137,361062,1400,296.701,0.593402,0.15,4,0,0,A
367510,367530,2700,202.283,0.2427396,0.15,4,0,0,A
367510,470132,1400,263.804,0.3165648,0.15,4,0,0,A
644160,367510,2100,435.965,0.523158,0.15,4,0,0,A
5041260581,361068,3600,125.105,0.150126,0.15,4,0,0,A
361068,25554696,2800,208.66,0.250392,0.15,4,0,0,A
644160,361068,3600,148.021,0.1776252,0.15,4,0,0,A
5041260581,283555978,1800,76.819,0.0921828,0.15,4,0,0,A
283555978,5041260581,1800,78.916,0.0946992,0.15,4,0,0,A
25554696,368133,2800,23.949,0.0287388,0.15,4,0,0,A
2402569198,25554696,2100,1077.064,1.2924768,0.15,4,0,0,A
361091,663047672,2100,255.346,0.510692,0.15,4,0,0,A
123256923,361091,3600,135.094,0.1621128,0.15,4,0,0,A
361100,361091,3600,199.764,0.2397168,0.15,4,0,0,A
692364452,361091,2700,651.541,0.7818492,0.15,4,0,0,A
644090,663047672,1400,57.733,0.0692796,0.15,4,0,0,A
123256923,431175338,1400,543.111,0.6517332,0.15,4,0,0,A
510438311,123256923,3600,584.086,0.7009032,0.15,4,0,0,A
408490378,123256923,2100,137.121,0.1645452,0.15,4,0,0,A
361100,367937,1400,355.723,0.4268676,0.15,4,0,0,A
361102,361100,3600,280.493,0.3365916,0.15,4,0,0,A
367937,94181731,2100,582.447,0.6989364,0.15,4,0,0,A
1757697276,367937,2800,686.211,1.372422,0.15,4,0,0,A
361102,367937,2100,238.562,0.2862744,0.15,4,0,0,A
1835516159,361102,3600,654.85,1.3097,0.15,4,0,0,A
367935,361102,2100,858.799,1.0305588,0.15,4,0,0,A
1835516159,19405751,900,129.865,0.155838,0.15,4,0,0,A
361112,1835516159,1800,27.322,0.0327864,0.15,4,0,0,A
1835516171,1835516159,900,1300.951,1.5611412,0.15,4,0,0,A
361106,361107,2700,160.33,0.192396,0.15,4,0,0,A
361106,367935,1400,784.415,0.941298,0.15,4,0,0,A
398788,361106,1400,214.434,0.2573208,0.15,4,0,0,A
369326446,361106,1400,381.965,0.76393,0.15,4,0,0,A
4720234391,361106,2700,470.588,0.5647056,0.15,4,0,0,A
361107,398792,2100,343.113,0.4117356,0.15,4,0,0,A
361107,398783,2700,297.865,0.357438,0.15,4,0,0,A
94175315,367935,2100,784.118,0.9409416,0.15,4,0,0,A
398776,398792,4500,160.792,0.1929504,0.15,4,0,0,A
29604273,398792,3600,307.271,0.3687252,0.15,4,0,0,A
398783,817304290,3600,20.341,0.0244092,0.15,4,0,0,A
169320949,398783,1400,51.251,0.0615012,0.15,4,0,0,A
817304157,398783,1400,59.822,0.0717864,0.15,4,0,0,A
361112,367929,900,1283.838,1.5406056,0.15,4,0,0,A
54775311,361112,3600,858.551,1.0302612,0.15,4,0,0,A
1274890255,361112,900,133.671,0.1604052,0.15,4,0,0,A
367929,431154736,1800,35.157,0.0421884,0.15,4,0,0,A
1835516171,367929,3600,30.925,0.03711,0.15,4,0,0,A
60766874,54775311,3600,756.213,0.9074556,0.15,4,0,0,A
130057658,54775311,2100,1677.443,3.354886,0.15,4,0,0,A
644092,54775311,2100,778.14,0.933768,0.15,4,0,0,A
361116,5291668659,1800,14.775,0.01773,0.15,4,0,0,A
431154736,361116,2700,405.744,0.811488,0.15,4,0,0,A
821879336,361116,1800,29.776,0.0357312,0.15,4,0,0,A
5291668659,27323814,2700,51.866,0.0622392,0.15,4,0,0,A
27323728,5291668659,1800,445.421,0.890842,0.15,4,0,0,A
361706,245225569,1400,30.475,0.03657,0.15,4,0,0,A
361706,14956514,1400,1490.659,1.7887908,0.15,4,0,0,A
1836902820,361706,1400,24.695,0.029634,0.15,4,0,0,A
14956519,1455773025,2100,129.134,0.1549608,0.15,4,0,0,A
1455773025,14956519,1400,128.11,0.153732,0.15,4,0,0,A
442139,266586153,2100,5.665,0.006798,0.15,4,0,0,A
442139,442138,1800,215.229,0.2582748,0.15,4,0,0,A
1774155334,442139,1800,111.014,0.1332168,0.15,4,0,0,A
245225569,6225709029,4500,20.993,0.0251916,0.15,4,0,0,A
361721,245225569,4500,7.369,0.0088428,0.15,4,0,0,A
382038,14956514,4500,718.432,0.8621184,0.15,4,0,0,A
14956514,84762463,2700,196.213,0.2354556,0.15,4,0,0,A
368093,14956514,1800,27.172,0.0326064,0.15,4,0,0,A
361709,361711,4500,60.731,0.0728772,0.15,4,0,0,A
361715,361709,4500,37.522,0.0450264,0.15,4,0,0,A
7223004840,361709,1400,18.681,0.0224172,0.15,4,0,0,A
361711,367617,3600,1720.724,3.441448,0.15,4,0,0,A
361711,361712,4500,32.545,0.039054,0.15,4,0,0,A
367617,36474058,700,31.835,0.038202,0.15,4,0,0,A
367617,510573315,7200,44.855,0.053826,0.15,4,0,0,A
661209,367617,3600,40.866,0.0490392,0.15,4,0,0,A
361712,245225501,4500,54.705,0.065646,0.15,4,0,0,A
