,osmid,y,x,street_cou,lon,lat,highway,ref,geometry
0,122926,48.8840815,2.4635493,3,2.4635493,48.8840815,,,POINT (2.4635493 48.8840815)
1,318399738,48.877431,2.4444084,3,2.4444084,48.877431,motorway_junction,3,POINT (2.4444084 48.877431)
2,122935,48.8990232,2.4692871,3,2.4692871,48.8990232,,,POINT (2.4692871 48.8990232)
3,85245595,48.8910587,2.4731271,3,2.4731271,48.8910587,motorway_junction,,POINT (2.4731271 48.8910587)
4,122946,48.926226,2.4812559,3,2.4812559,48.926226,,,POINT (2.4812559 48.926226)
5,331668606,48.9163396,2.4778856,3,2.4778856,48.9163396,,,POINT (2.4778856 48.9163396)
6,122954,48.9722465,2.4860686,3,2.4860686,48.9722465,motorway_junction,,POINT (2.4860686 48.9722465)
7,130318842,48.9728843,2.4920371,3,2.4920371,48.9728843,,,POINT (2.4920371 48.9728843)
8,130367459,48.9746445,2.48965,3,2.48965,48.9746445,motorway_junction,,POINT (2.48965 48.9746445)
9,125743,48.8545629,2.4134092,3,2.4134092,48.8545629,,,POINT (2.4134092 48.8545629)
10,84791114,48.8539686,2.412959,3,2.412959,48.8539686,,,POINT (2.412959 48.8539686)
11,125745,48.8545241,2.4143516,3,2.4143516,48.8545241,,,POINT (2.4143516 48.8545241)
12,25245021,48.8569388,2.4142207,3,2.4142207,48.8569388,,,POINT (2.4142207 48.8569388)
13,125747,48.8542608,2.414664,3,2.414664,48.8542608,,,POINT (2.414664 48.8542608)
14,125748,48.8537522,2.414572,3,2.414572,48.8537522,,,POINT (2.414572 48.8537522)
15,84791125,48.8541581,2.4147057,3,2.4147057,48.8541581,,,POINT (2.4147057 48.8541581)
16,125792,48.7831284,2.3468659,3,2.3468659,48.7831284,motorway_junction,,POINT (2.3468659 48.7831284)
17,6763218090,48.7896566,2.3443707,3,2.3443707,48.7896566,,,POINT (2.3443707 48.7896566)
18,28869232,48.7865227,2.3462305,3,2.3462305,48.7865227,,,POINT (2.3462305 48.7865227)
19,360932,48.826185,2.3572626,4,2.3572626,48.826185,traffic_signals,,POINT (2.3572626 48.826185)
20,361704,48.8261632,2.3599615,5,2.3599615,48.8261632,traffic_signals,,POINT (2.3599615 48.8261632)
21,471617379,48.8263814,2.3421815,3,2.3421815,48.8263814,,,POINT (2.3421815 48.8263814)
22,430770,48.819145,2.3594606,4,2.3594606,48.819145,,,POINT (2.3594606 48.819145)
23,429385391,48.8307754,2.355865,3,2.355865,48.8307754,,,POINT (2.355865 48.8307754)
24,360982,48.8372281,2.2964564,4,2.2964564,48.8372281,traffic_signals,,POINT (2.2964564 48.8372281)
25,34909185,48.8428604,2.3123884,4,2.3123884,48.8428604,traffic_signals,,POINT (2.3123884 48.8428604)
26,360983,48.8392633,2.2919595,4,2.2919595,48.8392633,,,POINT (2.2919595 48.8392633)
27,513972750,48.8327368,2.3115395,2,2.3115395,48.8327368,,,POINT (2.3115395 48.8327368)
28,141558085,48.8459117,2.2773179,4,2.2773179,48.8459117,traffic_signals,,POINT (2.2773179 48.8459117)
29,6953649865,48.8361877,2.2814554,2,2.2814554,48.8361877,,,POINT (2.2814554 48.8361877)
30,360988,48.8460845,2.2769366,4,2.2769366,48.8460845,traffic_signals,,POINT (2.2769366 48.8460845)
31,360990,48.8474292,2.2737147,3,2.2737147,48.8474292,,,POINT (2.2737147 48.8474292)
32,130234851,48.8404712,2.271817,3,2.271817,48.8404712,,,POINT (2.271817 48.8404712)
33,4616553,48.851324,2.2784754,3,2.2784754,48.851324,,,POINT (2.2784754 48.851324)
34,34819299,48.8400976,2.2637793,2,2.2637793,48.8400976,,,POINT (2.2637793 48.8400976)
35,360996,48.8479228,2.2597619,3,2.2597619,48.8479228,,,POINT (2.2597619 48.8479228)
36,34818779,48.848125,2.2595582,4,2.2595582,48.848125,,,POINT (2.2595582 48.848125)
37,360997,48.8479122,2.2585518,4,2.2585518,48.8479122,,,POINT (2.2585518 48.8479122)
38,264542426,48.8474573,2.2584977,3,2.2584977,48.8474573,,,POINT (2.2584977 48.8474573)
39,392015132,48.8479137,2.2589323,4,2.2589323,48.8479137,,,POINT (2.2589323 48.8479137)
40,361000,48.8573541,2.2646623,4,2.2646623,48.8573541,traffic_signals,,POINT (2.2646623 48.8573541)
41,177268309,48.8576692,2.2635387,3,2.2635387,48.8576692,traffic_signals,,POINT (2.2635387 48.8576692)
42,295135510,48.8554335,2.2634266,2,2.2634266,48.8554335,,,POINT (2.2634266 48.8554335)
43,296970902,48.8613926,2.2672606,3,2.2672606,48.8613926,,,POINT (2.2672606 48.8613926)
44,1911142315,48.858279,2.2722073,2,2.2722073,48.858279,,,POINT (2.2722073 48.858279)
45,361027,48.8622922,2.2383105,3,2.2383105,48.8622922,,,POINT (2.2383105 48.8622922)
46,358913441,48.8626228,2.2385021,3,2.2385021,48.8626228,,,POINT (2.2385021 48.8626228)
47,1758970671,48.8585667,2.2448738,4,2.2448738,48.8585667,traffic_signals,,POINT (2.2448738 48.8585667)
48,361031,48.8474791,2.365556,4,2.365556,48.8474791,traffic_signals,,POINT (2.365556 48.8474791)
49,25671388,48.8510567,2.3622851,4,2.3622851,48.8510567,traffic_signals,,POINT (2.3622851 48.8510567)
50,5059182789,48.846796,2.3653419,3,2.3653419,48.846796,,,POINT (2.3653419 48.846796)
51,247352879,48.8465932,2.3666168,3,2.3666168,48.8465932,,,POINT (2.3666168 48.8465932)
52,361042,48.8380281,2.351,2,2.351,48.8380281,,,POINT (2.351 48.8380281)
53,25034117,48.8388494,2.3508122,2,2.3508122,48.8388494,traffic_signals,,POINT (2.3508122 48.8388494)
54,1142990090,48.836787,2.3518495,5,2.3518495,48.836787,traffic_signals,,POINT (2.3518495 48.836787)
55,361062,48.8523487,2.3482382,3,2.3482382,48.8523487,traffic_signals,,POINT (2.3482382 48.8523487)
56,367510,48.8530582,2.3468129,4,2.3468129,48.8530582,traffic_signals,,POINT (2.3468129 48.8530582)
57,361068,48.8560629,2.350692,3,2.350692,48.8560629,,,POINT (2.350692 48.8560629)
58,5041260581,48.8555083,2.3521798,2,2.3521798,48.8555083,,,POINT (2.3521798 48.8555083)
59,25554696,48.8572365,2.3495508,3,2.3495508,48.8572365,,,POINT (2.3495508 48.8572365)
60,361091,48.8748138,2.3573832,4,2.3573832,48.8748138,traffic_signals,,POINT (2.3573832 48.8748138)
61,663047672,48.8759607,2.3594935,2,2.3594935,48.8759607,,,POINT (2.3594935 48.8759607)
62,123256923,48.8737642,2.3583134,4,2.3583134,48.8737642,traffic_signals,,POINT (2.3583134 48.8737642)
63,361100,48.8763569,2.3559847,3,2.3559847,48.8763569,traffic_signals,,POINT (2.3559847 48.8763569)
64,367937,48.8793121,2.3570795,4,2.3570795,48.8793121,traffic_signals,,POINT (2.3570795 48.8793121)
65,361102,48.8785307,2.3540413,4,2.3540413,48.8785307,,,POINT (2.3540413 48.8785307)
66,1835516159,48.8836104,2.3495151,4,2.3495151,48.8836104,traffic_signals,,POINT (2.3495151 48.8836104)
67,361106,48.8729517,2.3333015,5,2.3333015,48.8729517,,,POINT (2.3333015 48.8729517)
68,361107,48.8732194,2.3311474,3,2.3311474,48.8732194,,,POINT (2.3311474 48.8732194)
69,367935,48.8756759,2.3431313,3,2.3431313,48.8756759,,,POINT (2.3431313 48.8756759)
70,398792,48.8702501,2.329943,3,2.329943,48.8702501,traffic_signals,,POINT (2.329943 48.8702501)
71,398783,48.8737477,2.3271551,4,2.3271551,48.8737477,traffic_signals,,POINT (2.3271551 48.8737477)
72,361112,48.8838548,2.3494771,4,2.3494771,48.8838548,traffic_signals,,POINT (2.3494771 48.8838548)
73,367929,48.8838764,2.3327896,3,2.3327896,48.8838764,traffic_signals,,POINT (2.3327896 48.8838764)
74,54775311,48.8915753,2.3496042,4,2.3496042,48.8915753,traffic_signals,,POINT (2.3496042 48.8915753)
75,361116,48.8836894,2.3275607,3,2.3275607,48.8836894,traffic_signals,,POINT (2.3275607 48.8836894)
76,5291668659,48.883666,2.3273618,3,2.3273618,48.883666,traffic_signals,,POINT (2.3273618 48.883666)
77,361706,48.8308507,2.3562364,4,2.3562364,48.8308507,,,POINT (2.3562364 48.8308507)
78,14956519,48.830483,2.3765852,2,2.3765852,48.830483,,,POINT (2.3765852 48.830483)
79,442139,48.820154,2.36463,4,2.36463,48.820154,,,POINT (2.36463 48.820154)
80,245225569,48.8310995,2.3560618,3,2.3560618,48.8310995,,,POINT (2.3560618 48.8310995)
81,14956514,48.8373662,2.3738604,4,2.3738604,48.8373662,traffic_signals,,POINT (2.3738604 48.8373662)
82,361709,48.8318207,2.3553095,3,2.3553095,48.8318207,,,POINT (2.3553095 48.8318207)
83,361711,48.8313748,2.3549228,3,2.3549228,48.8313748,,,POINT (2.3549228 48.8313748)
84,367617,48.8341354,2.3333526,4,2.3333526,48.8341354,,,POINT (2.3333526 48.8341354)
85,361712,48.8311129,2.3551038,3,2.3551038,48.8311129,,,POINT (2.3551038 48.8311129)
86,245225501,48.830994,2.3557913,3,2.3557913,48.830994,,,POINT (2.3557913 48.830994)
87,361715,48.8318418,2.3558122,4,2.3558122,48.8318418,traffic_signals,,POINT (2.3558122 48.8318418)
88,1142990020,48.8399909,2.361771,3,2.361771,48.8399909,traffic_signals,,POINT (2.361771 48.8399909)
89,7223004840,48.8319731,2.3552021,3,2.3552021,48.8319731,,,POINT (2.3552021 48.8319731)
90,361721,48.8310597,2.3559813,3,2.3559813,48.8310597,,,POINT (2.3559813 48.8310597)
91,367504,48.8537953,2.3333421,3,2.3333421,48.8537953,traffic_signals,,POINT (2.3333421 48.8537953)
92,367506,48.8513977,2.3431724,4,2.3431724,48.8513977,traffic_signals,,POINT (2.3431724 48.8513977)
93,25095608,48.853441,2.3441415,3,2.3441415,48.853441,,,POINT (2.3441415 48.853441)
94,470132,48.8508383,2.345541,4,2.345541,48.8508383,traffic_signals,,POINT (2.345541 48.8508383)
95,367530,48.8537909,2.3442925,4,2.3442925,48.8537909,traffic_signals,,POINT (2.3442925 48.8537909)
96,367513,48.8437431,2.3242724,5,2.3242724,48.8437431,,,POINT (2.3242724 48.8437431)
97,16820933,48.844035,2.3233789,5,2.3233789,48.844035,traffic_signals,,POINT (2.3233789 48.844035)
98,260568406,48.8441726,2.3241659,3,2.3241659,48.8441726,,,POINT (2.3241659 48.8441726)
99,324706464,48.8435359,2.3246741,3,2.3246741,48.8435359,traffic_signals,,POINT (2.3246741 48.8435359)
100,2418577616,48.8538413,2.3441755,3,2.3441755,48.8538413,,,POINT (2.3441755 48.8538413)
101,676821350,48.8572394,2.3471199,3,2.3471199,48.8572394,,,POINT (2.3471199 48.8572394)
102,36474058,48.8344186,2.3333771,3,2.3333771,48.8344186,,,POINT (2.3333771 48.8344186)
103,510573315,48.834369,2.3328544,4,2.3328544,48.834369,,,POINT (2.3328544 48.834369)
104,367684,48.8185092,2.3196067,4,2.3196067,48.8185092,traffic_signals,,POINT (2.3196067 48.8185092)
105,21389561,48.8201899,2.3240326,5,2.3240326,48.8201899,,,POINT (2.3240326 48.8201899)
106,21389562,48.8180197,2.3223094,3,2.3223094,48.8180197,,,POINT (2.3223094 48.8180197)
107,36427158,48.817334,2.3188663,2,2.3188663,48.817334,,,POINT (2.3188663 48.817334)
108,6401279191,48.8185917,2.3191337,2,2.3191337,48.8185917,,,POINT (2.3191337 48.8185917)
109,367714,48.8174662,2.3256456,5,2.3256456,48.8174662,,,POINT (2.3256456 48.8174662)
110,554927727,48.8175531,2.3256504,4,2.3256504,48.8175531,,,POINT (2.3256504 48.8175531)
111,517328713,48.8173706,2.3270419,3,2.3270419,48.8173706,,,POINT (2.3270419 48.8173706)
112,367889,48.8631344,2.2686662,4,2.2686662,48.8631344,traffic_signals,,POINT (2.2686662 48.8631344)
113,296970563,48.8631767,2.268433,4,2.268433,48.8631767,traffic_signals,,POINT (2.268433 48.8631767)
114,296970241,48.8634846,2.2689015,3,2.2689015,48.8634846,,,POINT (2.2689015 48.8634846)
