From,To,Demand,TT,Distance
122926,318399738,,4.8485800494132185,1619
85245811,122926,,0.24521111111111113,10332
289232660,122926,,0.36436138613861385,202
318399738,247173751,,1.1138663130598774,707
318399738,247174151,,0.4213363405042794,5764
122935,85245595,,2.215901810436635,939
3471334863,122935,,0.8183455640122685,8803
413741124,122935,,2.1858904055390704,1011
85245595,85245590,,1.7302119875964301,6611
85245595,132275950,,0.48039653130287646,197
122946,331668606,,3.51426823147328,1129
332137916,122946,,1.7275372637394588,6878
332135076,122946,,1.0294695652173915,276
331668606,84821300,,2.9179662902121835,974
365021950,331668606,,0.7154175843182473,3469
122954,130318842,,0.3778407484407485,481
122954,130367459,,0.31634999999999996,374
130340924,122954,,0.4165752993068683,529
130318842,315858886,,0.3652042635658914,516
130356871,130318842,,0.41253228592644703,8529
130367459,87147746,,0.5590344135617588,8347
130367459,130365379,,0.2897363161735105,13248
125743,84791114,,0.22004329004329004,77
125745,125743,,0.16735861351819759,2885
25245020,125743,,0.6309973684210526,247
84791114,84791118,,0.11738291139240507,158
84791114,1089076105,,1.7002974358974359,169
125745,25245021,,0.41635068153655513,269
125747,125745,,0.10427222222222221,42
25245021,25245027,,0.4834574736842105,475
206093615,25245021,,0.5835504115226339,567
84791125,125747,,0.14327272727272727,110
332038651,125747,,0.2362018018018018,74
125748,84791125,,0.14394489795918367,49
206093615,125748,,0.5468842233009709,206
2572298835,125748,,0.19602975845410628,1725
84791125,332038651,,0.4387566176470588,68
125792,6763218090,,1.1545594826772396,21186
125792,28869232,,0.7107617794363154,10183
28869178,125792,,5.00303934871099,1474
6763218090,5070611118,,13.33196726838333,3767
28869153,6763218090,,2.103131671845642,27676
28869232,28869252,,1.9477476190476188,819
28869153,28869232,,1.732856370343711,16671
361704,360932,,1.463711111111111,198
471617379,360932,,3.7042213136729223,1119
430770,360932,,3.040824483043838,806
429385391,360932,,2.2862020634920635,630
361706,361704,,2.1975491379310346,986
14956519,361704,,5.639967595901835,1399
361704,442139,,3.59607334682861,988
382021,361704,,2.7815407341269838,840
471617379,471617384,,0.17367560270009644,1037
64441586,471617379,,3.501122565460429,1133
34909834,430770,,0.23276153846153846,39
430770,34909758,,1.6431037037037037,450
442138,430770,,1.2297215469613259,181
429385391,1836902820,,0.14250185185185188,36
245225501,429385391,,0.11349971509971511,351
360982,34909185,,5.462343280977312,1337
360983,360982,,1.718843692564745,399
513972750,360982,,4.01737434066641,2591
442197,360982,,2.844584271099744,782
34909185,34909186,,0.17391666666666666,32
34909185,5708499452,,1.57184984423676,321
21346786,34909185,,1.1939388471177947,266
141558085,360983,,4.362579523445464,1308
360983,6953649865,,2.8312642324303106,849
110553570,360983,,3.800413267918089,1172
1363470287,513972750,,4.965318035426732,1242
141558085,141556844,,0.06948115942028985,23
360988,141558085,,0.2999614583333333,32
5312118009,141558085,,1.7626282552083332,768
442207,6953649865,,0.5894086956521739,92
360990,360988,,1.45152701208981,965
360988,130234851,,0.9810255102040815,735
141559263,360988,,0.06699130434782608,23
4616553,360990,,1.6311736749116608,566
34819299,360990,,4.405883832709114,1335
130234851,130234868,,0.036993750000000006,16
5312118009,130234851,,0.2267137931034483,29
4616553,2689489652,,0.5171222222222223,186
4958686525,4616553,,0.4482622767857143,224
34819299,134600676,,1.4790766861219196,514
360996,34818779,,0.1442020202020202,33
260656204,360996,,0.039325925925925924,18
260654567,360996,,2.353373009950249,804
34818779,260656204,,0.09446697449428319,758
34818779,7850681872,,0.15451603773584904,742
34818779,392015279,,0.18865535353535354,990
360997,264542426,,0.3038934895833333,384
360997,392015132,,0.06874567901234568,27
264542727,360997,,0.3790208333333333,40
34818796,360997,,0.17511688311688312,231
264542426,392015112,,0.09385312500000001,32
264542727,264542426,,0.0690684,0
392015132,7850681872,,0.09540769230769232,26
392015132,260656204,,0.17232896825396823,42
392015112,392015132,,0.10507320000000002,0
177268309,361000,,0.89357,85
295135510,361000,,1.2744615384615385,455
296970902,361000,,0.5851848,0
1911142315,361000,,1.194932,0
177268309,6132156249,,0.1510524,0
358873202,177268309,,0.31619230769230766,78
295135510,295135550,,0.12228611111111111,90
295135550,295135510,,0.28899422753988246,2382
296970902,194414345,,0.6088935926773456,437
296971484,296970902,,0.2172252293577982,109
1911142315,34818886,,0.7487333333333334,116
34818886,1911142315,,0.45127035864978904,1264
361027,358913441,,0.06725299145299145,39
1758970671,361027,,1.462803864168618,2989
967317037,361027,,0.095227537414966,3675
358913441,27117485,,0.18256944444444442,72
967317037,358913441,,0.10096090468497579,3714
27117303,1758970671,,1.8004275611967364,1103
2320354492,1758970671,,1.951107993049522,1151
358874150,1758970671,,3.490541633670626,2273
361031,25671388,,1.930246211096076,739
361031,5059182789,,0.10674,0
247352879,361031,,0.15066960000000001,0
332476879,361031,,0.773028,0
25671388,332476879,,0.5941679999999999,0
25671388,644163,,0.33014600000000005,0
368175,25671388,,0.3624462121212121,66
5059182789,25675623,,0.31460779661016947,295
368175,5059182789,,1.2345154632972322,554
247352879,665321094,,0.04945,18
247352896,247352879,,0.12012103126268778,821
361042,25034117,,0.3433512544802867,93
25034117,361042,,0.6877835125448029,465
1142990090,361042,,0.302764,150
470137,25034117,,5.846759520897043,1635
21292412,1142990090,,0.6252964102564103,65
1142990090,1142990067,,0.4042537634408603,93
7223004840,1142990090,,3.116026400679117,589
1142990020,1142990090,,5.498771844660194,824
361062,367510,,1.057195895522388,134
368146,361062,,2.914607102272728,704
470137,361062,,1.4444206758304698,291
367510,367530,,0.8765596666666666,200
367510,470132,,1.1075740458015269,262
644160,367510,,1.2522048374905517,441
5041260581,361068,,0.720367332175926,576
361068,25554696,,1.5456296296296297,216
644160,361068,,0.3311431767337807,149
5041260581,283555978,,0.36979621309370986,779
283555978,5041260581,,0.4384222222222222,81
25554696,368133,,0.18294375,24
2402569198,25554696,,4.932349158878505,1070
361091,663047672,,1.227625,260
123256923,361091,,1.319883908045977,145
361100,361091,,0.948879,200
692364452,361091,,1.7347737839221713,651
644090,663047672,,0.5570728070175439,57
123256923,431175338,,1.8269788990825686,545
510438311,123256923,,2.812265925925926,585
408490378,123256923,,1.4885421455938699,261
361100,367937,,2.021153409090909,352
361102,361100,,1.9154035879629627,288
367937,94181731,,2.064706346483705,583
1757697276,367937,,3.7900218248175177,685
361102,367937,,0.914986750348675,239
1835516159,361102,,3.70420202020202,660
367935,361102,,2.8361264774044033,863
1835516159,19405751,,0.4026821705426358,129
361112,1835516159,,0.1788940476190476,28
1835516171,1835516159,,4.36973324393359,1305
361106,361107,,0.5276252653927814,157
