fishnetid,CO2,CO2psqkm
0,2266798.6908684573,275318.7556523096
1,16074266.007795442,1952333.452951117
2,27916391.823580723,3390643.5053683245
3,8779201.829331929,4265184.964155168
4,6841130.962285877,3323615.231246883
5,14974243.15335932,7274947.620294557
6,18056929.54959291,8772611.430926803
7,24582857.780699477,2985762.186038473
9,5509641.117842058,669191.6063224765
10,24783303.358734477,3010137.7258329657
11,25710957.696666528,3122809.0383971063
12,8802271.221762616,4276435.3555343235
13,7373281.898291186,3582184.9386117468
14,7023781.847351988,3412403.4848090066
15,5576939.708661538,2709476.0216080863
16,11673256.470910948,5671255.228196338
17,20780429.277131513,10095821.887900282
18,11544512.116730278,5608735.327165977
19,19930571.2308253,9682981.647265006
20,19586914.84275025,9515972.983459624
21,22457147.725814104,10910427.331719708
22,17400643.475558262,8453852.600262638
23,17262127.775387615,8386556.737686656
24,31919013.16037821,3876828.859117818
25,15674210.384071704,1903762.840520835
26,10158338.473602958,1233814.452761238
27,13499624.47249481,1639658.0212481942
28,20400887.988695674,2477882.232901293
29,35463092.67031283,4307330.509350124
30,21130228.815499865,2566467.6257267934
31,31518522.699328184,3828224.90115505
32,34377626.772563234,4175490.3333761343
33,19374583.914277148,9412911.29631363
34,19508718.293194745,9478078.889905514
35,21056688.261037588,10230194.487333193
36,14728524.447074829,7155715.454258827
37,26641903.327059373,12943652.049104108
38,15294170.483047476,7430490.933100136
39,21704938.08884472,10545140.585819073
40,18938486.968028277,9201086.257103922
41,28544492.643888395,3467000.613339224
42,22505513.074991398,2733509.003224604
43,12532244.502765747,1522160.5063941285
45,21028771.34539044,2554171.1372236814
46,19135729.699918542,2324240.807342063
47,14971024.029119305,1818392.374989645
48,27432612.24504727,3331986.6987984185
49,14598472.616257261,1773141.9868316741
50,19219872.926734,2334460.9099728344
51,17097119.91049008,8306518.623960601
52,11881583.43687806,5772585.945309685
53,20894514.47035677,10151510.169987801
54,8941250.873893114,4344068.358588111
55,9431795.85499592,4582373.425295364
56,26249506.18187213,12753142.816510767
57,12336122.005673341,5993451.926172705
58,19166070.46113076,9311753.067098169
59,13234953.77390697,1607527.913854854
60,23181190.571557116,2815605.6724318145
61,23807894.148003936,2891725.582635056
62,3566343.4655026235,433170.88741895556
63,9904025.725690648,1202963.4859775351
64,18236136.13385318,2214998.880447714
65,12839739.245251134,1559541.3329192232
66,11235807.542768646,1364724.4649571502
67,2546578.407470815,309312.6899317081
68,21979236.92331457,2669643.6581148794
69,42173778.67250133,5122514.542454349
70,8807677.99317592,4279195.274913866
71,6607297.373402104,3210144.1176799787
72,7204295.47595329,3500213.3898098515
73,12469442.528898431,6058289.786807974
74,29061541.293850113,3529875.021631667
75,17455199.406763654,2120144.6874603243
76,12682469.65390513,1540439.0424871542
77,1655078.3168033648,201029.24171360294
78,1110928.9761702348,134937.18900209985
79,7673088.9554009,931999.3238214798
80,24885403.333509475,3022665.2153617884
81,11893116.850595938,1444578.1780078595
82,19327797.33661418,2347619.6031863545
83,21393034.625032865,2598470.305885852
84,21035573.813868437,10220207.629345147
85,13130462.736507524,6379481.568884654
86,2610345.219526347,1268252.3463691669
87,1570634.6427983097,763102.5414251914
88,23065762.031270143,2801645.431394365
89,7134126.590767741,866535.1330212723
91,26841023.805012107,3260237.268055623
92,23876430.86115701,2900143.8353153826
93,18570951.95177875,2255715.3593058363
94,16395188.314530859,1991436.8523395248
95,6921772.147620983,840751.0712180184
96,4263647.6492374465,517882.74042311264
99,2532825.98335654,307652.42079437815
100,7924789.610475147,962593.0577025418
101,14293944.479585657,1736229.2754187724
102,6358205.476012038,772306.2379559523
