From,To,Demand,TT,Distance,Estimated?
127565529,5843582752,,0.219647037037037,45,No
127565529,1433256484,,7.49934766463113,6059,No
5843582752,5843582747,,0.0363728818169455,2451,No
1433256484,2228861363,,0.132223015873016,168,No
1433256484,2228861367,,0.178238095238095,98,No
127565546,959212068,,0.51545786163522,106,No
127565546,5121255521,,0.337633333333333,198,No
959212068,959211994,,0.164187074829932,49,No
959212068,5121255521,,0.233660382513661,122,No
5121255521,6181782283,,1.53962508688784,1055,No
127580361,5150060397,,5.75202709190672,1458,No
127580361,1241604073,,0.0208976190476191,7,No
5150060397,11255760039,,0.0378055555555555,12,No
5150060397,602123325,,4.19007109144543,1243,No
1241604073,9285640574,,0.0392618181818182,330,No
1241604073,5099498697,,5.16864543954396,2222,No
10879118604,10879118587,,1.14853968926554,472,No
130170579,6688209092,,0.117122727272727,88,No
130170579,1487684505,,0.165750414593698,201,No
6688209092,2021341652,,0.006233,5,Yes
1487684505,6183055986,,2.98531138839625,3947,No
130170602,2004405693,,9.13359739454695,13766,No
2004405693,2021341659,,3.18434472563267,3991,No
6183055986,10879118591,,10.9148625811688,15400,No
130175085,2021482166,,0.139495161290323,31,No
130175085,130170579,,4.96867469699314,6463,No
2021482166,2021482170,,0.033504,25,No
153122610,5444165047,,21.685054972881,31159,No
6181782796,6731999753,,4.60430145843462,4114,No
1241604062,1241603956,,0.0940724637681159,23,No
9285640557,1241603956,,0.591083333333333,79,No
602123325,9285640557,,0.802992592592593,297,No
602123334,1241604046,,3.63415386111111,1200,No
1241604046,5150060406,,0.132139130434783,46,No
602123341,1477783603,,0.915067840375587,71,No
1477783603,127565546,,0.83243504531722,331,No
1477783603,1477783609,,0.185457471264368,29,No
622429871,9285640575,,2.40900530137981,459,No
9285640575,127580361,,0.006487,1,Yes
9285640575,9285640577,,0.851448148148148,243,No
959211939,4204424605,,0.837492653232578,794,No
959211939,4204121995,,1.00643548387097,434,No
4204424605,4204456993,,0.972752201257861,159,No
4204121995,4204121885,,0.0802642857142857,28,No
959211964,2228861368,,3.8145852795031,1610,No
959212213,959212204,,1.52984715252887,837,No
2228861368,5113493150,,0.200161722488038,209,No
2228861368,9909672238,,0.164439716312057,94,No
959211994,10799455030,,0.050215625,32,No
959211994,959212204,,0.0858183673469388,49,No
10799455030,959211964,,1.64611378881988,805,No
959212204,959212168,,0.03365,16,No
959212097,5102560812,,0.0333333333333333,3,No
5102560812,1433256283,,0.135967123287671,73,No
5102560812,5102560811,,0.256982142857143,28,No
959212117,4204121995,,0.0709882352941176,34,No
959212117,4204424632,,0.680586054421769,392,No
4204424632,4203954096,,0.166520720720721,185,No
959212168,1477783609,,2.08083624772313,549,No
959212168,959212068,,0.110917916666667,40,No
1477783609,4204121791,,53.5445220588235,34,No
1241603956,1241604045,,0.0228714285714286,7,No
1241604045,1241604101,,0.0573447368421053,19,No
1241604045,1241646343,,0.80881726618705,278,No
1241603969,1241604000,,0.0350230769230769,13,No
1241603969,9285640555,,0.07661,25,No
1241604000,1241604019,,0.080984126984127,42,No
9285640555,1241604000,,0.127966666666667,12,No
1241646506,7117266881,,0.0322375,4,No
1241604019,1241604032,,0.0951095238095238,14,No
1241604019,1241604012,,1.03863426791277,214,No
1241604012,1241604062,,0.018862962962963,9,No
1241604032,1241603969,,0.0204395833333333,8,No
1241604101,1241604012,,0.0786121794871795,26,No
1241604101,1241604032,,0.499186363636364,220,No
1241646343,127580361,,1.16545087719298,285,No
5150060406,4203953827,,1.906935,300,No
5150060406,5150060410,,0.227811111111111,39,No
9285640574,9285640575,,0.0325777777777778,9,No
9285640574,622429871,,1.73648474747475,1320,No
5099498697,4204457048,,0.0177962962962963,9,No
1241646393,1478351765,,0.299334939759036,83,No
1478351765,1477783538,,4.6130118504436,2104,No
1241646434,1241646393,,1.18274432989691,776,No
7117266881,9285640578,,0.522710975609756,205,No
7117266881,7117266880,,0.007327,3,Yes
1242155541,5150060397,,0.04792,15,No
1242155541,11255760039,,0.169978571428571,28,No
11255760039,1241604046,,0.059448,25,No
1433254639,6315591160,,0.0349066666666667,25,No
6315591160,6315592190,,0.107826666666667,25,No
6315591160,6799234179,,0.317048233215548,283,No
1433255127,1433254639,,5.4890789531962,7827,No
2402252481,7959547414,,1.66881256490844,7318,No
1433256283,5102560811,,5.09383004179728,638,No
5102560811,6726595523,,0.0296666666666667,2,No
1433256309,1433256283,,0.251127192982456,228,No
1433256309,959212097,,0.74944972826087,184,No
2228861363,959212213,,2.66749431208414,1553,No
2228861367,2228861363,,0.219180538302277,161,No
1477783491,4204456992,,0.0296875,16,No
