from,to,capacity (veh/hr),length (m),Free Flow Time (min),B,Power,Speed Limit,Toll,Type
127565529,5843582752,2400,31.213,0.031213,0.15,4,0,0,F
127565529,1433256484,2400,6058.472999999999,6.058472999999999,0.15,4,0,0,F
5843582752,5843582747,2400,25.966,0.025966,0.15,4,0,0,F
1433256484,2228861363,2400,166.601,0.166601,0.15,4,0,0,F
1433256484,2228861367,2400,104.804,0.104804,0.15,4,0,0,F
127565546,959212068,2400,105.752,0.105752,0.15,4,0,0,F
127565546,5121255521,2400,191.00400000000002,0.19100400000000003,0.15,4,0,0,F
959212068,959211994,2400,48.271,0.048271,0.15,4,0,0,F
959212068,5121255521,2400,122.17099999999999,0.12217099999999999,0.15,4,0,0,F
5121255521,6181782283,2400,1059.3289999999997,1.0593289999999997,0.15,4,0,0,F
127580361,5150060397,1400,1458.5140000000004,1.4585140000000005,0.15,4,0,0,A
127580361,1241604073,1800,8.777000000000001,0.008777000000000002,0.15,4,0,0,A
5150060397,11255760039,1400,13.61,0.013609999999999999,0.15,4,0,0,A
5150060397,602123325,1400,1245.002,1.245002,0.15,4,0,0,A
1241604073,9285640574,1400,6.588,0.006588,0.15,4,0,0,A
1241604073,5099498697,1800,2222.851,2.222851,0.15,4,0,0,A
10879118604,10879118587,1400,478.333,0.47833300000000006,0.15,4,0,0,A
130170579,6688209092,2400,88.344,0.08834399999999999,0.15,4,0,0,F
130170579,1487684505,2400,199.895,0.19989500000000002,0.15,4,0,0,F
6688209092,2021341652,2400,6.233,0.006232999999999999,0.15,4,0,0,F
1487684505,6183055986,2400,3949.6169999999997,3.949617,0.15,4,0,0,F
130170602,2004405693,2400,13766.398,13.766398,0.15,4,0,0,F
2004405693,2021341659,2400,3992.2680000000005,3.992268,0.15,4,0,0,F
6183055986,10879118591,2400,15397.455000000005,15.397455000000004,0.15,4,0,0,F
130175085,2021482166,1400,28.829,0.028829,0.15,4,0,0,A
130175085,130170579,2400,6465.612999999999,6.465612999999999,0.15,4,0,0,F
2021482166,2021482170,2400,25.128,0.025128,0.15,4,0,0,F
153122610,5444165047,2400,31161.473999999995,13.354917428571426,0.15,4,0,0,F
6181782796,6731999753,2400,4117.847000000002,4.117847000000001,0.15,4,0,0,F
1241604062,1241603956,1800,25.964,0.025963999999999997,0.15,4,0,0,A
9285640557,1241603956,1400,68.335,0.06833499999999999,0.15,4,0,0,A
602123325,9285640557,1400,298.111,0.298111,0.15,4,0,0,A
602123334,1241604046,1400,1200.2710000000002,1.200271,0.15,4,0,0,A
1241604046,5150060406,1400,45.588,0.045588000000000004,0.15,4,0,0,A
602123341,1477783603,1400,66.071,0.06607099999999999,0.15,4,0,0,A
1477783603,127565546,2400,324.15999999999997,0.32415999999999995,0.15,4,0,0,F
1477783603,1477783609,2400,29.336,0.029335999999999997,0.15,4,0,0,F
622429871,9285640575,1400,454.41100000000006,0.45441100000000006,0.15,4,0,0,A
9285640575,127580361,1400,6.487,0.006487000000000001,0.15,4,0,0,A
9285640575,9285640577,1800,243.414,0.243414,0.15,4,0,0,A
959211939,4204424605,2400,797.963,0.797963,0.15,4,0,0,F
959211939,4204121995,2400,436.793,0.43679300000000004,0.15,4,0,0,F
4204424605,4204456993,2400,162.808,0.16280799999999998,0.15,4,0,0,F
4204121995,4204121885,2400,33.711,0.033711,0.15,4,0,0,F
959211964,2228861368,2400,1609.1219999999998,1.609122,0.15,4,0,0,F
959212213,959212204,2400,835.097,0.835097,0.15,4,0,0,F
2228861368,5113493150,2400,209.16899999999995,0.20916899999999997,0.15,4,0,0,F
2228861368,9909672238,2400,92.744,0.09274400000000001,0.15,4,0,0,F
959211994,10799455030,2400,32.138,0.032138,0.15,4,0,0,F
